date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2025-07-28,20.6,20.38,,,64654,,,,,,0.0,,,1.96,,,
2025-07-29,20.59,20.29,-0.48,1.01,32190,,,,,,-0.48,0.0,,1.98,,,
2025-07-30,20.29,20.62,1.66,0.02,123278,,,,,,1.18,21.1,,1.96,,,
2025-07-31,20.94,20.58,-0.21,1.54,55715,,,,,,0.96,20.5,,2.03,,,
2025-08-01,20.17,20.16,-2.04,-1.99,52888,,,,,,-1.09,15.8,,2.25,,,
2025-08-04,20.5,20.54,1.88,1.68,34202,,0.77,,,,0.77,31.1,,2.2,,,
2025-08-05,20.72,20.45,-0.46,0.88,16987,,0.78,,,,0.3,29.7,,2.25,,,
2025-08-06,20.52,20.57,0.61,0.37,29197,,-0.26,,,,0.91,34.0,,2.16,,,
2025-08-07,20.86,20.58,0.06,1.41,27272,,0.01,,,,0.97,34.4,,2.14,,,
2025-08-08,20.87,20.59,0.03,1.4,24595,,2.12,,,,1.0,34.7,,2.12,,,
2025-08-11,20.65,20.49,-0.48,0.3,24538,,-0.25,,,,0.51,32.7,,2.06,,,
2025-08-12,20.66,20.93,2.13,0.84,32660,,2.35,,,,2.66,47.1,,2.02,,,
2025-08-13,21.19,20.64,-1.34,1.27,32016,,0.36,,,,1.28,41.0,,2.2,,,
2025-08-14,20.6,20.39,-1.23,-0.22,33407,,-0.93,,,,0.03,36.4,,2.19,,,
2025-08-15,20.46,20.24,-0.74,0.34,26233,,-1.69,,,,-0.71,34.0,,2.21,,,
2025-08-18,20.36,20.39,0.72,0.6,34756,,-0.5,,,,0.01,38.3,,2.11,,,
2025-08-19,20.45,19.81,-2.83,0.32,35013,,-5.33,,,,-2.82,30.0,,2.27,,,
2025-08-20,19.6,19.67,-0.71,-1.06,39928,,-4.73,,,,-3.5,28.4,,2.36,,,
2025-08-21,19.71,19.64,-0.14,0.21,19146,,-3.68,,,,-3.64,28.1,,2.28,,,
2025-08-22,19.77,20.03,2.0,0.64,16656,0.44,-1.02,,,,-1.72,38.6,,2.29,,,-4.26
2025-08-25,20.2,19.98,-0.27,0.83,10415,0.3,-1.99,,,,-1.98,37.8,,2.21,,,-4.52
2025-08-26,19.98,20.38,2.0,0.0,13263,0.39,2.88,-0.02,,,-0.02,46.9,1.36,2.15,,,-2.6
2025-08-27,20.23,20.34,-0.21,-0.74,13151,0.46,3.4,0.25,,,-0.22,46.1,1.36,2.08,,,-2.81
2025-08-28,20.61,20.69,1.73,1.34,54249,1.9,5.34,0.32,,,1.5,53.0,1.36,2.05,,,-1.12
2025-08-29,20.69,20.11,-2.78,0.0,70530,2.4,0.4,-2.26,,,-1.32,43.3,1.49,2.19,,,-3.88
2025-09-02,19.77,19.79,-1.61,-1.71,47767,1.59,-0.95,-1.84,,,-2.91,38.9,1.47,2.3,,,-5.43
2025-09-03,19.79,19.82,0.17,0.0,25065,0.82,-2.73,-3.49,,,-2.74,39.6,1.4,2.22,,,-5.26
2025-09-04,19.93,20.02,1.01,0.53,14027,0.47,-1.54,-2.06,,,-1.76,43.6,1.42,2.12,,,-4.3
2025-09-05,20.15,19.96,-0.3,0.63,15005,0.52,-3.51,-2.95,,,-2.06,42.7,1.41,2.23,,,-4.59
2025-09-08,20.0,20.04,0.4,0.18,122226,3.59,-0.35,-2.61,,,-1.66,44.4,1.42,2.15,,,-4.21
2025-09-09,20.21,20.27,1.1,0.85,10157,0.31,2.4,-1.57,,,-0.58,48.8,1.44,2.05,,,-3.15
2025-09-10,20.62,21.09,4.09,1.75,95354,2.62,6.41,2.96,,,3.49,61.3,1.7,2.15,,,0.0
2025-09-11,21.26,21.26,0.76,0.79,40459,1.1,6.15,1.58,,,4.28,63.1,1.64,2.09,,,0.0
2025-09-12,21.36,21.2,-0.25,0.49,47173,1.26,6.2,2.7,,,4.01,62.1,1.61,2.01,,,-0.25
2025-09-15,21.45,21.7,2.35,1.17,58908,1.5,8.26,6.42,,,6.46,67.6,1.65,1.99,,,0.0
2025-09-16,21.8,21.49,-0.98,0.46,31289,0.8,6.03,6.16,,,5.41,63.3,1.66,2.02,,,-0.98
2025-09-17,21.65,21.49,-0.01,0.76,21257,0.55,1.85,5.4,,,5.4,63.3,1.66,2.03,,,-0.99
2025-09-18,21.69,22.06,2.66,0.95,50558,1.3,3.77,11.34,,,8.2,69.3,1.58,2.07,,,0.0
2025-09-19,22.25,22.52,2.11,0.88,223675,4.56,6.23,14.5,,,10.49,73.2,1.59,2.04,,,0.0
2025-09-22,22.57,23.0,2.13,0.21,168449,2.97,5.99,17.11,,,12.84,76.5,1.61,2.08,,,0.0
2025-09-23,23.08,22.6,-1.74,0.35,176065,2.71,5.18,12.81,,,10.87,68.9,1.67,2.17,,,-1.74
2025-09-24,22.81,22.41,-0.85,0.93,194324,2.63,4.29,12.15,,,9.93,65.5,1.69,2.16,,,-2.58
2025-09-25,22.01,22.16,-1.09,-1.77,273114,3.14,0.49,8.75,,,8.73,61.4,1.69,2.3,,,-3.64
2025-09-26,22.35,22.25,0.39,0.84,61937,0.71,-1.21,9.4,,,9.16,62.3,1.68,2.23,,,-3.26
2025-09-29,22.58,22.42,0.76,1.48,167530,1.82,-2.52,8.36,,,9.99,64.1,1.66,2.18,,,-2.52
2025-09-30,22.53,22.61,0.84,0.49,64840,0.7,0.03,12.4,,,10.91,66.0,1.49,2.11,,,-1.71
2025-10-01,22.59,23.02,1.8,-0.08,106879,1.1,2.71,16.3,,,12.91,69.7,1.43,2.11,,,0.0
2025-10-02,23.36,23.25,1.02,1.5,125215,1.22,4.9,17.28,,,14.06,71.7,1.42,2.07,,,0.0
2025-10-03,23.32,23.2,-0.22,0.3,122470,1.13,4.27,15.86,,,13.82,70.6,1.44,2.07,,,-0.22
2025-10-06,23.88,23.68,2.07,2.93,265845,2.31,5.62,18.62,,,16.17,74.5,1.45,2.14,12.57,,0.0
2025-10-07,24.01,23.41,-1.14,1.39,415623,3.07,3.55,16.79,,,14.85,69.0,1.51,2.28,10.97,,-1.14
2025-10-08,23.67,24.1,2.94,1.11,365457,2.45,4.7,18.91,,,18.22,74.2,1.58,2.26,13.81,,0.0
2025-10-09,24.3,24.14,0.18,0.84,274913,1.71,3.83,14.44,,,18.43,74.5,1.4,2.22,13.64,,0.0
2025-10-10,24.37,23.41,-3.02,0.95,266510,1.55,0.91,10.14,,,14.85,61.9,1.61,2.51,9.91,,-3.02
2025-10-13,24.2,24.75,5.75,3.37,238819,1.32,4.54,16.76,,,21.45,71.5,1.97,2.62,15.72,,0.0
2025-10-14,24.28,24.92,0.67,-1.92,553646,2.68,6.45,14.84,,,22.26,72.4,1.93,2.82,16.02,,0.0
2025-10-15,25.56,25.4,1.93,2.57,394982,1.75,5.41,18.21,,,24.61,74.9,1.91,2.84,17.71,,0.0
2025-10-16,25.74,24.84,-2.2,1.34,505085,2.03,2.9,15.62,,,21.86,67.2,2.02,2.99,14.66,,-2.2
2025-10-17,24.6,24.35,-1.97,-0.97,240976,0.97,4.02,10.4,,,19.46,61.2,2.05,3.07,12.01,,-4.13
2025-10-20,24.86,24.43,0.33,2.09,318799,1.24,-1.31,8.47,,,19.85,61.8,2.01,2.99,11.98,,-3.82
2025-10-21,24.47,23.93,-2.05,0.16,166161,0.65,-3.97,4.04,,,17.4,56.1,2.04,3.05,9.35,,-5.79
2025-10-22,24.07,23.06,-3.64,0.59,353830,1.34,-9.21,2.04,,,13.13,47.7,2.17,3.41,5.17,,-9.21
2025-10-23,23.21,23.85,3.43,0.65,605329,2.16,-3.99,6.44,,,17.01,54.4,2.27,3.34,8.45,,-6.1
2025-10-24,24.47,24.65,3.35,2.6,632226,2.04,1.23,11.22,20.93,,20.93,59.9,2.34,3.25,11.66,,-2.95
2025-10-27,25.13,24.74,0.37,1.95,336489,1.06,1.27,11.19,21.95,,21.37,60.5,2.34,3.19,11.61,,-2.6
2025-10-28,25.03,24.87,0.53,1.17,146320,0.45,3.93,10.93,20.59,,22.01,61.4,2.34,3.09,11.74,,-2.09
2025-10-29,25.14,25.71,3.38,1.09,513398,1.5,11.49,13.72,24.93,,26.13,66.5,2.42,3.05,14.91,,0.0
2025-10-30,25.42,25.15,-2.18,-1.13,383421,1.08,5.45,9.28,24.75,,23.38,60.7,2.48,3.07,11.86,,-2.18
2025-10-31,25.52,25.23,0.32,1.47,376969,1.03,2.35,8.52,22.83,,23.78,61.2,2.48,3.04,11.66,,-1.87
2025-11-03,25.43,25.19,-0.16,0.79,637778,1.65,1.82,8.58,23.21,,23.58,60.8,2.48,2.97,10.98,,-2.02
2025-11-04,24.45,24.06,-4.49,-2.94,252946,0.67,-3.26,1.6,16.97,,18.04,50.0,2.67,3.23,5.62,,-6.42
2025-11-05,24.08,24.7,2.66,0.08,166964,0.45,-3.93,5.51,20.01,,21.18,54.9,2.7,3.18,8.02,,-3.93
2025-11-06,24.66,23.82,-3.56,-0.16,424734,1.13,-5.29,-1.15,15.7,,16.86,48.0,2.76,3.36,3.85,,-7.35
2025-11-07,23.22,24.03,0.88,-2.52,415010,1.08,-4.76,-0.46,17.29,,17.89,49.6,2.77,3.45,4.46,,-6.53
2025-11-10,24.67,24.44,1.71,2.66,211426,0.55,-2.98,4.4,16.8,,19.9,52.7,2.7,3.37,5.85,,-4.94
2025-11-11,24.31,23.82,-2.54,-0.53,104323,0.29,-1.0,-3.78,15.38,,16.86,47.9,2.45,3.47,2.8,,-7.35
2025-11-12,24.0,23.79,-0.13,0.76,328021,0.92,-3.68,-4.53,16.67,,16.71,47.7,2.44,3.36,2.32,,-7.47
2025-11-13,23.66,22.45,-5.63,-0.55,341668,0.98,-5.75,-11.61,10.92,,10.14,38.8,2.66,3.8,-3.64,,-12.68
2025-11-14,21.72,22.63,0.8,-3.25,200603,0.58,-5.83,-8.9,11.01,,11.02,40.4,2.65,3.94,-3.09,,-11.98
2025-11-17,22.56,22.18,-1.99,-0.31,258085,0.75,-9.25,-8.91,11.97,,8.81,37.7,2.65,4.01,-5.19,,-13.73
2025-11-18,21.83,22.12,-0.27,-1.58,123429,0.36,-7.14,-9.46,12.46,,8.52,37.4,2.64,3.96,-5.6,,-13.96
2025-11-19,22.23,22.58,2.08,0.5,107885,0.33,-5.09,-5.64,14.97,,10.78,41.9,2.67,3.81,-3.76,,-12.17
2025-11-20,23.34,21.58,-4.43,3.37,306768,0.98,-3.88,-6.42,7.72,,5.87,35.8,2.72,4.39,-8.04,,-16.06
2025-11-21,21.52,21.49,-0.42,-0.28,198021,0.68,-5.04,-9.9,7.56,,5.43,35.3,2.59,4.41,-8.45,,-16.41
