date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2014-11-05,18.77,18.31,,,16292,,,,,,0.0,,,2.55,,,
2014-11-06,18.37,18.44,0.7,0.36,2186,,,,,,0.7,,,2.4,,,
2014-11-07,18.42,18.42,-0.1,-0.1,1584,,,,,,0.6,98.9,,2.26,,,
2014-11-10,18.45,18.58,0.89,0.2,4228,,,,,,1.5,99.0,,2.14,,,
2014-11-11,18.53,18.57,-0.05,-0.29,3114,,,,,,1.45,98.4,,2.15,,,
2014-11-12,18.55,18.64,0.35,-0.15,2513,,1.8,,,,1.8,98.5,,2.03,,,
2014-11-13,18.67,18.62,-0.1,0.19,12964,,0.99,,,,1.7,97.2,,1.93,,,
2014-11-14,18.69,18.71,0.5,0.39,1435,,1.6,,,,2.21,97.4,,1.82,,,
2014-11-17,18.75,18.68,-0.15,0.19,3729,,0.54,,,,2.05,95.4,,1.77,,,
2014-11-18,18.86,18.86,0.94,0.94,1092,,1.53,,,,3.0,95.9,,1.7,,,
2014-11-19,18.57,18.57,-1.51,-1.51,1157,,-0.35,,,,1.45,79.3,,1.71,,,
2014-11-20,18.42,18.56,-0.04,-0.83,1366,,-0.29,,,,1.4,78.9,,1.66,,,
2014-11-21,18.65,18.64,0.39,0.45,1417,,-0.4,,,,1.8,79.9,,1.56,,,
2014-11-24,18.63,18.75,0.63,-0.05,2135,,0.39,,,,2.45,81.5,,1.49,,,
2014-11-25,18.78,18.78,0.15,0.15,652,,-0.39,,,,2.6,81.9,,1.39,,,
2014-11-26,18.79,18.82,0.19,0.05,983,,1.32,,,,2.79,82.3,,1.3,,,
2014-11-28,18.8,18.85,0.15,-0.09,1639,,1.52,,,,2.95,82.7,,1.25,,,
2014-12-01,18.55,18.55,-1.55,-1.55,599,,-0.44,,,,1.35,66.6,,1.29,,,
2014-12-02,18.35,18.35,-1.09,-1.09,928,,-2.14,,,,0.25,58.1,,1.29,,,
2014-12-03,18.39,18.39,0.2,0.2,655,0.22,-2.1,,,,0.45,59.1,,1.21,,,-2.48
2014-12-04,18.47,18.36,-0.15,0.45,2078,0.89,-2.42,,,,0.3,58.0,,1.18,,,-2.63
2014-12-05,18.48,18.41,0.25,0.65,8075,3.09,-2.33,0.55,,,0.55,59.4,0.68,1.14,,,-2.39
2014-12-08,18.39,18.06,-1.89,-0.1,928,0.36,-2.67,-2.04,,,-1.35,46.7,0.78,1.23,,,-4.23
