date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-03-31,20.43,20.57,,,7522365,,,,,,0.0,,,0.78,,,
2021-04-01,20.89,20.91,1.65,1.56,6542991,,,,,,1.65,,,0.86,,,
2021-04-05,21.27,21.14,1.1,1.72,5038149,,,,,,2.77,,,0.91,,,
2021-04-06,21.13,21.1,-0.19,-0.05,3597879,,,,,,2.58,99.1,,0.88,,,
2021-04-07,21.03,20.81,-1.37,-0.33,2992583,,,,,,1.17,92.5,,0.95,,,
2021-04-08,20.97,21.05,1.15,0.77,2133378,,2.33,,,,2.33,92.9,,0.95,,,
2021-04-09,21.04,21.03,-0.1,-0.05,1713689,,0.57,,,,2.24,92.4,,0.94,,,
2021-04-12,21.0,20.91,-0.57,-0.14,1871752,,-1.09,,,,1.65,89.5,,0.97,,,
2021-04-13,20.95,21.0,0.43,0.19,1686636,,-0.47,,,,2.09,89.8,,0.96,,,
2021-04-14,21.0,20.92,-0.38,0.0,1942028,,0.53,,,,1.7,87.7,,0.99,,,
2021-04-15,21.07,20.98,0.29,0.72,1315106,,-0.33,,,,1.99,87.9,,0.97,,,
2021-04-16,20.95,20.97,-0.05,-0.14,1392624,,-0.29,,,,1.94,87.6,,0.94,,,
2021-04-19,20.88,20.68,-1.38,-0.43,1575568,,-1.1,,,,0.53,79.5,,1.05,,,
2021-04-20,20.55,20.22,-2.22,-0.63,1707844,,-3.71,,,,-1.7,68.6,,1.21,,,
2021-04-21,20.11,20.5,1.38,-0.54,868717,,-2.01,,,,-0.34,71.2,,1.28,,,
2021-04-22,20.56,20.48,-0.1,0.29,852431,,-2.38,,,,-0.44,70.7,,1.32,,,
2021-04-23,20.54,20.7,1.07,0.29,777055,,-1.29,,,,0.63,72.8,,1.3,,,
2021-04-26,20.75,20.85,0.72,0.24,992632,,0.82,,,,1.36,74.1,,1.27,,,
2021-04-27,20.85,20.84,-0.05,0.0,831175,,3.07,,,,1.31,73.8,,1.23,,,
2021-04-28,20.79,20.84,0.0,-0.24,524324,0.23,1.66,,,,1.31,73.8,,1.2,,,-1.42
2021-04-29,20.85,20.79,-0.24,0.05,649485,0.33,1.51,,,,1.07,72.4,,1.23,,,-1.66
2021-04-30,20.58,20.59,-0.96,-1.01,680169,0.41,-0.53,0.1,,,0.1,66.7,0.98,1.25,,,-2.6
2021-05-03,20.69,20.47,-0.58,0.49,876418,0.6,-1.82,-2.1,,,-0.49,63.5,0.92,1.26,,,-3.17
2021-05-04,20.32,20.24,-1.12,-0.73,1504432,1.12,-2.88,-4.26,,,-1.6,57.7,0.9,1.36,,,-4.26
2021-05-05,20.26,20.15,-0.44,0.1,378977,0.31,-3.31,-4.5,,,-2.04,55.6,0.9,1.34,,,-4.68
2021-05-06,20.11,20.24,0.45,-0.2,1129191,0.97,-2.65,-2.74,,,-1.6,57.3,0.87,1.34,,,-4.26
2021-05-07,20.2,20.44,0.99,-0.2,642999,0.58,-0.73,-2.9,,,-0.63,60.9,0.86,1.35,,,-3.31
2021-05-10,20.32,19.9,-2.64,-0.59,968904,0.91,-2.78,-5.37,,,-3.26,49.0,1.02,1.49,,,-5.87
2021-05-11,19.18,19.76,-0.7,-3.62,1007021,0.98,-2.37,-5.5,,,-3.94,46.4,1.02,1.66,,,-6.53
2021-05-12,19.5,19.19,-2.88,-1.32,703194,0.73,-4.76,-8.62,,,-6.71,37.9,1.16,1.81,,,-9.22
2021-05-13,19.26,19.32,0.68,0.36,769348,0.82,-4.55,-7.65,,,-6.08,40.6,1.18,1.82,,,-8.61
2021-05-14,19.5,19.75,2.23,0.93,377240,0.42,-3.38,-5.86,,,-3.99,48.5,1.3,1.82,,,-6.58
2021-05-17,19.6,19.67,-0.41,-0.76,547576,0.65,-1.16,-6.2,,,-4.38,47.3,1.3,1.8,,,-6.95
2021-05-18,19.72,19.65,-0.1,0.25,363543,0.47,-0.56,-4.98,,,-4.47,46.9,1.28,1.77,,,-7.05
2021-05-19,19.25,19.55,-0.51,-2.03,489049,0.65,1.88,-3.31,,,-4.96,45.2,1.2,1.84,,,-7.52
2021-05-20,19.69,19.81,1.33,0.72,383672,0.53,2.54,-3.37,,,-3.69,50.3,1.19,1.8,,,-6.29
2021-05-21,19.96,19.86,0.25,0.76,348500,0.49,0.56,-3.03,,,-3.45,51.2,1.2,1.75,,,-6.05
2021-05-24,20.0,20.06,1.01,0.7,370201,0.55,1.98,-3.09,,,-2.48,54.8,1.19,1.71,,,-5.11
2021-05-25,20.2,20.13,0.35,0.7,306592,0.47,2.44,-3.45,,,-2.14,56.1,1.18,1.66,,,-4.78
2021-05-26,20.2,20.19,0.3,0.35,485357,0.75,3.27,-3.12,,,-1.85,57.2,1.19,1.57,,,-4.49
2021-05-27,20.27,20.37,0.89,0.4,534399,0.83,2.83,-2.26,,,-0.97,60.3,1.21,1.51,,,-3.64
2021-05-28,20.37,20.39,0.1,0.0,402422,0.64,2.67,-1.92,,,-0.88,60.7,1.21,1.45,,,-3.55
2021-06-01,20.56,20.65,1.28,0.83,469265,0.77,2.94,0.29,,,0.39,65.0,1.23,1.45,,,-2.32
2021-06-02,20.62,20.68,0.15,-0.15,306716,0.56,2.73,1.03,,,0.53,65.4,1.22,1.37,,,-2.18
2021-06-03,20.45,20.53,-0.73,-1.11,365882,0.67,1.68,1.43,,,-0.19,61.0,1.2,1.38,,,-2.89
2021-06-04,20.65,20.77,1.17,0.58,432759,0.84,1.96,3.08,,,0.97,65.1,1.22,1.37,,,-1.75
2021-06-07,20.75,20.72,-0.24,-0.1,374541,0.75,1.62,2.37,,,0.73,63.6,1.22,1.33,,,-1.99
2021-06-08,20.73,20.71,-0.05,0.05,705654,1.45,0.29,1.32,,,0.68,63.3,1.2,1.31,,,-2.03
2021-06-09,20.72,20.56,-0.72,0.05,297491,0.66,-0.58,3.32,,,-0.05,58.7,1.05,1.3,,,-2.74
2021-06-10,20.61,20.63,0.34,0.24,249715,0.58,0.49,4.4,,,0.29,60.1,1.03,1.26,0.9,,-2.41
2021-06-11,20.65,20.62,-0.05,0.1,278570,0.69,-0.72,7.45,,,0.24,59.8,0.76,1.24,0.85,,-2.46
2021-06-14,20.66,20.68,0.29,0.19,381690,0.94,-0.19,7.04,,,0.53,61.2,0.75,1.19,1.17,,-2.18
2021-06-15,20.69,20.59,-0.44,0.05,298864,0.76,-0.58,4.25,,,0.1,58.0,0.63,1.16,0.78,,-2.6
2021-06-16,20.55,20.45,-0.68,-0.19,458697,1.16,-0.54,3.97,,,-0.58,53.4,0.65,1.19,0.16,,-3.26
2021-06-17,20.47,20.6,0.73,0.1,331862,0.85,-0.15,4.83,,,0.15,57.3,0.65,1.2,0.91,,-2.55
2021-06-18,20.46,20.37,-1.12,-0.68,327450,0.85,-1.21,4.19,,,-0.97,50.3,0.7,1.24,-0.15,,-3.64
2021-06-21,20.5,20.71,1.69,0.64,478774,1.22,0.17,4.57,,,0.7,58.5,0.73,1.25,1.58,,-2.01
2021-06-22,20.74,20.78,0.31,0.12,405722,1.03,0.92,4.63,,,1.02,59.8,0.73,1.23,1.91,,-1.7
2021-06-23,20.83,20.83,0.24,0.24,450748,1.12,1.86,3.84,,,1.26,60.9,0.71,1.18,2.17,,-1.47
2021-06-24,20.89,21.05,1.06,0.29,437080,1.09,2.18,4.57,,,2.33,65.2,0.74,1.16,3.24,,-0.43
2021-06-25,21.14,21.14,0.43,0.43,534143,1.34,3.78,4.71,,,2.77,66.8,0.74,1.11,3.66,,0.0
2021-06-28,21.25,21.16,0.09,0.52,525489,1.3,2.15,3.88,,,2.87,67.2,0.72,1.1,3.74,,0.0
2021-06-29,21.19,21.21,0.24,0.14,425538,1.05,2.07,4.02,,,3.11,68.1,0.72,1.07,3.93,,0.0
2021-06-30,21.19,21.01,-0.94,-0.09,385503,0.95,0.86,1.74,2.14,,2.14,60.6,0.72,1.08,2.87,,-0.94
2021-07-01,20.99,21.01,0.0,-0.1,253543,0.63,-0.19,1.6,0.48,,2.14,60.6,0.72,1.07,2.82,,-0.94
2021-07-02,21.15,20.96,-0.24,0.67,292477,0.74,-0.85,2.09,-0.85,,1.9,58.8,0.7,1.08,2.53,,-1.18
2021-07-06,20.9,20.84,-0.57,-0.29,518627,1.29,-1.51,0.34,-1.23,,1.31,54.4,0.67,1.12,1.93,,-1.74
2021-07-07,20.84,20.78,-0.29,0.0,351497,0.91,-2.03,0.29,-0.14,,1.02,52.3,0.67,1.15,1.64,,-2.03
2021-07-08,20.32,20.56,-1.06,-2.21,478372,1.22,-2.14,-0.72,-2.33,,-0.05,45.5,0.71,1.26,0.59,,-3.06
2021-07-09,20.78,20.9,1.65,1.07,378985,0.95,-0.52,1.65,-0.62,,1.6,55.2,0.78,1.27,2.25,,-1.46
2021-07-12,20.97,20.86,-0.19,0.33,381503,0.94,-0.48,1.11,-0.24,,1.41,54.0,0.78,1.25,2.05,,-1.65
2021-07-13,20.75,20.7,-0.77,-0.53,308670,0.77,-0.67,0.39,-1.43,,0.63,49.3,0.8,1.23,1.25,,-2.4
2021-07-14,20.8,20.51,-0.92,0.48,332594,0.83,-1.3,-0.82,-1.96,,-0.29,44.3,0.82,1.27,0.32,,-3.3
2021-07-15,20.43,20.29,-1.07,-0.39,375234,0.94,-1.31,-1.46,-3.29,,-1.36,39.4,0.85,1.31,-0.76,,-4.34
2021-07-16,20.4,20.09,-0.99,0.54,297553,0.75,-3.88,-1.76,-4.2,,-2.33,35.5,0.86,1.36,-1.73,,-5.28
2021-07-19,19.8,19.83,-1.29,-1.44,465529,1.15,-4.94,-3.74,-4.11,,-3.6,31.2,0.88,1.45,-2.97,,-6.51
2021-07-20,19.9,20.3,2.37,0.35,352195,0.89,-1.93,-0.34,0.4,,-1.31,44.3,1.01,1.5,-0.65,,-4.29
2021-07-21,20.32,20.51,1.03,0.1,274979,0.7,0.0,-0.99,0.05,,-0.29,49.0,0.97,1.45,0.31,,-3.3
2021-07-22,20.53,20.49,-0.1,0.1,197122,0.52,0.99,-1.4,0.05,,-0.39,48.6,0.96,1.4,0.14,,-3.39
2021-07-23,20.48,20.54,0.24,-0.05,230312,0.63,2.24,-1.39,-0.77,,-0.15,49.8,0.96,1.36,0.26,,-3.16
2021-07-26,20.41,20.32,-1.07,-0.63,380104,1.05,2.47,-3.47,-2.54,,-1.22,45.0,0.95,1.38,-0.91,,-4.2
2021-07-27,20.21,20.0,-1.57,-0.54,402955,1.14,-1.48,-5.39,-4.03,,-2.77,39.1,0.99,1.49,-2.5,,-5.7
2021-07-28,20.19,20.43,2.17,0.95,229563,0.67,-0.37,-3.43,-1.94,,-0.66,48.9,1.12,1.52,-0.45,,-3.65
2021-07-29,20.5,20.55,0.56,0.32,216350,0.64,0.29,-3.11,-1.15,,-0.1,51.1,1.13,1.47,0.02,,-3.11
2021-07-30,20.31,20.34,-1.02,-1.17,220607,0.66,-0.97,-3.19,-1.21,,-1.12,47.1,1.13,1.46,-1.08,,-4.1
2021-08-02,20.46,20.33,-0.05,0.59,213362,0.65,0.05,-3.24,-0.68,,-1.17,46.9,1.13,1.42,-1.18,,-4.15
2021-08-03,20.33,20.31,-0.1,0.0,183054,0.58,1.55,-3.1,0.35,,-1.26,46.5,1.13,1.41,-1.32,,-4.24
2021-08-04,20.22,20.18,-0.66,-0.44,202099,0.66,-1.27,-3.19,0.12,,-1.92,43.7,1.13,1.39,-1.98,,-4.88
2021-08-05,20.19,20.48,1.51,0.07,235557,0.8,-0.34,-1.44,1.19,,-0.44,50.8,1.19,1.38,-0.54,,-3.44
2021-08-06,20.45,20.36,-0.59,-0.15,194905,0.68,0.1,-0.97,-0.39,,-1.02,48.2,1.17,1.36,-1.13,,-4.01
2021-08-09,20.36,20.41,0.25,0.0,234383,0.85,0.39,-2.34,2.56,,-0.78,49.4,1.11,1.33,-0.9,,-3.77
2021-08-10,20.49,20.42,0.05,0.39,174363,0.64,0.54,-2.11,3.34,,-0.73,49.6,1.11,1.27,-0.85,,-3.72
2021-08-11,20.55,20.77,1.74,0.64,273613,1.02,2.97,0.36,8.26,,1.0,57.4,1.17,1.28,0.86,,-2.05
2021-08-12,20.65,20.62,-0.75,-0.6,225217,0.87,0.68,0.54,6.73,,0.24,53.5,1.16,1.26,0.11,,-2.78
2021-08-13,20.56,20.27,-1.7,-0.29,242569,0.94,-0.44,-0.1,2.63,,-1.46,46.0,1.2,1.32,-1.56,,-4.43
2021-08-16,20.16,20.16,-0.57,-0.54,278101,1.12,-1.25,0.32,2.47,,-2.02,43.8,1.18,1.33,-2.06,,-4.97
2021-08-17,20.01,19.92,-1.17,-0.72,370529,1.49,-2.45,0.45,1.37,,-3.16,39.6,1.18,1.37,-3.13,,-6.08
2021-08-18,19.94,19.8,-0.6,0.1,207423,0.84,-4.69,-2.46,1.28,,-3.74,37.7,1.05,1.37,-3.62,,-6.65
2021-08-19,19.61,19.65,-0.76,-0.96,264344,1.06,-4.7,-4.19,-0.81,,-4.47,35.3,1.03,1.37,-4.27,,-7.36
2021-08-20,19.57,19.84,0.94,-0.41,228018,0.92,-2.15,-3.2,-0.13,,-3.57,40.3,1.06,1.37,-3.29,,-6.48
2021-08-23,19.95,20.17,1.69,0.58,251058,1.04,0.07,-1.8,0.55,,-1.94,48.0,1.13,1.38,-1.62,,-4.9
2021-08-24,20.24,20.38,1.04,0.35,260499,1.11,2.31,0.3,1.24,,-0.92,52.2,1.13,1.35,-0.56,,-3.91
2021-08-25,20.35,20.5,0.59,-0.15,330859,1.38,3.54,2.5,1.54,,-0.34,54.5,1.08,1.32,0.03,,-3.35
2021-08-26,20.45,20.45,-0.24,-0.24,240316,0.99,4.07,0.07,0.39,,-0.58,53.4,0.97,1.3,-0.21,,-3.58
2021-08-27,20.52,20.86,1.98,0.34,424973,1.69,5.14,1.48,2.28,,1.39,60.5,1.06,1.34,1.74,,-1.67
2021-08-30,20.96,21.13,1.32,0.5,638943,2.34,4.76,3.88,2.32,,2.72,64.5,1.06,1.33,3.0,,-0.38
2021-08-31,21.0,21.04,-0.45,-0.62,222614,0.81,3.21,3.47,1.72,,2.26,62.2,1.07,1.31,2.51,,-0.83
2021-09-01,21.05,21.13,0.45,0.07,359484,1.27,3.07,4.04,2.92,,2.72,63.6,1.07,1.28,2.94,,-0.38
2021-09-02,21.2,21.25,0.54,0.33,572116,1.91,3.89,5.3,2.29,,3.28,65.3,1.05,1.25,3.45,,0.0
2021-09-03,21.16,21.19,-0.26,-0.4,187751,0.63,1.61,3.47,2.27,,3.01,63.7,1.01,1.21,3.17,,-0.26
2021-09-07,21.18,21.16,-0.17,-0.05,307371,1.01,0.12,3.9,2.15,,2.84,62.7,1.0,1.16,3.0,,-0.42
2021-09-08,21.05,20.91,-1.13,-0.5,303294,0.98,-0.57,2.47,1.73,,1.68,56.2,1.04,1.22,1.86,,-1.55
2021-09-09,20.88,20.88,-0.17,-0.17,239078,0.78,-1.18,2.25,1.21,,1.51,55.3,1.04,1.18,1.72,,-1.72
2021-09-10,20.97,20.79,-0.43,0.43,173693,0.57,-2.14,0.07,0.82,,1.07,52.9,0.98,1.19,1.3,,-2.14
2021-09-13,20.9,20.66,-0.6,0.53,321250,1.04,-2.48,0.22,-0.07,,0.46,49.7,0.98,1.24,0.73,,-2.73
2021-09-14,20.69,20.41,-1.23,0.12,234092,0.76,-3.52,0.69,-0.87,,-0.78,43.9,0.94,1.29,-0.46,,-3.93
2021-09-15,20.43,20.5,0.47,0.1,190342,0.64,-1.96,1.74,0.27,,-0.32,46.4,0.93,1.27,0.03,,-3.48
2021-09-16,20.51,20.5,-0.02,0.02,219421,0.74,-1.82,2.91,-0.49,,-0.34,46.3,0.89,1.23,0.04,,-3.51
2021-09-17,20.51,20.48,-0.07,0.05,142900,0.49,-1.47,3.46,0.56,,-0.41,45.9,0.87,1.21,-0.03,,-3.58
2021-09-20,20.11,20.09,-1.93,-1.83,439813,1.45,-2.78,2.24,-3.02,,-2.33,37.3,0.97,1.38,-1.88,,-5.44
2021-09-21,20.17,20.05,-0.2,0.4,206933,0.69,-1.76,1.08,-3.51,,-2.53,36.6,0.95,1.37,-2.0,,-5.62
2021-09-22,20.18,20.31,1.3,0.65,192902,0.65,-0.95,0.69,-2.5,,-1.26,44.4,0.92,1.38,-0.69,,-4.4
2021-09-23,20.35,20.55,1.18,0.2,288570,0.98,0.24,0.83,-2.38,,-0.1,50.4,0.93,1.36,0.48,,-3.27
2021-09-24,20.42,20.44,-0.54,-0.63,154904,0.53,-0.22,-0.29,-3.31,,-0.63,47.9,0.93,1.34,-0.07,,-3.79
2021-09-27,20.44,20.42,-0.1,0.0,196570,0.7,1.64,-0.15,-3.5,,-0.73,47.4,0.93,1.31,-0.2,,-3.88
2021-09-28,20.18,19.87,-2.69,-1.18,406382,1.52,-0.9,-4.72,-6.32,,-3.4,36.7,0.99,1.47,-2.89,,-6.47
2021-09-29,19.97,19.77,-0.5,0.5,341468,1.25,-2.66,-6.44,-5.9,-3.89,-3.89,35.1,0.92,1.48,-3.33,,-6.94
2021-09-30,19.88,19.57,-1.01,0.56,265382,0.99,-4.77,-6.96,-6.85,-6.41,-4.86,32.2,0.93,1.51,-4.22,,-7.88
2021-10-01,19.68,19.7,0.66,0.56,312285,1.22,-3.62,-6.77,-6.01,-6.81,-4.23,35.9,0.94,1.51,-3.51,,-7.27
2021-10-04,19.63,19.25,-2.28,-0.36,341777,1.29,-5.73,-9.39,-7.63,-8.77,-6.42,29.8,1.01,1.64,-5.6,,-9.39
2021-10-05,19.31,19.45,1.04,0.31,355782,1.34,-2.11,-8.21,-6.4,-6.54,-5.44,35.1,1.06,1.62,-4.53,,-8.45
2021-10-06,19.23,19.44,-0.05,-1.13,260160,0.98,-1.67,-8.11,-5.45,-7.65,-5.49,35.0,1.07,1.63,-4.53,,-8.5
2021-10-07,19.65,19.71,1.39,1.08,291829,1.09,0.72,-5.76,-5.69,-6.28,-4.18,41.8,1.12,1.62,-3.14,,-7.23
2021-10-08,19.78,19.57,-0.71,0.36,272953,1.0,-0.66,-6.27,-6.18,-6.41,-4.86,39.5,1.12,1.6,-3.73,,-7.88
2021-10-11,19.55,19.44,-0.66,-0.1,170777,0.65,0.99,-6.49,-6.09,-7.43,-5.49,37.4,1.13,1.58,-4.29,,-8.5
2021-10-12,19.52,19.52,0.41,0.41,114562,0.44,0.36,-5.54,-4.83,-6.69,-5.1,39.5,1.13,1.52,-3.82,,-8.12
2021-10-13,19.61,19.63,0.56,0.46,181472,0.7,0.98,-3.82,-3.25,-6.43,-4.57,42.4,1.13,1.48,-3.21,,-7.6
2021-10-14,19.8,19.87,1.22,0.87,217051,0.84,0.81,-3.1,-1.1,-5.25,-3.4,48.2,1.16,1.46,-2.0,,-6.47
2021-10-15,19.95,19.89,0.1,0.4,187729,0.72,1.64,-2.98,0.3,-3.82,-3.31,48.7,1.16,1.4,-1.84,,-6.38
2021-10-18,19.81,19.95,0.3,-0.4,191456,0.77,2.62,-2.61,-1.72,-1.34,-3.01,50.1,1.16,1.36,-1.5,,-6.1
2021-10-19,20.0,20.24,1.45,0.25,236581,0.95,3.69,0.75,-1.32,-1.27,-1.6,56.5,1.13,1.35,-0.06,,-4.73
2021-10-20,20.26,20.22,-0.1,0.1,234093,0.93,3.01,0.85,-1.32,-1.27,-1.7,55.9,1.13,1.31,-0.13,,-4.82
2021-10-21,20.21,20.36,0.69,-0.05,211458,0.86,2.47,0.25,-0.88,-1.64,-1.02,58.9,1.11,1.27,0.6,,-4.17
2021-10-22,20.35,20.19,-0.83,-0.05,199620,0.8,1.51,-1.75,-0.64,-3.17,-1.85,54.2,1.09,1.29,-0.2,,-4.97
2021-10-25,20.16,20.3,0.54,-0.15,258842,1.02,1.75,-0.68,1.5,-2.59,-1.31,56.6,1.09,1.28,0.34,,-4.45
2021-10-26,20.29,20.16,-0.67,-0.05,271771,1.11,-0.37,-1.25,-1.32,-3.24,-1.97,52.9,1.1,1.29,-0.33,,-5.08
2021-10-27,20.21,19.91,-1.26,0.22,262299,1.08,-1.53,0.2,-3.11,-4.23,-3.21,46.7,0.96,1.33,-1.59,,-6.28
2021-10-28,19.96,20.15,1.21,0.25,531582,2.08,-1.03,1.92,-0.93,-2.14,-2.04,52.4,0.99,1.31,-0.43,,-5.15
2021-10-29,20.03,20.12,-0.15,-0.6,173182,0.7,-0.35,2.81,-1.03,-1.71,-2.19,51.6,0.96,1.26,-0.63,,-5.3
2021-11-01,20.25,20.5,1.86,0.65,485888,1.9,0.96,4.04,0.91,1.26,-0.36,59.3,1.03,1.29,1.16,,-3.53
2021-11-02,20.53,20.49,-0.02,0.17,321434,1.27,1.61,6.44,1.56,1.69,-0.39,59.2,0.86,1.25,1.1,,-3.55
2021-11-03,20.46,20.69,0.98,-0.15,269838,1.06,3.92,6.38,1.03,2.22,0.58,62.8,0.86,1.24,2.06,,-2.61
2021-11-04,20.79,20.84,0.72,0.48,330062,1.29,3.42,7.2,2.36,1.96,1.31,65.3,0.86,1.22,2.76,,-1.91
2021-11-05,20.91,20.92,0.38,0.34,421461,1.6,3.98,6.14,2.5,5.13,1.7,66.6,0.82,1.22,3.11,,-1.53
2021-11-08,21.0,21.2,1.34,0.38,399518,1.45,3.44,8.33,3.82,7.29,3.06,70.7,0.82,1.22,4.45,,-0.21
2021-11-09,21.21,21.07,-0.59,0.05,320781,1.12,2.86,8.41,1.44,9.82,2.46,66.8,0.81,1.27,3.84,,-0.8
