date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-02-03,21.96,22.32,,,1112069,,,,,,0.0,,,3.92,,,
2006-02-06,22.37,22.05,-1.22,0.22,793895,,,,,,-1.22,0.0,,3.85,,,
2006-02-07,21.91,21.42,-2.87,-0.62,693976,,,,,,-4.05,0.0,,3.91,,,
2006-02-08,21.41,21.32,-0.45,-0.04,345136,,,,,,-4.48,0.0,,3.75,,,
2006-02-09,21.47,21.52,0.96,0.68,726390,,,,,,-3.57,5.2,,3.58,,,
2006-02-10,21.55,21.14,-1.8,0.13,284732,,-5.31,,,,-5.31,4.7,,3.56,,,
2006-02-13,21.14,20.81,-1.57,0.0,244497,,-5.64,,,,-6.79,4.4,,3.49,,,
2006-02-14,20.78,20.63,-0.84,-0.14,263842,,-3.67,,,,-7.58,4.2,,3.34,,,
2006-02-15,20.69,20.33,-1.46,0.29,416550,,-4.65,,,,-8.92,3.8,,3.31,,,
2006-02-16,20.35,20.57,1.2,0.09,477057,,-4.42,,,,-7.84,9.8,,3.15,,,
2006-02-17,20.7,20.86,1.41,0.61,481276,,-1.29,,,,-6.53,16.5,,2.99,,,
2006-02-21,21.28,21.21,1.68,2.01,734828,,1.97,,,,-4.96,23.8,,2.89,,,
2006-02-22,21.1,20.86,-1.65,-0.56,559687,,1.13,,,,-6.53,21.8,,2.87,,,
2006-02-23,20.83,20.8,-0.33,-0.18,391442,,2.29,,,,-6.84,21.4,,2.81,,,
2006-02-24,21.14,21.36,2.71,1.64,550838,,3.83,,,,-4.31,32.1,,2.74,,,
2006-02-27,21.14,20.94,-1.96,-1.04,683788,,0.37,,,,-6.18,29.0,,2.75,,,
2006-02-28,21.0,21.22,1.34,0.28,596527,,0.04,,,,-4.92,33.7,,2.66,,,
2006-03-01,21.21,21.18,-0.23,-0.04,278352,,1.49,,,,-5.14,33.3,,2.55,,,
2006-03-02,21.28,21.56,1.84,0.51,911615,,3.69,,,,-3.4,39.7,,2.47,,,
2006-03-03,21.66,21.76,0.9,0.45,373434,0.68,1.86,,,,-2.53,42.6,,2.37,,,-2.53
2006-03-06,21.64,21.42,-1.56,-0.53,605376,1.16,2.27,,,,-4.05,39.0,,2.43,,,-4.05
2006-03-07,21.22,21.04,-1.77,-0.91,351207,0.7,-0.87,-5.75,,,-5.75,35.4,1.58,2.46,,,-5.75
2006-03-08,20.76,20.7,-1.62,-1.34,250774,0.53,-2.25,-6.13,,,-7.27,32.5,1.59,2.49,,,-7.27
2006-03-09,20.83,20.91,1.03,0.61,425091,0.88,-3.02,-2.36,,,-6.31,36.1,1.5,2.38,,,-6.31
2006-03-10,20.71,20.83,-0.42,-0.98,410376,0.88,-4.28,-2.32,,,-6.7,35.3,1.5,2.35,,,-6.7
2006-03-13,20.83,21.1,1.3,0.0,338345,0.72,-1.5,-1.99,,,-5.49,39.8,1.51,2.3,,,-5.49
2006-03-14,21.09,21.41,1.48,-0.04,341328,0.72,1.76,1.29,,,-4.09,44.6,1.5,2.24,,,-4.09
2006-03-15,21.39,21.16,-1.14,-0.09,583356,1.2,2.25,1.73,,,-5.18,41.8,1.48,2.22,,,-5.18
2006-03-16,21.16,21.35,0.87,0.0,660739,1.32,2.09,3.49,,,-4.35,44.6,1.47,2.16,,,-4.35
2006-03-17,21.39,21.25,-0.45,0.18,333611,0.68,2.05,4.54,,,-4.79,43.4,1.43,2.1,,,-4.79
2006-03-20,21.16,20.82,-2.06,-0.46,509883,1.03,-1.33,1.18,,,-6.75,38.4,1.49,2.18,,,-6.75
2006-03-21,20.78,20.88,0.33,-0.19,424165,0.89,-2.45,0.1,,,-6.44,39.6,1.46,2.13,,,-6.44
2006-03-22,20.96,20.84,-0.19,0.37,292038,0.63,-1.51,-1.74,,,-6.62,39.1,1.41,2.07,,,-6.62
2006-03-23,20.91,21.2,1.73,0.33,231017,0.5,-0.68,1.63,,,-5.0,45.4,1.42,2.04,,,-5.0
2006-03-24,21.16,21.16,-0.23,-0.23,319822,0.72,-0.46,1.73,,,-5.22,44.7,1.41,1.98,,,-5.22
2006-03-27,21.21,21.28,0.6,0.28,151576,0.36,2.24,-0.36,,,-4.65,46.9,1.29,1.89,,,-4.65
2006-03-28,21.31,21.56,1.32,0.13,365510,0.9,3.26,2.97,,,-3.4,51.5,1.24,1.83,,,-3.4
2006-03-29,21.52,21.71,0.68,-0.18,328877,0.8,4.15,2.29,,,-2.74,53.8,1.21,1.77,,,-2.74
2006-03-30,21.71,21.97,1.21,0.0,621223,1.57,3.62,3.77,,,-1.56,57.6,1.23,1.73,,,-1.56
2006-03-31,21.82,21.82,-0.71,-0.71,414286,1.04,3.12,1.17,,,-2.26,54.7,1.19,1.74,,,-2.26
2006-04-03,22.03,21.91,0.44,0.98,418197,1.08,2.96,0.72,,,-1.83,56.2,1.18,1.73,,,-1.83
2006-04-04,21.82,21.8,-0.53,-0.44,207246,0.54,1.08,1.77,,,-2.35,53.9,1.13,1.7,,,-2.35
2006-04-05,21.86,21.93,0.62,0.31,305930,0.8,1.03,4.25,,,-1.74,56.1,1.05,1.65,,,-1.74
2006-04-06,22.17,22.32,1.77,1.07,637894,1.62,1.59,7.84,,,0.0,61.8,1.01,1.65,,,0.0
2006-04-07,22.19,22.23,-0.43,-0.61,427664,1.08,1.87,6.27,,,-0.43,59.7,1.02,1.64,,,-0.43
2006-04-10,22.5,22.63,1.84,1.22,511529,1.27,3.28,8.68,,,1.39,65.0,1.06,1.63,,,0.0
2006-04-11,22.64,22.73,0.43,0.04,553514,1.33,4.28,7.75,,,1.83,66.2,1.03,1.61,,,0.0
2006-04-12,22.71,22.68,-0.22,-0.09,532727,1.29,3.41,5.94,,,1.61,65.0,1.01,1.59,,,-0.22
2006-04-13,22.55,22.83,0.64,-0.56,239969,0.61,2.26,7.85,,,2.26,66.9,0.96,1.58,,,0.0
2006-04-17,22.96,23.07,1.06,0.6,541886,1.35,3.8,8.06,,,3.35,69.7,0.96,1.54,7.56,,0.0
2006-04-18,23.13,23.37,1.31,0.25,912541,2.16,3.27,9.97,,,4.7,72.9,0.96,1.52,8.86,,0.0
2006-04-19,23.41,23.61,1.0,0.16,574712,1.34,3.84,13.4,,,5.75,75.1,0.78,1.52,9.79,,0.0
2006-04-20,23.59,23.33,-1.15,-0.08,658681,1.47,2.87,11.73,,,4.53,68.2,0.87,1.6,8.33,,-1.15
2006-04-21,23.39,23.82,2.08,0.25,575227,1.24,4.35,14.27,,,6.71,73.0,0.91,1.65,10.33,,0.0
2006-04-24,23.68,23.34,-2.0,-0.57,495888,1.05,1.18,10.08,,,4.57,63.0,1.04,1.72,7.94,,-2.0
2006-04-25,23.54,23.42,0.33,0.84,566685,1.15,0.21,10.7,,,4.92,63.9,1.03,1.7,8.07,,-1.68
2006-04-26,23.45,23.33,-0.37,0.12,508237,1.01,-1.15,9.63,,,4.53,62.2,1.05,1.68,7.42,,-2.04
2006-04-27,23.19,22.96,-1.59,-0.63,439497,0.87,-1.59,6.49,,,2.87,55.2,1.12,1.72,5.49,,-3.59
2006-04-28,23.19,23.34,1.65,0.98,466973,0.93,-2.0,7.52,,,4.57,60.1,1.15,1.73,6.93,,-2.0
2006-05-01,23.46,23.61,1.13,0.5,588294,1.16,1.13,7.43,,,5.75,63.1,1.15,1.71,7.84,,-0.9
2006-05-02,23.82,23.88,1.15,0.91,531287,1.03,1.95,9.44,,,6.97,66.0,1.14,1.67,8.78,,0.0
2006-05-03,23.87,23.45,-1.79,-0.04,434250,0.83,0.5,7.0,,,5.05,58.3,1.24,1.75,6.62,,-1.79
2006-05-04,23.32,23.17,-1.2,-0.54,458432,0.86,0.89,6.29,,,3.79,53.9,1.27,1.79,5.12,,-2.97
2006-05-05,23.35,23.42,1.09,0.79,388252,0.75,0.33,6.78,4.92,,4.92,57.1,1.28,1.74,6.01,,-1.91
2006-05-08,23.15,23.35,-0.29,-1.16,352854,0.68,-1.07,4.61,5.9,,4.61,55.9,1.24,1.78,5.51,,-2.2
2006-05-09,23.55,23.72,1.58,0.84,1198508,2.18,-0.65,6.73,10.75,,6.27,60.4,1.26,1.78,6.91,,-0.65
2006-05-10,23.81,24.31,2.5,0.37,779591,1.39,3.69,7.43,14.04,,8.92,66.4,1.31,1.79,9.28,,0.0
2006-05-11,24.76,24.55,0.96,1.84,1067718,1.81,5.95,7.99,14.04,,9.97,68.4,1.32,1.78,9.99,,0.0
2006-05-12,24.61,24.47,-0.32,0.24,1070291,1.7,4.48,7.88,15.76,,9.62,67.0,1.32,1.77,9.36,,-0.32
2006-05-15,23.8,23.63,-3.41,-2.74,705090,1.1,1.21,3.54,13.59,,5.88,53.9,1.55,1.99,5.45,,-3.72
2006-05-16,23.64,23.71,0.33,0.04,619989,0.99,-0.04,2.78,14.93,,6.22,54.7,1.54,1.97,5.58,,-3.41
2006-05-17,23.92,23.67,-0.16,0.86,807889,1.27,-2.64,1.29,16.44,,6.05,54.2,1.52,2.01,5.16,,-3.56
2006-05-18,23.59,23.68,0.04,-0.33,270737,0.44,-3.52,0.33,15.12,,6.1,54.3,1.5,1.94,4.93,,-3.52
2006-05-19,23.28,23.17,-2.17,-1.68,745942,1.19,-5.32,-0.71,11.04,,3.79,46.9,1.56,2.06,2.44,,-5.62
2006-05-22,22.88,23.34,0.75,-1.26,888976,1.38,-1.24,-2.0,10.03,,4.57,49.4,1.49,2.04,2.98,,-4.91
2006-05-23,23.62,23.71,1.58,1.21,879921,1.33,0.0,1.58,13.65,,6.22,54.3,1.47,2.05,4.37,,-3.41
2006-05-24,23.45,23.11,-2.54,-1.1,414390,0.63,-2.38,-1.33,11.12,,3.53,46.4,1.58,2.17,1.57,,-5.86
2006-05-25,23.19,23.51,1.72,0.34,333611,0.51,-0.74,0.75,10.05,,5.31,51.5,1.62,2.1,3.1,,-4.24
2006-05-26,23.57,23.74,1.0,0.29,343078,0.53,2.47,3.39,13.37,,6.36,54.2,1.59,2.06,3.91,,-3.28
2006-05-30,23.81,23.61,-0.53,0.29,441864,0.69,1.17,1.17,11.27,,5.79,52.5,1.56,2.03,3.15,,-3.8
2006-05-31,23.47,23.25,-1.52,-0.62,347296,0.55,-1.92,-1.48,9.82,,4.18,47.8,1.57,2.11,1.36,,-5.26
2006-06-01,22.96,22.97,-1.21,-1.26,601776,0.95,-0.59,-3.79,6.53,,2.92,44.5,1.57,2.15,-0.05,,-6.41
2006-06-02,23.15,23.43,1.99,0.76,359439,0.57,-0.33,-0.08,7.68,,4.96,50.5,1.59,2.14,1.71,,-4.55
2006-06-05,23.48,23.36,-0.29,0.21,506384,0.8,-1.6,0.84,9.08,,4.66,49.7,1.57,2.1,1.22,,-4.83
2006-06-06,23.15,23.17,-0.83,-0.92,338550,0.53,-1.89,-1.08,10.12,,3.79,47.2,1.56,2.09,0.21,,-5.62
2006-06-07,23.05,23.01,-0.67,-0.51,181932,0.31,-1.04,-1.46,11.17,,3.09,45.2,1.56,2.04,-0.62,,-6.25
2006-06-08,22.79,22.76,-1.1,-0.97,743678,1.27,-0.93,-4.06,8.83,,1.96,42.2,1.53,2.08,-1.81,,-7.28
2006-06-09,22.91,22.8,0.18,0.69,353779,0.65,-2.69,-6.23,9.47,,2.14,42.8,1.41,2.02,-1.73,,-7.12
2006-06-12,22.94,22.53,-1.2,0.64,372919,0.73,-3.58,-8.23,6.77,,0.91,39.6,1.39,2.08,-2.95,,-8.23
2006-06-13,22.15,21.91,-2.72,-1.68,926741,1.77,-5.41,-10.44,2.36,,-1.83,33.4,1.48,2.2,-5.6,,-10.73
2006-06-14,21.91,21.9,-0.05,0.0,273413,0.54,-4.81,-7.32,3.49,,-1.87,33.3,1.32,2.12,-5.64,,-10.77
2006-06-15,22.15,22.15,1.11,1.11,297492,0.62,-2.69,-6.6,3.73,,-0.78,37.8,1.35,2.06,-4.62,,-9.78
2006-06-16,22.06,22.19,0.18,-0.4,208275,0.44,-2.69,-6.28,4.39,,-0.61,38.5,1.36,2.02,-4.48,,-9.62
2006-06-19,21.95,21.78,-1.84,-1.05,183373,0.41,-3.32,-8.04,4.62,,-2.44,34.1,1.4,2.06,-6.19,,-11.28
2006-06-20,21.88,21.96,0.85,0.45,327231,0.78,0.22,-5.2,5.17,,-1.61,37.6,1.36,1.97,-5.37,,-10.53
2006-06-21,21.91,22.28,1.46,-0.22,310869,0.79,1.73,-4.54,6.9,,-0.17,43.1,1.39,1.96,-3.96,,-9.22
2006-06-22,22.26,22.27,-0.04,-0.09,176890,0.46,0.57,-6.06,5.04,,-0.22,43.0,1.33,1.88,-3.96,,-9.26
2006-06-23,22.07,22.23,-0.22,-0.92,155795,0.42,0.18,-3.83,5.05,,-0.43,42.4,1.23,1.83,-4.14,,-9.46
2006-06-26,22.23,22.47,1.09,0.04,154766,0.43,3.17,-4.42,5.57,,0.65,46.8,1.19,1.83,-3.06,,-8.47
2006-06-27,22.49,22.55,0.39,0.09,234413,0.66,2.7,-5.0,4.6,,1.04,48.3,1.16,1.79,-2.64,,-8.12
