date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,87.33,88.09,,,6125395,,,,,,0.0,,,1.03,,,
2005-02-28,87.89,87.55,-0.61,-0.23,9170607,,,,,,-0.61,0.0,,1.07,,,
2005-03-01,87.61,87.99,0.49,0.07,6535595,,,,,,-0.12,5.8,,1.04,,,
2005-03-02,87.65,87.86,-0.15,-0.38,9378899,,,,,,-0.27,5.7,,1.03,,,
2005-03-03,88.14,88.0,0.17,0.32,10162849,,,,,,-0.1,7.8,,1.03,,,
2005-03-04,88.54,89.05,1.19,0.62,7518262,,1.09,,,,1.09,21.2,,1.03,,,
2005-03-07,88.92,88.88,-0.19,-0.14,5071296,,1.51,,,,0.9,20.6,,0.99,,,
2005-03-08,88.84,88.74,-0.15,-0.04,9246577,,0.86,,,,0.74,20.2,,0.96,,,
2005-03-09,88.48,87.81,-1.05,-0.3,6212905,,-0.05,,,,-0.32,17.5,,0.98,,,
2005-03-10,87.97,88.18,0.43,0.18,6401196,,0.2,,,,0.11,22.0,,0.97,,,
2005-03-11,88.19,87.67,-0.58,0.01,4283052,,-1.54,,,,-0.48,20.4,,0.99,,,
2005-03-14,87.76,87.91,0.28,0.1,4266111,,-1.09,,,,-0.2,23.3,,0.95,,,
2005-03-15,88.11,87.45,-0.53,0.23,4819307,,-1.46,,,,-0.73,21.6,,0.95,,,
2005-03-16,86.95,86.45,-1.14,-0.57,8020154,,-1.54,,,,-1.86,18.6,,0.99,,,
2005-03-17,86.63,86.41,-0.05,0.2,5494256,,-2.01,,,,-1.91,18.5,,0.96,,,
2005-03-18,86.48,86.14,-0.31,0.08,13142376,,-1.74,,,,-2.21,17.7,,0.96,,,
2005-03-21,86.21,85.7,-0.51,0.08,8988574,,-2.52,,,,-2.71,16.5,,0.96,,,
2005-03-22,85.8,84.99,-0.83,0.12,8682458,,-2.81,,,,-3.52,14.8,,1.0,,,
2005-03-23,85.01,84.89,-0.12,0.03,9106284,,-1.81,,,,-3.64,14.5,,1.02,,,
2005-03-24,85.14,84.91,0.03,0.3,6209233,0.83,-1.73,,,,-3.61,14.9,,1.0,,,-4.64
2005-03-28,85.04,85.17,0.3,0.15,6104776,0.82,-1.13,,,,-3.31,18.7,,0.98,,,-4.35
2005-03-29,85.05,84.61,-0.66,-0.14,9407620,1.26,-1.27,-3.95,,,-3.95,16.9,0.56,1.01,,,-4.98
2005-03-30,84.75,85.63,1.21,0.17,6947393,0.93,0.76,-2.2,,,-2.79,30.0,0.63,1.01,,,-3.84
2005-03-31,85.5,85.36,-0.32,-0.15,9074245,1.22,0.55,-2.99,,,-3.1,28.7,0.61,0.98,,,-4.14
2005-04-01,85.71,84.59,-0.9,0.41,9512189,1.28,-0.38,-3.71,,,-3.97,25.4,0.63,1.05,,,-5.0
2005-04-04,84.62,84.73,0.16,0.03,14189362,1.83,-0.52,-3.72,,,-3.81,27.0,0.63,1.06,,,-4.85
2005-04-05,84.79,85.03,0.36,0.07,5400121,0.69,0.5,-4.51,,,-3.47,30.6,0.57,1.02,,,-4.51
2005-04-06,85.2,85.38,0.41,0.2,5569376,0.73,-0.29,-3.94,,,-3.07,34.7,0.58,0.99,,,-4.11
2005-04-07,85.21,85.78,0.47,-0.2,4729212,0.63,0.5,-3.34,,,-2.62,39.0,0.6,0.97,,,-3.66
2005-04-08,85.72,84.99,-0.92,-0.07,4484954,0.6,0.47,-3.21,,,-3.52,34.2,0.59,0.98,,,-4.55
2005-04-11,85.2,84.94,-0.07,0.24,3913474,0.53,0.24,-3.68,,,-3.58,33.9,0.58,0.94,,,-4.61
2005-04-12,84.71,85.36,0.5,-0.26,11258923,1.45,0.38,-2.64,,,-3.1,38.5,0.59,0.98,,,-4.14
2005-04-13,85.3,84.53,-0.97,-0.06,10040473,1.25,-0.99,-3.84,,,-4.04,33.5,0.61,1.02,,,-5.07
2005-04-14,84.63,83.25,-1.52,0.12,13430583,1.62,-2.96,-4.8,,,-5.5,27.5,0.67,1.09,,,-6.51
2005-04-15,83.09,81.86,-1.67,-0.18,14965947,1.71,-3.69,-5.31,,,-7.07,22.8,0.72,1.17,,,-8.07
2005-04-18,81.8,81.74,-0.14,-0.08,15963469,1.79,-3.76,-5.4,,,-7.21,22.4,0.71,1.15,,,-8.2
2005-04-19,82.12,82.31,0.7,0.46,9372637,1.05,-3.57,-4.45,,,-6.56,28.2,0.74,1.13,,,-7.56
2005-04-20,82.52,81.42,-1.09,0.26,14773124,1.6,-3.69,-5.0,,,-7.58,25.1,0.77,1.19,,,-8.57
2005-04-21,82.07,83.02,1.97,0.81,9022330,0.98,-0.27,-2.31,,,-5.75,38.4,0.89,1.24,,,-6.76
2005-04-22,82.84,82.78,-0.29,-0.22,7582581,0.82,1.13,-2.48,,,-6.03,37.3,0.89,1.26,,,-7.04
2005-04-25,82.96,83.25,0.56,0.22,5685247,0.61,1.84,-1.96,,,-5.5,40.8,0.91,1.22,,,-6.51
2005-04-26,82.97,82.52,-0.87,-0.33,7460451,0.81,0.26,-3.11,,,-6.32,37.3,0.92,1.22,,,-7.33
2005-04-27,82.2,82.84,0.38,-0.39,12813067,1.35,1.75,-2.09,,,-5.96,39.7,0.91,1.23,,,-6.97
2005-04-28,82.63,81.73,-1.34,-0.26,8696574,0.92,-1.56,-4.56,,,-7.22,34.7,0.9,1.26,,,-8.22
2005-04-29,82.36,82.82,1.34,0.77,12529532,1.31,0.05,-2.97,,,-5.98,42.4,0.96,1.26,,,-6.99
2005-05-02,83.12,83.4,0.69,0.36,6565668,0.71,0.18,-1.41,,,-5.33,46.0,0.96,1.21,,,-6.35
2005-05-03,83.18,83.65,0.3,-0.25,8738427,0.93,1.37,-1.28,,,-5.04,47.6,0.97,1.19,,,-6.06
2005-05-04,83.74,84.36,0.85,0.11,10808955,1.12,1.84,-0.79,,,-4.23,51.8,0.98,1.19,,,-5.26
2005-05-05,84.39,84.14,-0.26,0.04,10853504,1.09,2.96,-1.45,,,-4.48,50.5,0.98,1.18,,,-5.51
2005-05-06,84.49,84.09,-0.07,0.41,6609121,0.66,1.52,-1.98,,,-4.55,50.1,0.97,1.14,-1.31,,-5.57
2005-05-09,84.11,84.35,0.31,0.03,4811325,0.48,1.14,-0.76,,,-4.25,51.8,0.95,1.1,-0.91,,-5.28
2005-05-10,84.03,83.49,-1.01,-0.38,8550141,0.86,-0.19,-1.7,,,-5.22,46.2,0.98,1.12,-1.82,,-6.24
2005-05-11,83.73,83.75,0.31,0.28,9458924,0.95,-0.72,-1.88,,,-4.92,48.0,0.97,1.22,-1.42,,-5.94
2005-05-12,83.75,82.86,-1.06,0.0,6834227,0.71,-1.52,-1.98,,,-5.93,42.7,0.98,1.25,-2.35,,-6.94
2005-05-13,83.11,82.65,-0.25,0.3,14427724,1.51,-1.7,-0.72,,,-6.17,41.5,0.92,1.27,-2.48,,-7.18
2005-05-16,82.61,83.45,0.96,-0.05,7168693,0.78,-1.07,1.94,,,-5.27,47.4,0.87,1.25,-1.41,,-6.29
2005-05-17,83.22,84.14,0.83,-0.27,7332927,0.81,0.77,2.93,,,-4.49,51.9,0.88,1.24,-0.48,,-5.52
2005-05-18,84.49,85.24,1.31,0.42,10438025,1.18,1.77,3.55,,,-3.24,58.2,0.91,1.24,0.9,,-4.28
2005-05-19,85.34,85.48,0.29,0.11,6241146,0.72,3.16,5.0,,,-2.96,59.4,0.86,1.19,1.25,,-4.0
2005-05-20,85.23,85.06,-0.49,-0.3,7794056,0.9,2.92,2.46,,,-3.43,56.3,0.78,1.18,0.83,,-4.47
2005-05-23,85.06,85.54,0.56,0.0,6518898,0.75,2.51,3.33,,,-2.9,58.9,0.78,1.15,1.44,,-3.94
2005-05-24,85.3,85.23,-0.36,-0.27,6322026,0.73,1.3,2.38,,,-3.25,56.5,0.78,1.11,1.14,,-4.29
2005-05-25,85.13,85.03,-0.23,-0.12,6218433,0.75,-0.24,3.04,,,-3.47,55.0,0.75,1.08,0.96,,-4.51
2005-05-26,85.36,85.58,0.64,0.38,5846158,0.71,0.11,3.31,-2.85,,-2.85,58.4,0.75,1.05,1.63,,-3.9
2005-05-27,85.6,85.66,0.09,0.03,2587878,0.34,0.7,4.8,-2.17,,-2.76,58.9,0.67,1.0,1.74,,-3.81
2005-05-31,85.62,85.06,-0.69,-0.05,6865524,0.89,-0.55,2.71,-3.32,,-3.43,53.9,0.65,0.99,1.07,,-4.47
2005-06-01,85.07,85.62,0.66,0.01,9762948,1.26,0.46,2.67,-2.54,,-2.8,57.5,0.65,0.99,1.73,,-3.84
2005-06-02,85.46,85.74,0.14,-0.19,4254824,0.57,0.83,2.5,-2.57,,-2.67,58.3,0.65,0.95,1.85,,-3.71
