date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,39.18,39.44,,,3183170,,,,,,0.0,,,1.06,,,
2005-02-28,39.48,39.34,-0.24,0.11,3146678,,,,,,-0.24,0.0,,1.05,,,
2005-03-01,39.46,39.56,0.54,0.31,3118480,,,,,,0.31,14.9,,1.02,,,
2005-03-02,39.12,39.26,-0.74,-1.11,4664862,,,,,,-0.44,12.2,,1.04,,,
2005-03-03,39.43,39.28,0.05,0.43,3068716,,,,,,-0.38,13.5,,1.01,,,
2005-03-04,39.66,39.97,1.74,0.96,4081803,,1.35,,,,1.35,41.6,,1.06,,,
2005-03-07,39.75,39.8,-0.41,-0.54,2775114,,1.17,,,,0.93,38.3,,1.03,,,
2005-03-08,39.96,39.91,0.27,0.4,3418299,,0.9,,,,1.21,41.5,,0.99,,,
2005-03-09,39.92,39.73,-0.45,0.02,3909708,,1.19,,,,0.75,38.0,,0.98,,,
2005-03-10,39.9,39.86,0.33,0.44,2673099,,1.47,,,,1.08,41.9,,0.95,,,
2005-03-11,39.93,39.85,-0.04,0.18,3463917,,-0.3,,,,1.04,41.6,,0.93,,,
2005-03-14,39.65,39.72,-0.31,-0.49,2672271,,-0.2,,,,0.73,38.9,,0.92,,,
2005-03-15,39.84,39.48,-0.62,0.29,3250349,,-1.09,,,,0.11,34.3,,0.93,,,
2005-03-16,39.72,39.52,0.11,0.61,3863262,,-0.52,,,,0.22,35.8,,0.92,,,
2005-03-17,39.42,39.48,-0.11,-0.26,2213623,,-0.96,,,,0.11,34.9,,0.88,,,
2005-03-18,39.5,39.4,-0.2,0.05,2000471,,-1.13,,,,-0.1,33.3,,0.86,,,
2005-03-21,39.29,39.13,-0.68,-0.27,3489626,,-1.49,,,,-0.78,28.7,,0.86,,,
2005-03-22,39.1,38.68,-1.15,-0.08,3096082,,-2.02,,,,-1.91,23.0,,0.95,,,
2005-03-23,38.58,38.42,-0.67,-0.26,4485300,,-2.79,,,,-2.57,20.5,,0.95,,,
2005-03-24,38.48,38.41,-0.02,0.15,3774521,1.14,-2.7,,,,-2.59,20.4,,0.92,,,-3.89
2005-03-28,38.44,38.41,0.0,0.06,2007522,0.62,-2.5,,,,-2.59,20.4,,0.88,,,-3.89
2005-03-29,38.22,38.02,-1.03,-0.51,3640159,1.11,-2.84,-3.6,,,-3.6,16.8,0.62,0.92,,,-4.88
2005-03-30,38.25,38.33,0.82,0.61,4194188,1.26,-0.92,-2.58,,,-2.81,27.5,0.66,0.92,,,-4.11
2005-03-31,38.58,38.31,-0.04,0.67,8037135,2.29,-0.29,-3.15,,,-2.85,27.3,0.64,0.92,,,-4.14
2005-04-01,38.63,38.22,-0.25,0.83,3825527,1.08,-0.51,-2.66,,,-3.09,26.1,0.63,0.97,,,-4.38
2005-04-04,38.1,38.23,0.04,-0.32,2677249,0.77,-0.47,-2.67,,,-3.05,26.7,0.63,0.95,,,-4.34
2005-04-05,38.32,38.44,0.53,0.23,4416465,1.24,1.11,-3.83,,,-2.53,33.7,0.48,0.92,,,-3.83
2005-04-06,38.45,38.54,0.28,0.04,3351119,0.94,0.57,-3.16,,,-2.26,37.1,0.49,0.9,,,-3.56
2005-04-07,38.63,38.7,0.41,0.22,2493538,0.72,1.02,-3.02,,,-1.86,42.0,0.5,0.89,,,-3.16
2005-04-08,38.7,38.7,0.0,0.0,7118177,1.92,1.27,-2.58,,,-1.86,42.0,0.49,0.88,,,-3.16
2005-04-11,38.92,38.85,0.38,0.56,1920020,0.53,1.61,-2.54,,,-1.49,46.3,0.5,0.86,,,-2.8
2005-04-12,38.62,38.94,0.24,-0.59,3293481,0.9,1.32,-2.27,,,-1.25,49.0,0.5,0.9,,,-2.56
2005-04-13,38.68,38.54,-1.04,-0.67,2848099,0.78,-0.02,-2.98,,,-2.28,39.8,0.54,0.93,,,-3.58
2005-04-14,38.42,38.03,-1.32,-0.3,3874462,1.07,-1.74,-3.67,,,-3.57,31.8,0.59,0.97,,,-4.85
2005-04-15,38.1,37.56,-1.24,0.2,5403841,1.42,-2.96,-4.97,,,-4.76,26.5,0.63,1.02,,,-6.03
2005-04-18,37.47,37.42,-0.36,-0.23,6599811,1.64,-3.67,-5.2,,,-5.1,25.2,0.63,1.0,,,-6.37
2005-04-19,37.76,37.92,1.33,0.91,3550587,0.88,-2.62,-3.74,,,-3.84,37.4,0.72,1.02,,,-5.12
2005-04-20,37.7,37.44,-1.27,-0.59,4523867,1.1,-2.85,-4.32,,,-5.06,31.9,0.75,1.06,,,-6.33
2005-04-21,37.86,38.12,1.81,1.12,5879078,1.41,0.23,-1.46,,,-3.34,44.2,0.84,1.09,,,-4.63
2005-04-22,38.05,37.98,-0.36,-0.17,3849991,0.92,1.12,-1.15,,,-3.69,42.6,0.83,1.11,,,-4.97
2005-04-25,38.09,38.18,0.53,0.29,2503490,0.6,2.03,-0.6,,,-3.18,45.8,0.84,1.07,,,-4.47
2005-04-26,37.91,37.71,-1.25,-0.72,3541875,0.84,-0.57,-1.84,,,-4.38,40.1,0.88,1.09,,,-5.66
2005-04-27,37.5,37.6,-0.27,-0.54,3891048,0.93,0.44,-1.08,,,-4.64,38.9,0.85,1.07,,,-5.91
2005-04-28,37.37,37.1,-1.35,-0.61,4080560,1.02,-2.68,-3.21,,,-5.93,33.8,0.88,1.11,,,-7.18
2005-04-29,37.62,37.69,1.6,1.41,5053428,1.25,-0.77,-1.62,,,-4.43,43.2,0.96,1.13,,,-5.7
2005-05-02,37.63,37.68,-0.04,-0.16,8629726,1.99,-1.33,-1.42,,,-4.46,43.0,0.96,1.08,,,-5.74
2005-05-03,37.7,37.76,0.24,0.06,3385952,0.79,0.15,-1.23,,,-4.24,44.4,0.96,1.04,,,-5.51
2005-05-04,37.95,38.21,1.18,0.48,1920852,0.46,1.61,-0.59,,,-3.11,50.8,0.99,1.07,,,-4.4
2005-05-05,38.32,38.26,0.14,0.28,3549760,0.83,3.15,-0.73,,,-2.97,51.5,0.99,1.03,,,-4.26
2005-05-06,38.26,38.1,-0.44,-0.02,2697980,0.67,1.08,-1.57,,,-3.4,49.1,0.98,1.01,-1.37,,-4.68
2005-05-09,38.04,38.18,0.23,-0.15,2970434,0.72,1.34,-1.35,,,-3.18,50.4,0.99,0.98,-1.08,,-4.47
2005-05-10,37.88,37.65,-1.38,-0.78,4422683,1.06,-0.29,-3.07,,,-4.52,43.2,1.02,1.02,-2.36,,-5.79
2005-05-11,37.81,37.82,0.44,0.41,2633288,0.63,-1.02,-2.88,,,-4.1,45.8,1.03,0.99,-1.85,,-5.37
2005-05-12,37.61,37.35,-1.24,-0.55,7145959,1.66,-2.38,-3.08,,,-5.28,40.1,1.03,1.03,-2.97,,-6.55
2005-05-13,37.31,37.13,-0.59,-0.1,3896441,0.92,-2.53,-2.36,,,-5.84,37.8,1.01,1.04,-3.43,,-7.1
2005-05-16,37.0,37.29,0.42,-0.34,6730438,1.59,-2.35,-0.73,,,-5.45,40.4,0.98,1.02,-2.89,,-6.71
2005-05-17,37.03,37.28,-0.02,-0.7,4904553,1.14,-1.0,-0.39,,,-5.47,40.3,0.97,1.02,-2.78,,-6.73
2005-05-18,37.29,37.71,1.15,0.04,4336841,1.01,-0.3,-0.57,,,-4.38,47.5,0.96,1.03,-1.55,,-5.66
2005-05-19,37.6,37.73,0.05,-0.29,2487317,0.6,1.0,0.77,,,-4.34,47.8,0.92,0.99,-1.4,,-5.61
2005-05-20,37.5,37.57,-0.42,-0.61,3364389,0.82,1.18,-1.44,,,-4.74,45.5,0.83,0.99,-1.7,,-6.0
2005-05-23,37.67,37.88,0.83,0.27,4676061,1.11,1.59,-0.27,,,-3.95,50.6,0.85,0.98,-0.78,,-5.23
2005-05-24,37.8,37.78,-0.25,-0.21,4801296,1.12,1.36,-1.04,,,-4.19,49.1,0.84,0.95,-0.92,,-5.46
2005-05-25,37.76,37.68,-0.29,-0.05,4241464,0.99,-0.08,-0.08,,,-4.46,47.3,0.8,0.93,-1.12,,-5.74
2005-05-26,37.63,37.71,0.08,-0.13,4540457,1.05,-0.05,0.27,-4.38,,-4.38,47.9,0.79,0.88,-0.94,,-5.66
2005-05-27,37.75,37.86,0.4,0.11,3216762,0.76,0.77,2.05,-3.77,,-4.0,50.7,0.73,0.86,-0.46,,-5.28
2005-05-31,37.59,37.37,-1.3,-0.71,7417584,1.78,-1.36,-0.86,-5.54,,-5.25,42.7,0.71,0.91,-1.65,,-6.51
2005-06-01,37.39,37.59,0.6,0.08,3473040,0.83,-0.52,-0.23,-4.26,,-4.68,46.8,0.72,0.9,-0.98,,-5.95
2005-06-02,37.68,37.92,0.87,0.25,2673927,0.64,0.64,0.4,-3.48,,-3.85,52.2,0.75,0.89,-0.08,,-5.13
2005-06-03,37.78,37.56,-0.94,-0.37,2508881,0.6,-0.39,-1.71,-6.03,,-4.76,46.6,0.72,0.92,-0.98,,-6.03
2005-06-06,37.77,37.81,0.66,0.57,2614628,0.63,-0.13,-1.19,-5.01,,-4.13,50.6,0.74,0.9,-0.29,,-5.4
2005-06-07,37.96,37.96,0.41,0.4,4729552,1.12,1.6,-0.35,-4.88,,-3.73,52.9,0.74,0.89,0.15,,-5.02
2005-06-08,38.21,37.86,-0.28,0.65,6233639,1.44,0.72,-0.85,-4.71,,-4.0,51.2,0.74,0.92,-0.12,,-5.28
2005-06-09,37.75,38.01,0.4,-0.29,3362181,0.77,0.25,0.94,-4.65,,-3.61,53.6,0.68,0.91,0.29,,-4.9
2005-06-10,38.07,37.87,-0.38,0.17,5510142,1.29,0.82,0.12,-4.97,,-3.98,51.0,0.68,0.93,-0.06,,-5.26
2005-06-13,37.59,37.73,-0.35,-0.73,2027702,0.48,-0.2,1.02,-5.01,,-4.32,48.7,0.62,0.93,-0.39,,-5.59
2005-06-14,37.71,37.69,-0.11,-0.07,2703234,0.68,-0.72,1.5,-4.53,,-4.43,47.9,0.61,0.9,-0.47,,-5.7
2005-06-15,37.87,37.92,0.6,0.49,4211186,1.06,0.15,1.69,-4.06,,-3.85,52.1,0.61,0.89,0.15,,-5.13
2005-06-16,38.05,38.04,0.32,0.36,6243040,1.54,0.07,2.04,-3.65,,-3.55,54.3,0.62,0.87,0.5,,-4.83
2005-06-17,38.39,38.61,1.5,0.93,3713697,0.9,1.96,2.39,-2.0,,-2.1,62.8,0.65,0.91,2.01,,-3.4
2005-06-20,38.25,38.25,-0.94,-0.94,2369266,0.58,1.36,1.38,-2.25,,-3.01,55.7,0.69,0.96,1.08,,-4.3
