date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-08-05,41.71,41.84,,,2815,,,,,,0.0,,,0.31,,,
2005-08-08,42.08,42.03,0.47,0.57,734,,,,,,0.47,,,0.33,,,
2005-08-09,42.29,42.43,0.93,0.61,6241,,,,,,1.4,,,0.38,,,
2005-08-10,42.85,42.75,0.75,1.01,10889,,,,,,2.17,,,0.45,,,
2005-08-11,43.22,43.47,1.7,1.11,2567,,,,,,3.91,,,0.53,,,
2005-08-12,43.18,43.3,-0.4,-0.68,23368,,3.5,,,,3.5,95.0,,0.55,,,
2005-08-15,43.13,43.35,0.12,-0.4,15782,,3.14,,,,3.62,95.1,,0.55,,,
2005-08-16,43.11,42.9,-1.05,-0.55,2692,,1.12,,,,2.53,82.7,,0.59,,,
2005-08-17,42.8,42.81,-0.2,-0.24,1222,,0.16,,,,2.33,80.6,,0.57,,,
2005-08-18,42.4,42.45,-0.84,-0.97,4159,,-2.35,,,,1.47,72.2,,0.61,,,
2005-08-19,42.6,42.67,0.52,0.36,3549,,-1.46,,,,1.99,74.0,,0.6,,,
2005-08-22,43.18,43.05,0.89,1.19,1835,,-0.7,,,,2.89,76.7,,0.63,,,
2005-08-23,42.91,42.89,-0.36,-0.33,2450,,-0.01,,,,2.52,73.3,,0.62,,,
2005-08-24,42.77,42.65,-0.57,-0.28,2567,,-0.39,,,,1.93,68.1,,0.62,,,
2005-08-25,42.62,42.65,0.0,-0.06,2815,,0.46,,,,1.93,68.1,,0.59,,,
2005-08-26,42.56,42.48,-0.38,-0.21,1593,,-0.44,,,,1.54,64.5,,0.58,,,
2005-08-29,42.27,42.42,-0.15,-0.5,52246,,-1.46,,,,1.39,63.1,,0.58,,,
2005-08-30,42.27,42.19,-0.54,-0.35,5873,,-1.64,,,,0.84,58.3,,0.59,,,
2005-08-31,42.42,42.93,1.77,0.55,2692,,0.67,,,,2.62,67.1,,0.66,,,
2005-09-01,43.45,43.63,1.62,1.2,7708,1.0,2.3,,,,4.28,72.8,,0.72,,,0.0
2005-09-02,43.72,43.84,0.48,0.2,6484,0.82,3.19,,,,4.78,74.3,,0.7,,,0.0
2005-09-06,44.12,44.14,0.68,0.64,2567,0.32,4.05,5.49,,,5.49,76.3,0.82,0.7,,,0.0
2005-09-07,43.96,43.96,-0.41,-0.39,23368,2.65,4.19,4.58,,,5.07,72.7,0.84,0.69,,,-0.41
2005-09-08,43.83,43.73,-0.51,-0.28,4038,0.48,1.86,3.08,,,4.53,68.4,0.83,0.68,,,-0.91
2005-09-09,44.1,44.31,1.31,0.83,4525,0.53,1.55,3.65,,,5.9,72.8,0.86,0.71,,,0.0
2005-09-12,44.1,44.06,-0.55,-0.46,2936,0.39,0.51,1.36,,,5.32,68.4,0.8,0.72,,,-0.55
2005-09-13,43.82,43.76,-0.69,-0.56,5506,0.78,-0.85,1.06,,,4.59,63.3,0.81,0.72,,,-1.23
2005-09-14,43.98,43.8,0.1,0.5,36705,4.2,-0.36,1.03,,,4.69,63.7,0.81,0.71,,,-1.14
2005-09-15,43.86,43.77,-0.08,0.13,1467,0.17,0.08,2.03,,,4.61,63.1,0.77,0.68,,,-1.21
2005-09-16,44.03,44.18,0.93,0.6,17132,1.82,-0.29,3.19,,,5.59,67.1,0.79,0.69,,,-0.29
2005-09-19,43.99,43.88,-0.67,-0.43,4525,0.48,-0.41,3.37,,,4.88,61.9,0.78,0.7,,,-0.96
2005-09-20,44.14,43.79,-0.21,0.58,6973,0.72,0.07,2.63,,,4.67,60.3,0.78,0.71,,,-1.16
2005-09-21,43.86,43.81,0.04,0.15,3669,0.38,0.02,1.77,,,4.71,60.5,0.76,0.67,,,-1.12
2005-09-22,43.72,43.61,-0.45,-0.21,6484,0.65,-0.36,1.68,,,4.24,56.9,0.76,0.66,,,-1.56
2005-09-23,43.55,43.44,-0.4,-0.15,6973,0.69,-1.67,1.86,,,3.83,53.8,0.75,0.65,,,-1.95
2005-09-26,43.91,44.03,1.36,1.08,4159,0.4,0.34,3.24,,,5.24,61.4,0.8,0.69,,,-0.62
2005-09-27,43.73,43.76,-0.61,-0.69,4159,0.53,-0.07,3.0,,,4.59,56.8,0.81,0.7,,,-1.23
2005-09-28,44.09,44.12,0.82,0.75,40740,4.23,0.71,4.01,,,5.45,61.0,0.82,0.72,,,-0.42
2005-09-29,44.23,44.48,0.81,0.26,19087,1.82,1.98,5.42,,,6.31,64.7,0.81,0.73,,,0.0
2005-09-30,44.31,44.31,-0.37,-0.39,3917,0.38,2.01,3.21,,,5.92,61.8,0.75,0.72,,,-0.37
2005-10-03,44.32,44.19,-0.29,0.02,13457,1.27,0.36,1.28,,,5.61,59.6,0.67,0.69,,,-0.66
2005-10-04,44.41,44.24,0.13,0.52,13335,1.2,1.1,0.92,,,5.74,60.3,0.67,0.7,,,-0.53
2005-10-05,44.21,43.95,-0.66,-0.07,4038,0.4,-0.38,-0.42,,,5.05,55.1,0.67,0.7,,,-1.19
2005-10-06,43.8,43.61,-0.77,-0.34,104853,6.88,-1.95,-0.79,,,4.24,49.8,0.68,0.75,,,-1.95
2005-10-07,43.75,43.76,0.34,0.32,7585,0.49,-1.25,0.06,,,4.59,52.0,0.68,0.72,,,-1.61
2005-10-10,43.78,43.54,-0.51,0.04,2450,0.16,-1.47,-1.73,,,4.06,48.5,0.61,0.72,,,-2.11
2005-10-11,43.85,43.6,0.15,0.71,4893,0.32,-1.44,-1.04,,,4.22,49.6,0.61,0.71,,,-1.97
2005-10-12,43.75,43.37,-0.54,0.34,4285,0.31,-1.33,-0.9,,,3.65,46.0,0.6,0.75,,,-2.5
2005-10-13,42.98,43.25,-0.28,-0.9,11378,0.8,-0.84,-1.27,,,3.36,44.2,0.6,0.77,,,-2.77
2005-10-14,43.23,43.6,0.83,-0.04,24838,1.7,-0.36,-0.38,,,4.22,50.3,0.63,0.77,0.43,,-1.97
2005-10-17,43.14,43.15,-1.03,-1.07,67047,3.78,-0.88,-2.31,,,3.14,43.8,0.63,0.82,-0.66,,-2.98
2005-10-18,42.79,42.73,-0.98,-0.85,1222,0.07,-2.0,-2.63,,,2.13,38.7,0.65,0.84,-1.67,,-3.93
2005-10-19,42.22,42.69,-0.1,-1.19,2080,0.12,-1.56,-2.52,,,2.03,38.2,0.65,0.87,-1.78,,-4.02
2005-10-20,42.58,42.17,-1.22,-0.26,5137,0.3,-2.49,-3.75,,,0.79,32.8,0.69,0.9,-2.95,,-5.19
2005-10-21,42.47,42.21,0.09,0.71,10034,0.58,-3.21,-3.23,,,0.88,33.6,0.69,0.9,-2.81,,-5.11
2005-10-24,42.38,42.8,1.42,0.41,5873,0.34,-0.81,-1.46,,,2.31,44.0,0.77,0.92,-1.41,,-3.76
2005-10-25,42.85,42.88,0.19,0.11,9173,0.52,0.36,-2.6,,,2.5,45.2,0.7,0.88,-1.2,,-3.58
2005-10-26,42.92,42.8,-0.21,0.07,10154,0.63,0.25,-2.2,,,2.29,44.1,0.69,0.87,-1.4,,-3.78
2005-10-27,42.81,42.61,-0.42,0.04,6484,0.42,1.06,-3.41,,,1.85,41.7,0.66,0.86,-1.81,,-4.19
2005-10-28,42.78,42.91,0.69,0.38,5506,0.35,1.67,-3.53,,,2.56,46.7,0.65,0.84,-1.15,,-3.53
2005-10-31,43.23,43.27,0.84,0.75,14438,0.92,1.09,-2.36,,,3.42,52.1,0.68,0.86,-0.35,,-2.72
2005-11-01,43.5,43.51,0.57,0.53,5873,0.38,1.47,-1.52,,,4.0,55.4,0.7,0.84,0.19,,-2.17
2005-11-02,43.49,43.93,0.96,-0.05,10034,0.64,2.66,-0.7,,,5.01,60.4,0.73,0.84,1.11,,-1.22
