date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,8.63,8.69,,,492111,,,,,,0.0,,,0.92,,,
2005-02-28,8.63,8.6,-1.0,-0.59,855555,,,,,,-1.0,0.0,,0.96,,,
2005-03-01,8.63,8.67,0.83,0.34,1626624,,,,,,-0.18,6.0,,0.97,,,
2005-03-02,8.45,8.48,-2.16,-2.58,978554,,,,,,-2.33,5.1,,1.12,,,
2005-03-03,8.48,8.51,0.33,0.0,323134,,,,,,-2.01,7.2,,1.1,,,
2005-03-04,8.45,8.49,-0.23,-0.66,1228418,,-2.24,,,,-2.24,7.1,,1.08,,,
2005-03-07,8.43,8.47,-0.26,-0.71,386432,,-1.5,,,,-2.49,7.0,,1.06,,,
2005-03-08,8.47,8.5,0.34,0.0,537545,,-1.98,,,,-2.16,9.5,,1.03,,,
2005-03-09,8.5,8.5,0.08,0.08,671064,,0.25,,,,-2.08,10.1,,1.06,,,
2005-03-10,8.48,8.49,-0.16,-0.25,337402,,-0.23,,,,-2.24,9.9,,1.05,,,
2005-03-11,8.52,8.5,0.08,0.33,573696,,0.08,,,,-2.16,10.7,,1.05,,,
2005-03-14,8.46,8.48,-0.25,-0.43,235601,,0.09,,,,-2.4,10.4,,1.01,,,
2005-03-15,8.44,8.35,-1.48,-0.44,340726,,-1.72,,,,-3.84,8.9,,1.08,,,
2005-03-16,8.41,8.37,0.19,0.72,1452518,,-1.61,,,,-3.66,10.6,,1.13,,,
2005-03-17,8.45,8.45,0.95,1.04,568848,,-0.52,,,,-2.75,18.8,,1.15,,,
2005-03-18,8.49,8.5,0.61,0.53,748628,,0.0,,,,-2.16,23.7,,1.12,,,
2005-03-21,8.55,8.49,-0.08,0.58,677713,,0.16,,,,-2.24,23.5,,1.14,,,
2005-03-22,8.45,8.38,-1.36,-0.43,505547,,0.28,,,,-3.57,20.3,,1.2,,,
2005-03-23,8.33,8.32,-0.68,-0.59,488931,,-0.59,,,,-4.23,19.0,,1.18,,,
2005-03-24,8.33,8.32,0.0,0.18,264133,0.4,-1.52,,,,-4.23,19.0,,1.17,,,-4.23
2005-03-28,8.34,8.33,0.09,0.24,333527,0.51,-2.03,,,,-4.14,19.8,,1.14,,,-4.14
2005-03-29,8.3,8.22,-1.23,-0.28,1388394,2.03,-3.15,-5.32,,,-5.32,17.3,0.8,1.2,,,-5.32
2005-03-30,8.24,8.37,1.75,0.18,505964,0.81,-0.09,-2.69,,,-3.66,30.7,0.89,1.22,,,-3.66
2005-03-31,8.3,8.31,-0.69,-0.78,446407,0.74,-0.09,-4.15,,,-4.32,28.7,0.87,1.21,,,-4.32
2005-04-01,8.33,8.26,-0.62,0.27,8262209,8.28,-0.71,-2.64,,,-4.91,27.0,0.75,1.26,,,-4.91
2005-04-04,8.4,8.38,1.41,1.75,890876,0.91,0.6,-1.59,,,-3.57,36.3,0.82,1.28,,,-3.57
2005-04-05,8.4,8.42,0.58,0.33,306930,0.31,2.44,-0.79,,,-3.01,39.7,0.83,1.22,,,-3.01
2005-04-06,8.4,8.4,-0.32,-0.32,263713,0.27,0.35,-0.85,,,-3.32,38.5,0.83,1.19,,,-3.32
2005-04-07,8.43,8.46,0.77,0.4,237537,0.25,1.82,-0.43,,,-2.58,43.0,0.85,1.16,,,-2.58
2005-04-08,8.45,8.42,-0.5,-0.08,2116386,2.05,1.94,-1.01,,,-3.07,40.9,0.85,1.14,,,-3.07
2005-04-11,8.41,8.42,0.06,-0.08,697798,0.67,0.58,-0.79,,,-3.01,41.3,0.85,1.11,,,-3.01
2005-04-12,8.42,8.48,0.63,-0.06,650013,0.61,0.63,-0.25,,,-2.4,45.2,0.86,1.14,,,-2.4
2005-04-13,8.53,8.46,-0.18,0.58,313304,0.3,0.77,-0.18,,,-2.58,44.3,0.86,1.15,,,-2.58
2005-04-14,8.59,8.45,-0.18,1.54,724527,0.71,-0.18,1.13,,,-2.75,43.3,0.8,1.21,,,-2.75
2005-04-15,8.4,8.35,-1.2,-0.51,731453,0.71,-0.88,-0.27,,,-3.92,37.6,0.84,1.27,,,-3.92
2005-04-18,8.29,8.3,-0.51,-0.68,603892,0.59,-1.44,-1.71,,,-4.41,35.4,0.82,1.28,,,-4.41
2005-04-19,8.33,8.39,1.05,0.37,491837,0.49,-1.04,-1.28,,,-3.41,42.6,0.84,1.27,,,-3.41
2005-04-20,8.4,8.25,-1.65,0.09,237123,0.24,-2.49,-2.83,,,-5.0,35.8,0.91,1.32,,,-5.0
2005-04-21,8.5,8.51,3.15,3.0,376461,0.38,0.76,1.62,,,-2.01,51.5,1.12,1.41,,,-2.01
2005-04-22,8.54,8.44,-0.83,0.28,544746,0.54,1.13,1.46,,,-2.83,48.0,1.12,1.43,,,-2.83
2005-04-25,8.55,8.53,1.02,1.28,418843,0.41,2.69,2.5,,,-1.84,52.2,1.14,1.44,,,-1.84
2005-04-26,8.62,8.58,0.61,1.11,847939,0.86,2.25,3.03,,,-1.24,54.6,1.14,1.44,,,-1.24
2005-04-27,8.56,8.6,0.24,-0.18,4204100,3.6,4.21,4.56,,,-1.0,55.5,1.1,1.41,,,-1.0
2005-04-28,8.61,8.55,-0.52,0.07,181029,0.16,0.51,2.23,,,-1.52,53.0,1.05,1.37,,,-1.52
2005-04-29,8.65,8.7,1.7,1.12,1039218,1.31,3.07,4.68,,,0.16,59.5,1.09,1.4,,,0.0
2005-05-02,8.73,8.75,0.58,0.33,578402,0.74,2.63,5.94,,,0.74,61.5,1.08,1.34,,,0.0
2005-05-03,8.66,8.63,-1.33,-0.98,883815,1.1,0.65,3.09,,,-0.59,54.8,1.1,1.36,,,-1.33
2005-05-04,8.74,8.79,1.78,1.27,951679,1.13,2.2,4.32,,,1.18,60.9,1.15,1.38,,,0.0
2005-05-05,8.84,8.79,0.07,0.56,686579,0.79,2.81,4.72,,,1.25,61.1,1.15,1.34,,,0.0
2005-05-06,8.82,8.77,-0.25,0.24,443776,0.57,0.84,3.67,,,1.0,59.8,1.14,1.29,3.48,,-0.25
2005-05-09,8.85,8.82,0.49,0.92,674529,0.87,0.75,4.7,,,1.49,61.6,1.13,1.27,3.96,,0.0
2005-05-10,8.79,8.7,-1.31,-0.31,354161,0.46,0.76,3.27,,,0.16,54.6,1.18,1.32,2.57,,-1.31
2005-05-11,8.69,8.72,0.26,-0.16,436849,0.57,-0.75,2.89,,,0.42,55.7,1.18,1.28,2.82,,-1.06
