date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,23.26,23.37,,,79360,,,,,,0.0,,,1.14,,,
2005-02-28,23.37,23.19,-0.74,0.0,135761,,,,,,-0.74,0.0,,1.16,,,
2005-03-01,23.23,23.39,0.84,0.14,156871,,,,,,0.09,8.0,,1.12,,,
2005-03-02,23.06,23.06,-1.39,-1.42,34517,,,,,,-1.3,7.0,,1.19,,,
2005-03-03,23.17,23.01,-0.24,0.44,94926,,,,,,-1.54,6.8,,1.18,,,
2005-03-04,23.29,23.62,2.67,1.21,98778,,1.09,,,,1.09,26.6,,1.26,,,
2005-03-07,23.5,23.43,-0.81,-0.5,31283,,1.02,,,,0.27,24.8,,1.25,,,
2005-03-08,23.65,23.62,0.82,0.95,26969,,1.0,,,,1.09,29.8,,1.23,,,
2005-03-09,23.54,23.5,-0.5,-0.37,12790,,1.91,,,,0.59,28.6,,1.2,,,
2005-03-10,23.38,23.29,-0.89,-0.52,230998,,1.25,,,,-0.31,26.4,,1.22,,,
2005-03-11,23.29,23.25,-0.18,-0.03,31590,,-1.57,,,,-0.49,26.0,,1.21,,,
2005-03-14,23.25,23.16,-0.4,0.0,102169,,-1.16,,,,-0.89,25.0,,1.18,,,
2005-03-15,23.3,23.04,-0.5,0.6,34059,,-2.45,,,,-1.39,23.9,,1.18,,,
2005-03-16,23.0,22.95,-0.41,-0.18,38370,,-2.37,,,,-1.8,22.9,,1.14,,,
2005-03-17,22.9,23.09,0.62,-0.22,28352,,-0.88,,,,-1.19,27.6,,1.12,,,
2005-03-18,23.07,22.86,-0.99,-0.09,40836,,-1.68,,,,-2.16,25.0,,1.15,,,
2005-03-21,22.78,22.57,-1.25,-0.34,48691,,-2.52,,,,-3.39,22.2,,1.18,,,
2005-03-22,22.68,22.41,-0.72,0.46,52704,,-2.73,,,,-4.08,20.7,,1.25,,,
2005-03-23,22.32,22.3,-0.52,-0.4,67805,,-2.83,,,,-4.58,19.8,,1.24,,,
2005-03-24,22.55,22.47,0.76,1.13,36519,0.53,-2.7,,,,-3.86,25.3,,1.22,,,-4.9
2005-03-28,22.4,22.34,-0.54,-0.28,159186,2.18,-2.26,,,,-4.38,24.0,,1.19,,,-5.41
2005-03-29,22.32,22.31,-0.13,-0.09,17105,0.25,-1.15,-4.5,,,-4.5,23.7,0.92,1.16,,,-5.53
2005-03-30,22.27,22.46,0.65,-0.19,31128,0.51,0.21,-3.17,,,-3.88,28.6,0.93,1.15,,,-4.92
2005-03-31,22.43,22.37,-0.41,-0.15,24807,0.41,0.32,-4.36,,,-4.27,27.4,0.91,1.15,,,-5.31
2005-04-01,22.41,22.23,-0.61,0.18,22497,0.4,-1.04,-3.6,,,-4.86,25.7,0.87,1.16,,,-5.88
2005-04-04,22.06,21.99,-1.11,-0.76,56399,1.03,-1.6,-4.44,,,-5.91,22.9,0.89,1.2,,,-6.93
2005-04-05,22.13,22.22,1.06,0.65,8321,0.16,-0.43,-5.94,,,-4.91,30.6,0.68,1.18,,,-5.94
2005-04-06,22.42,22.44,0.99,0.91,13408,0.25,-0.09,-4.23,,,-3.97,37.1,0.72,1.18,,,-5.01
2005-04-07,22.6,22.53,0.41,0.71,30049,0.56,0.73,-4.62,,,-3.57,39.6,0.7,1.14,,,-4.62
2005-04-08,22.48,22.5,-0.12,-0.21,7858,0.18,1.22,-4.25,,,-3.69,39.1,0.69,1.1,,,-4.73
2005-04-11,22.53,22.6,0.45,0.12,14640,0.35,2.82,-2.96,,,-3.26,42.0,0.69,1.07,,,-4.31
2005-04-12,22.48,22.6,0.0,-0.56,31283,0.82,1.74,-2.78,,,-3.26,42.0,0.69,1.09,,,-4.31
2005-04-13,22.52,22.45,-0.67,-0.38,16183,0.43,0.07,-3.04,,,-3.91,38.8,0.7,1.07,,,-4.95
2005-04-14,22.42,22.34,-0.51,-0.15,18183,0.5,-0.86,-3.05,,,-4.4,36.5,0.7,1.04,,,-5.43
2005-04-15,22.1,22.01,-1.48,-1.08,48854,1.31,-2.21,-4.09,,,-5.82,30.8,0.75,1.13,,,-6.84
2005-04-18,21.91,21.93,-0.37,-0.46,33438,0.9,-3.0,-5.04,,,-6.16,29.6,0.73,1.11,,,-7.18
2005-04-19,22.01,22.15,1.04,0.39,12790,0.36,-1.99,-3.09,,,-5.19,37.1,0.76,1.1,,,-6.21
