date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,23.87,24.02,,,115850,,,,,,0.0,,,1.02,,,
2005-02-28,23.99,23.87,-0.63,-0.11,89066,,,,,,-0.63,0.0,,1.03,,,
2005-03-01,23.92,23.99,0.53,0.21,166689,,,,,,-0.11,6.0,,0.99,,,
2005-03-02,23.74,23.74,-1.07,-1.07,160305,,,,,,-1.17,5.3,,1.01,,,
2005-03-03,23.9,23.98,1.03,0.7,147458,,,,,,-0.15,15.4,,1.0,,,
2005-03-04,24.2,24.24,1.06,0.91,228037,,0.91,,,,0.91,24.4,,1.02,,,
2005-03-07,24.08,24.05,-0.78,-0.64,301298,,0.76,,,,0.12,22.5,,1.03,,,
2005-03-08,24.2,24.16,0.47,0.63,233878,,0.69,,,,0.58,26.2,,1.01,,,
2005-03-09,24.14,24.02,-0.58,-0.09,73027,,1.19,,,,0.0,24.6,,0.99,,,
2005-03-10,24.07,23.99,-0.11,0.21,96694,,0.05,,,,-0.11,24.3,,0.98,,,
2005-03-11,23.99,23.92,-0.32,0.0,63139,,-1.32,,,,-0.43,23.4,,0.97,,,
2005-03-14,23.84,23.83,-0.37,-0.32,215036,,-0.92,,,,-0.8,22.4,,0.96,,,
2005-03-15,23.95,23.88,0.21,0.53,67735,,-1.17,,,,-0.59,24.4,,0.95,,,
2005-03-16,23.98,23.89,0.06,0.44,126901,,-0.54,,,,-0.54,24.9,,0.95,,,
2005-03-17,23.76,23.92,0.11,-0.53,189190,,-0.32,,,,-0.43,26.1,,0.92,,,
2005-03-18,23.71,23.7,-0.92,-0.86,131266,,-0.92,,,,-1.34,23.0,,0.93,,,
2005-03-21,23.69,23.58,-0.48,-0.04,165599,,-1.02,,,,-1.81,21.5,,0.94,,,
2005-03-22,23.45,23.13,-1.92,-0.55,114293,,-3.12,,,,-3.69,16.9,,1.07,,,
2005-03-23,23.11,22.99,-0.6,-0.11,75287,,-3.76,,,,-4.27,15.8,,1.06,,,
2005-03-24,23.17,23.2,0.89,0.77,153217,1.05,-3.01,,,,-3.42,23.8,,1.05,,,-4.29
2005-03-28,23.04,23.21,0.06,-0.67,43833,0.31,-2.05,,,,-3.36,24.3,,1.03,,,-4.23
2005-03-29,23.09,23.09,-0.51,-0.51,186465,1.27,-2.08,-3.85,,,-3.85,22.9,0.74,1.02,,,-4.72
2005-03-30,23.28,23.23,0.61,0.79,60726,0.43,0.45,-2.65,,,-3.26,28.3,0.75,1.03,,,-4.13
2005-03-31,23.47,23.29,0.23,1.0,1065525,5.7,1.29,-2.94,,,-3.04,30.3,0.74,1.05,,,-3.92
2005-04-01,23.47,23.18,-0.45,0.77,106662,0.58,-0.06,-2.33,,,-3.48,28.7,0.71,1.1,,,-4.35
2005-04-04,23.16,23.18,0.0,-0.1,28493,0.16,-0.12,-3.33,,,-3.48,28.7,0.67,1.09,,,-4.35
2005-04-05,23.31,23.43,1.06,0.56,108373,0.66,1.45,-3.34,,,-2.46,38.0,0.66,1.08,,,-3.34
2005-04-06,23.39,23.4,-0.12,-0.15,94205,0.6,0.71,-2.69,,,-2.57,37.4,0.65,1.04,,,-3.45
2005-04-07,23.53,23.44,0.17,0.56,110087,0.69,0.65,-2.98,,,-2.41,38.9,0.64,1.03,,,-3.29
2005-04-08,23.51,23.63,0.83,0.28,89612,0.56,1.94,-1.6,,,-1.6,45.7,0.66,1.02,,,-2.49
2005-04-11,23.71,23.74,0.44,0.32,33166,0.21,2.39,-1.07,,,-1.17,48.9,0.67,0.97,,,-2.06
2005-04-12,23.47,23.87,0.55,-1.14,74039,0.49,1.87,-0.21,,,-0.63,52.8,0.68,1.05,,,-1.53
2005-04-13,23.55,23.44,-1.79,-1.31,268210,1.66,0.17,-1.62,,,-2.41,41.7,0.78,1.13,,,-3.29
2005-04-14,23.39,23.25,-0.83,-0.2,264396,1.57,-0.83,-2.64,,,-3.22,37.8,0.8,1.14,,,-4.09
2005-04-15,23.38,23.0,-1.04,0.57,60259,0.37,-2.66,-3.7,,,-4.22,33.6,0.82,1.2,,,-5.08
2005-04-18,22.94,23.08,0.33,-0.28,133989,0.83,-2.76,-3.49,,,-3.9,36.0,0.82,1.18,,,-4.77
2005-04-19,23.26,23.38,1.28,0.77,83536,0.53,-2.05,-1.35,,,-2.67,44.5,0.86,1.21,,,-3.55
2005-04-20,23.28,22.99,-1.65,-0.44,114525,0.73,-1.91,-2.51,,,-4.27,37.5,0.93,1.27,,,-5.14
2005-04-21,23.15,23.35,1.57,0.68,180703,1.11,0.46,0.96,,,-2.77,46.0,0.9,1.27,,,-3.65
2005-04-22,23.37,23.13,-0.95,0.06,66412,0.42,0.55,0.61,,,-3.69,42.2,0.92,1.28,,,-4.56
2005-04-25,23.37,23.35,0.96,1.02,79879,0.5,1.17,0.67,,,-2.77,47.0,0.92,1.26,,,-3.65
2005-04-26,23.26,23.08,-1.16,-0.4,68978,0.45,-1.26,-0.56,,,-3.9,42.4,0.95,1.28,,,-4.77
2005-04-27,23.03,23.06,-0.11,-0.22,200477,1.24,0.28,-0.16,,,-4.01,42.0,0.95,1.26,,,-4.87
2005-04-28,22.95,22.77,-1.23,-0.45,63373,0.57,-2.48,-1.99,,,-5.19,37.6,0.97,1.28,,,-6.04
2005-04-29,23.06,23.0,1.02,1.24,120286,1.07,-0.55,-1.21,,,-4.22,42.9,1.0,1.28,,,-5.08
2005-05-02,23.03,23.0,0.0,0.12,52632,0.46,-1.49,-0.77,,,-4.22,42.9,1.0,1.26,,,-5.08
2005-05-03,22.98,23.09,0.38,-0.12,77621,0.69,0.05,-0.39,,,-3.85,44.9,1.0,1.21,,,-4.72
2005-05-04,23.23,23.52,1.84,0.61,291492,2.4,2.0,0.38,,,-2.09,53.5,1.06,1.23,,,-2.97
2005-05-05,23.51,23.49,-0.12,-0.05,216592,1.71,3.14,0.38,,,-2.2,52.9,1.06,1.22,,,-3.08
2005-05-06,23.28,23.41,-0.32,-0.91,59403,0.47,1.78,-0.11,,,-2.52,51.3,1.06,1.2,-0.3,,-3.39
2005-05-09,23.25,23.26,-0.66,-0.72,366464,2.58,1.11,-1.58,,,-3.16,48.0,1.05,1.22,-0.89,,-4.03
2005-05-10,23.15,23.11,-0.66,-0.48,390677,2.47,0.06,-2.66,,,-3.8,45.0,1.05,1.2,-1.48,,-4.67
2005-05-11,23.09,23.16,0.23,-0.06,347778,2.15,-1.52,-2.96,,,-3.57,46.3,1.04,1.18,-1.18,,-4.44
2005-05-12,23.04,22.93,-1.0,-0.51,248045,1.54,-2.39,-2.18,,,-4.54,41.7,0.99,1.19,-2.1,,-5.4
2005-05-13,22.73,22.81,-0.51,-0.85,169567,1.02,-2.57,-1.86,,,-5.02,39.6,0.98,1.19,-2.5,,-5.88
2005-05-16,22.58,22.68,-0.57,-1.02,97629,0.59,-2.49,-1.4,,,-5.57,37.3,0.97,1.21,-2.93,,-6.42
2005-05-17,22.55,22.79,0.46,-0.56,47881,0.29,-1.39,-1.28,,,-5.13,40.3,0.97,1.2,-2.38,,-5.99
2005-05-18,22.88,23.06,1.19,0.39,88290,0.55,-0.45,-1.37,,,-4.01,47.2,0.96,1.18,-1.13,,-4.87
2005-05-19,23.02,23.0,-0.22,-0.17,224299,1.37,0.33,0.06,,,-4.22,46.1,0.89,1.15,-1.26,,-5.08
2005-05-20,22.97,22.9,-0.45,-0.17,55666,0.34,0.39,-1.94,,,-4.65,43.9,0.82,1.12,-1.62,,-5.51
2005-05-23,22.98,23.08,0.79,0.34,169489,1.01,1.76,-0.22,,,-3.9,48.6,0.82,1.1,-0.77,,-4.77
2005-05-24,22.94,22.91,-0.72,-0.61,98332,0.58,0.56,-1.88,,,-4.6,44.8,0.8,1.08,-1.41,,-5.46
2005-05-25,22.91,23.03,0.51,0.0,43755,0.27,-0.11,-0.22,,,-4.11,47.8,0.77,1.05,-0.83,,-4.97
2005-05-26,22.97,22.98,-0.23,-0.28,143879,0.87,-0.12,-0.34,-4.33,,-4.33,46.6,0.78,1.04,-0.98,,-5.19
2005-05-27,22.95,23.03,0.23,-0.12,84084,0.51,0.57,1.13,-3.5,,-4.11,48.1,0.72,1.01,-0.68,,-4.97
2005-05-31,22.97,22.82,-0.9,-0.28,224922,1.31,-1.11,-0.79,-4.87,,-4.97,43.1,0.72,1.03,-1.5,,-5.83
2005-06-01,22.82,22.82,0.0,0.0,157893,0.9,-0.39,-0.79,-3.84,,-4.97,43.1,0.72,1.05,-1.43,,-5.83
2005-06-02,22.97,22.97,0.62,0.62,66412,0.4,-0.28,-0.55,-4.24,,-4.38,47.4,0.73,1.02,-0.81,,-5.24
2005-06-03,22.86,22.82,-0.62,-0.45,153140,0.95,-0.67,-2.95,-5.83,,-4.97,43.9,0.6,1.04,-1.41,,-5.83
2005-06-06,22.86,22.95,0.56,0.17,172605,1.03,-0.35,-2.29,-4.55,,-4.44,47.7,0.62,1.01,-0.83,,-5.3
2005-06-07,23.03,23.16,0.91,0.35,151507,0.97,1.47,-1.09,-4.14,,-3.57,53.2,0.65,1.01,0.07,,-4.44
2005-06-08,23.31,23.0,-0.67,0.67,92178,0.65,0.79,-1.1,-4.22,,-4.22,49.0,0.65,1.06,-0.59,,-5.08
2005-06-09,22.95,23.08,0.33,-0.23,69759,0.55,0.5,-0.11,-3.8,,-3.9,51.1,0.64,1.03,-0.25,,-4.77
2005-06-10,23.26,23.02,-0.28,0.77,93971,0.78,0.85,-0.61,-3.76,,-4.17,49.3,0.64,1.06,-0.5,,-5.03
2005-06-13,22.86,22.97,-0.22,-0.67,56990,0.5,0.06,0.17,-3.61,,-4.38,47.9,0.61,1.07,-0.7,,-5.24
2005-06-14,22.95,23.03,0.28,-0.06,130486,1.12,-0.56,0.96,-3.54,,-4.11,49.9,0.6,1.03,-0.41,,-4.97
2005-06-15,23.11,23.12,0.38,0.32,403757,3.01,0.5,1.93,-3.22,,-3.74,52.5,0.58,1.0,-0.0,,-4.61
