date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,17.94,18.06,,,1245963,,,,,,0.0,,,1.54,,,
2005-02-28,18.49,17.82,-1.28,2.41,1919926,,,,,,-1.28,0.0,,1.75,,,
2005-03-01,17.69,17.36,-2.63,-0.77,1716272,,,,,,-3.88,0.0,,1.89,,,
2005-03-02,17.12,17.6,1.42,-1.34,1651748,,,,,,-2.51,7.1,,1.94,,,
2005-03-03,17.85,17.7,0.53,1.39,1510268,,,,,,-1.99,9.7,,1.98,,,
2005-03-04,17.97,18.17,2.66,1.55,1568297,,0.61,,,,0.61,21.7,,2.0,,,
2005-03-07,18.33,18.11,-0.31,0.89,1493827,,1.6,,,,0.3,21.3,,1.99,,,
2005-03-08,17.89,17.83,-1.54,-1.2,1081684,,2.74,,,,-1.25,19.6,,2.05,,,
2005-03-09,17.61,17.35,-2.7,-1.24,1111253,,-1.44,,,,-3.91,17.0,,2.18,,,
2005-03-10,17.33,17.1,-1.46,-0.08,1883172,,-3.39,,,,-5.32,15.8,,2.28,,,
2005-03-11,17.54,16.97,-0.76,2.59,1292385,,-6.6,,,,-6.04,15.2,,2.43,,,
2005-03-14,16.67,16.59,-2.22,-1.75,3228201,,-8.39,,,,-8.12,13.6,,2.6,,,
2005-03-15,16.58,16.25,-2.04,-0.05,1622598,,-8.86,,,,-10.0,12.4,,2.68,,,
2005-03-16,16.1,16.43,1.11,-0.9,1863003,,-5.3,,,,-9.0,16.7,,2.64,,,
2005-03-17,16.26,16.91,2.95,-1.06,1346544,,-1.06,,,,-6.32,27.2,,2.68,,,
2005-03-18,16.94,16.68,-1.38,0.17,522948,,-1.68,,,,-7.61,25.5,,2.69,,,
2005-03-21,16.54,16.44,-1.43,-0.85,1042170,,-0.88,,,,-8.93,23.9,,2.65,,,
2005-03-22,16.55,15.97,-2.86,0.62,2372551,,-1.71,,,,-11.54,21.1,,3.0,,,
2005-03-23,16.06,15.57,-2.54,0.56,1892155,,-5.25,,,,-13.78,19.0,,3.12,,,
2005-03-24,15.87,15.92,2.28,1.95,2338284,1.43,-5.86,,,,-11.81,25.9,,3.07,,,-12.35
2005-03-28,15.86,15.71,-1.37,-0.37,764874,0.47,-5.85,,,,-13.02,24.5,,3.04,,,-13.55
2005-03-29,15.97,15.51,-1.23,1.66,1757722,1.1,-5.66,-14.09,,,-14.09,23.4,1.82,3.1,,,-14.61
2005-03-30,15.64,16.03,3.34,0.83,2912219,1.75,0.36,-10.06,,,-11.22,32.8,2.01,3.04,,,-11.75
2005-03-31,16.31,16.2,1.08,1.76,1373210,0.83,4.09,-6.64,,,-10.26,35.6,1.98,2.96,,,-10.8
2005-04-01,16.65,16.5,1.83,2.75,1716823,1.03,3.63,-6.26,,,-8.61,40.3,2.0,2.95,,,-9.17
2005-04-04,16.13,16.25,-1.52,-2.27,1715583,1.03,3.47,-8.17,,,-10.0,37.8,2.01,2.94,,,-10.54
2005-04-05,16.53,16.08,-1.04,1.69,1147171,0.7,3.67,-11.47,,,-10.94,36.2,1.89,2.98,,,-11.47
2005-04-06,16.26,16.17,0.56,1.08,752995,0.46,0.88,-10.7,,,-10.44,37.7,1.9,2.9,,,-10.98
