date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,27.23,27.49,,,180481,,,,,,0.0,,,1.44,,,
2005-02-28,27.28,27.3,-0.67,-0.74,136513,,,,,,-0.67,0.0,,1.5,,,
2005-03-01,27.33,27.42,0.42,0.11,117243,,,,,,-0.26,4.5,,1.44,,,
2005-03-02,27.08,27.07,-1.27,-1.24,67578,,,,,,-1.53,3.9,,1.47,,,
2005-03-03,27.26,27.2,0.49,0.71,78979,,,,,,-1.04,8.8,,1.42,,,
2005-03-04,27.52,27.69,1.82,1.19,204365,,0.76,,,,0.76,24.3,,1.43,,,
2005-03-07,27.63,27.65,-0.16,-0.24,321337,,1.27,,,,0.59,23.9,,1.38,,,
2005-03-08,27.75,27.78,0.48,0.35,217661,,1.34,,,,1.08,27.6,,1.32,,,
2005-03-09,27.7,27.6,-0.66,-0.3,84135,,1.96,,,,0.41,25.7,,1.29,,,
2005-03-10,27.7,27.6,0.0,0.37,128642,,1.47,,,,0.41,25.7,,1.26,,,
2005-03-11,27.67,27.56,-0.13,0.26,461379,,-0.48,,,,0.27,25.3,,1.22,,,
2005-03-14,27.52,27.63,0.24,-0.14,95532,,-0.07,,,,0.52,27.6,,1.2,,,
2005-03-15,27.63,27.38,-0.91,0.0,112632,,-1.46,,,,-0.4,24.6,,1.19,,,
2005-03-16,27.43,27.35,-0.1,0.21,154969,,-0.91,,,,-0.5,24.3,,1.18,,,
2005-03-17,27.18,27.3,-0.17,-0.62,216034,,-1.07,,,,-0.67,23.8,,1.14,,,
2005-03-18,27.25,27.18,-0.45,-0.19,104490,,-1.39,,,,-1.12,22.3,,1.13,,,
2005-03-21,27.13,27.01,-0.62,-0.17,133259,,-2.24,,,,-1.74,20.5,,1.13,,,
2005-03-22,26.88,26.54,-1.72,-0.46,228244,,-3.04,,,,-3.42,16.6,,1.24,,,
