date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,14.54,14.61,,,1216570,,,,,,0.0,,,1.29,,,
2005-02-28,14.74,14.64,0.21,0.88,1186954,,,,,,0.21,,,1.26,,,
2005-03-01,14.69,14.57,-0.48,0.3,1189721,,,,,,-0.27,85.2,,1.24,,,
2005-03-02,14.41,14.3,-1.87,-1.09,949249,,,,,,-2.13,52.5,,1.33,,,
2005-03-03,14.4,14.39,0.63,0.72,651917,,,,,,-1.51,58.2,,1.28,,,
2005-03-04,14.39,14.29,-0.69,0.0,922002,,-2.19,,,,-2.19,50.9,,1.29,,,
2005-03-07,14.31,14.35,0.41,0.12,837894,,-1.99,,,,-1.79,54.6,,1.24,,,
2005-03-08,14.46,14.43,0.59,0.77,876988,,-0.94,,,,-1.21,59.2,,1.2,,,
2005-03-09,14.47,14.37,-0.43,0.28,1313710,,0.51,,,,-1.63,54.8,,1.18,,,
2005-03-10,14.37,14.29,-0.57,0.0,1030986,,-0.69,,,,-2.19,49.5,,1.17,,,
2005-03-11,14.38,14.35,0.41,0.63,651129,,0.41,,,,-1.79,53.0,,1.13,,,
2005-03-14,14.37,14.35,0.0,0.16,568205,,0.0,,,,-1.79,53.0,,1.08,,,
2005-03-15,14.31,14.11,-1.68,-0.29,794463,,-2.26,,,,-3.43,39.9,,1.15,,,
2005-03-16,14.19,14.11,0.0,0.55,1703828,,-1.84,,,,-3.43,39.9,,1.12,,,
2005-03-17,14.21,14.36,1.77,0.71,1096928,,0.47,,,,-1.72,53.7,,1.15,,,
2005-03-18,14.34,14.31,-0.35,-0.15,643628,,-0.29,,,,-2.07,51.1,,1.1,,,
2005-03-21,14.41,14.31,0.0,0.74,475413,,-0.29,,,,-2.07,51.1,,1.09,,,
2005-03-22,14.26,13.98,-2.28,-0.32,763267,,-0.9,,,,-4.3,37.7,,1.2,,,
2005-03-23,13.96,13.85,-0.94,-0.13,1168003,,-1.83,,,,-5.2,33.8,,1.21,,,
2005-03-24,13.93,13.9,0.39,0.54,713908,0.76,-3.16,,,,-4.83,36.7,,1.18,,,-5.03
2005-03-28,13.96,13.89,-0.13,0.39,508188,0.56,-2.94,,,,-4.95,36.1,,1.14,,,-5.15
2005-03-29,13.81,13.68,-1.52,-0.58,828023,0.94,-4.42,-6.4,,,-6.4,30.3,0.96,1.19,,,-6.6
2005-03-30,13.71,13.81,0.95,0.28,626645,0.73,-1.26,-5.71,,,-5.51,37.1,0.99,1.16,,,-5.71
2005-03-31,13.83,13.83,0.16,0.16,566627,0.68,-0.17,-5.1,,,-5.36,38.2,1.0,1.11,,,-5.56
2005-04-01,13.97,13.88,0.37,1.04,631778,0.76,-0.18,-2.94,,,-5.0,40.8,0.93,1.11,,,-5.2
2005-04-04,13.93,13.94,0.45,0.33,668504,0.81,0.4,-3.11,,,-4.57,43.9,0.93,1.07,,,-4.77
2005-04-05,14.0,13.91,-0.22,0.44,375512,0.47,1.72,-2.65,,,-4.78,42.7,0.92,1.05,,,-4.98
2005-04-06,13.98,13.99,0.59,0.51,384989,0.5,1.36,-2.48,,,-4.22,46.8,0.92,1.03,,,-4.42
2005-04-07,14.02,14.06,0.5,0.21,377490,0.52,1.71,-2.57,,,-3.74,50.1,0.92,1.0,,,-3.94
2005-04-08,14.19,14.09,0.21,0.87,803544,1.12,1.54,-1.94,,,-3.54,51.4,0.92,0.99,,,-3.74
2005-04-11,14.11,14.08,-0.12,0.11,423289,0.6,0.96,-1.5,,,-3.65,50.6,0.91,0.97,,,-3.86
