date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-05-22,33.04,33.68,,,217862,,,,,,0.0,,,3.82,,,
2006-05-23,34.15,34.34,1.96,1.4,686297,,,,,,1.96,,,3.85,,,
2006-05-24,33.59,33.04,-3.79,-2.18,705863,,,,,,-1.9,86.9,,4.12,,,
2006-05-25,33.64,34.67,4.92,1.81,405656,,,,,,2.93,88.8,,3.98,,,
2006-05-26,35.05,34.88,0.6,1.1,297775,,,,,,3.55,89.1,,3.86,,,
2006-05-30,35.74,34.53,-0.99,2.46,617988,,2.53,,,,2.53,85.9,,3.92,,,
2006-05-31,35.19,35.15,1.78,1.91,387640,,2.34,,,,4.36,86.8,,3.76,,,
2006-06-01,33.66,34.86,-0.83,-4.25,708848,,5.5,,,,3.49,84.1,,3.83,,,
2006-06-02,35.56,35.4,1.55,2.03,306509,,2.11,,,,5.1,85.1,,3.66,,,
2006-06-05,36.43,34.5,-2.55,2.92,481923,,-1.09,,,,2.42,77.0,,3.9,,,
2006-06-06,34.41,33.48,-2.94,-0.26,733496,,-3.04,,,,-0.59,69.0,,4.0,,,
2006-06-07,32.85,32.69,-2.35,-1.89,535091,,-6.98,,,,-2.93,63.5,,4.15,,,
2006-06-08,31.91,31.91,-2.4,-2.4,898412,,-8.46,,,,-5.26,58.6,,4.45,,,
2006-06-09,32.34,31.73,-0.57,1.36,599310,,-10.37,,,,-5.8,57.4,,4.43,,,
2006-06-12,32.1,30.56,-3.68,1.17,646287,,-11.41,,,,-9.27,50.7,,4.67,,,
2006-06-13,29.55,29.13,-4.67,-3.32,1747419,,-12.99,,,,-13.51,43.9,,4.98,,,
2006-06-14,29.72,29.88,2.58,2.01,714928,,-8.6,,,,-11.28,47.8,,4.79,,,
2006-06-15,31.12,31.61,5.78,4.16,975123,,-0.94,,,,-6.15,55.6,,4.62,,,
2006-06-16,31.67,31.28,-1.06,0.18,665741,,-1.43,,,,-7.14,53.9,,4.48,,,
2006-06-19,30.91,30.4,-2.8,-1.16,404662,0.64,-0.53,,,,-9.74,49.7,,4.49,,,-14.13
2006-06-20,30.68,31.07,2.2,0.92,429421,0.66,6.65,,,,-7.76,52.7,,4.32,,,-12.24
