date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,43.41,43.5,,,1100100,,,,,,0.0,,,0.76,,,
2005-02-28,43.68,43.52,0.05,0.41,759100,,,,,,0.05,,,0.74,,,
2005-03-01,43.3,43.22,-0.69,-0.51,3245500,,,,,,-0.64,46.4,,0.76,,,
2005-03-02,43.16,43.25,0.07,-0.14,1188000,,,,,,-0.57,49.4,,0.75,,,
2005-03-03,43.06,42.97,-0.65,-0.44,1924600,,,,,,-1.22,31.9,,0.76,,,
2005-03-04,43.33,43.38,0.95,0.84,915000,,-0.28,,,,-0.28,56.3,,0.79,,,
2005-03-07,43.32,43.47,0.21,-0.14,1290100,,-0.11,,,,-0.07,59.7,,0.78,,,
2005-03-08,43.71,44.03,1.29,0.55,2674900,,1.87,,,,1.22,73.5,,0.81,,,
2005-03-09,43.95,44.02,-0.02,-0.18,3025000,,1.78,,,,1.2,73.1,,0.8,,,
2005-03-10,44.16,44.2,0.41,0.32,2065000,,2.86,,,,1.61,76.1,,0.78,,,
2005-03-11,44.31,44.43,0.52,0.25,2659600,,2.42,,,,2.14,79.3,,0.79,,,
2005-03-14,44.26,44.03,-0.9,-0.38,867100,,1.29,,,,1.22,63.4,,0.82,,,
2005-03-15,44.23,44.06,0.07,0.45,1254900,,0.07,,,,1.29,63.9,,0.81,,,
2005-03-16,44.29,44.31,0.57,0.52,2223300,,0.66,,,,1.86,68.5,,0.8,,,
2005-03-17,43.97,43.82,-1.11,-0.77,1525200,,-0.86,,,,0.74,54.1,,0.85,,,
2005-03-18,43.61,43.89,0.16,-0.48,1207500,,-1.22,,,,0.9,55.6,,0.85,,,
2005-03-21,43.24,43.09,-1.82,-1.48,3814400,,-2.13,,,,-0.94,40.1,,0.97,,,
2005-03-22,43.21,42.65,-1.02,0.28,2609400,,-3.2,,,,-1.95,34.5,,1.02,,,
2005-03-23,42.6,42.42,-0.54,-0.12,2618600,,-4.27,,,,-2.48,31.9,,1.01,,,
2005-03-24,42.51,42.39,-0.07,0.21,1466400,0.76,-3.26,,,,-2.55,31.6,,0.97,,,-4.59
2005-03-28,42.45,42.54,0.35,0.14,581100,0.31,-3.08,,,,-2.21,35.2,,0.93,,,-4.25
2005-03-29,42.61,42.56,0.05,0.16,1197800,0.62,-1.23,-2.16,,,-2.16,35.7,0.74,0.87,,,-4.21
2005-03-30,42.65,42.61,0.12,0.21,1324300,0.73,-0.09,-2.09,,,-2.05,36.9,0.74,0.85,,,-4.1
2005-03-31,42.87,42.82,0.49,0.61,1363200,0.74,0.94,-0.93,,,-1.56,42.1,0.74,0.83,,,-3.62
2005-04-01,42.6,42.62,-0.47,-0.51,2448500,1.32,0.54,-1.46,,,-2.02,38.8,0.74,0.84,,,-4.07
2005-04-04,42.43,42.4,-0.52,-0.45,1893100,0.99,-0.33,-1.33,,,-2.53,35.6,0.74,0.85,,,-4.57
2005-04-05,42.49,42.45,0.12,0.21,888000,0.47,-0.26,-2.14,,,-2.41,36.9,0.7,0.81,,,-4.46
2005-04-06,42.49,42.63,0.42,0.09,1637500,0.89,0.05,-1.93,,,-2.0,41.4,0.71,0.8,,,-4.05
2005-04-07,42.77,42.57,-0.14,0.33,2853000,1.56,-0.58,-3.32,,,-2.14,40.4,0.63,0.79,,,-4.19
2005-04-08,42.48,42.69,0.28,-0.21,1002300,0.57,0.16,-3.02,,,-1.86,43.5,0.64,0.77,,,-3.92
2005-04-11,42.84,42.78,0.21,0.35,514100,0.31,0.9,-3.21,,,-1.66,45.7,0.63,0.76,,,-3.71
2005-04-12,42.7,42.84,0.14,-0.19,2098700,1.22,0.92,-3.58,,,-1.52,47.2,0.62,0.74,,,-3.58
2005-04-13,42.76,42.9,0.14,-0.19,384000,0.23,0.63,-2.57,,,-1.38,48.8,0.6,0.73,,,-3.44
2005-04-14,42.45,42.31,-1.38,-1.05,3680300,2.1,-0.61,-3.97,,,-2.74,37.3,0.66,0.82,,,-4.77
2005-04-15,42.38,42.4,0.21,0.17,1811100,1.02,-0.68,-4.31,,,-2.53,39.6,0.64,0.8,,,-4.57
2005-04-18,42.55,42.69,0.68,0.35,909800,0.52,-0.21,-2.58,,,-1.86,46.5,0.63,0.8,,,-3.92
2005-04-19,42.79,43.28,1.38,0.23,3145400,1.83,1.03,-1.39,,,-0.51,57.3,0.71,0.84,,,-2.59
2005-04-20,43.21,43.4,0.28,-0.16,1248200,0.75,1.17,0.72,,,-0.23,59.1,0.59,0.83,,,-2.32
2005-04-21,43.42,43.19,-0.48,0.05,1550600,0.97,2.08,1.27,,,-0.71,54.7,0.55,0.83,,,-2.79
2005-04-22,43.46,43.39,0.46,0.63,1169000,0.74,2.33,2.29,,,-0.25,57.9,0.54,0.82,,,-2.34
2005-04-25,43.35,43.44,0.12,-0.09,906300,0.57,1.76,2.48,,,-0.14,58.7,0.54,0.79,,,-2.23
2005-04-26,43.69,43.64,0.46,0.58,1531400,0.95,0.83,2.59,,,0.32,61.8,0.54,0.78,,,-1.78
2005-04-27,43.53,43.2,-1.01,-0.25,2762800,1.63,-0.46,1.5,,,-0.69,52.5,0.6,0.81,,,-2.77
2005-04-28,43.16,43.0,-0.46,-0.09,2260300,1.3,-0.44,0.92,,,-1.15,49.0,0.61,0.81,,,-3.22
2005-04-29,43.18,43.35,0.81,0.42,3736700,2.08,-0.09,1.24,,,-0.34,54.8,0.62,0.84,,,-2.43
2005-05-02,43.13,42.88,-1.08,-0.51,1708600,0.95,-1.29,0.61,,,-1.43,47.0,0.66,0.88,,,-3.49
2005-05-03,42.75,42.76,-0.28,-0.3,1268700,0.7,-2.02,0.85,,,-1.7,45.3,0.65,0.87,,,-3.76
2005-05-04,42.87,42.9,0.33,0.26,607600,0.35,-0.69,1.06,,,-1.38,47.7,0.66,0.84,,,-3.44
2005-05-05,42.96,42.91,0.02,0.14,319300,0.2,-0.21,0.66,,,-1.36,47.9,0.65,0.82,,,-3.42
2005-05-06,42.43,42.52,-0.91,-1.12,3722700,2.11,-1.91,-0.12,,,-2.25,41.9,0.68,0.86,-1.41,,-4.3
2005-05-09,42.54,42.55,0.07,0.05,600000,0.34,-0.77,-0.33,,,-2.18,42.5,0.68,0.82,-1.29,,-4.23
2005-05-10,42.71,42.64,0.21,0.38,461000,0.27,-0.28,-0.33,,,-1.98,44.3,0.68,0.8,-1.04,,-4.03
2005-05-11,42.55,42.69,0.12,-0.21,764600,0.45,-0.49,-0.35,,,-1.86,45.4,0.68,0.8,-0.9,,-3.92
2005-05-12,42.42,42.16,-1.24,-0.63,1880200,1.16,-1.75,-1.72,,,-3.08,37.3,0.73,0.87,-2.08,,-5.11
