date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-03-02,24.59,25.24,,,208,,,,,,0.0,,,2.54,,,
2020-03-03,24.99,25.14,-0.39,-0.96,140,,,,,,-0.39,0.0,,2.44,,,
2020-03-04,26.31,26.31,4.67,4.67,20,,,,,,4.26,47.9,,2.48,,,
2020-03-05,26.14,25.9,-1.57,-0.63,1049,,,,,,2.62,40.5,,2.46,,,
2020-03-06,25.09,25.45,-1.74,-3.1,50111,,,,,,0.84,34.4,,2.58,,,
2020-03-09,24.49,23.78,-6.55,-3.75,534,,-5.77,,,,-5.77,21.3,,3.06,,,
2020-03-10,24.22,24.39,2.57,1.87,5019,,-2.98,,,,-3.35,31.6,,2.95,,,
2020-03-11,23.75,23.16,-5.03,-2.64,244,,-11.96,,,,-8.21,24.6,,3.26,,,
2020-03-12,21.09,20.93,-9.66,-8.93,258,,-19.2,,,,-17.08,17.2,,4.12,,,
2020-03-13,21.16,21.21,1.38,1.11,653,,-16.63,,,,-15.93,20.5,,3.87,,,
2020-03-16,19.17,19.17,-9.65,-9.65,38,,-19.39,,,,-24.05,15.7,,4.74,,,
2020-03-17,20.47,20.47,6.78,6.78,15,,-16.08,,,,-18.9,27.4,,4.57,,,
2020-03-18,19.69,19.69,-3.79,-3.79,12,,-14.99,,,,-21.97,25.1,,4.7,,,
2020-03-19,20.34,20.34,3.29,3.29,15,,-2.8,,,,-19.4,30.3,,4.45,,,
2020-03-20,20.98,20.05,-1.42,3.13,138,,-5.48,,,,-20.54,29.3,,4.52,,,
2020-03-23,18.41,19.74,-1.54,-8.21,105,,3.0,,,,-21.77,28.3,,4.86,,,
2020-03-24,21.33,21.33,8.02,8.02,1,,4.2,,,,-15.49,40.0,,4.71,,,
2020-03-25,21.39,21.61,1.33,0.32,30412,,9.73,,,,-14.37,41.8,,4.55,,,
2020-03-26,22.54,22.54,4.29,4.29,5,,10.79,,,,-10.7,47.4,,4.35,,,
2020-03-27,21.9,21.9,-2.8,-2.8,170,0.04,9.23,,,,-13.21,44.3,,4.36,,,-16.75
2020-03-30,22.7,22.7,3.66,3.66,38,0.01,15.0,,,,-10.03,48.9,,4.16,,,-13.71
2020-03-31,22.8,22.36,-1.51,0.42,322,0.07,4.86,-11.39,,,-11.39,47.1,4.85,4.07,,,-15.01
2020-04-01,21.44,21.44,-4.14,-4.14,6,0.0,-0.8,-14.72,,,-15.05,42.6,4.91,4.25,,,-18.52
2020-04-02,22.11,22.11,3.13,3.13,1,0.0,-1.89,-15.97,,,-12.39,46.6,4.84,4.04,,,-15.97
2020-04-03,21.79,21.79,-1.44,-1.44,88,0.05,-0.52,-15.86,,,-13.66,45.0,4.84,3.91,,,-17.18
