date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,22.77,23.23,,,2834664,,,,,,0.0,,,1.96,,,
2005-02-28,22.31,22.25,-4.2,-3.92,7525335,,,,,,-4.2,0.0,,2.29,,,
2005-03-01,22.2,22.31,0.29,-0.22,2293152,,,,,,-3.92,0.5,,2.18,,,
2005-03-02,22.58,22.24,-0.33,1.19,1099914,,,,,,-4.24,0.5,,2.18,,,
2005-03-03,22.15,21.95,-1.28,-0.4,5085143,,,,,,-5.47,0.5,,2.19,,,
2005-03-04,22.09,21.73,-1.03,0.6,4732120,,-6.45,,,,-6.45,0.5,,2.2,,,
2005-03-07,21.76,21.66,-0.3,0.14,4835875,,-2.64,,,,-6.73,0.5,,2.16,,,
2005-03-08,21.66,21.53,-0.59,0.0,3931504,,-3.49,,,,-7.28,0.5,,2.09,,,
2005-03-09,21.53,21.45,-0.41,-0.01,6345605,,-3.57,,,,-7.66,0.5,,2.04,,,
2005-03-10,21.44,21.33,-0.52,-0.05,3983994,,-2.83,,,,-8.15,0.5,,2.02,,,
2005-03-11,21.37,21.17,-0.78,0.17,2462599,,-2.58,,,,-8.86,0.4,,2.03,,,
2005-03-14,21.21,21.83,3.11,0.18,15090584,,0.75,,,,-6.03,8.6,,2.06,,,
2005-03-15,21.94,21.32,-2.31,0.52,12516233,,-1.0,,,,-8.21,8.1,,2.17,,,
2005-03-16,21.17,21.08,-1.12,-0.69,4779377,,-1.7,,,,-9.23,7.8,,2.17,,,
2005-03-17,20.96,21.2,0.55,-0.55,2530136,,-0.65,,,,-8.74,9.3,,2.12,,,
2005-03-18,21.16,21.14,-0.26,-0.18,3197211,,-0.13,,,,-8.98,9.2,,2.03,,,
2005-03-21,21.37,21.14,0.0,1.09,3215320,,-3.14,,,,-8.98,9.2,,2.01,,,
2005-03-22,21.22,21.17,0.16,0.39,3054460,,-0.69,,,,-8.84,9.7,,1.96,,,
2005-03-23,21.11,21.24,0.31,-0.31,3415778,,0.74,,,,-8.56,10.8,,1.92,,,
2005-03-24,21.24,21.4,0.78,0.0,4244014,0.87,0.98,,,,-7.85,13.6,,1.86,,,-7.85
2005-03-28,21.53,21.06,-1.58,0.6,2999208,0.62,-0.36,,,,-9.31,12.7,,1.92,,,-9.31
2005-03-29,21.01,20.62,-2.1,-0.26,8170921,1.67,-2.45,-11.21,,,-11.21,11.6,1.41,2.02,,,-11.21
2005-03-30,20.65,20.94,1.56,0.15,3051700,0.62,-1.08,-5.87,,,-9.82,17.1,1.21,1.96,,,-9.82
2005-03-31,20.85,20.7,-1.16,-0.46,4675013,0.91,-2.53,-7.23,,,-10.87,16.3,1.22,1.93,,,-10.87
2005-04-01,20.94,20.52,-0.86,1.18,3789369,0.75,-4.11,-7.72,,,-11.64,15.7,1.23,2.01,,,-11.64
2005-04-04,20.47,20.53,0.05,-0.24,3911865,0.78,-2.52,-6.48,,,-11.59,15.9,1.21,1.97,,,-11.59
2005-04-05,20.57,20.75,1.06,0.19,2903435,0.59,0.62,-4.5,,,-10.66,20.0,1.23,1.9,,,-10.66
2005-04-06,20.94,21.11,1.71,0.93,7147134,1.41,0.77,-2.57,,,-9.13,26.3,1.3,1.92,,,-9.13
2005-04-07,21.17,21.4,1.41,0.32,2944246,0.6,3.39,-0.61,,,-7.85,31.2,1.34,1.91,,,-7.85
2005-04-08,21.74,21.29,-0.51,1.6,2228380,0.46,3.76,-0.71,,,-8.32,30.4,1.34,1.97,,,-8.32
2005-04-11,21.37,21.3,0.05,0.36,1410571,0.3,3.75,-0.14,,,-8.27,30.5,1.34,1.88,,,-8.27
2005-04-12,21.27,21.58,1.28,-0.15,5783518,1.35,3.98,1.94,,,-7.1,35.3,1.35,1.92,,,-7.1
2005-04-13,21.56,21.4,-0.81,-0.06,2007036,0.53,1.41,-1.93,,,-7.85,33.7,1.17,1.89,,,-7.85
2005-04-14,21.34,21.04,-1.68,-0.31,3184011,0.86,-1.68,-1.29,,,-9.39,30.7,1.12,1.93,,,-9.39
2005-04-15,21.06,21.04,0.0,0.08,6136857,1.58,-1.17,-0.18,,,-9.39,30.7,1.09,1.91,,,-9.39
2005-04-18,21.12,20.96,-0.39,0.38,3453231,0.89,-1.61,-1.11,,,-9.75,29.9,1.09,1.9,,,-9.75
2005-04-19,21.09,21.12,0.78,0.62,1667216,0.44,-2.1,-0.08,,,-9.05,33.3,1.1,1.82,,,-9.05
