date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,10.9,11.03,,,636908,,,,,,0.0,,,1.25,,,
2005-02-28,11.02,10.96,-0.58,-0.06,935260,,,,,,-0.58,0.0,,1.26,,,
2005-03-01,11.01,11.07,1.01,0.45,1115505,,,,,,0.42,11.7,,1.23,,,
2005-03-02,11.02,11.05,-0.17,-0.43,613752,,,,,,0.25,11.4,,1.22,,,
2005-03-03,11.07,11.06,0.03,0.1,813482,,,,,,0.28,11.8,,1.21,,,
2005-03-04,11.09,11.19,1.16,0.3,881695,,1.44,,,,1.44,24.3,,1.2,,,
2005-03-07,11.2,11.23,0.38,0.1,1190992,,2.43,,,,1.83,27.9,,1.16,,,
2005-03-08,11.23,11.15,-0.69,0.04,651504,,0.71,,,,1.13,25.5,,1.15,,,
2005-03-09,11.14,11.01,-1.26,-0.1,839059,,-0.39,,,,-0.14,21.9,,1.17,,,
2005-03-10,11.04,11.01,0.0,0.23,848796,,-0.42,,,,-0.14,21.9,,1.16,,,
2005-03-11,11.03,11.01,0.0,0.18,828082,,-1.56,,,,-0.14,21.9,,1.15,,,
2005-03-14,11.05,11.09,0.75,0.35,987634,,-1.2,,,,0.61,29.3,,1.12,,,
2005-03-15,11.16,11.03,-0.56,0.6,878008,,-1.08,,,,0.05,27.2,,1.13,,,
2005-03-16,11.04,10.95,-0.72,0.12,1135010,,-0.53,,,,-0.67,24.8,,1.12,,,
2005-03-17,10.95,10.96,0.09,0.02,990065,,-0.45,,,,-0.58,25.7,,1.09,,,
2005-03-18,10.97,10.86,-0.97,0.05,4362127,,-1.41,,,,-1.55,22.5,,1.1,,,
2005-03-21,10.89,10.9,0.41,0.3,470067,,-1.75,,,,-1.15,26.5,,1.06,,,
2005-03-22,10.91,10.84,-0.56,0.05,612529,,-1.74,,,,-1.7,24.7,,1.1,,,
2005-03-23,10.84,10.74,-0.92,0.0,1135010,,-1.94,,,,-2.6,21.9,,1.09,,,
2005-03-24,10.77,10.79,0.49,0.24,1025354,0.98,-1.54,,,,-2.12,26.6,,1.1,,,-3.88
2005-03-28,10.78,10.79,-0.07,-0.12,793996,0.75,-0.65,,,,-2.19,26.3,,1.05,,,-3.95
