date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,51.45,51.96,,,2398069,,,,,,0.0,,,1.18,,,
2005-02-28,51.85,51.75,-0.4,-0.22,867202,,,,,,-0.4,0.0,,1.18,,,
2005-03-01,51.83,51.86,0.21,0.15,1878267,,,,,,-0.19,3.8,,1.12,,,
2005-03-02,51.65,51.94,0.16,-0.4,1253174,,,,,,-0.03,6.8,,1.11,,,
2005-03-03,52.09,51.98,0.08,0.28,561497,,,,,,0.05,8.3,,1.09,,,
2005-03-04,52.26,52.68,1.34,0.54,549643,,1.39,,,,1.39,29.2,,1.1,,,
2005-03-07,52.67,52.67,-0.03,-0.03,898087,,1.76,,,,1.36,29.1,,1.05,,,
2005-03-08,52.66,52.48,-0.35,-0.02,587692,,1.2,,,,1.01,27.2,,1.01,,,
2005-03-09,52.32,51.82,-1.27,-0.31,523058,,-0.25,,,,-0.28,21.7,,1.05,,,
2005-03-10,51.92,51.85,0.06,0.21,829674,,-0.26,,,,-0.22,22.5,,1.04,,,
2005-03-11,51.92,51.64,-0.4,0.15,1131078,,-1.98,,,,-0.62,21.0,,1.05,,,
2005-03-14,51.72,52.05,0.79,0.16,1086769,,-1.18,,,,0.16,30.8,,1.02,,,
2005-03-15,52.26,51.69,-0.69,0.42,652063,,-1.52,,,,-0.53,27.5,,1.03,,,
2005-03-16,51.48,51.28,-0.78,-0.4,502468,,-1.02,,,,-1.3,24.4,,1.04,,,
2005-03-17,51.39,51.49,0.4,0.21,687502,,-0.68,,,,-0.9,28.9,,1.01,,,
2005-03-18,51.56,51.32,-0.34,0.13,619094,,-0.63,,,,-1.24,27.4,,0.99,,,
2005-03-21,51.38,51.21,-0.21,0.12,566841,,-1.61,,,,-1.45,26.5,,0.99,,,
2005-03-22,51.28,50.5,-1.38,0.15,1163524,,-2.29,,,,-2.8,21.5,,1.08,,,
2005-03-23,50.59,50.46,-0.08,0.16,1295268,,-1.6,,,,-2.88,21.3,,1.05,,,
2005-03-24,50.18,50.08,-0.76,-0.56,975752,1.03,-2.74,,,,-3.62,19.1,,1.04,,,-4.94
2005-03-28,50.19,50.14,0.11,0.21,700411,0.81,-2.3,,,,-3.51,20.4,,1.01,,,-4.83
2005-03-29,50.14,49.75,-0.77,0.0,673302,0.79,-2.85,-4.25,,,-4.25,18.2,0.64,1.05,,,-5.56
2005-03-30,49.98,50.44,1.39,0.46,1108398,1.35,-0.12,-2.53,,,-2.92,32.2,0.73,1.06,,,-4.25
2005-03-31,50.61,50.5,0.12,0.33,944864,1.18,0.08,-2.62,,,-2.8,33.3,0.72,1.02,,,-4.14
2005-04-01,50.9,50.43,-0.14,0.78,1217467,1.46,0.71,-2.91,,,-2.94,32.7,0.72,1.07,,,-4.26
2005-04-04,51.16,50.5,0.14,1.44,570356,0.68,0.73,-2.85,,,-2.8,34.0,0.72,1.13,,,-4.14
2005-04-05,50.47,50.46,-0.08,-0.06,667048,0.81,1.43,-4.21,,,-2.88,33.6,0.64,1.1,,,-4.21
2005-04-06,50.7,50.88,0.83,0.46,809603,0.97,0.87,-3.39,,,-2.08,41.8,0.68,1.08,,,-3.42
2005-04-07,50.88,51.03,0.3,0.0,481616,0.58,1.05,-2.76,,,-1.78,44.4,0.68,1.04,,,-3.13
2005-04-08,51.08,50.61,-0.83,0.09,660273,0.8,0.35,-2.32,,,-2.6,39.1,0.65,1.04,,,-3.93
2005-04-11,50.7,50.67,0.11,0.18,347403,0.44,0.32,-2.28,,,-2.49,40.1,0.65,1.0,,,-3.83
2005-04-12,50.64,50.88,0.42,-0.05,1231415,1.55,0.83,-1.47,,,-2.08,44.0,0.66,1.04,,,-3.42
2005-04-13,50.85,50.27,-1.21,-0.07,575055,0.73,-1.21,-3.42,,,-3.26,36.6,0.67,1.09,,,-4.59
2005-04-14,50.34,49.54,-1.45,0.16,1159879,1.41,-2.93,-4.16,,,-4.67,30.1,0.72,1.14,,,-5.97
2005-04-15,49.53,48.78,-1.54,-0.02,1079474,1.28,-3.63,-4.89,,,-6.13,25.1,0.77,1.23,,,-7.41
2005-04-18,48.72,49.07,0.61,-0.12,1076480,1.24,-3.14,-4.7,,,-5.56,30.0,0.78,1.21,,,-6.85
2005-04-19,49.27,49.56,0.99,0.39,1234282,1.37,-2.6,-3.42,,,-4.62,37.2,0.82,1.19,,,-5.93
2005-04-20,49.45,48.72,-1.69,-0.22,517456,0.6,-3.07,-4.85,,,-6.23,31.3,0.89,1.25,,,-7.51
2005-04-21,49.23,49.59,1.78,1.04,661315,0.79,0.11,-1.8,,,-4.56,41.7,0.95,1.27,,,-5.87
2005-04-22,49.59,49.45,-0.3,0.0,654018,0.8,1.37,-2.02,,,-4.84,40.6,0.95,1.29,,,-6.14
2005-04-25,49.75,49.97,1.07,0.62,425582,0.53,1.83,-0.22,,,-3.82,46.2,0.97,1.27,,,-5.14
2005-04-26,49.88,49.45,-1.06,-0.18,393534,0.5,-0.23,-1.38,,,-4.84,41.9,0.99,1.28,,,-6.14
2005-04-27,49.29,49.68,0.47,-0.31,606977,0.79,1.95,-0.15,,,-4.4,44.4,0.99,1.29,,,-5.71
2005-04-28,49.54,48.94,-1.49,-0.28,506771,0.68,-1.32,-2.99,,,-5.82,38.8,0.98,1.32,,,-7.11
2005-04-29,49.37,49.63,1.41,0.88,788887,1.09,0.37,-1.73,,,-4.49,45.7,1.04,1.33,,,-5.8
2005-05-02,49.8,49.91,0.57,0.36,444355,0.62,-0.12,-1.04,,,-3.94,48.2,1.05,1.29,,,-5.26
2005-05-03,49.93,49.81,-0.2,0.03,577399,0.81,0.74,-1.37,,,-4.14,47.4,1.05,1.27,,,-5.45
