date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,53.02,53.98,,,27937545,,,,,,0.0,,,1.81,,,
2005-02-28,53.91,53.65,-0.62,-0.12,21400726,,,,,,-0.62,0.0,,1.8,,,
2005-03-01,53.81,54.06,0.77,0.31,22961021,,,,,,0.15,8.7,,1.73,,,
2005-03-02,53.83,53.96,-0.18,-0.43,24847551,,,,,,-0.03,8.5,,1.71,,,
2005-03-03,54.21,54.01,0.08,0.46,20587502,,,,,,0.05,9.4,,1.68,,,
2005-03-04,54.45,54.67,1.23,0.82,19072636,,1.28,,,,1.28,22.5,,1.64,,,
2005-03-07,54.77,54.54,-0.23,0.17,15733140,,1.67,,,,1.04,21.9,,1.58,,,
2005-03-08,54.54,54.03,-0.95,0.0,17932249,,-0.06,,,,0.08,19.4,,1.57,,,
2005-03-09,53.9,53.4,-1.15,-0.22,27470796,,-1.04,,,,-1.07,16.9,,1.56,,,
2005-03-10,53.49,53.18,-0.41,0.16,27093023,,-1.53,,,,-1.48,16.2,,1.58,,,
2005-03-11,53.32,53.14,-0.08,0.26,18280837,,-2.8,,,,-1.55,16.0,,1.57,,,
2005-03-14,53.3,53.54,0.75,0.3,17868221,,-1.84,,,,-0.81,23.4,,1.51,,,
2005-03-15,53.76,53.18,-0.67,0.41,21751434,,-1.56,,,,-1.48,21.6,,1.52,,,
2005-03-16,52.99,52.88,-0.57,-0.35,25411038,,-0.98,,,,-2.04,20.1,,1.5,,,
2005-03-17,52.9,52.88,0.0,0.05,23070709,,-0.57,,,,-2.04,20.1,,1.47,,,
2005-03-18,52.92,52.6,-0.53,0.08,28411830,,-1.02,,,,-2.56,18.8,,1.44,,,
2005-03-21,52.72,52.66,0.12,0.22,19524555,,-1.64,,,,-2.44,20.1,,1.4,,,
2005-03-22,52.73,52.3,-0.69,0.12,36332417,,-1.66,,,,-3.11,18.3,,1.45,,,
2005-03-23,52.26,51.92,-0.73,-0.08,25397148,,-1.81,,,,-3.82,16.6,,1.42,,,
2005-03-24,51.96,51.87,-0.08,0.08,19185145,0.83,-1.9,,,,-3.9,16.5,,1.39,,,-5.11
2005-03-28,52.05,51.9,0.05,0.34,14792586,0.66,-1.33,,,,-3.85,17.0,,1.35,,,-5.07
2005-03-29,51.81,51.15,-1.44,-0.17,25670185,1.14,-2.87,-5.24,,,-5.24,14.0,0.65,1.47,,,-6.43
2005-03-30,51.23,51.91,1.48,0.16,22792733,1.01,-0.75,-3.24,,,-3.84,28.2,0.74,1.45,,,-5.05
2005-03-31,51.92,51.9,-0.02,0.02,24111535,1.07,-0.03,-3.99,,,-3.85,28.1,0.71,1.4,,,-5.07
