date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,49.51,50.41,,,3987810,,,,,,0.0,,,1.93,,,
2005-02-28,50.33,50.13,-0.55,-0.16,4421334,,,,,,-0.55,0.0,,1.9,,,
2005-03-01,50.29,50.62,0.98,0.32,914625,,,,,,0.42,12.0,,1.82,,,
2005-03-02,50.37,50.4,-0.44,-0.5,668409,,,,,,-0.02,11.3,,1.79,,,
2005-03-03,50.55,50.58,0.36,0.3,1258653,,,,,,0.35,15.5,,1.73,,,
2005-03-04,50.88,51.29,1.4,0.59,1169156,,1.75,,,,1.75,29.2,,1.69,,,
2005-03-07,51.29,51.21,-0.15,0.01,1132142,,2.16,,,,1.59,28.6,,1.63,,,
2005-03-08,51.14,50.69,-1.02,-0.13,890838,,0.13,,,,0.55,25.2,,1.61,,,
2005-03-09,50.51,50.17,-1.02,-0.35,1527156,,-0.46,,,,-0.47,22.3,,1.59,,,
2005-03-10,50.14,49.95,-0.44,-0.05,859120,,-1.26,,,,-0.91,21.2,,1.56,,,
2005-03-11,50.06,49.87,-0.14,0.24,995819,,-2.76,,,,-1.05,20.8,,1.53,,,
2005-03-14,50.11,50.35,0.95,0.48,583819,,-1.68,,,,-0.11,29.4,,1.48,,,
2005-03-15,50.48,50.05,-0.6,0.27,632915,,-1.26,,,,-0.71,27.4,,1.49,,,
2005-03-16,49.97,49.75,-0.6,-0.16,1636288,,-0.84,,,,-1.31,25.5,,1.46,,,
2005-03-17,49.75,49.84,0.19,0.0,1043779,,-0.21,,,,-1.12,27.2,,1.42,,,
2005-03-18,49.9,49.59,-0.51,0.12,1298683,,-0.58,,,,-1.63,25.5,,1.39,,,
2005-03-21,49.71,49.59,0.0,0.25,720149,,-1.52,,,,-1.63,25.5,,1.35,,,
2005-03-22,49.53,49.31,-0.55,-0.11,1510535,,-1.47,,,,-2.17,23.7,,1.4,,,
2005-03-23,49.17,48.82,-1.0,-0.28,1330025,,-1.87,,,,-3.15,20.8,,1.39,,,
2005-03-24,48.75,48.75,-0.14,-0.14,1006394,0.73,-2.19,,,,-3.28,20.4,,1.36,,,-4.95
2005-03-28,48.79,48.81,0.12,0.09,865538,0.71,-1.57,,,,-3.17,21.7,,1.31,,,-4.83
2005-03-29,48.67,48.1,-1.45,-0.28,1954633,1.78,-2.99,-4.57,,,-4.57,17.9,0.72,1.42,,,-6.21
2005-03-30,48.2,48.79,1.43,0.2,1351173,1.2,-1.05,-2.66,,,-3.2,30.7,0.8,1.4,,,-4.87
2005-03-31,48.79,48.79,0.0,0.0,1171040,1.02,-0.05,-3.61,,,-3.2,30.7,0.76,1.35,,,-4.87
2005-04-01,48.96,48.54,-0.52,0.34,1994660,1.69,-0.43,-3.69,,,-3.7,28.8,0.76,1.41,,,-5.36
2005-04-04,48.59,48.81,0.56,0.11,939931,0.8,0.0,-3.5,,,-3.17,33.5,0.77,1.41,,,-4.83
