date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,58.84,59.91,,,627947,,,,,,0.0,,,1.83,,,
2005-02-28,59.8,59.52,-0.65,-0.19,743109,,,,,,-0.65,0.0,,1.82,,,
2005-03-01,59.73,59.86,0.57,0.36,3450348,,,,,,-0.09,6.2,,1.75,,,
2005-03-02,59.66,59.82,-0.06,-0.32,561148,,,,,,-0.15,6.2,,1.74,,,
2005-03-03,60.03,59.78,-0.06,0.35,1020942,,,,,,-0.22,6.1,,1.72,,,
2005-03-04,60.27,60.28,0.84,0.83,1723910,,0.62,,,,0.62,15.7,,1.66,,,
2005-03-07,60.24,60.16,-0.19,-0.06,3126339,,1.09,,,,0.42,15.3,,1.6,,,
2005-03-08,60.07,59.6,-0.94,-0.15,3907948,,-0.43,,,,-0.52,13.5,,1.6,,,
2005-03-09,59.39,59.03,-0.96,-0.34,1351858,,-1.32,,,,-1.47,12.0,,1.59,,,
2005-03-10,58.81,58.61,-0.7,-0.36,1150805,,-1.95,,,,-2.16,11.1,,1.59,,,
2005-03-11,58.61,58.5,-0.2,0.0,511239,,-2.96,,,,-2.36,10.8,,1.58,,,
2005-03-14,58.48,58.8,0.51,-0.03,975864,,-2.27,,,,-1.86,16.3,,1.53,,,
2005-03-15,59.25,58.48,-0.54,0.78,450144,,-1.88,,,,-2.39,15.2,,1.55,,,
2005-03-16,58.06,58.08,-0.67,-0.7,720187,,-1.6,,,,-3.05,14.0,,1.54,,,
2005-03-17,57.89,58.05,-0.07,-0.34,480307,,-0.97,,,,-3.11,13.9,,1.51,,,
2005-03-18,58.06,57.66,-0.67,0.03,1097613,,-1.44,,,,-3.76,12.7,,1.48,,,
2005-03-21,57.06,57.7,0.08,-1.03,678614,,-1.86,,,,-3.69,13.6,,1.53,,,
2005-03-22,57.75,57.43,-0.48,0.08,968626,,-1.8,,,,-4.15,12.8,,1.57,,,
2005-03-23,57.28,57.02,-0.71,-0.24,1238119,,-1.84,,,,-4.83,11.6,,1.53,,,
2005-03-24,57.25,57.2,0.32,0.4,1036189,0.8,-1.46,,,,-4.52,15.3,,1.51,,,-5.11
2005-03-28,57.25,57.2,0.0,0.08,898425,0.69,-0.79,,,,-4.52,15.3,,1.47,,,-5.11
2005-03-29,57.2,56.29,-1.59,0.0,1814840,1.34,-2.45,-6.04,,,-6.04,12.3,0.59,1.59,,,-6.62
2005-03-30,56.61,57.14,1.51,0.57,972239,0.79,-0.5,-4.0,,,-4.63,26.8,0.7,1.57,,,-5.22
2005-03-31,57.15,57.05,-0.16,0.03,1375117,1.08,0.05,-4.69,,,-4.78,26.3,0.68,1.51,,,-5.37
2005-04-01,57.56,56.76,-0.49,0.91,1643841,1.26,-0.76,-5.1,,,-5.25,24.8,0.68,1.59,,,-5.83
2005-04-04,56.75,57.01,0.43,-0.03,856196,0.68,-0.33,-4.63,,,-4.84,28.7,0.69,1.58,,,-5.43
2005-04-05,56.97,57.2,0.34,-0.06,979923,0.85,1.62,-5.11,,,-4.52,31.7,0.66,1.52,,,-5.11
2005-04-06,57.43,57.31,0.19,0.39,991113,0.98,0.31,-4.74,,,-4.34,33.4,0.67,1.49,,,-4.93
2005-04-07,57.11,57.62,0.54,-0.35,1133151,1.13,1.01,-3.32,,,-3.82,38.2,0.67,1.46,,,-4.42
2005-04-08,57.56,56.69,-1.61,-0.1,732586,0.75,-0.12,-3.95,,,-5.37,31.0,0.72,1.5,,,-5.95
2005-04-11,56.79,56.38,-0.55,0.17,554676,0.57,-1.11,-3.81,,,-5.89,29.0,0.72,1.47,,,-6.47
2005-04-12,56.2,56.79,0.73,-0.32,684432,0.71,-0.72,-2.92,,,-5.21,34.9,0.74,1.52,,,-5.79
2005-04-13,56.88,55.76,-1.81,0.16,803880,0.82,-2.71,-5.17,,,-6.93,28.5,0.81,1.58,,,-7.5
2005-04-14,55.78,54.74,-1.82,0.05,987599,0.99,-4.99,-6.39,,,-8.63,23.9,0.88,1.67,,,-9.19
2005-04-15,54.96,53.73,-1.84,0.41,1053517,1.03,-5.22,-7.49,,,-10.31,20.4,0.94,1.76,,,-10.86
2005-04-18,53.51,54.16,0.78,-0.42,1804749,1.7,-3.94,-6.7,,,-9.6,25.3,0.97,1.75,,,-10.16
2005-04-19,54.69,55.06,1.66,0.99,2423039,2.11,-3.05,-4.51,,,-8.1,34.7,1.06,1.72,,,-8.67
2005-04-20,55.06,54.29,-1.39,0.0,1520444,1.29,-2.63,-5.91,,,-9.38,31.1,1.09,1.78,,,-9.94
2005-04-21,54.92,55.7,2.59,1.16,961819,0.83,1.74,-3.01,,,-7.03,42.8,1.25,1.81,,,-7.61
2005-04-22,55.7,54.79,-1.63,0.0,850496,0.74,1.96,-3.91,,,-8.55,38.3,1.29,1.91,,,-9.11
2005-04-25,55.6,55.34,1.01,1.48,365031,0.32,2.19,-3.25,,,-7.62,42.3,1.31,1.86,,,-8.19
2005-04-26,54.96,54.44,-1.63,-0.68,855759,0.79,-1.12,-4.83,,,-9.13,38.0,1.35,1.92,,,-9.69
2005-04-27,54.06,54.37,-0.12,-0.7,676318,0.64,0.15,-3.4,,,-9.24,37.7,1.31,1.92,,,-9.8
2005-04-28,53.97,53.07,-2.4,-0.75,910931,0.88,-4.71,-7.12,,,-11.42,32.2,1.34,2.0,,,-11.96
2005-04-29,53.69,53.6,0.99,1.17,1086978,1.07,-2.17,-6.04,,,-10.54,36.2,1.37,2.0,,,-11.09
2005-05-02,53.78,54.09,0.92,0.35,1283311,1.24,-2.26,-4.71,,,-9.71,39.8,1.4,1.92,,,-10.27
2005-05-03,53.92,54.46,0.68,-0.32,767024,0.75,0.05,-4.47,,,-9.09,42.5,1.4,1.88,,,-9.65
2005-05-04,54.37,54.95,0.89,-0.16,939887,0.92,1.05,-3.94,,,-8.28,45.8,1.42,1.85,,,-8.85
2005-05-05,55.06,55.17,0.4,0.2,1165068,1.14,3.95,-3.74,,,-7.92,47.3,1.42,1.81,,,-8.48
2005-05-06,55.7,55.32,0.27,0.96,737738,0.72,3.21,-4.0,,,-7.67,48.3,1.42,1.77,-2.68,,-8.24
2005-05-09,55.18,55.88,1.02,-0.25,596572,0.58,3.3,-1.44,,,-6.73,52.2,1.4,1.74,-1.55,,-7.31
2005-05-10,55.38,55.08,-1.43,-0.9,591859,0.58,1.13,-2.31,,,-8.07,46.8,1.43,1.77,-2.81,,-8.63
2005-05-11,55.31,55.1,0.05,0.42,708448,0.7,0.28,-2.97,,,-8.02,47.0,1.42,1.77,-2.6,,-8.59
2005-05-12,55.38,54.35,-1.38,0.5,746291,0.74,-1.49,-2.53,,,-9.29,42.3,1.39,1.83,-3.75,,-9.85
2005-05-13,54.51,54.14,-0.38,0.3,634304,0.65,-2.13,-1.1,,,-9.64,41.1,1.34,1.85,-3.93,,-10.19
2005-05-16,54.06,54.88,1.37,-0.15,695944,0.75,-1.79,2.13,,,-8.4,46.9,1.31,1.81,-2.43,,-8.97
2005-05-17,54.88,55.24,0.66,0.0,725454,0.86,0.3,2.0,,,-7.79,49.6,1.3,1.78,-1.61,,-8.36
2005-05-18,55.7,56.56,2.39,0.82,2208061,2.52,2.65,2.74,,,-5.59,57.8,1.36,1.78,0.85,,-6.17
2005-05-19,56.56,56.66,0.18,0.0,1226930,1.38,4.27,4.37,,,-5.42,58.4,1.31,1.71,1.12,,-6.0
2005-05-20,56.57,56.38,-0.5,-0.16,563890,0.64,4.14,1.23,,,-5.89,56.1,1.2,1.65,0.69,,-6.47
2005-05-23,56.79,56.97,1.05,0.73,810349,0.9,3.82,3.99,,,-4.9,59.7,1.15,1.62,1.81,,-5.49
2005-05-24,56.83,56.79,-0.33,-0.25,458918,0.52,2.8,2.61,,,-5.21,58.1,1.14,1.57,1.55,,-5.79
2005-05-25,56.88,56.25,-0.95,0.16,541069,0.62,-0.55,3.33,,,-6.11,53.7,1.1,1.56,0.67,,-6.69
2005-05-26,56.63,57.08,1.48,0.67,661068,0.77,0.74,4.98,-4.72,,-4.72,58.9,1.13,1.55,2.19,,-5.31
2005-05-27,57.34,57.52,0.76,0.45,2187109,2.4,2.02,8.38,-3.36,,-3.99,61.3,0.96,1.5,2.99,,-4.59
2005-05-31,57.52,57.34,-0.31,0.0,625860,0.71,0.64,6.98,-4.2,,-4.29,59.8,0.96,1.46,2.68,,-4.88
2005-06-01,57.34,57.8,0.81,0.0,889872,1.0,1.79,6.86,-3.37,,-3.52,62.5,0.96,1.43,3.51,,-4.11
2005-06-02,57.84,58.05,0.42,0.07,386747,0.45,3.19,6.58,-2.9,,-3.11,63.8,0.96,1.39,3.92,,-3.71
2005-06-03,57.84,57.58,-0.8,-0.35,529339,0.64,0.88,4.8,-4.48,,-3.88,59.4,0.98,1.39,3.07,,-4.48
2005-06-06,57.58,57.7,0.21,0.0,545681,0.67,0.32,4.59,-4.09,,-3.69,60.2,0.97,1.35,3.27,,-4.28
2005-06-07,58.02,57.87,0.29,0.55,847751,1.02,0.92,4.62,-2.9,,-3.41,61.2,0.97,1.36,3.54,,-4.0
2005-06-08,57.87,57.34,-0.92,0.0,562351,0.68,-0.8,2.61,-2.86,,-4.29,56.0,0.99,1.37,2.55,,-4.88
2005-06-09,57.34,58.04,1.22,0.0,551161,0.67,-0.02,5.38,-0.98,,-3.13,60.8,0.95,1.38,3.77,,-3.72
