date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2010-07-23,27.16,27.75,,,268997,,,,,,0.0,,,2.69,,,
2010-07-26,28.11,28.37,2.23,1.3,95810,,,,,,2.23,,,2.62,,,
2010-07-27,28.89,28.27,-0.36,1.82,100919,,,,,,1.87,98.8,,2.63,,,
2010-07-28,28.45,28.16,-0.36,0.66,176871,,,,,,1.49,97.4,,2.58,,,
2010-07-29,28.89,29.01,3.0,2.57,145327,,,,,,4.54,97.7,,2.58,,,
2010-07-30,28.87,28.75,-0.9,-0.48,62300,,3.6,,,,3.6,94.4,,2.58,,,
2010-08-02,29.32,29.4,2.28,1.98,58817,,3.65,,,,5.97,94.9,,2.5,,,
2010-08-03,29.4,29.44,0.12,0.0,49549,,4.15,,,,6.09,94.9,,2.43,,,
2010-08-04,29.82,29.77,1.12,1.29,104591,,5.69,,,,7.27,95.1,,2.34,,,
2010-08-05,29.87,30.06,0.98,0.35,82450,,3.62,,,,8.32,95.3,,2.25,,,
2010-08-06,30.18,29.8,-0.85,0.41,80683,,3.67,,,,7.4,91.6,,2.27,,,
2010-08-09,30.4,29.95,0.51,2.02,53347,,1.87,,,,7.95,91.8,,2.25,,,
2010-08-10,29.66,29.64,-1.03,-0.97,102836,,0.7,,,,6.83,87.2,,2.27,,,
2010-08-11,28.8,28.19,-4.89,-2.85,108581,,-5.28,,,,1.61,69.6,,2.6,,,
2010-08-12,27.9,28.19,0.0,-1.04,46419,,-6.2,,,,1.61,69.6,,2.61,,,
2010-08-13,28.16,27.97,-0.79,-0.11,91384,,-6.14,,,,0.81,67.2,,2.54,,,
2010-08-16,27.99,28.15,0.62,0.05,15452,,-6.04,,,,1.43,68.1,,2.48,,,
2010-08-17,28.52,29.01,3.06,1.34,37748,,-2.15,,,,4.54,72.3,,2.49,,,
2010-08-18,29.32,29.09,0.3,1.07,13760,,3.19,,,,4.85,72.7,,2.39,,,
2010-08-19,29.15,28.57,-1.79,0.18,32988,0.38,1.35,,,,2.98,66.6,,2.47,,,-4.93
2010-08-20,28.3,28.34,-0.84,-0.97,33116,0.44,1.3,,,,2.12,64.0,,2.48,,,-5.73
2010-08-23,28.59,28.3,-0.13,0.91,22569,0.32,0.54,1.98,,,1.98,63.6,1.77,2.49,,,-5.85
2010-08-24,27.8,27.69,-2.13,-1.76,73893,1.06,-4.52,-2.37,,,-0.19,57.0,1.76,2.55,,,-7.86
2010-08-25,27.69,27.63,-0.24,0.0,67528,1.05,-5.03,-2.25,,,-0.43,56.3,1.76,2.57,,,-8.08
2010-08-26,27.92,27.54,-0.32,1.04,23972,0.41,-3.62,-2.21,,,-0.75,55.4,1.76,2.52,,,-8.37
2010-08-27,27.97,28.11,2.06,1.57,46802,0.82,-0.8,-3.1,,,1.3,60.1,1.69,2.48,,,-6.49
2010-08-30,28.06,27.97,-0.48,-0.18,35290,0.63,-1.15,-2.69,,,0.81,58.5,1.68,2.37,,,-6.93
2010-08-31,28.3,27.8,-0.62,1.16,20991,0.38,0.38,-5.45,,,0.19,56.4,1.59,2.37,,,-7.51
2010-09-01,28.47,28.68,3.16,2.42,36984,0.72,3.8,-2.58,,,3.35,63.4,1.76,2.36,,,-4.59
2010-09-02,28.96,29.21,1.86,0.97,20420,0.42,6.07,-1.86,,,5.28,66.9,1.79,2.28,,,-2.81
2010-09-03,29.63,29.54,1.13,1.42,21198,0.47,5.1,-1.72,,,6.46,68.9,1.8,2.2,,,-1.72
2010-09-07,30.16,29.68,0.47,2.1,38385,0.86,6.1,-0.41,,,6.96,69.7,1.79,2.23,,,-1.26
2010-09-08,30.04,29.8,0.41,1.23,61881,1.46,7.2,-0.51,,,7.4,70.4,1.79,2.18,,,-0.85
2010-09-09,30.04,29.9,0.34,0.81,34849,0.9,4.27,0.87,,,7.76,71.1,1.77,2.12,,,-0.52
2010-09-10,30.04,29.99,0.29,0.47,27294,0.72,2.66,6.37,,,8.08,71.6,1.37,2.02,,,-0.22
2010-09-13,30.51,30.82,2.76,1.73,60556,1.67,4.32,9.31,,,11.07,76.3,1.46,2.01,,,0.0
2010-09-14,30.92,31.05,0.74,0.34,36117,0.97,4.61,10.99,,,11.89,77.4,1.44,1.98,,,0.0
2010-09-15,30.85,30.85,-0.62,-0.62,49475,1.31,3.53,9.62,,,11.19,74.3,1.46,1.97,,,-0.62
2010-09-16,30.78,30.99,0.45,-0.23,16979,0.45,3.65,6.84,,,11.69,75.0,1.33,1.91,,,-0.17
2010-09-17,31.42,31.16,0.55,1.39,57071,1.45,3.91,7.11,,,12.31,76.0,1.33,1.88,,,0.0
2010-09-20,31.3,31.77,1.94,0.45,63074,1.55,3.08,11.17,,,14.48,79.1,1.28,1.86,,,0.0
2010-09-21,32.08,31.54,-0.7,0.98,148086,3.15,1.6,11.32,,,13.68,75.2,1.28,1.87,,,-0.7
2010-09-22,31.7,31.46,-0.28,0.5,59520,1.28,1.95,11.16,,,13.36,73.7,1.28,1.84,,,-0.98
2010-09-23,31.32,31.15,-0.99,-0.44,41324,0.92,0.49,12.46,,,12.24,68.4,1.18,1.85,,,-1.96
2010-09-24,31.63,31.82,2.16,1.56,69341,1.47,2.1,15.16,,,14.67,73.0,1.22,1.85,,,0.0
2010-09-27,31.89,32.22,1.25,0.22,68666,1.42,1.41,16.98,,,16.1,75.2,1.2,1.81,,,0.0
2010-09-28,32.41,32.42,0.65,0.6,56919,1.15,2.79,15.36,,,16.85,76.3,1.16,1.81,,,0.0
2010-09-29,32.58,32.11,-0.96,0.48,45793,0.9,2.09,14.8,,,15.73,71.2,1.19,1.81,,,-0.96
2010-09-30,32.46,32.08,-0.1,1.08,63801,1.23,3.0,15.39,,,15.61,70.6,1.17,1.85,,,-1.06
2010-10-01,32.68,32.2,0.38,1.88,23965,0.46,1.2,12.28,,,16.05,71.5,1.02,1.84,8.68,,-0.69
2010-10-04,32.23,31.77,-1.35,0.11,62933,1.16,-1.39,8.74,,,14.48,64.2,1.06,1.87,6.93,,-2.03
2010-10-05,32.27,32.41,2.02,1.58,57460,1.04,-0.05,9.7,,,16.79,69.2,1.1,1.86,8.79,,-0.05
2010-10-06,32.3,32.37,-0.1,-0.33,53827,0.98,0.81,9.08,,,16.67,68.6,1.11,1.8,8.38,,-0.16
2010-10-07,32.51,32.22,-0.49,0.42,78155,1.37,0.42,8.1,,,16.1,66.0,1.13,1.84,7.56,,-0.64
2010-10-08,32.47,33.13,2.84,0.8,91936,1.53,2.89,10.8,,,19.4,72.6,1.25,1.88,10.31,,0.0
2010-10-11,33.32,33.41,0.84,0.57,140850,2.19,5.17,11.4,,,20.4,74.2,1.25,1.84,10.89,,0.0
2010-10-12,33.44,33.66,0.77,0.1,129880,1.88,3.88,9.23,,,21.32,75.6,1.14,1.84,11.42,,0.0
2010-10-13,34.15,34.27,1.8,1.44,194283,2.55,5.86,10.38,,,23.5,78.6,1.18,1.84,13.07,,0.0
2010-10-14,34.37,34.39,0.35,0.31,72462,0.92,6.75,11.46,,,23.94,79.2,1.15,1.78,13.12,,0.0
2010-10-15,35.03,34.23,-0.45,1.86,67828,0.85,3.33,10.46,,,23.38,76.4,1.17,1.86,12.3,,-0.45
2010-10-18,34.18,34.42,0.55,-0.15,100271,1.23,3.04,10.46,,,24.06,77.4,1.17,1.83,12.58,,0.0
2010-10-19,33.98,33.65,-2.25,-1.29,108863,1.37,-0.04,5.93,,,21.27,65.0,1.27,1.95,9.78,,-2.25
2010-10-20,34.15,34.3,1.95,1.48,108391,1.32,0.1,8.76,,,23.63,69.5,1.29,1.95,11.58,,-0.35
2010-10-21,34.82,34.15,-0.46,1.5,73825,0.88,-0.71,8.56,23.06,,23.06,67.3,1.3,2.03,10.64,,-0.8
2010-10-22,34.42,34.03,-0.35,0.81,52374,0.63,-0.6,9.26,19.96,,22.64,65.6,1.27,2.02,9.84,,-1.15
2010-10-25,34.79,34.63,1.77,2.24,63611,0.77,0.61,8.85,22.53,,24.81,69.8,1.25,2.0,11.31,,0.0
2010-10-26,34.6,34.7,0.2,-0.1,45670,0.56,3.13,7.72,23.22,,25.06,70.2,1.23,1.96,11.07,,0.0
2010-10-27,34.6,34.22,-1.39,-0.3,63097,0.76,-0.25,5.53,17.97,,23.32,63.2,1.29,2.02,9.15,,-1.39
2010-10-28,34.41,34.46,0.71,0.56,37965,0.47,0.92,7.31,19.87,,24.19,65.1,1.26,1.98,9.55,,-0.7
2010-10-29,34.51,34.32,-0.4,0.15,49287,0.6,0.86,6.99,16.73,,23.69,63.1,1.27,1.9,8.71,,-1.1
2010-11-01,34.67,34.18,-0.4,1.01,49219,0.6,-1.3,6.16,16.12,,23.19,61.1,1.28,1.91,7.87,,-1.49
2010-11-02,34.81,34.61,1.26,1.82,52061,0.64,-0.26,8.96,16.28,,24.74,64.8,1.24,1.88,8.8,,-0.26
2010-11-03,34.74,34.56,-0.15,0.36,66292,0.81,1.0,6.65,14.99,,24.56,64.0,1.19,1.86,8.17,,-0.4
2010-11-04,34.79,35.44,2.55,0.66,103270,1.24,2.85,9.48,18.93,,27.73,70.7,1.28,1.92,10.39,,0.0
2010-11-05,35.56,36.24,2.24,0.34,99535,1.19,5.58,12.49,20.98,,30.6,75.1,1.32,1.9,12.25,,0.0
2010-11-08,36.27,36.43,0.52,0.09,139940,1.67,6.56,9.95,22.88,,31.28,76.1,1.21,1.85,12.26,,0.0
2010-11-09,36.58,35.58,-2.33,0.42,159416,1.87,2.79,6.5,26.19,,28.22,64.4,1.35,2.03,9.14,,-2.33
2010-11-10,35.81,35.77,0.53,0.64,84194,1.05,3.49,6.25,26.87,,28.91,65.7,1.35,2.07,9.19,,-1.8
2010-11-11,35.55,35.79,0.05,-0.62,131224,1.58,0.97,4.43,27.94,,28.97,65.8,1.3,2.03,8.77,,-1.76
2010-11-12,35.63,35.1,-1.92,-0.43,109820,1.29,-3.14,2.06,24.71,,26.49,57.2,1.38,2.12,6.3,,-3.65
2010-11-15,35.32,34.79,-0.88,0.63,138265,1.59,-4.49,1.62,19.94,,25.38,53.9,1.39,2.12,5.03,,-4.49
2010-11-16,34.6,33.89,-2.58,-0.55,162441,1.82,-4.75,-1.55,16.49,,22.14,45.4,1.51,2.28,2.05,,-6.96
2010-11-17,33.85,34.15,0.76,-0.11,54431,0.63,-4.53,1.48,19.51,,23.06,47.9,1.43,2.19,2.56,,-6.26
2010-11-18,34.79,35.01,2.53,1.88,51554,0.6,-2.17,2.06,23.56,,26.18,55.4,1.47,2.19,4.83,,-3.88
2010-11-19,34.86,35.1,0.25,-0.45,24289,0.29,0.0,2.79,24.03,,26.49,56.0,1.47,2.12,4.77,,-3.65
2010-11-22,35.41,35.43,0.93,0.88,70954,0.84,1.83,4.11,27.92,,27.67,58.6,1.47,2.04,5.46,,-2.75
2010-11-23,34.99,34.75,-1.9,-1.22,31171,0.37,2.55,0.35,25.79,,25.25,51.9,1.49,2.08,3.23,,-4.59
2010-11-24,35.25,35.68,2.67,1.43,184096,2.05,4.49,2.82,29.57,,28.6,58.9,1.6,2.08,5.68,,-2.04
2010-11-26,35.36,35.75,0.19,-0.91,102184,1.1,2.11,4.48,27.2,,28.84,59.4,1.56,2.05,5.59,,-1.85
2010-11-29,35.79,35.79,0.1,0.1,111804,1.16,1.96,3.85,27.94,,28.97,59.6,1.56,2.03,5.41,,-1.76
2010-11-30,35.53,34.96,-2.31,-0.72,84772,0.86,-1.31,1.87,25.76,,26.0,51.5,1.65,2.15,2.78,,-4.02
2010-12-01,35.49,35.62,1.87,1.52,163844,1.58,2.48,4.19,24.2,,28.36,56.6,1.69,2.12,4.46,,-2.22
2010-12-02,35.75,36.2,1.64,0.38,106318,1.01,1.46,4.59,23.93,,30.47,60.5,1.7,2.07,5.88,,-0.62
2010-12-03,36.13,36.29,0.24,-0.19,57147,0.55,1.51,5.0,22.84,,30.79,61.1,1.7,2.01,5.82,,-0.38
2010-12-06,36.65,36.44,0.42,1.0,91088,0.88,1.83,2.82,22.79,,31.33,62.1,1.62,1.93,5.98,,0.0
2010-12-07,37.13,36.63,0.53,1.9,83583,0.83,4.78,1.09,22.93,,32.03,63.4,1.55,1.92,6.26,,0.0
2010-12-08,36.98,36.6,-0.1,0.94,93563,0.97,2.75,0.47,22.4,,31.9,63.0,1.54,1.89,5.9,,-0.1
2010-12-09,36.88,36.69,0.24,0.76,174593,1.72,1.34,3.11,22.33,,32.22,63.7,1.44,1.89,5.88,,0.0
2010-12-10,36.77,36.82,0.37,0.23,49009,0.5,1.47,2.94,19.48,,32.7,64.7,1.44,1.81,5.98,,0.0
2010-12-13,37.27,36.89,0.18,1.22,223191,2.17,1.23,3.08,18.82,,32.95,65.3,1.44,1.81,5.89,,0.0
2010-12-14,37.08,36.67,-0.6,0.52,73764,0.74,0.1,4.48,18.85,,32.16,61.9,1.37,1.78,4.96,,-0.6
2010-12-15,36.82,36.76,0.23,0.41,166345,1.67,0.43,5.65,18.6,,32.46,62.7,1.35,1.73,4.94,,-0.37
2010-12-16,36.67,36.79,0.09,-0.23,121193,1.17,0.28,8.55,18.05,,32.58,63.0,1.18,1.77,4.77,,-0.28
2010-12-17,36.74,36.58,-0.56,-0.14,42980,0.42,-0.65,7.13,15.16,,31.84,59.6,1.2,1.72,3.93,,-0.84
2010-12-20,36.98,36.72,0.38,1.09,79469,0.75,-0.46,4.88,16.41,,32.33,61.1,1.09,1.67,4.11,,-0.46
2010-12-21,36.98,37.27,1.5,0.71,66024,0.63,1.64,6.19,18.49,,34.32,66.6,1.12,1.65,5.44,,0.0
2010-12-22,37.45,37.2,-0.19,0.47,54754,0.51,1.21,5.01,19.44,,34.07,65.3,1.12,1.66,5.03,,-0.19
2010-12-23,37.27,37.26,0.15,0.19,56565,0.57,1.27,7.2,17.09,,34.26,65.8,1.01,1.59,5.01,,-0.05
2010-12-27,37.1,37.45,0.51,-0.42,50360,0.52,2.36,4.94,16.24,,34.95,67.7,0.86,1.56,5.36,,0.0
2010-12-28,37.86,38.17,1.93,1.1,261583,2.49,3.95,6.76,17.72,,37.56,73.7,0.93,1.59,7.16,,0.0
2010-12-29,38.57,38.48,0.81,1.04,199117,1.8,3.24,7.52,19.82,,38.67,75.7,0.94,1.6,7.78,,0.0
2010-12-30,38.67,38.9,1.09,0.49,154844,1.4,4.56,11.25,21.25,,40.18,78.2,0.72,1.58,8.63,,0.0
2010-12-31,38.98,39.24,0.88,0.22,158654,1.41,5.32,10.17,21.86,,41.41,80.0,0.66,1.59,9.29,,0.0
2011-01-03,39.81,40.74,3.83,1.45,321408,2.55,8.8,12.54,28.25,,0.0,85.6,0.96,1.7,13.06,,0.0
2011-01-04,41.05,39.76,-2.42,0.77,224365,1.69,4.15,9.55,22.67,,-2.42,71.4,1.16,1.91,9.97,,-2.42
2011-01-05,39.59,39.57,-0.47,-0.42,143731,1.06,2.84,8.58,22.23,,-2.87,69.1,1.18,1.87,9.16,,-2.87
2011-01-06,39.64,38.63,-2.36,0.17,219422,1.54,-0.67,5.46,19.93,,-5.17,58.8,1.32,2.09,6.35,,-5.17
2011-01-07,38.45,38.52,-0.31,-0.49,67728,0.5,-1.84,5.24,16.25,,-5.46,57.6,1.32,2.11,5.77,,-5.46
2011-01-10,38.46,38.53,0.04,-0.13,72478,0.53,-5.42,5.03,15.34,,-5.42,57.7,1.33,2.12,5.58,,-5.42
2011-01-11,39.01,39.01,1.25,1.25,113424,0.86,-1.86,5.95,15.89,,-4.24,61.4,1.34,2.08,6.63,,-4.24
2011-01-12,39.65,39.72,1.81,1.64,115477,0.86,0.39,7.68,15.91,,-2.5,66.0,1.38,2.03,8.24,,-2.5
2011-01-13,40.22,39.59,-0.34,1.26,137842,1.04,2.46,7.95,15.11,,-2.83,64.4,1.38,2.1,7.58,,-2.83
2011-01-14,39.55,39.45,-0.36,-0.09,92871,0.71,2.42,7.32,15.22,,-3.18,62.7,1.39,2.03,6.91,,-3.18
2011-01-18,39.64,39.72,0.7,0.48,115546,0.85,3.09,7.97,15.39,,-2.5,64.7,1.39,2.02,7.41,,-2.5
2011-01-19,39.81,38.59,-2.86,0.21,125464,0.91,-1.1,5.48,14.67,,-5.29,52.4,1.55,2.21,4.2,,-5.29
2011-01-20,38.48,37.5,-2.83,-0.28,193617,1.34,-5.61,2.11,9.3,,-7.97,43.9,1.69,2.43,1.2,,-7.97
2011-01-21,38.07,37.48,-0.05,1.52,98183,0.67,-5.33,0.55,9.75,35.07,-8.01,43.8,1.66,2.38,1.05,,-8.01
2011-01-24,37.67,37.79,0.83,0.51,92739,0.63,-4.2,1.58,11.05,33.22,-7.24,46.6,1.66,2.31,1.78,,-7.24
2011-01-25,37.7,37.53,-0.68,-0.23,76328,0.51,-5.52,0.74,8.37,32.78,-7.88,44.6,1.67,2.26,0.99,,-7.88
2011-01-26,37.63,38.17,1.7,0.28,93333,0.66,-1.08,1.93,9.99,35.53,-6.31,50.4,1.71,2.19,2.54,,-6.31
2011-01-27,38.29,38.26,0.23,0.31,55528,0.42,2.03,0.23,11.8,31.89,-6.1,51.1,1.66,2.13,2.58,,-6.1
2011-01-28,38.67,37.5,-1.99,1.08,94476,0.72,0.05,-2.56,8.81,30.43,-7.97,44.8,1.7,2.26,0.34,,-7.97
2011-01-31,37.96,37.63,0.37,1.24,94989,0.75,-0.41,-3.24,9.65,27.99,-7.62,46.1,1.68,2.22,0.53,,-7.62
2011-02-01,37.89,38.63,2.65,0.69,106529,0.91,2.94,-1.54,13.02,31.24,-5.17,54.5,1.78,2.21,3.0,,-5.17
2011-02-02,38.59,38.69,0.14,-0.13,140361,1.25,1.36,-5.04,11.77,29.97,-5.04,54.9,1.54,2.13,2.95,,-5.04
2011-02-03,38.65,38.59,-0.26,-0.09,54663,0.51,0.86,-2.94,11.64,28.37,-5.29,53.9,1.46,2.12,2.5,,-5.29
2011-02-04,38.77,38.45,-0.36,0.49,56714,0.57,2.54,-2.84,8.47,29.01,-5.63,52.5,1.46,2.1,1.93,,-5.63
2011-02-07,38.86,38.96,1.35,1.07,137226,1.33,3.53,0.86,7.52,30.08,-4.36,57.0,1.4,2.06,3.13,,-4.36
2011-02-08,39.38,40.1,2.92,1.06,147005,1.37,3.8,4.12,10.09,35.27,-1.57,64.7,1.53,2.07,5.89,,-1.57
2011-02-09,40.17,39.33,-1.93,0.18,130709,1.21,1.65,2.06,10.53,39.48,-3.47,57.2,1.6,2.14,3.65,,-3.47
2011-02-10,39.2,39.4,0.18,-0.31,64757,0.61,2.1,0.98,10.14,39.73,-3.3,57.6,1.58,2.11,3.59,,-3.3
2011-02-11,39.4,40.02,1.57,0.0,48814,0.48,4.08,0.74,11.81,43.05,-1.78,61.7,1.56,2.1,4.98,,-1.78
2011-02-14,40.31,40.24,0.56,0.73,141027,1.36,3.27,1.65,14.65,42.97,-1.23,63.1,1.56,2.04,5.35,,-1.23
2011-02-15,40.4,39.86,-0.94,0.39,109281,1.06,-0.6,1.05,14.57,37.42,-2.16,59.2,1.58,2.04,4.16,,-2.16
2011-02-16,40.16,40.52,1.64,0.74,101232,0.99,3.03,2.0,19.55,39.26,-0.55,63.4,1.61,2.0,5.64,,-0.55
2011-02-18,40.83,40.05,-1.15,0.76,146080,1.47,1.66,3.8,17.29,40.17,-1.69,58.8,1.49,2.06,4.25,,-1.69
2011-02-22,39.65,38.14,-4.78,-0.99,212204,2.02,-4.7,1.71,8.92,34.59,-6.39,44.3,1.73,2.38,-0.82,,-6.39
2011-02-23,38.22,37.65,-1.27,0.23,163457,1.5,-6.43,0.47,7.28,33.06,-7.58,41.6,1.76,2.47,-2.12,,-7.58
2011-02-24,37.37,37.67,0.04,-0.74,118296,1.07,-5.5,-0.32,6.33,36.01,-7.54,41.7,1.75,2.44,-2.12,,-7.54
2011-02-25,38.39,38.72,2.79,1.92,46903,0.43,-4.43,3.17,11.41,40.15,-4.96,49.6,1.84,2.41,0.51,,-4.96
2011-02-28,39.24,38.91,0.49,1.34,70204,0.64,-2.85,1.94,9.05,41.29,-4.49,50.9,1.81,2.34,0.89,,-4.49
2011-03-01,38.81,37.7,-3.1,-0.26,78663,0.73,-1.13,-1.44,5.46,34.14,-7.45,43.3,1.94,2.51,-2.29,,-7.45
2011-03-02,37.57,37.53,-0.46,-0.37,84767,0.79,-0.32,0.1,4.87,34.17,-7.88,42.3,1.89,2.41,-2.77,,-7.88
2011-03-03,38.22,39.0,3.91,1.84,112126,1.04,3.53,3.62,11.54,40.28,-4.28,52.2,2.07,2.44,0.9,,-4.28
2011-03-04,39.12,38.5,-1.28,0.3,109382,1.03,-0.58,-0.35,8.09,34.24,-5.51,49.1,2.02,2.47,-0.49,,-5.51
2011-03-07,38.81,37.88,-1.61,0.81,71233,0.66,-2.66,-2.09,4.63,29.66,-7.03,45.5,2.05,2.57,-2.12,,-7.03
2011-03-08,37.83,38.08,0.54,-0.14,54711,0.51,1.01,-1.3,4.94,28.92,-6.52,46.9,2.05,2.51,-1.63,,-6.52
2011-03-09,38.07,37.77,-0.82,-0.05,41138,0.4,0.64,-1.75,3.65,27.27,-7.28,45.0,2.06,2.44,-2.46,,-7.28
2011-03-10,37.27,36.37,-3.7,-1.33,126204,1.24,-6.73,-6.65,-0.71,22.06,-10.72,37.7,2.17,2.63,-6.02,,-10.72
2011-03-11,36.1,36.69,0.86,-0.76,98629,0.99,-4.7,-8.51,0.24,22.69,-9.95,40.1,2.07,2.62,-5.14,,-9.95
