date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,79.57,79.5,,,93869,,,,,,0.0,,,0.32,,,
2005-02-28,79.11,79.05,-0.56,-0.49,271036,,,,,,-0.56,0.0,,0.34,,,
2005-03-01,78.76,78.73,-0.41,-0.36,130232,,,,,,-0.97,0.0,,0.36,,,
2005-03-02,78.73,78.76,0.04,-0.0,84989,,,,,,-0.93,0.5,,0.36,,,
2005-03-03,78.82,78.75,-0.01,0.08,154199,,,,,,-0.94,0.5,,0.36,,,
2005-03-04,79.06,79.01,0.32,0.39,90344,,-0.62,,,,-0.62,5.3,,0.37,,,
2005-03-07,79.01,79.24,0.29,0.0,74846,,0.24,,,,-0.33,9.7,,0.38,,,
2005-03-08,79.02,78.88,-0.45,-0.27,92463,,0.19,,,,-0.78,9.0,,0.39,,,
2005-03-09,78.58,78.13,-0.96,-0.38,98384,,-0.8,,,,-1.72,7.7,,0.44,,,
2005-03-10,78.47,78.23,0.14,0.44,131785,,-0.66,,,,-1.59,9.6,,0.44,,,
2005-03-11,78.06,78.1,-0.17,-0.23,100216,,-1.15,,,,-1.76,9.4,,0.44,,,
2005-03-14,78.05,78.09,-0.01,-0.06,77802,,-1.44,,,,-1.77,9.4,,0.44,,,
2005-03-15,78.07,77.77,-0.41,-0.03,103875,,-1.41,,,,-2.17,8.7,,0.45,,,
2005-03-16,77.9,78.05,0.36,0.16,84849,,-0.1,,,,-1.82,14.3,,0.47,,,
2005-03-17,78.13,77.86,-0.24,0.11,356310,,-0.47,,,,-2.06,13.7,,0.49,,,
2005-03-18,77.93,77.63,-0.3,0.08,87385,,-0.6,,,,-2.35,13.0,,0.5,,,
2005-03-21,77.54,77.54,-0.12,-0.11,135164,,-0.71,,,,-2.47,12.7,,0.49,,,
2005-03-22,77.54,76.87,-0.86,0.01,137428,,-1.15,,,,-3.3,10.8,,0.55,,,
2005-03-23,76.67,77.1,0.3,-0.26,175896,,-1.21,,,,-3.01,15.5,,0.56,,,
2005-03-24,77.36,77.26,0.2,0.34,68358,0.54,-0.78,,,,-2.82,18.6,,0.55,,,-2.82
2005-03-28,77.26,77.15,-0.14,0.0,74695,0.59,-0.62,,,,-2.95,18.1,,0.53,,,-2.95
2005-03-29,77.11,77.28,0.16,-0.05,117971,0.99,-0.33,-2.79,,,-2.79,20.8,0.38,0.53,,,-2.79
2005-03-30,77.06,77.48,0.27,-0.29,128965,1.09,0.79,-1.98,,,-2.53,25.1,0.37,0.54,,,-2.53
2005-03-31,77.55,77.75,0.35,0.09,97393,0.82,0.84,-1.24,,,-2.19,30.4,0.38,0.52,,,-2.19
2005-04-01,77.72,77.52,-0.31,-0.04,293167,2.32,0.33,-1.58,,,-2.49,28.5,0.38,0.53,,,-2.49
2005-04-04,77.42,77.04,-0.62,-0.13,534882,3.6,-0.15,-2.18,,,-3.09,25.0,0.4,0.56,,,-3.09
2005-04-05,77.19,77.26,0.29,0.2,234399,1.5,-0.02,-2.21,,,-2.81,29.4,0.4,0.56,,,-2.81
2005-04-06,77.41,77.22,-0.05,0.19,366182,2.15,-0.34,-2.54,,,-2.86,29.0,0.39,0.56,,,-2.86
2005-04-07,77.19,76.84,-0.5,-0.04,221003,1.25,-1.18,-2.59,,,-3.34,26.1,0.39,0.59,,,-3.34
2005-04-08,77.12,77.09,0.33,0.36,163077,0.92,-0.55,-1.32,,,-3.02,31.1,0.35,0.59,,,-3.02
2005-04-11,77.09,77.29,0.26,-0.01,100914,0.57,0.33,-1.2,,,-2.77,34.8,0.35,0.58,,,-2.77
2005-04-12,77.03,77.61,0.41,-0.34,80902,0.45,0.45,-0.63,,,-2.38,40.3,0.37,0.6,,,-2.38
2005-04-13,77.62,77.79,0.24,0.01,82313,0.46,0.74,-0.39,,,-2.15,43.2,0.37,0.58,,,-2.15
2005-04-14,77.75,77.52,-0.35,-0.05,94999,0.53,0.88,-0.33,,,-2.49,40.0,0.37,0.57,,,-2.49
2005-04-15,77.98,77.86,0.45,0.6,132632,0.8,1.0,-0.24,,,-2.06,45.6,0.37,0.57,,,-2.06
2005-04-18,77.93,77.88,0.02,0.08,164063,0.96,0.76,0.02,,,-2.04,45.8,0.37,0.54,,,-2.04
2005-04-19,78.07,78.21,0.42,0.24,85272,0.51,0.77,0.74,,,-1.62,50.7,0.37,0.54,,,-1.62
2005-04-20,77.9,78.25,0.05,-0.39,457229,2.49,0.59,0.92,,,-1.57,51.4,0.37,0.53,,,-1.57
2005-04-21,78.22,77.84,-0.53,-0.04,114448,0.63,0.41,1.25,,,-2.09,45.4,0.34,0.54,,,-2.09
2005-04-22,78.32,78.21,0.48,0.62,210014,1.12,0.44,1.43,,,-1.62,50.9,0.35,0.55,,,-1.62
2005-04-25,78.25,78.4,0.25,0.06,63703,0.34,0.67,1.48,,,-1.38,53.5,0.35,0.53,,,-1.38
2005-04-26,78.08,78.27,-0.17,-0.41,69620,0.38,0.08,1.45,,,-1.55,51.5,0.35,0.53,,,-1.55
2005-04-27,78.54,78.66,0.5,0.35,493310,2.43,0.52,1.78,,,-1.06,56.7,0.36,0.53,,,-1.06
2005-04-28,78.68,78.98,0.41,0.02,443981,2.02,1.47,1.93,,,-0.65,60.6,0.36,0.52,,,-0.65
2005-04-29,78.86,78.69,-0.37,-0.15,129955,0.61,0.62,1.21,,,-1.01,55.9,0.37,0.53,,,-1.01
2005-05-02,78.45,78.42,-0.35,-0.31,73856,0.39,0.02,1.16,,,-1.36,51.7,0.38,0.54,,,-1.36
2005-05-03,78.4,78.46,0.05,-0.02,73856,0.41,0.24,1.84,,,-1.31,52.3,0.34,0.53,,,-1.31
2005-05-04,77.76,78.28,-0.22,-0.89,83019,0.5,-0.47,1.32,,,-1.53,49.6,0.35,0.55,,,-1.53
2005-05-05,78.38,78.4,0.15,0.13,113742,0.7,-0.74,1.52,,,-1.38,51.3,0.35,0.55,,,-1.38
2005-05-06,77.97,77.98,-0.54,-0.55,85554,0.54,-0.91,1.48,,,-1.91,45.1,0.35,0.57,-0.03,,-1.91
2005-05-09,77.79,77.71,-0.35,-0.24,667520,3.59,-0.9,0.8,,,-2.25,41.6,0.35,0.57,-0.33,,-2.25
2005-05-10,77.68,77.69,-0.02,-0.03,189994,0.99,-0.98,0.51,,,-2.27,41.4,0.35,0.57,-0.32,,-2.27
2005-05-11,77.82,77.76,0.09,0.17,222131,1.12,-0.67,0.2,,,-2.19,42.7,0.34,0.56,-0.21,,-2.19
2005-05-12,77.67,77.52,-0.31,-0.11,1133062,4.53,-1.13,-0.35,,,-2.49,39.4,0.34,0.59,-0.49,,-2.49
2005-05-13,77.53,77.94,0.55,0.02,80762,0.33,-0.04,0.55,,,-1.96,47.2,0.36,0.59,0.08,,-1.96
2005-05-16,78.05,77.82,-0.15,0.14,188164,0.76,0.15,-0.05,,,-2.11,45.4,0.34,0.59,-0.04,,-2.11
2005-05-17,77.93,77.86,0.05,0.13,823544,2.88,0.22,-0.02,,,-2.06,46.1,0.34,0.61,0.04,,-2.06
2005-05-18,78.05,78.14,0.35,0.24,77245,0.29,0.49,-0.09,,,-1.71,51.0,0.34,0.59,0.42,,-1.71
2005-05-19,78.11,78.03,-0.13,-0.03,78224,0.3,0.67,-0.27,,,-1.84,49.2,0.34,0.58,0.29,,-1.84
