date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2007-08-15,77.75,76.9,,,25188,,,,,,0.0,,,1.93,,,
2007-08-16,74.4,73.69,-4.18,-3.25,24155,,,,,,-4.18,0.0,,2.36,,,
2007-08-17,72.77,73.85,0.22,-1.24,64987,,,,,,-3.97,0.4,,2.33,,,
2007-08-20,75.01,74.99,1.54,1.57,11611,,,,,,-2.49,3.2,,2.26,,,
2007-08-21,75.41,75.5,0.68,0.57,34485,,,,,,-1.82,4.5,,2.14,,,
2007-08-22,76.19,77.55,2.72,0.91,24596,,0.84,,,,0.84,9.8,,2.14,,,
2007-08-23,79.79,79.14,2.05,2.89,24647,,7.4,,,,2.91,13.8,,2.17,,,
2007-08-24,78.87,80.08,1.2,-0.34,18744,,8.44,,,,4.14,16.2,,2.12,,,
2007-08-27,80.66,80.32,0.29,0.71,26515,,7.11,,,,4.44,16.8,,2.03,,,
2007-08-28,79.01,78.46,-2.31,-1.63,11117,,3.93,,,,2.03,15.8,,2.13,,,
2007-08-29,77.51,77.73,-0.93,-1.22,30058,,0.24,,,,1.08,15.4,,2.13,,,
2007-08-30,76.69,77.37,-0.47,-1.33,11168,,-2.24,,,,0.61,15.2,,2.1,,,
2007-08-31,78.12,78.57,1.55,0.97,6444,,-1.9,,,,2.17,18.9,,2.03,,,
2007-09-04,79.73,80.19,2.07,1.48,23614,,-0.16,,,,4.28,23.7,,1.99,,,
2007-09-05,79.19,77.25,-3.67,-1.24,34535,,-1.55,,,,0.45,21.3,,2.2,,,
2007-09-06,77.25,77.75,0.66,0.0,21989,,0.03,,,,1.11,22.8,,2.08,,,
2007-09-07,77.0,76.68,-1.39,-0.97,18154,,-0.89,,,,-0.29,21.8,,2.06,,,
2007-09-10,76.19,75.29,-1.8,-0.64,12691,,-4.16,,,,-2.09,20.6,,2.08,,,
2007-09-11,75.5,76.74,1.92,0.27,17908,,-4.31,,,,-0.21,25.2,,2.03,,,
2007-09-12,76.43,77.65,1.19,-0.4,34338,1.44,0.53,,,,0.98,28.0,,2.01,,,-3.32
2007-09-13,77.65,79.28,2.1,0.0,75610,2.87,1.96,,,,3.09,32.9,,2.02,,,-1.29
