date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-01-25,25.35,25.32,,,548,,,,,,0.0,,,0.12,,,
2024-01-26,25.3,25.44,0.47,-0.06,380,,,,,,0.47,,,0.15,,,
2024-01-29,25.6,25.77,1.32,0.63,4155,,,,,,1.8,,,0.23,,,
2024-01-30,25.64,25.8,0.08,-0.54,927,,,,,,1.88,,,0.26,,,
2024-01-31,26.01,25.65,-0.57,0.83,2762,,,,,,1.29,91.8,,0.34,,,
2024-02-01,25.95,26.34,2.7,1.18,2718,,4.03,,,,4.03,94.2,,0.5,,,
2024-02-02,26.31,26.33,-0.05,-0.11,2349,,3.48,,,,3.97,93.6,,0.52,,,
2024-02-05,26.21,25.96,-1.38,-0.44,4504,,0.72,,,,2.53,79.5,,0.61,,,
2024-02-06,25.93,26.02,0.22,-0.12,679,,0.87,,,,2.76,80.0,,0.6,,,
2024-02-07,26.14,26.18,0.62,0.47,2021,,2.08,,,,3.4,81.4,,0.6,,,
2024-02-08,26.02,25.9,-1.07,-0.61,3164,,-1.67,,,,2.29,72.0,,0.64,,,
2024-02-09,25.91,25.92,0.08,0.04,508,,-1.54,,,,2.37,72.2,,0.6,,,
2024-02-12,25.9,25.93,0.03,-0.08,1075,,-0.13,,,,2.4,72.3,,0.59,,,
2024-02-13,25.46,25.43,-1.91,-1.8,1701,,-2.25,,,,0.45,57.7,,0.7,,,
2024-02-14,25.72,25.72,1.14,1.14,88,,-1.75,,,,1.59,62.5,,0.72,,,
2024-02-15,25.95,26.04,1.23,0.88,123,,0.54,,,,2.84,66.9,,0.75,,,
2024-02-16,26.0,25.93,-0.42,-0.17,1273,,0.04,,,,2.41,64.1,,0.74,,,
2024-02-20,26.13,25.87,-0.22,0.77,1375,,-0.2,,,,2.19,62.7,,0.76,,,
2024-02-21,25.92,25.92,0.19,0.19,295,,1.93,,,,2.38,63.4,,0.72,,,
2024-02-22,26.17,26.17,0.96,0.95,387,0.25,1.75,,,,3.37,67.2,,0.73,,,-0.63
2024-02-23,26.39,26.22,0.18,0.83,979,0.62,0.69,,,,3.55,67.8,,0.74,,,-0.46
2024-02-26,26.27,26.29,0.27,0.19,609,0.38,1.39,3.83,,,3.83,68.9,1.0,0.7,,,-0.19
2024-02-27,26.96,26.96,2.55,2.55,24,0.02,4.19,5.97,,,6.47,76.5,1.13,0.81,,,0.0
2024-02-28,27.71,27.71,2.79,2.79,199,0.15,6.9,7.51,,,9.44,81.9,1.23,0.93,,,0.0
2024-02-29,27.95,27.75,0.14,0.86,1036,0.83,6.03,7.58,,,9.6,82.1,1.23,0.92,,,0.0
2024-03-01,27.76,28.1,1.26,0.04,717,0.62,7.17,9.56,,,10.97,84.1,1.23,0.94,,,0.0
2024-03-04,28.4,28.52,1.51,1.07,1560,1.4,8.49,8.28,,,12.64,86.0,1.15,0.97,,,0.0
2024-03-05,28.73,28.67,0.52,0.72,5304,4.59,6.34,8.9,,,13.23,86.7,1.14,1.02,,,0.0
2024-03-06,29.0,29.0,1.15,1.15,5317,3.83,4.64,11.7,,,14.52,87.9,1.07,1.06,,,0.0
2024-03-07,29.37,29.56,1.95,1.28,1278,0.95,6.53,13.62,,,16.76,89.8,1.11,1.1,,,0.0
2024-03-08,29.66,29.49,-0.25,0.33,14411,7.53,4.94,12.64,,,16.46,87.9,1.13,1.12,,,-0.25
2024-03-11,29.77,29.21,-0.95,0.96,1581,0.8,2.4,12.77,,,15.35,80.9,1.12,1.19,,,-1.2
2024-03-12,29.53,29.68,1.63,1.11,2235,1.1,3.53,14.51,,,17.23,83.3,1.14,1.2,,,0.0
2024-03-13,30.03,29.93,0.84,1.17,4597,2.12,3.22,15.45,,,18.22,84.4,1.13,1.21,,,0.0
2024-03-14,29.8,29.89,-0.13,-0.44,2431,1.06,1.12,17.54,,,18.07,83.5,0.98,1.24,,,-0.13
2024-03-15,30.23,30.39,1.65,1.12,1695,0.72,3.05,18.14,,,20.02,85.7,1.0,1.26,,,0.0
2024-03-18,30.88,31.43,3.42,1.62,17419,5.49,7.6,20.69,,,24.12,89.0,1.15,1.46,,,0.0
2024-03-19,30.0,30.09,-4.26,-4.54,1739,0.55,1.37,16.04,,,18.84,67.6,1.59,1.78,,,-4.26
2024-03-20,30.15,29.84,-0.83,0.2,4516,1.33,-0.31,15.33,,,17.85,64.4,1.61,1.82,,,-5.05
2024-03-21,30.04,29.99,0.49,0.66,5748,1.57,0.31,15.68,,,18.43,65.4,1.61,1.78,,,-4.58
2024-03-22,29.95,29.98,-0.03,-0.12,4827,1.25,-1.35,14.54,,,18.4,65.3,1.62,1.67,,,-4.61
2024-03-25,30.12,30.04,0.19,0.49,325,0.08,-4.43,14.55,,,18.62,65.8,1.62,1.58,,,-4.43
2024-03-26,30.13,29.92,-0.38,0.32,789,0.2,-0.56,13.81,,,18.17,64.0,1.63,1.53,,,-4.8
2024-03-27,30.57,30.86,3.13,2.16,1671,0.42,3.4,14.45,,,21.86,70.8,1.67,1.59,,,-1.82
2024-03-28,31.1,30.91,0.18,0.79,2930,0.72,3.08,11.54,,,22.08,71.2,1.6,1.56,,,-1.65
2024-04-01,31.14,31.23,1.04,0.74,7612,1.73,4.18,12.54,,,23.34,73.1,1.6,1.51,,,-0.63
2024-04-02,31.13,31.36,0.41,-0.32,1248,0.28,4.41,11.6,,,23.85,73.9,1.59,1.45,,,-0.22
2024-04-03,31.34,31.88,1.66,-0.04,7209,1.61,6.55,11.78,,,25.91,76.9,1.6,1.45,,,0.0
2024-04-04,32.32,31.51,-1.15,1.38,10945,2.3,2.14,9.93,,,24.47,70.8,1.64,1.54,,,-1.15
2024-04-05,31.8,31.86,1.09,0.9,3578,0.73,3.07,9.87,,,25.83,73.0,1.64,1.52,13.3,,-0.07
2024-04-08,32.12,32.09,0.74,0.83,3847,0.88,2.77,8.56,,,26.75,74.4,1.6,1.47,13.59,,0.0
2024-04-09,32.37,31.71,-1.19,0.86,2922,0.66,1.13,7.54,,,25.24,68.2,1.64,1.56,11.74,,-1.19
2024-04-10,31.22,31.47,-0.75,-1.55,3446,0.77,-1.27,7.77,,,24.31,64.7,1.63,1.57,10.46,,-1.93
2024-04-11,31.41,31.84,1.16,-0.21,7409,1.61,1.03,7.27,,,25.75,67.5,1.61,1.56,11.27,,-0.79
2024-04-12,31.91,31.34,-1.58,0.24,1736,0.38,-1.64,4.69,,,23.76,60.4,1.66,1.6,9.08,,-2.36
2024-04-15,31.41,30.91,-1.37,0.25,1012,0.22,-3.7,3.39,,,22.07,55.0,1.7,1.64,7.25,,-3.7
2024-04-16,30.65,30.69,-0.7,-0.83,2808,0.74,-3.22,1.0,,,21.22,52.5,1.67,1.65,6.18,,-4.37
2024-04-17,30.83,30.67,-0.07,0.45,2559,0.66,-2.56,-2.41,,,21.13,52.2,1.48,1.59,5.76,,-4.44
2024-04-18,30.85,30.63,-0.13,0.59,1481,0.4,-3.8,1.8,,,20.98,51.7,1.14,1.57,5.29,,-4.56
2024-04-19,30.6,30.5,-0.43,-0.1,3090,0.87,-2.67,2.21,,,20.46,50.0,1.13,1.51,4.53,,-4.97
2024-04-22,30.51,30.72,0.71,0.03,2077,0.6,-0.62,2.43,,,21.32,52.8,1.13,1.44,4.92,,-4.29
2024-04-23,30.82,31.28,1.82,0.34,4840,1.32,1.91,4.33,,,23.53,59.1,1.19,1.44,6.45,,-2.55
2024-04-24,31.23,31.23,-0.16,-0.15,369,0.1,1.81,3.96,,,23.32,58.4,1.19,1.35,5.89,,-2.71
2024-04-25,30.81,31.22,-0.01,-1.34,787,0.22,1.93,4.35,23.31,,23.31,58.3,1.19,1.35,5.46,,-2.72
2024-04-26,31.36,31.46,0.76,0.44,701,0.2,3.15,1.96,23.66,,24.25,61.0,0.99,1.3,5.86,,-1.98
2024-04-29,31.54,31.85,1.24,0.24,8271,2.35,3.69,3.04,23.57,,25.79,65.1,1.02,1.28,6.75,,-0.76
2024-04-30,31.54,31.24,-1.92,-0.99,720,0.21,-0.13,0.02,21.1,,23.37,55.4,1.1,1.35,4.33,,-2.67
2024-05-01,31.27,31.25,0.05,0.11,1129,0.35,0.09,-0.34,21.86,,23.43,55.6,1.09,1.3,4.01,,-2.62
