date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,81.55,80.34,3.7,5.27,85733151,1.65,5.65,22.3,57.38,61.27,0.0,79.8,1.81,2.64,24.2,53.89,0.0
2000-01-04,78.0,74.82,-6.87,-2.91,79697755,1.48,-0.98,11.54,43.36,51.18,-6.87,58.7,2.47,3.18,14.89,42.9,-6.87
2000-01-05,74.18,72.91,-2.55,-0.85,100248582,1.78,-7.03,7.71,38.71,47.08,-9.24,53.4,2.56,3.48,11.26,38.86,-9.24
2000-01-06,73.66,67.91,-6.86,1.03,87594511,1.5,-12.46,0.32,26.65,35.19,-15.47,42.6,3.01,4.21,3.15,29.0,-15.47
2000-01-07,70.32,76.31,12.36,3.55,66374888,1.14,-1.5,14.1,42.64,50.39,-5.02,58.0,4.01,4.26,15.05,44.49,-5.02
2000-01-10,77.15,78.42,2.78,1.11,70003883,1.18,-2.38,16.73,45.08,55.38,-2.38,60.8,4.04,4.16,17.31,48.02,-2.38
2000-01-11,77.79,74.61,-4.86,-0.81,76775243,1.25,-0.28,10.13,36.11,48.53,-7.13,53.7,4.22,4.54,10.92,40.42,-7.13
2000-01-12,75.46,72.97,-2.2,1.13,68529761,1.12,0.08,6.26,36.22,42.81,-9.17,51.0,4.26,4.58,7.93,36.97,-9.17
2000-01-13,75.03,77.36,6.02,2.83,59366386,0.98,13.91,14.73,48.81,50.05,-3.71,57.3,4.4,4.43,13.68,44.78,-3.71
2000-01-14,78.85,79.17,2.34,1.92,51658477,0.86,3.75,15.18,51.35,52.13,-1.46,59.6,4.41,4.2,15.54,47.68,-1.46
2000-01-18,78.06,79.59,0.54,-1.4,39516268,0.67,1.49,13.02,56.79,54.53,-0.93,60.1,4.39,4.11,15.38,48.0,-0.93
2000-01-19,79.26,81.39,2.26,-0.41,44835668,0.75,9.08,14.59,62.39,64.37,1.31,62.4,4.4,4.0,17.17,50.86,0.0
2000-01-20,80.97,80.6,-0.97,-0.52,61230558,1.03,10.46,12.01,59.93,62.0,0.33,60.8,4.42,3.97,15.28,48.94,-0.97
2000-01-21,81.82,81.6,1.25,1.51,44108248,0.75,5.49,7.61,57.14,68.28,1.58,62.2,4.28,3.75,15.96,50.31,0.0
2000-01-24,82.61,77.69,-4.8,1.24,66853767,1.11,-1.87,2.77,47.19,59.96,-3.3,54.2,4.43,4.17,9.8,42.69,-4.8
2000-01-25,77.89,78.84,1.49,0.26,78501679,1.26,-0.94,3.07,50.07,66.43,-1.86,56.0,4.43,4.18,10.82,44.39,-3.39
2000-01-26,79.06,75.67,-4.02,0.28,54478725,0.86,-7.03,-0.49,43.96,56.6,-5.81,50.1,4.53,4.39,5.91,38.22,-7.27
