date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2013-10-25,24.68,24.52,,,51157,,,,,,0.0,,,1.04,,,
2013-10-28,24.58,24.51,-0.04,0.24,33978,,,,,,-0.04,0.0,,1.0,,,
2013-10-29,24.64,24.62,0.47,0.56,29613,,,,,,0.43,46.9,,0.97,,,
2013-10-30,24.74,24.64,0.05,0.49,94402,,,,,,0.48,49.6,,0.95,,,
2013-10-31,24.75,24.74,0.44,0.48,34920,,,,,,0.92,66.2,,0.94,,,
2013-11-01,24.74,24.74,0.0,0.0,13815,,0.92,,,,0.92,66.2,,0.92,,,
2013-11-04,24.96,24.88,0.55,0.87,14248,,1.52,,,,1.48,77.1,,0.91,,,
2013-11-05,24.84,24.79,-0.37,-0.15,17842,,0.67,,,,1.11,62.5,,0.92,,,
2013-11-06,25.14,24.91,0.51,1.4,28755,,1.14,,,,1.62,70.7,,0.95,,,
2013-11-07,25.07,24.49,-1.71,0.61,25595,,-1.03,,,,-0.12,39.4,,1.07,,,
2013-11-08,24.66,24.79,1.21,0.72,13483,,0.17,,,,1.09,54.5,,1.08,,,
2013-11-11,24.84,24.97,0.75,0.24,21565,,0.36,,,,1.84,61.0,,1.06,,,
2013-11-12,25.04,24.99,0.08,0.28,82311,,0.81,,,,1.93,61.6,,1.04,,,
2013-11-13,25.16,25.1,0.43,0.7,39878,,0.73,,,,2.36,65.0,,1.05,,,
2013-11-14,25.29,25.27,0.71,0.75,97575,,3.21,,,,3.09,69.7,,1.03,,,
2013-11-15,25.52,25.38,0.43,0.97,37571,,2.41,,,,3.53,72.1,,1.02,,,
2013-11-18,25.79,25.45,0.26,1.58,69575,,1.92,,,,3.8,73.5,,1.06,,,
2013-11-19,25.48,25.34,-0.45,0.12,49636,,1.38,,,,3.33,67.2,,1.05,,,
2013-11-20,25.43,24.94,-1.56,0.37,20916,,-0.63,,,,1.72,50.9,,1.14,,,
2013-11-21,25.07,25.16,0.86,0.52,35113,0.86,-0.47,,,,2.6,57.0,,1.12,,,-1.16
2013-11-22,25.52,25.32,0.64,1.45,82746,1.96,-0.27,,,,3.25,60.9,,1.14,,,-0.53
2013-11-25,25.54,25.25,-0.28,0.89,25660,0.61,-0.81,2.97,,,2.97,58.4,0.72,1.14,,,-0.81
2013-11-26,25.38,25.28,0.15,0.55,27669,0.66,-0.21,3.16,,,3.12,59.4,0.72,1.1,,,-0.66
2013-11-27,25.48,25.45,0.66,0.78,25522,0.67,2.04,3.36,,,3.8,63.4,0.73,1.07,,,0.0
2013-11-29,25.73,25.53,0.31,1.08,11879,0.32,1.49,3.63,,,4.13,65.2,0.73,1.07,,,0.0
2013-12-02,25.58,25.38,-0.58,0.2,21271,0.57,0.27,2.58,,,3.53,59.5,0.74,1.06,,,-0.58
2013-12-03,25.34,25.27,-0.43,-0.15,30708,0.8,0.12,2.15,,,3.09,55.6,0.75,1.16,,,-1.0
2013-12-04,25.27,25.2,-0.28,-0.04,29255,0.75,-0.3,1.3,,,2.8,53.2,0.75,1.15,,,-1.27
2013-12-05,25.27,25.11,-0.39,0.24,39806,1.01,-1.35,1.28,,,2.4,49.9,0.75,1.13,,,-1.66
2013-12-06,25.53,25.43,1.29,1.68,29409,0.74,-0.39,2.07,,,3.72,58.9,0.79,1.16,,,-0.39
2013-12-09,25.84,25.42,-0.04,1.63,39650,0.97,0.15,3.81,,,3.68,58.6,0.67,1.22,,,-0.43
2013-12-10,25.42,25.45,0.11,0.0,33795,0.81,0.69,2.68,,,3.8,59.3,0.63,1.15,,,-0.31
2013-12-11,25.53,25.14,-1.24,0.31,26603,0.69,-0.28,0.66,,,2.52,48.9,0.68,1.19,,,-1.55
2013-12-12,25.18,25.13,-0.0,0.2,14667,0.39,0.11,0.58,,,2.51,48.9,0.68,1.14,,,-1.55
2013-12-13,25.3,25.16,0.12,0.64,25187,0.74,-1.04,0.27,,,2.64,49.9,0.68,1.13,,,-1.43
2013-12-16,25.39,25.34,0.72,0.9,31040,0.93,-0.3,0.28,,,3.37,55.4,0.68,1.1,,,-0.72
2013-12-17,25.59,25.41,0.26,0.96,41121,1.28,-0.15,0.11,,,3.65,57.2,0.67,1.09,,,-0.46
