date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,31.73,32.01,,,297585,,,,,,0.0,,,1.13,,,
2005-02-28,32.0,31.84,-0.54,-0.05,151463,,,,,,-0.54,0.0,,1.14,,,
2005-03-01,31.94,32.06,0.7,0.31,212143,,,,,,0.15,9.0,,1.11,,,
2005-03-02,31.88,32.01,-0.15,-0.56,236902,,,,,,0.0,8.8,,1.11,,,
2005-03-03,32.16,32.07,0.19,0.47,264572,,,,,,0.19,11.3,,1.1,,,
2005-03-04,32.22,32.41,1.05,0.46,433026,,1.25,,,,1.25,23.7,,1.09,,,
2005-03-07,32.39,32.51,0.3,-0.05,307294,,2.1,,,,1.55,26.8,,1.06,,,
2005-03-08,32.56,32.33,-0.54,0.17,85926,,0.85,,,,1.0,24.8,,1.05,,,
2005-03-09,32.29,31.99,-1.05,-0.13,196614,,-0.06,,,,-0.06,21.5,,1.06,,,
2005-03-10,32.04,31.97,-0.06,0.14,222339,,-0.31,,,,-0.12,21.3,,1.04,,,
2005-03-11,32.0,31.87,-0.32,0.1,485943,,-1.66,,,,-0.44,20.4,,1.07,,,
2005-03-14,31.97,32.05,0.57,0.32,218943,,-1.4,,,,0.13,26.6,,1.03,,,
2005-03-15,32.09,31.84,-0.67,0.12,474289,,-1.53,,,,-0.54,24.2,,1.04,,,
2005-03-16,31.74,31.52,-1.01,-0.31,581095,,-1.49,,,,-1.55,21.1,,1.06,,,
2005-03-17,31.53,31.62,0.32,0.05,413611,,-1.11,,,,-1.23,24.4,,1.03,,,
2005-03-18,31.57,31.47,-0.47,-0.16,266517,,-1.27,,,,-1.7,22.9,,1.03,,,
2005-03-21,31.47,31.42,-0.14,0.0,407297,,-1.96,,,,-1.84,22.4,,1.01,,,
2005-03-22,31.46,31.12,-0.96,0.11,297100,,-2.25,,,,-2.78,19.6,,1.05,,,
2005-03-23,31.06,31.11,-0.02,-0.19,393704,,-1.28,,,,-2.8,19.6,,1.02,,,
2005-03-24,31.21,31.14,0.08,0.32,395158,1.25,-1.51,,,,-2.73,20.5,,0.99,,,-4.21
2005-03-28,31.26,31.16,0.08,0.38,443708,1.37,-0.96,,,,-2.64,21.5,,0.96,,,-4.13
2005-03-29,31.09,30.82,-1.09,-0.24,925771,2.55,-1.9,-3.71,,,-3.71,18.2,0.6,1.0,,,-5.17
2005-03-30,30.97,31.28,1.49,0.49,247097,0.68,0.52,-1.74,,,-2.27,33.3,0.69,1.02,,,-3.76
2005-03-31,31.29,31.34,0.16,0.03,520894,1.37,0.71,-2.26,,,-2.11,34.7,0.67,0.98,,,-3.6
2005-04-01,31.47,31.23,-0.34,0.44,253893,0.67,0.29,-2.45,,,-2.45,33.1,0.67,1.03,,,-3.94
2005-04-04,31.18,31.23,0.0,-0.14,215054,0.59,0.2,-2.63,,,-2.45,33.1,0.67,1.02,,,-3.94
2005-04-05,31.27,31.35,0.4,0.15,197092,0.54,1.72,-3.26,,,-2.05,37.1,0.63,0.98,,,-3.55
2005-04-06,31.43,31.39,0.13,0.26,408758,1.08,0.35,-3.42,,,-1.92,38.4,0.62,0.96,,,-3.42
2005-04-07,31.46,31.62,0.71,0.2,200006,0.53,0.9,-2.21,,,-1.23,44.9,0.64,0.94,,,-2.74
2005-04-08,31.66,31.37,-0.78,0.13,126222,0.34,0.46,-1.94,,,-2.0,39.9,0.63,0.95,,,-3.49
2005-04-11,31.41,31.35,-0.06,0.13,148549,0.42,0.4,-1.94,,,-2.05,39.5,0.63,0.92,,,-3.55
2005-04-12,31.32,31.51,0.49,-0.11,289330,0.8,0.49,-1.14,,,-1.57,44.0,0.64,0.97,,,-3.08
2005-04-13,31.43,31.06,-1.41,-0.23,264088,0.76,-1.06,-3.09,,,-2.97,35.7,0.68,1.03,,,-4.45
2005-04-14,31.08,30.61,-1.45,0.06,411670,1.21,-3.18,-3.85,,,-4.37,29.6,0.73,1.08,,,-5.83
2005-04-15,30.4,29.99,-2.03,-0.69,981594,2.66,-4.4,-4.84,,,-6.31,23.6,0.82,1.18,,,-7.74
2005-04-18,29.99,30.14,0.5,0.0,1278210,3.04,-3.86,-4.66,,,-5.84,27.4,0.83,1.16,,,-7.27
2005-04-19,30.36,30.44,0.97,0.74,818966,1.86,-3.4,-3.28,,,-4.92,34.4,0.86,1.15,,,-6.37
2005-04-20,30.47,30.02,-1.35,0.12,772848,1.66,-3.34,-4.45,,,-6.21,30.0,0.9,1.21,,,-7.64
2005-04-21,30.21,30.59,1.9,0.61,347104,0.75,-0.06,-1.69,,,-4.43,41.1,1.0,1.24,,,-5.88
2005-04-22,30.54,30.3,-0.96,-0.19,256324,0.56,1.02,-2.62,,,-5.35,37.8,1.01,1.27,,,-6.79
2005-04-25,30.51,30.63,1.08,0.7,249042,0.56,1.61,-1.64,,,-4.32,43.3,1.05,1.25,,,-5.78
2005-04-26,30.59,30.33,-0.97,-0.11,172338,0.42,-0.34,-2.67,,,-5.25,39.9,1.06,1.27,,,-6.69
2005-04-27,30.26,30.39,0.2,-0.23,256324,0.63,1.23,-1.4,,,-5.05,40.9,1.04,1.28,,,-6.5
2005-04-28,30.36,30.02,-1.24,-0.12,255352,0.65,-1.89,-4.05,,,-6.23,36.7,1.01,1.29,,,-7.66
2005-04-29,30.23,30.33,1.05,0.72,334482,0.84,0.11,-3.2,,,-5.25,42.1,1.04,1.3,,,-6.69
2005-05-02,30.47,30.5,0.56,0.46,338363,0.83,-0.41,-2.32,,,-4.71,44.8,1.05,1.25,,,-6.17
2005-05-03,30.49,30.51,0.03,-0.04,370401,0.89,0.59,-2.3,,,-4.69,44.9,1.05,1.24,,,-6.14
2005-05-04,30.65,30.92,1.35,0.46,433026,1.04,1.74,-1.37,,,-3.4,51.4,1.1,1.24,,,-4.87
2005-05-05,30.96,30.86,-0.19,0.13,567018,1.31,2.82,-1.69,,,-3.58,50.5,1.09,1.22,,,-5.05
2005-05-06,31.03,30.92,0.17,0.54,547110,1.2,1.93,-2.22,,,-3.42,51.3,1.08,1.18,-0.95,,-4.89
2005-05-09,30.9,31.11,0.64,-0.05,724301,1.5,2.01,-0.82,,,-2.8,54.3,1.08,1.14,-0.26,,-4.29
2005-05-10,30.94,30.78,-1.08,-0.55,348073,0.72,0.88,-1.84,,,-3.85,48.7,1.11,1.17,-1.27,,-5.32
2005-05-11,30.85,30.9,0.4,0.23,145635,0.3,-0.08,-1.93,,,-3.47,50.7,1.1,1.17,-0.8,,-4.95
2005-05-12,30.92,30.59,-1.01,0.08,283993,0.6,-0.89,-1.52,,,-4.44,45.8,1.08,1.21,-1.71,,-5.9
2005-05-13,30.54,30.42,-0.55,-0.17,516044,1.14,-1.6,-0.63,,,-4.97,43.4,1.04,1.25,-2.15,,-6.42
2005-05-16,30.47,30.76,1.12,0.17,254379,0.64,-1.14,2.56,,,-3.91,49.2,0.96,1.23,-0.95,,-5.38
2005-05-17,30.68,31.0,0.78,-0.26,155347,0.42,0.72,2.84,,,-3.16,53.0,0.97,1.22,-0.08,,-4.64
2005-05-18,31.21,31.42,1.37,0.69,539344,1.52,1.7,3.24,,,-1.84,58.7,0.99,1.22,1.34,,-3.34
2005-05-19,31.43,31.54,0.37,0.02,482055,1.33,3.11,5.05,,,-1.47,60.2,0.93,1.18,1.75,,-2.97
2005-05-20,31.52,31.59,0.16,-0.08,229621,0.64,3.85,3.26,,,-1.31,60.8,0.85,1.12,1.94,,-2.82
2005-05-23,31.64,31.72,0.4,0.15,781587,2.02,3.12,4.68,,,-0.92,62.4,0.81,1.09,2.36,,-2.43
2005-05-24,31.65,31.66,-0.19,-0.22,240787,0.62,2.12,3.36,,,-1.11,61.1,0.79,1.05,2.19,,-2.62
2005-05-25,31.61,31.55,-0.34,-0.16,105831,0.28,0.4,4.01,,,-1.44,58.7,0.75,1.03,1.86,,-2.95
2005-05-26,31.67,31.77,0.71,0.37,278653,0.73,0.73,4.53,-0.75,,-0.75,62.0,0.76,1.01,2.56,,-2.26
2005-05-27,31.76,31.85,0.23,-0.03,181073,0.48,0.81,6.09,0.02,,-0.52,63.0,0.69,0.96,2.78,,-2.03
2005-05-31,31.82,31.7,-0.46,-0.07,142242,0.39,-0.06,4.51,-1.12,,-0.97,59.6,0.68,0.93,2.3,,-2.48
2005-06-01,31.72,32.02,1.01,0.07,208262,0.58,1.15,4.98,0.03,,0.03,64.2,0.7,0.95,3.29,,-1.5
2005-06-02,31.95,32.11,0.28,-0.2,124274,0.36,1.77,5.24,0.11,,0.3,65.4,0.7,0.92,3.51,,-1.23
2005-06-03,32.07,31.94,-0.51,-0.13,335933,1.01,0.55,3.3,-1.44,,-0.21,61.4,0.67,0.92,2.93,,-1.73
2005-06-06,31.94,31.96,0.06,0.0,267972,0.84,0.37,3.56,-1.67,,-0.15,61.7,0.66,0.89,2.93,,-1.67
2005-06-07,32.05,32.0,0.1,0.28,299040,1.01,0.93,3.49,-1.03,,-0.05,62.2,0.66,0.9,2.98,,-1.57
2005-06-08,32.04,31.91,-0.27,0.15,354384,1.2,-0.34,2.56,-0.25,,-0.31,59.8,0.66,0.89,2.64,,-1.83
2005-06-09,31.89,32.1,0.59,-0.07,318459,1.04,-0.03,4.29,0.39,,0.28,63.2,0.61,0.89,3.19,,-1.25
2005-06-10,32.13,32.06,-0.12,0.08,420408,1.35,0.36,3.76,0.59,,0.15,62.0,0.61,0.89,3.01,,-1.38
2005-06-13,32.04,32.19,0.4,-0.07,285449,0.95,0.7,5.23,0.42,,0.55,64.3,0.55,0.9,3.36,,-0.98
2005-06-14,32.19,32.31,0.37,0.0,152921,0.52,0.97,6.2,1.47,,0.92,66.3,0.52,0.88,3.67,,-0.62
2005-06-15,32.44,32.39,0.27,0.42,356323,1.17,1.51,5.31,2.78,,1.19,67.8,0.48,0.87,3.88,,-0.35
2005-06-16,32.37,32.56,0.53,-0.06,427202,1.43,1.45,5.05,2.99,,1.73,70.4,0.47,0.85,4.35,,0.0
2005-06-17,32.67,32.61,0.15,0.33,289819,1.0,1.72,3.78,3.64,,1.88,71.2,0.39,0.82,4.44,,0.0
2005-06-20,32.5,32.54,-0.21,-0.35,256324,0.88,1.11,3.18,3.57,,1.67,68.6,0.4,0.82,4.14,,-0.21
2005-06-21,32.59,32.53,-0.05,0.13,187384,0.72,0.69,2.96,4.52,,1.61,68.0,0.4,0.79,4.01,,-0.26
2005-06-22,32.67,32.56,0.11,0.44,784983,2.72,0.53,2.67,4.66,,1.73,68.7,0.39,0.78,4.05,,-0.15
2005-06-23,32.56,32.21,-1.08,0.0,300496,1.01,-1.08,1.76,3.45,,0.63,56.0,0.47,0.83,2.86,,-1.22
2005-06-24,32.17,31.94,-0.85,-0.13,637405,2.01,-2.07,1.23,2.48,,-0.23,48.5,0.51,0.84,1.89,,-2.07
2005-06-27,31.9,31.94,0.02,-0.11,2167570,5.21,-1.84,0.55,3.63,,-0.21,48.7,0.48,0.81,1.79,,-2.05
2005-06-28,32.0,32.3,1.1,0.16,628181,1.43,-0.71,1.42,3.24,,0.89,57.2,0.54,0.82,2.77,,-0.97
2005-06-29,32.3,32.26,-0.12,0.0,309721,0.7,-0.93,1.76,2.95,,0.78,56.1,0.52,0.8,2.53,,-1.08
