date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2023-09-15,24.85,24.85,,,63,,,,,,0.0,,,0.0,,,
2023-09-18,25.11,25.06,0.82,1.03,345,,,,,,0.82,,,0.07,,,
2023-09-19,25.0,24.89,-0.65,-0.21,587,,,,,,0.17,94.2,,0.12,,,
2023-09-20,24.75,24.73,-0.66,-0.56,331,,,,,,-0.49,88.7,,0.16,,,
2023-09-21,24.58,24.35,-1.54,-0.61,443,,,,,,-2.03,77.3,,0.26,,,
2023-09-22,24.15,24.1,-1.03,-0.81,148,,-3.04,,,,-3.04,70.8,,0.32,,,
2023-09-25,23.99,24.09,-0.03,-0.44,505,,-3.87,,,,-3.08,70.6,,0.33,,,
2023-09-26,24.0,23.97,-0.51,-0.37,801,,-3.73,,,,-3.57,67.5,,0.34,,,
2023-09-27,24.18,24.18,0.89,0.89,7,,-2.22,,,,-2.7,70.0,,0.38,,,
2023-09-28,24.29,24.45,1.11,0.45,458,,0.42,,,,-1.62,72.9,,0.42,,,
2023-09-29,24.42,24.33,-0.49,-0.12,270,,0.97,,,,-2.1,69.7,,0.43,,,
2023-10-02,24.19,24.19,-0.57,-0.57,58,,0.43,,,,-2.66,66.1,,0.44,,,
2023-10-03,23.96,23.96,-0.95,-0.96,252,,-0.02,,,,-3.59,60.5,,0.49,,,
2023-10-04,23.71,23.71,-1.05,-1.05,393,,-1.95,,,,-4.6,55.0,,0.53,,,
2023-10-05,23.7,23.7,-0.04,-0.04,14,,-3.07,,,,-4.64,54.8,,0.5,,,
2023-10-06,23.88,23.9,0.83,0.74,260,,-1.78,,,,-3.84,58.2,,0.52,,,
2023-10-09,24.6,25.37,6.16,2.94,7915,,4.87,,,,2.08,74.0,,0.87,,,
2023-10-10,25.64,25.46,0.36,1.07,6462,,6.26,,,,2.45,74.7,,0.88,,,
2023-10-11,25.65,25.75,1.12,0.74,5638,,8.59,,,,3.6,76.6,,0.9,,,
2023-10-12,25.92,25.7,-0.19,0.67,21631,9.29,8.43,,,,3.4,75.6,,0.94,,,-0.19
2023-10-13,25.95,25.87,0.68,0.98,10439,3.67,8.27,,,,4.11,76.8,,0.95,,,0.0
