date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-04-28,12.9,13.81,,,23431000,,,,,,0.0,,,8.25,,,
2006-05-01,13.92,13.87,0.43,0.8,14835000,,,,,,0.43,,,7.85,,,
2006-05-02,14.24,14.37,3.6,2.67,12511000,,,,,,4.06,,,7.3,,,
2006-05-03,14.45,13.93,-3.06,0.56,15141000,,,,,,0.87,73.0,,7.53,,,
2006-05-04,13.95,14.0,0.5,0.14,11076000,,,,,,1.38,74.2,,7.27,,,
2006-05-05,14.0,13.99,-0.07,0.0,6586000,,1.3,,,,1.3,73.7,,6.9,,,
2006-05-08,13.8,14.0,0.07,-1.36,9453000,,0.94,,,,1.38,73.9,,6.65,,,
2006-05-09,14.1,14.5,3.57,0.71,11054000,,0.9,,,,5.0,81.2,,6.27,,,
2006-05-10,14.29,14.53,0.21,-1.45,13913000,,4.31,,,,5.21,81.5,,5.97,,,
2006-05-11,15.08,14.86,2.27,3.79,12533000,,6.14,,,,7.6,84.7,,5.76,,,
2006-05-12,14.89,14.46,-2.69,0.2,10129000,,3.36,,,,4.71,69.1,,5.84,,,
2006-05-15,13.39,13.27,-8.23,-7.4,12581000,,-5.21,,,,-3.91,43.3,,6.58,,,
2006-05-16,13.51,13.58,2.34,1.81,7200000,,-6.34,,,,-1.67,48.7,,6.19,,,
2006-05-17,13.55,13.09,-3.61,-0.22,7821000,,-9.91,,,,-5.21,42.0,,6.42,,,
2006-05-18,13.22,12.6,-3.74,0.99,8020000,,-15.21,,,,-8.76,36.5,,6.63,,,
2006-05-19,12.29,12.6,0.0,-2.46,8460000,,-12.86,,,,-8.76,36.5,,6.44,,,
2006-05-22,12.4,12.52,-0.63,-1.59,5949000,,-5.65,,,,-9.34,35.6,,6.22,,,
2006-05-23,12.98,13.04,4.15,3.67,8188000,,-3.98,,,,-5.58,44.9,,5.94,,,
2006-05-24,12.7,12.54,-3.83,-2.61,5349000,,-4.2,,,,-9.2,39.1,,6.09,,,
2006-05-25,12.55,12.69,1.2,0.08,4998000,0.48,0.71,,,,-8.11,41.5,,5.79,,,-14.6
2006-05-26,12.77,12.67,-0.16,0.63,3477000,0.37,0.56,,,,-8.25,41.3,,5.55,,,-14.74
2006-05-30,13.2,13.1,3.39,4.18,6204000,0.69,4.63,-5.14,,,-5.14,48.2,3.1,5.36,,,-11.84
2006-05-31,13.06,12.63,-3.59,-0.31,6342000,0.73,-3.14,-8.94,,,-8.54,42.3,3.19,5.59,,,-15.01
2006-06-01,11.82,12.04,-4.67,-6.41,8007000,0.96,-3.99,-16.21,,,-12.82,36.4,3.18,5.93,,,-18.98
