date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,13.02,13.33,,,70132280,,,,,,0.0,,,2.48,,,
2005-02-28,13.35,13.16,-1.3,0.09,87379249,,,,,,-1.3,0.0,,2.57,,,
2005-03-01,13.3,13.47,2.33,1.04,79827506,,,,,,1.0,12.0,,2.51,,,
2005-03-02,13.3,13.28,-1.41,-1.23,103565643,,,,,,-0.43,11.1,,2.52,,,
2005-03-03,13.35,13.14,-1.05,0.52,87088239,,,,,,-1.48,10.5,,2.55,,,
2005-03-04,13.27,13.16,0.21,1.01,95424196,,-1.27,,,,-1.27,11.5,,2.51,,,
2005-03-07,13.2,13.41,1.83,0.24,65256145,,1.86,,,,0.54,20.3,,2.48,,,
2005-03-08,13.29,13.16,-1.86,-0.84,64044492,,-2.31,,,,-1.33,18.3,,2.53,,,
2005-03-09,13.2,13.18,0.21,0.34,64403969,,-0.7,,,,-1.12,19.2,,2.46,,,
2005-03-10,13.23,13.34,1.16,0.37,92396055,,1.53,,,,0.03,24.5,,2.42,,,
2005-03-11,13.39,12.99,-2.63,0.39,119275964,,-1.35,,,,-2.6,21.1,,2.57,,,
2005-03-14,13.03,13.02,0.25,0.34,43799897,,-2.88,,,,-2.36,22.2,,2.46,,,
2005-03-15,13.03,12.8,-1.67,0.06,66097409,,-2.69,,,,-3.99,20.2,,2.5,,,
2005-03-16,12.72,12.66,-1.14,-0.66,75864809,,-4.01,,,,-5.08,19.0,,2.52,,,
2005-03-17,12.64,12.67,0.11,-0.09,60506779,,-5.01,,,,-4.98,19.4,,2.43,,,
2005-03-18,12.69,12.56,-0.87,0.12,71069053,,-3.29,,,,-5.81,18.5,,2.4,,,
2005-03-21,12.6,12.58,0.13,0.32,79803933,,-3.41,,,,-5.69,19.1,,2.37,,,
2005-03-22,12.64,12.4,-1.37,0.55,68128741,,-3.12,,,,-6.98,17.5,,2.41,,,
2005-03-23,12.42,12.59,1.47,0.13,88834022,,-0.56,,,,-5.62,24.6,,2.36,,,
2005-03-24,12.72,12.64,0.44,1.05,56856687,0.74,-0.23,,,,-5.2,26.7,,2.27,,,-6.14
2005-03-28,12.67,12.6,-0.28,0.27,45913846,0.61,0.36,,,,-5.47,26.2,,2.24,,,-6.4
2005-03-29,12.56,12.46,-1.19,-0.36,71603436,0.95,-0.96,-6.59,,,-6.59,24.2,1.3,2.25,,,-7.51
2005-03-30,12.52,12.73,2.24,0.49,64282656,0.87,2.67,-3.25,,,-4.5,34.4,1.39,2.2,,,-5.44
2005-03-31,12.72,12.59,-1.11,-0.13,68153046,0.94,0.06,-6.49,,,-5.56,32.0,1.29,2.17,,,-6.49
2005-04-01,12.67,12.42,-1.37,0.65,76226772,1.06,-1.75,-6.46,,,-6.86,29.4,1.28,2.24,,,-7.78
2005-04-04,12.48,12.41,-0.07,0.45,60001428,0.86,-1.54,-5.53,,,-6.92,29.2,1.27,2.19,,,-7.84
2005-04-05,12.41,12.42,0.1,0.0,75704803,1.07,-0.26,-5.63,,,-6.83,29.7,1.27,2.14,,,-7.75
2005-04-06,12.5,12.43,0.06,0.65,60895288,0.86,-2.38,-7.27,,,-6.77,30.0,1.18,2.09,,,-7.69
2005-04-07,12.38,12.65,1.75,-0.43,55294478,0.79,0.45,-3.86,,,-5.14,38.6,1.21,2.07,,,-6.07
2005-04-08,12.62,12.58,-0.58,-0.23,49652254,0.73,1.26,-4.62,,,-5.69,36.9,1.21,2.02,,,-6.62
2005-04-11,12.55,12.47,-0.83,-0.19,36885975,0.58,0.49,-6.49,,,-6.47,34.7,1.18,1.99,,,-7.39
2005-04-12,12.44,12.42,-0.42,-0.25,94581199,1.43,-0.03,-4.37,,,-6.86,33.6,1.05,2.07,,,-7.78
2005-04-13,12.33,12.16,-2.11,-0.75,68227476,1.03,-2.2,-6.62,,,-8.82,28.7,1.12,2.16,,,-9.72
2005-04-14,12.13,11.96,-1.59,-0.27,69180123,1.05,-5.42,-6.55,,,-10.27,25.7,1.12,2.16,,,-11.16
2005-04-15,11.82,11.58,-3.2,-1.18,83012928,1.24,-7.91,-8.5,,,-13.15,21.0,1.28,2.32,,,-14.01
2005-04-18,11.58,11.73,1.25,0.03,97210416,1.42,-5.98,-7.45,,,-12.06,26.5,1.32,2.28,,,-12.93
2005-04-19,11.96,11.98,2.2,2.03,68759118,1.01,-3.51,-4.59,,,-10.13,35.1,1.43,2.26,,,-11.01
2005-04-20,12.19,11.78,-1.72,1.75,97229516,1.4,-3.12,-6.34,,,-11.67,31.9,1.46,2.4,,,-12.54
2005-04-21,11.94,12.11,2.84,1.4,66583157,0.97,1.24,-2.34,,,-9.16,41.2,1.59,2.37,,,-10.06
2005-04-22,12.09,11.87,-2.03,-0.17,58668955,0.86,2.47,-5.7,,,-11.0,37.2,1.6,2.52,,,-11.88
2005-04-25,11.94,11.94,0.58,0.64,41513778,0.61,1.79,-5.58,,,-10.49,39.0,1.61,2.42,,,-11.37
2005-04-26,11.9,11.91,-0.2,-0.27,74517712,1.09,-0.61,-5.5,,,-10.67,38.6,1.61,2.47,,,-11.55
2005-04-27,11.79,11.98,0.57,-1.01,67338333,0.98,1.71,-3.82,,,-10.16,40.5,1.6,2.45,,,-11.05
2005-04-28,11.93,11.92,-0.54,-0.4,88447011,1.27,-1.63,-6.43,,,-10.64,39.3,1.5,2.42,,,-11.52
2005-04-29,11.97,11.93,0.13,0.45,75000230,1.08,0.54,-5.25,,,-10.52,39.7,1.49,2.43,,,-11.41
