date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2010-03-11,0.59,0.61,,,4008841,,,,,,0.0,,,2.73,,,
2010-03-12,0.61,0.59,-2.47,0.08,4929611,,,,,,-2.47,0.0,,2.83,,,
2010-03-15,0.58,0.58,-3.15,-2.02,576750,,,,,,-5.54,0.0,,3.06,,,
2010-03-16,0.58,0.62,8.12,1.25,1366197,,,,,,2.13,19.0,,3.17,,,
2010-03-17,0.65,0.64,3.61,3.8,2827408,,,,,,5.81,26.3,,3.17,,,
2010-03-18,0.64,0.63,-2.46,0.0,1715709,,3.21,,,,3.21,24.6,,3.32,,,
2010-03-19,0.62,0.6,-4.52,-1.22,1727731,,1.04,,,,-1.45,21.9,,3.69,,,
2010-03-22,0.59,0.64,7.21,-1.98,4121139,,11.85,,,,5.65,33.8,,3.87,,,
2010-03-23,0.65,0.69,6.45,1.41,6626892,,10.12,,,,12.47,42.8,,3.83,,,
2010-03-24,0.68,0.65,-5.54,-0.98,2202358,,0.4,,,,6.23,37.7,,4.23,,,
2010-03-25,0.68,0.64,-0.49,4.32,2202480,,2.43,,,,5.72,37.3,,4.4,,,
2010-03-26,0.66,0.63,-1.59,2.66,2513227,,5.57,,,,4.04,36.0,,4.64,,,
2010-03-29,0.65,0.65,2.7,3.23,1495536,,1.13,,,,6.85,39.9,,4.47,,,
2010-03-30,0.66,0.66,1.9,1.54,2082798,,-3.19,,,,8.88,42.5,,4.35,,,
2010-03-31,0.67,0.65,-1.54,0.77,1165292,,0.91,,,,7.2,40.9,,4.36,,,
2010-04-01,0.67,0.66,0.33,2.79,1781478,,1.74,,,,7.56,41.4,,4.63,,,
2010-04-05,0.68,0.71,8.48,3.8,1619460,,12.15,,,,16.68,52.7,,4.74,,,
2010-04-06,0.7,0.7,-1.54,-1.92,2161655,,7.53,,,,14.89,50.6,,4.69,,,
2010-04-07,0.7,0.71,1.0,0.53,3699313,,6.57,,,,16.04,51.9,,4.68,,,
2010-04-08,0.69,0.68,-3.55,-1.82,4843918,1.81,4.4,,,,11.92,47.1,,5.01,,,-4.08
2010-04-09,0.69,0.7,2.65,1.15,1356478,0.53,6.82,,,,14.89,50.7,,4.8,,,-1.54
2010-04-12,0.71,0.72,2.53,1.55,2598325,1.07,0.96,17.8,,,17.8,53.9,4.17,4.7,,,0.0
2010-04-13,0.72,0.73,1.91,0.53,3165143,1.23,4.48,23.08,,,20.04,56.3,4.1,4.51,,,0.0
2010-04-14,0.78,0.83,12.89,6.22,7042615,2.47,16.78,43.46,,,35.51,68.4,4.72,4.54,,,0.0
2010-04-15,0.84,0.83,0.83,1.78,13722598,4.05,22.09,33.79,,,36.64,69.1,4.5,4.43,,,0.0
2010-04-16,0.82,0.8,-3.68,-1.18,4821904,1.36,14.56,24.39,,,31.62,62.7,4.61,4.88,,,-3.68
2010-04-19,0.78,0.77,-3.39,-3.36,6198140,1.64,7.95,23.2,,,27.16,57.6,4.65,5.35,,,-6.94
2010-04-20,0.8,0.81,4.85,2.92,3166775,0.85,11.07,35.3,,,33.33,62.2,4.53,5.12,,,-2.42
2010-04-21,0.82,0.79,-3.13,0.71,6251170,1.69,-4.68,22.26,,,29.17,57.6,4.45,5.67,,,-5.47
2010-04-22,0.77,0.83,5.64,-1.96,7146233,1.81,-0.14,21.32,,,36.45,62.8,4.4,5.83,,,-0.14
2010-04-23,0.85,0.84,0.44,1.66,3900477,0.97,4.12,29.01,,,37.05,63.1,4.14,5.77,,,0.0
2010-04-26,0.84,0.84,0.9,0.92,4167442,1.01,8.74,30.8,,,38.28,64.0,4.12,5.56,,,0.0
2010-04-27,0.81,0.76,-10.35,-4.18,5539299,1.28,-7.02,19.16,,,23.97,49.7,4.82,6.61,,,-10.35
2010-04-28,0.77,0.77,1.98,2.03,7434478,1.62,-2.13,18.32,,,26.42,51.7,4.81,6.75,,,-8.57
2010-04-29,0.77,0.8,3.45,0.05,6326626,1.31,-4.15,20.11,,,30.78,55.1,4.84,6.4,,,-5.42
2010-04-30,0.78,0.69,-13.5,-2.56,10949608,2.06,-17.45,5.53,,,13.13,42.2,5.76,8.0,,,-18.19
2010-05-03,0.7,0.74,7.37,1.4,5336471,0.97,-12.16,12.93,,,21.46,48.3,5.96,7.52,,,-12.16
2010-05-04,0.72,0.64,-13.23,-2.09,20765381,3.23,-14.98,-9.67,,,5.39,39.6,6.42,9.49,,,-23.78
2010-05-05,0.63,0.62,-3.22,-1.61,8586056,1.29,-19.32,-11.22,,,2.0,38.0,6.44,9.79,,,-26.23
2010-05-06,0.62,0.57,-8.5,-1.04,18899721,2.56,-28.64,-19.57,,,-6.67,34.3,6.67,13.17,,,-32.5
2010-05-07,0.55,0.53,-6.09,-2.65,13408540,1.68,-22.53,-21.69,,,-12.35,32.1,6.75,14.3,,,-36.62
2010-05-10,0.63,0.63,17.47,17.47,7811955,0.95,-15.24,-10.39,,,2.96,42.8,7.83,12.39,,,-25.54
