date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,15.34,15.56,,,725805,,,,,,0.0,,,2.02,,,
2005-02-28,15.63,15.38,-1.19,0.44,493313,,,,,,-1.19,0.0,,2.11,,,
2005-03-01,15.57,15.72,2.21,1.28,489456,,,,,,0.99,12.4,,2.07,,,
2005-03-02,15.72,15.49,-1.43,0.0,426187,,,,,,-0.46,11.4,,2.1,,,
2005-03-03,15.49,15.28,-1.36,-0.02,715672,,,,,,-1.81,10.5,,2.14,,,
2005-03-04,15.38,15.28,-0.02,0.66,232510,,-1.82,,,,-1.82,10.5,,2.11,,,
2005-03-07,15.37,15.53,1.66,0.62,432484,,1.01,,,,-0.19,19.0,,2.11,,,
2005-03-08,15.47,15.3,-1.51,-0.38,547157,,-2.66,,,,-1.7,17.4,,2.17,,,
2005-03-09,15.37,15.2,-0.62,0.45,416759,,-1.85,,,,-2.3,16.7,,2.16,,,
2005-03-10,15.23,15.41,1.33,0.18,681410,,0.82,,,,-1.0,23.2,,2.12,,,
2005-03-11,15.47,15.06,-2.24,0.38,449614,,-1.42,,,,-3.22,20.3,,2.26,,,
2005-03-14,15.07,15.08,0.15,0.07,281795,,-2.88,,,,-3.07,21.0,,2.15,,,
2005-03-15,15.16,14.82,-1.74,0.49,373388,,-3.12,,,,-4.76,18.9,,2.2,,,
2005-03-16,14.78,14.68,-0.98,-0.26,840481,,-3.48,,,,-5.7,17.9,,2.24,,,
2005-03-17,14.7,14.71,0.21,0.19,605892,,-4.54,,,,-5.5,18.9,,2.14,,,
2005-03-18,14.68,14.52,-1.28,-0.17,502057,,-3.61,,,,-6.71,17.5,,2.12,,,
2005-03-21,14.61,14.57,0.32,0.63,1441471,,-3.44,,,,-6.41,19.1,,2.08,,,
2005-03-22,14.74,14.43,-0.95,1.2,502750,,-2.66,,,,-7.3,18.0,,2.11,,,
2005-03-23,14.53,14.59,1.15,0.73,473727,,-0.56,,,,-6.23,23.8,,2.06,,,
2005-03-24,14.7,14.61,0.14,0.71,178656,0.33,-0.64,,,,-6.1,24.5,,1.99,,,-7.02
2005-03-28,14.73,14.58,-0.23,0.83,263258,0.51,0.42,,,,-6.32,24.1,,1.96,,,-7.24
2005-03-29,14.54,14.34,-1.65,-0.26,196123,0.39,-1.55,-7.86,,,-7.86,21.4,1.23,2.0,,,-8.77
2005-03-30,14.49,14.7,2.53,1.04,185306,0.38,1.9,-4.4,,,-5.53,33.5,1.37,1.99,,,-6.46
2005-03-31,14.7,14.58,-0.83,0.0,244381,0.51,-0.09,-7.24,,,-6.32,31.7,1.25,1.93,,,-7.24
2005-04-01,14.69,14.39,-1.3,0.74,258368,0.57,-1.52,-7.11,,,-7.53,29.2,1.25,1.99,,,-8.44
2005-04-04,14.34,14.34,-0.38,-0.34,352070,0.76,-1.67,-6.19,,,-7.88,28.4,1.23,1.94,,,-8.79
2005-04-05,14.33,14.32,-0.08,-0.04,451349,0.98,-0.1,-6.25,,,-7.96,28.3,1.23,1.9,,,-8.86
2005-04-06,14.44,14.34,0.08,0.84,158031,0.36,-2.49,-7.71,,,-7.88,28.7,1.15,1.86,,,-8.79
2005-04-07,14.41,14.58,1.7,0.55,211873,0.49,0.0,-4.7,,,-6.32,37.2,1.2,1.82,,,-7.24
2005-04-08,14.63,14.54,-0.31,0.35,356261,0.86,1.01,-4.4,,,-6.6,36.4,1.2,1.77,,,-7.52
2005-04-11,14.56,14.41,-0.83,0.17,186695,0.46,0.55,-6.44,,,-7.38,34.1,1.15,1.76,,,-8.29
2005-04-12,14.39,14.38,-0.23,-0.19,354508,0.87,0.4,-4.52,,,-7.59,33.5,1.06,1.81,,,-8.5
2005-04-13,14.36,14.04,-2.34,-0.16,324786,0.8,-2.04,-6.9,,,-9.76,27.9,1.15,1.91,,,-10.65
2005-04-14,14.01,13.83,-1.49,-0.25,433174,1.13,-5.11,-6.66,,,-11.1,25.1,1.14,1.92,,,-11.98
2005-04-15,13.61,13.4,-3.14,-1.59,890481,2.24,-7.81,-8.69,,,-13.89,20.5,1.29,2.1,,,-14.74
