date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,92.79,93.69,,,79289004,,,,,,0.0,,,1.24,,,
2005-02-28,93.47,93.05,-0.68,-0.24,89985785,,,,,,-0.68,0.0,,1.24,,,
2005-03-01,93.18,93.54,0.52,0.14,61658442,,,,,,-0.17,5.5,,1.2,,,
2005-03-02,93.17,93.49,-0.05,-0.39,83253671,,,,,,-0.22,5.5,,1.19,,,
2005-03-03,93.87,93.53,0.04,0.41,80491538,,,,,,-0.18,5.9,,1.18,,,
2005-03-04,94.15,94.71,1.26,0.66,72809892,,1.08,,,,1.08,19.3,,1.18,,,
2005-03-07,94.65,94.75,0.04,-0.06,56781312,,1.82,,,,1.12,19.7,,1.14,,,
2005-03-08,94.66,94.37,-0.4,-0.09,57895709,,0.89,,,,0.72,18.7,,1.12,,,
2005-03-09,94.1,93.32,-1.11,-0.28,95400795,,-0.18,,,,-0.4,16.3,,1.13,,,
2005-03-10,93.33,93.54,0.23,0.01,84641541,,0.01,,,,-0.17,18.6,,1.11,,,
2005-03-11,93.78,92.89,-0.7,0.26,75346247,,-1.92,,,,-0.86,17.1,,1.13,,,
2005-03-14,92.89,93.46,0.62,0.0,47099391,,-1.35,,,,-0.25,23.2,,1.1,,,
2005-03-15,93.68,92.68,-0.84,0.23,80992092,,-1.79,,,,-1.08,20.9,,1.11,,,
2005-03-16,92.35,91.91,-0.83,-0.36,99446724,,-1.51,,,,-1.91,19.0,,1.11,,,
2005-03-17,92.06,92.1,0.21,0.17,81318454,,-1.54,,,,-1.7,20.9,,1.08,,,
2005-03-18,91.89,91.45,-0.71,-0.23,80209634,,-1.55,,,,-2.4,19.2,,1.09,,,
2005-03-21,91.59,91.12,-0.36,0.15,79620680,,-2.51,,,,-2.75,18.4,,1.08,,,
2005-03-22,91.32,90.2,-1.01,0.22,120971319,,-2.68,,,,-3.73,16.3,,1.13,,,
2005-03-23,90.22,90.27,0.08,0.02,93252232,,-1.78,,,,-3.65,17.1,,1.11,,,
2005-03-24,90.63,90.39,0.12,0.39,67424176,0.85,-1.86,,,,-3.53,18.4,,1.09,,,-4.6
2005-03-28,90.59,90.51,0.14,0.23,60842798,0.78,-1.03,,,,-3.4,19.9,,1.06,,,-4.47
2005-03-29,90.39,89.9,-0.67,-0.14,94676790,1.2,-1.34,-4.05,,,-4.05,18.2,0.61,1.09,,,-5.11
2005-03-30,90.2,91.18,1.42,0.33,81522073,1.02,1.09,-2.01,,,-2.68,31.8,0.69,1.1,,,-3.76
2005-03-31,91.19,91.01,-0.19,0.01,84310645,1.06,0.81,-2.7,,,-2.87,31.1,0.68,1.06,,,-3.94
2005-04-01,91.51,90.6,-0.45,0.55,126236623,1.54,0.24,-3.09,,,-3.3,29.3,0.68,1.12,,,-4.38
2005-04-04,90.56,90.75,0.17,-0.05,92814412,1.12,0.27,-2.97,,,-3.14,30.9,0.68,1.1,,,-4.21
2005-04-05,90.85,91.19,0.48,0.11,64910508,0.78,1.44,-3.71,,,-2.67,35.4,0.62,1.06,,,-3.75
2005-04-06,91.4,91.5,0.33,0.22,69097710,0.82,0.34,-3.43,,,-2.35,38.3,0.63,1.03,,,-3.43
2005-04-07,91.36,92.0,0.55,-0.15,61209472,0.74,1.09,-2.51,,,-1.81,43.0,0.65,1.01,,,-2.9
2005-04-08,91.95,91.04,-1.05,-0.06,83334418,1.01,0.48,-2.45,,,-2.84,37.2,0.64,1.02,,,-3.91
2005-04-11,91.26,91.12,0.09,0.24,59436913,0.73,0.41,-2.58,,,-2.75,38.0,0.64,0.98,,,-3.82
2005-04-12,90.94,91.58,0.5,-0.19,112205091,1.32,0.42,-1.41,,,-2.26,42.2,0.64,1.03,,,-3.34
2005-04-13,91.47,90.5,-1.17,-0.12,85621141,1.01,-1.09,-3.17,,,-3.41,36.0,0.66,1.07,,,-4.48
2005-04-14,90.61,89.33,-1.3,0.12,129148331,1.49,-2.9,-3.62,,,-4.66,30.7,0.69,1.11,,,-5.72
