date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2007-02-20,22.29,22.3,,,14401,,,,,,0.0,,,0.12,,,
2007-02-21,22.37,22.34,0.2,0.33,7976,,,,,,0.2,,,0.14,,,
2007-02-22,22.34,22.34,0.0,0.0,442,,,,,,0.2,,,0.13,,,
2007-02-23,22.25,22.27,-0.32,-0.41,2879,,,,,,-0.12,88.3,,0.15,,,
2007-02-26,22.26,22.27,0.0,-0.04,2547,,,,,,-0.12,88.3,,0.15,,,
2007-02-27,22.14,22.14,-0.57,-0.57,1550,,-0.69,,,,-0.69,71.2,,0.19,,,
2007-02-28,22.22,22.18,0.16,0.33,1440,,-0.73,,,,-0.53,72.8,,0.2,,,
2007-03-01,22.17,22.21,0.12,-0.04,5095,,-0.61,,,,-0.41,74.0,,0.2,,,
2007-03-02,22.25,22.2,-0.04,0.2,2658,,-0.33,,,,-0.45,72.8,,0.28,,,
2007-03-05,22.33,22.34,0.65,0.61,1218,,0.32,,,,0.2,78.5,,0.3,,,
2007-03-06,22.32,22.32,-0.08,-0.08,442,,0.82,,,,0.12,76.4,,0.29,,,
2007-03-07,22.31,22.23,-0.4,-0.08,3102,,0.24,,,,-0.28,66.6,,0.3,,,
2007-03-08,22.37,22.34,0.49,0.61,46749,,0.61,,,,0.2,71.3,,0.32,,,
2007-03-09,22.4,22.38,0.16,0.28,775,,0.81,,,,0.36,72.7,,0.32,,,
2007-03-12,22.31,22.31,-0.32,-0.32,221,,-0.16,,,,0.04,65.9,,0.32,,,
2007-03-13,22.23,22.25,-0.25,-0.33,1218,,-0.33,,,,-0.2,61.1,,0.32,,,
2007-03-14,22.27,22.2,-0.24,0.08,2216,,-0.16,,,,-0.45,56.8,,0.32,,,
2007-03-16,22.11,22.12,-0.36,-0.41,4432,,-1.01,,,,-0.81,51.0,,0.33,,,
2007-03-19,22.12,22.23,0.53,0.0,2437,,-0.64,,,,-0.28,57.7,,0.34,,,
2007-03-20,22.12,22.1,-0.61,-0.49,1550,0.3,-0.93,,,,-0.89,49.3,,0.36,,,-1.25
2007-03-21,22.03,22.03,-0.29,-0.29,221,0.05,-0.97,,,,-1.17,45.9,,0.36,,,-1.53
2007-03-22,22.05,22.03,0.0,0.08,19385,3.85,-0.73,-1.17,,,-1.17,45.9,0.35,0.39,,,-1.53
2007-03-23,22.12,22.17,0.61,0.37,4542,0.87,0.24,-0.77,,,-0.57,53.8,0.37,0.41,,,-0.93
2007-03-26,22.15,22.1,-0.32,-0.08,3434,0.65,-0.61,-1.09,,,-0.89,49.6,0.38,0.4,,,-1.25
2007-03-27,22.12,22.09,-0.04,0.08,221,0.04,-0.04,-0.81,,,-0.93,49.1,0.37,0.38,,,-1.29
2007-03-28,22.05,22.09,0.0,-0.16,3765,0.72,0.25,-0.81,,,-0.93,49.1,0.37,0.37,,,-1.29
2007-03-29,22.12,22.12,0.12,0.12,110,0.02,0.37,-0.12,,,-0.81,50.9,0.35,0.35,,,-1.17
2007-03-30,22.05,22.04,-0.33,-0.28,221,0.04,-0.57,-0.61,,,-1.13,46.3,0.36,0.35,,,-1.49
2007-04-02,22.08,22.1,0.25,0.16,4542,0.9,0.0,-0.49,,,-0.89,49.9,0.36,0.35,,,-1.25
2007-04-03,22.13,22.12,0.12,0.16,5760,1.09,0.16,-0.32,,,-0.77,51.7,0.36,0.34,,,-1.13
