date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,45.99,46.72,,,7591,,,,,,0.0,,,1.57,,,
2005-02-28,46.65,46.52,-0.43,-0.16,12923,,,,,,-0.43,0.0,,1.54,,,
2005-03-01,46.65,46.86,0.73,0.27,118451,,,,,,0.29,11.4,,1.48,,,
2005-03-02,46.57,46.82,-0.08,-0.61,5926,,,,,,0.22,11.3,,1.44,,,
2005-03-03,47.05,46.82,-0.02,0.47,9251,,,,,,0.2,11.2,,1.42,,,
2005-03-04,47.05,47.34,1.12,0.49,7705,,1.32,,,,1.32,27.1,,1.39,,,
2005-03-07,47.31,47.43,0.18,-0.06,2965,,1.95,,,,1.5,29.3,,1.33,,,
2005-03-08,47.43,47.08,-0.73,0.01,4983,,0.47,,,,0.76,25.9,,1.3,,,
2005-03-09,46.91,46.52,-1.19,-0.35,8657,,-0.65,,,,-0.43,21.5,,1.31,,,
2005-03-10,46.47,46.2,-0.69,-0.11,38301,,-1.31,,,,-1.12,19.5,,1.29,,,
2005-03-11,46.4,46.17,-0.06,0.42,5217,,-2.46,,,,-1.17,19.3,,1.23,,,
2005-03-14,46.37,46.29,0.25,0.42,5097,,-2.39,,,,-0.92,22.4,,1.18,,,
2005-03-15,46.73,46.3,0.02,0.95,3557,,-1.65,,,,-0.9,22.6,,1.16,,,
2005-03-16,46.24,45.96,-0.75,-0.14,9723,,-1.21,,,,-1.64,20.0,,1.15,,,
2005-03-17,46.14,46.27,0.68,0.4,1659,,0.14,,,,-0.98,28.1,,1.11,,,
2005-03-18,46.11,45.85,-0.91,-0.35,6995,,-0.71,,,,-1.88,24.5,,1.12,,,
2005-03-21,45.98,45.89,0.09,0.3,3082,,-0.87,,,,-1.79,25.5,,1.06,,,
2005-03-22,45.98,45.56,-0.72,0.2,4983,,-1.61,,,,-2.49,22.9,,1.09,,,
2005-03-23,45.47,45.33,-0.49,-0.19,270103,,-1.36,,,,-2.98,21.3,,1.07,,,
2005-03-24,45.33,45.56,0.5,0.0,16835,0.62,-1.53,,,,-2.49,26.8,,1.05,,,-3.94
2005-03-28,45.56,45.59,0.06,0.0,6282,0.23,-0.57,,,,-2.44,27.5,,1.03,,,-3.88
2005-03-29,45.35,44.72,-1.91,-0.52,9844,0.36,-2.56,-4.3,,,-4.3,21.0,0.71,1.12,,,-5.72
2005-03-30,44.8,45.37,1.45,0.19,8774,0.41,-0.42,-2.48,,,-2.9,33.7,0.8,1.13,,,-4.34
2005-03-31,45.38,45.35,-0.04,0.04,186154,6.1,0.04,-3.23,,,-2.94,33.5,0.77,1.07,,,-4.38
2005-04-01,45.8,45.29,-0.12,1.0,4031,0.13,-0.58,-3.27,,,-3.06,33.0,0.77,1.13,,,-4.5
2005-04-04,45.27,45.5,0.46,-0.06,2726,0.09,-0.19,-2.81,,,-2.62,36.9,0.78,1.13,,,-4.07
2005-04-05,45.43,45.43,-0.14,-0.16,783516,11.35,1.61,-4.03,,,-2.76,36.2,0.73,1.08,,,-4.2
2005-04-06,45.64,45.63,0.44,0.46,4267,0.06,0.59,-3.78,,,-2.33,40.1,0.74,1.07,,,-3.78
2005-04-07,45.58,45.84,0.44,-0.13,4983,0.07,1.08,-2.64,,,-1.9,43.8,0.74,1.04,,,-3.35
2005-04-08,45.82,45.24,-1.3,-0.04,381917,4.44,-0.11,-2.75,,,-3.17,36.6,0.75,1.08,,,-4.61
2005-04-11,45.37,45.13,-0.25,0.29,14585,0.17,-0.82,-2.33,,,-3.42,35.4,0.74,1.06,,,-4.85
2005-04-12,44.97,45.37,0.55,-0.35,3791,0.04,-0.13,-1.74,,,-2.89,40.0,0.75,1.09,,,-4.33
2005-04-13,45.25,44.77,-1.33,-0.27,1067,0.01,-1.9,-3.29,,,-4.18,33.7,0.79,1.13,,,-5.6
2005-04-14,44.78,44.11,-1.47,0.02,8774,0.1,-3.77,-4.73,,,-5.59,28.4,0.84,1.17,,,-6.99
2005-04-15,43.83,43.23,-1.99,-0.64,9844,0.11,-4.44,-5.93,,,-7.47,23.2,0.92,1.26,,,-8.85
2005-04-18,43.38,43.55,0.74,0.35,21224,0.24,-3.49,-5.87,,,-6.79,28.4,0.92,1.25,,,-8.17
2005-04-19,43.82,44.11,1.28,0.62,15296,0.17,-2.78,-3.78,,,-5.59,36.4,0.97,1.24,,,-6.99
2005-04-20,44.24,43.78,-0.75,0.3,15174,0.17,-2.21,-4.6,,,-6.3,34.0,0.98,1.24,,,-7.69
2005-04-21,44.0,44.47,1.58,0.5,13518,0.18,0.82,-2.38,,,-4.82,42.6,1.05,1.25,,,-6.23
2005-04-22,44.25,43.84,-1.43,-0.49,6522,0.09,1.4,-3.3,,,-6.18,37.7,1.08,1.28,,,-7.57
2005-04-25,44.14,44.15,0.72,0.7,8416,0.11,1.37,-3.09,,,-5.51,41.3,1.09,1.27,,,-6.91
2005-04-26,44.28,43.98,-0.38,0.28,7351,0.1,-0.29,-3.52,,,-5.87,40.0,1.09,1.28,,,-7.26
2005-04-27,43.69,44.03,0.1,-0.68,9488,0.13,0.56,-1.54,,,-5.77,40.5,1.01,1.3,,,-7.17
2005-04-28,43.6,43.14,-2.01,-0.97,15414,0.23,-3.0,-4.91,,,-7.67,33.9,1.04,1.39,,,-9.04
2005-04-29,43.15,43.38,0.55,0.02,4390,0.07,-1.05,-4.35,,,-7.16,36.9,1.05,1.42,,,-8.54
2005-05-02,43.48,43.58,0.46,0.23,3791,0.06,-1.3,-3.79,,,-6.74,39.3,1.06,1.35,,,-8.12
2005-05-03,43.7,43.49,-0.21,0.29,10671,0.38,-1.13,-4.42,,,-6.93,38.6,1.05,1.32,,,-8.31
2005-05-04,43.77,44.31,1.89,0.65,7705,0.27,0.64,-2.48,,,-5.17,48.1,1.15,1.34,,,-6.57
2005-05-05,44.24,44.29,-0.04,-0.14,7111,0.25,2.67,-2.94,,,-5.2,47.9,1.14,1.32,,,-6.61
2005-05-06,44.62,44.48,0.41,0.74,6282,0.66,2.54,-2.97,,,-4.81,49.9,1.14,1.27,-1.71,,-6.22
2005-05-09,44.48,44.7,0.5,0.0,6282,0.69,2.57,-1.2,,,-4.34,52.3,1.11,1.24,-1.14,,-5.75
2005-05-10,44.63,44.33,-0.81,-0.15,4509,0.49,1.95,-1.76,,,-5.11,48.3,1.13,1.23,-1.85,,-6.52
2005-05-11,44.55,44.45,0.26,0.5,3199,0.35,0.32,-2.04,,,-4.87,49.6,1.12,1.2,-1.49,,-6.28
2005-05-12,44.61,43.85,-1.34,0.36,6404,0.7,-0.99,-2.04,,,-6.14,43.4,1.12,1.26,-2.68,,-7.53
2005-05-13,43.94,43.61,-0.56,0.19,5573,0.63,-1.95,-1.13,,,-6.66,41.1,1.08,1.27,-3.08,,-8.05
2005-05-16,43.59,44.23,1.42,-0.06,2965,0.37,-1.05,2.31,,,-5.34,48.5,1.03,1.26,-1.57,,-6.74
2005-05-17,44.19,44.53,0.68,-0.09,7351,0.97,0.44,2.24,,,-4.7,51.6,1.03,1.25,-0.77,,-6.11
2005-05-18,44.74,45.33,1.8,0.48,21341,2.7,1.99,2.77,,,-2.98,58.9,1.06,1.27,1.09,,-4.42
2005-05-19,45.39,45.58,0.54,0.13,29996,3.43,3.93,4.11,,,-2.45,60.8,1.05,1.22,1.68,,-3.9
2005-05-20,45.5,45.52,-0.13,-0.17,11857,1.32,4.37,2.35,,,-2.58,60.1,1.0,1.17,1.58,,-4.02
2005-05-23,45.6,45.78,0.59,0.19,23597,2.42,3.52,4.44,,,-2.01,62.3,0.94,1.15,2.2,,-3.46
2005-05-24,45.78,45.68,-0.23,0.0,9129,0.93,2.58,3.46,,,-2.24,60.9,0.93,1.1,1.99,,-3.69
2005-05-25,45.48,45.31,-0.81,-0.43,10315,1.04,-0.05,3.01,,,-3.03,56.0,0.95,1.1,1.21,,-4.47
2005-05-26,45.48,45.82,1.13,0.38,5453,0.58,0.53,4.07,-1.93,,-1.93,60.7,0.97,1.1,2.35,,-3.39
2005-05-27,45.98,46.02,0.44,0.35,12095,1.24,1.11,6.68,-1.07,,-1.5,62.4,0.83,1.07,2.82,,-2.96
2005-05-31,46.11,46.06,0.07,0.18,31302,2.81,0.59,6.18,-1.72,,-1.43,62.7,0.83,1.03,2.88,,-2.89
2005-06-01,46.06,46.4,0.76,0.0,18022,1.56,1.59,6.49,-0.9,,-0.68,65.6,0.84,1.03,3.64,,-2.15
2005-06-02,46.47,46.61,0.44,0.14,12095,1.03,2.87,7.18,-0.45,,-0.25,67.3,0.83,0.99,4.04,,-1.73
2005-06-03,46.66,46.28,-0.7,0.11,14108,1.17,1.01,4.45,-2.24,,-0.94,62.2,0.78,1.0,3.27,,-2.41
2005-06-06,46.38,46.56,0.59,0.21,16719,1.33,1.16,5.11,-1.83,,-0.36,64.6,0.78,0.98,3.84,,-1.83
2005-06-07,46.68,46.64,0.18,0.27,9844,0.77,1.27,4.86,-0.94,,-0.18,65.3,0.78,0.99,3.97,,-1.66
2005-06-08,46.82,46.37,-0.58,0.4,4743,0.37,-0.07,3.74,-0.32,,-0.76,61.0,0.8,0.99,3.3,,-2.23
2005-06-09,46.34,46.77,0.87,-0.05,20275,1.48,0.36,5.5,1.24,,0.11,64.8,0.78,1.0,4.13,,-1.37
2005-06-10,46.77,46.79,0.03,0.0,2487,0.18,1.1,5.27,1.33,,0.14,64.9,0.78,0.95,4.1,,-1.34
2005-06-13,46.96,46.98,0.41,0.36,29876,2.04,0.92,7.14,1.49,,0.56,66.7,0.69,0.93,4.45,,-0.93
2005-06-14,47.02,47.24,0.55,0.07,6048,0.41,1.3,8.33,2.04,,1.12,69.0,0.66,0.9,4.95,,-0.38
2005-06-15,47.5,47.42,0.36,0.53,7468,0.5,2.26,7.21,3.18,,1.48,70.5,0.61,0.89,5.24,,-0.02
2005-06-16,47.46,47.87,0.95,0.09,10315,0.72,2.34,7.5,3.46,,2.45,73.9,0.62,0.89,6.14,,0.0
2005-06-17,48.26,48.0,0.29,0.82,15296,1.13,2.6,5.9,4.71,,2.74,74.9,0.53,0.88,6.34,,0.0
2005-06-20,47.84,47.95,-0.11,-0.34,8298,0.62,2.06,5.22,4.5,,2.63,73.8,0.53,0.86,6.1,,-0.11
2005-06-21,47.92,47.79,-0.33,-0.07,5217,0.42,1.16,5.0,4.91,,2.29,70.3,0.54,0.83,5.62,,-0.44
2005-06-22,48.12,47.94,0.31,0.68,5097,0.42,1.11,4.72,5.76,,2.61,71.7,0.53,0.84,5.83,,-0.13
2005-06-23,47.85,47.38,-1.19,-0.19,10789,0.88,-1.03,3.72,3.99,,1.4,60.5,0.61,0.87,4.46,,-1.31
2005-06-24,47.24,46.77,-1.27,-0.28,17904,1.39,-2.56,3.24,2.61,,0.11,51.4,0.65,0.92,3.01,,-2.56
