date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-03-10,34.23,34.23,,,100362,,,,,,0.0,,,0.89,,,
2005-03-11,34.37,34.23,0.0,0.4,37472,,,,,,0.0,,,0.88,,,
2005-03-14,34.13,34.2,-0.09,-0.3,39552,,,,,,-0.09,0.0,,0.85,,,
2005-03-15,34.27,34.1,-0.3,0.2,51887,,,,,,-0.39,0.0,,0.83,,,
2005-03-16,34.23,33.96,-0.4,0.39,14425,,,,,,-0.79,0.0,,0.83,,,
2005-03-17,33.96,33.96,0.0,0.0,18583,,-0.79,,,,-0.79,0.0,,0.79,,,
2005-03-18,33.91,33.76,-0.59,-0.16,14425,,-1.37,,,,-1.37,0.0,,0.78,,,
2005-03-21,33.66,33.53,-0.71,-0.31,29886,,-1.97,,,,-2.06,0.0,,0.82,,,
2005-03-22,33.48,33.21,-0.95,-0.14,37318,,-2.62,,,,-2.99,0.0,,0.88,,,
2005-03-23,32.82,32.99,-0.66,-1.16,10852,,-2.87,,,,-3.63,0.0,,0.91,,,
2005-03-24,32.99,33.12,0.41,0.0,27209,,-2.47,,,,-3.24,12.1,,0.89,,,
2005-03-28,32.96,33.06,-0.2,-0.51,180053,,-2.09,,,,-3.43,11.4,,0.87,,,
2005-03-29,33.06,33.06,0.0,0.0,4461,,-1.4,,,,-3.43,11.4,,0.84,,,
2005-03-30,32.92,33.28,0.67,-0.41,18884,,0.22,,,,-2.78,28.2,,0.85,,,
2005-03-31,33.33,33.12,-0.47,0.14,18731,,0.41,,,,-3.24,24.6,,0.84,,,
2005-04-01,33.36,32.89,-0.71,0.7,81183,,-0.71,,,,-3.92,20.5,,0.91,,,
2005-04-04,32.75,32.99,0.3,-0.42,10107,,-0.21,,,,-3.63,26.1,,0.92,,,
