date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,40.79,41.22,,,45212,,,,,,0.0,,,1.08,,,
2005-02-28,41.15,41.0,-0.52,-0.16,15432,,,,,,-0.52,0.0,,1.08,,,
2005-03-01,41.11,41.17,0.4,0.27,6362,,,,,,-0.12,5.6,,1.03,,,
2005-03-02,41.02,41.09,-0.19,-0.37,16109,,,,,,-0.31,5.5,,1.01,,,
2005-03-03,41.25,41.22,0.31,0.4,20710,,,,,,0.0,9.9,,1.0,,,
2005-03-04,41.36,41.61,0.95,0.36,49138,,0.95,,,,0.95,21.9,,1.0,,,
2005-03-07,41.59,41.74,0.32,-0.04,365606,,1.79,,,,1.27,25.5,,0.96,,,
2005-03-08,41.65,41.51,-0.54,-0.21,31129,,0.83,,,,0.72,23.5,,0.95,,,
2005-03-09,41.52,41.01,-1.21,0.02,94610,,-0.19,,,,-0.5,19.8,,0.98,,,
2005-03-10,41.09,41.06,0.12,0.2,64165,,-0.38,,,,-0.38,21.1,,0.95,,,
2005-03-11,41.1,40.92,-0.34,0.09,21117,,-1.66,,,,-0.73,20.1,,0.94,,,
2005-03-14,41.02,41.14,0.53,0.24,23418,,-1.44,,,,-0.2,26.0,,0.91,,,
2005-03-15,41.34,40.94,-0.48,0.48,221450,,-1.38,,,,-0.67,24.3,,0.92,,,
2005-03-16,40.81,40.57,-0.91,-0.33,75667,,-1.08,,,,-1.58,21.3,,0.94,,,
2005-03-17,40.55,40.67,0.25,-0.04,25047,,-0.95,,,,-1.33,24.0,,0.91,,,
2005-03-18,40.69,40.66,-0.02,0.06,18134,,-0.63,,,,-1.36,23.9,,0.9,,,
2005-03-21,40.67,40.47,-0.47,0.02,27614,,-1.62,,,,-1.82,22.3,,0.92,,,
2005-03-22,40.57,39.99,-1.2,0.24,27346,,-2.33,,,,-2.99,18.7,,0.99,,,
2005-03-23,39.93,39.91,-0.19,-0.14,540625,,-1.62,,,,-3.18,18.2,,0.96,,,
2005-03-24,39.86,39.64,-0.66,-0.13,97862,1.1,-2.52,,,,-3.82,16.6,,0.94,,,-5.02
2005-03-28,39.77,39.73,0.22,0.32,27880,0.32,-2.28,,,,-3.61,19.2,,0.91,,,-4.81
2005-03-29,39.59,39.39,-0.85,-0.34,14211,0.16,-2.66,-4.43,,,-4.43,17.0,0.58,0.94,,,-5.62
2005-03-30,39.64,39.93,1.36,0.64,17460,0.2,-0.14,-2.62,,,-3.13,30.5,0.67,0.96,,,-4.34
2005-03-31,40.11,40.08,0.38,0.44,24225,0.27,0.43,-2.65,,,-2.76,33.7,0.67,0.93,,,-3.98
2005-04-01,40.37,39.95,-0.32,0.72,61048,0.67,0.78,-2.77,,,-3.07,32.4,0.67,0.99,,,-4.28
