date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2018-01-18,1753.6,1744.64,,,81,,,,,,0.0,,,0.51,,,
2018-01-19,1731.2,1721.6,-1.32,-0.77,137,,,,,,-1.32,0.0,,0.63,,,
2018-01-22,1697.92,1697.92,-1.38,-1.38,3,,,,,,-2.68,0.0,,0.69,,,
2018-01-23,1708.8,1724.8,1.58,0.64,37,,,,,,-1.14,8.2,,0.74,,,
2018-01-24,1785.28,1770.24,2.63,3.51,26,,,,,,1.47,20.2,,0.92,,,
2018-01-29,1868.8,1893.12,6.94,5.57,22,,8.51,,,,8.51,42.1,,1.26,,,
2018-01-30,1970.56,1955.2,3.28,4.09,989,,13.57,,,,12.07,49.6,,1.65,,,
2018-01-31,1917.44,1961.6,0.33,-1.93,143,,15.53,,,,12.44,50.4,,1.7,,,
2018-02-01,1929.6,1862.88,-5.03,-1.63,168,,8.01,,,,6.78,40.7,,2.09,,,
2018-02-02,1922.56,2102.4,12.86,3.2,456,,18.76,,,,20.51,60.5,,2.63,,,
2018-02-05,2172.16,2807.04,33.52,3.32,805,,48.28,,,,60.9,80.8,,3.74,,,
2018-02-06,2944.0,2759.36,-1.7,4.88,193,,41.13,,,,58.16,77.9,,6.01,,,
2018-02-07,2799.36,2850.56,3.31,1.45,434,,45.32,,,,63.39,79.4,,5.91,,,
2018-02-08,2907.52,3531.52,23.89,2.0,1562,,89.57,,,,102.42,86.8,,5.81,,,
2018-02-09,3182.08,3217.92,-8.88,-9.89,643,,53.06,,,,84.45,73.7,,6.97,,,
2018-02-12,3089.92,3107.2,-3.44,-3.98,227,,10.69,,,,78.1,69.7,,7.04,,,
2018-02-13,3123.84,3070.08,-1.19,0.54,571,,11.26,,,,75.97,68.4,,6.83,,,
2018-02-14,3028.48,2718.72,-11.44,-1.36,1394,,-4.63,,,,55.83,57.2,,8.12,,,
2018-02-15,2625.92,2656.0,-2.31,-3.41,211,,-24.79,,,,52.24,55.4,,8.05,,,
2018-02-16,2700.8,2695.68,1.49,1.69,290,0.69,-16.23,,,,54.51,56.4,,7.74,,,-23.67
2018-02-20,2764.8,2805.76,4.08,2.56,679,1.51,-9.7,,,,60.82,58.9,,7.32,,,-20.55
2018-02-21,2778.24,2848.0,1.51,-0.98,2226,4.02,-7.23,63.24,,,63.24,59.8,10.14,7.25,,,-19.35
2018-02-22,2767.36,2810.88,-1.3,-2.83,870,1.46,3.39,63.27,,,61.12,58.5,10.14,7.1,,,-20.41
2018-02-23,2721.28,2591.36,-7.81,-3.19,869,1.36,-2.43,52.62,,,48.53,51.5,10.37,7.76,,,-26.62
2018-02-26,2516.48,2513.92,-2.99,-2.89,64,0.1,-6.74,45.75,,,44.09,49.3,10.43,7.75,,,-28.81
2018-02-27,2506.88,2714.24,7.97,-0.28,1085,1.56,-3.26,53.33,,,55.58,54.8,10.51,7.25,,,-23.14
2018-02-28,2644.48,2826.24,4.13,-2.57,1130,1.61,-0.76,49.29,,,62.0,57.5,10.47,6.97,,,-19.97
2018-03-01,2804.48,3020.8,6.88,-0.77,708,0.97,7.47,54.5,,,73.15,61.9,10.51,6.89,,,-14.46
2018-03-02,3179.52,2887.68,-4.41,5.25,872,1.14,11.43,47.21,,,65.52,57.5,10.61,7.55,,,-18.23
2018-03-05,2942.08,2781.44,-3.68,1.88,549,0.71,10.64,49.31,,,59.43,54.2,10.57,7.76,,,-21.24
2018-03-06,2759.68,2796.16,0.53,-0.78,328,0.44,3.02,33.0,,,60.27,54.6,10.3,7.47,,,-20.82
2018-03-07,2848.0,2754.56,-1.49,1.85,50,0.07,-2.54,-1.87,,,57.89,53.3,7.31,7.29,,,-22.0
2018-03-08,2725.12,2725.76,-1.05,-1.07,872,1.15,-9.77,-1.22,,,56.24,52.3,7.3,6.92,,,-22.82
2018-03-09,2580.48,2448.0,-10.19,-5.33,230,0.33,-15.23,-14.12,,,40.32,43.9,7.6,7.96,,,-30.68
2018-03-12,2490.88,2544.64,3.95,1.75,29,0.05,-8.51,-27.94,,,45.85,47.1,5.31,7.43,,,-27.94
2018-03-13,2565.12,2605.44,2.39,0.8,25,0.04,-6.82,-19.03,,,49.34,49.0,5.08,6.9,,,-26.22
2018-03-14,2591.36,2662.4,2.19,-0.54,374,0.58,-3.35,-14.32,,,52.6,50.9,5.09,6.53,,,-24.61
2018-03-15,2576.64,2588.16,-2.79,-3.22,12,0.02,-5.05,-15.7,,,48.35,48.4,5.11,6.47,,,-26.71
2018-03-16,2515.2,2515.2,-2.82,-2.82,15,0.03,2.75,-7.49,,,44.17,46.1,4.51,6.39,,,-28.78
2018-03-19,2580.48,2775.68,10.36,2.6,272,0.48,9.08,4.51,,,59.1,54.5,5.04,6.34,,,-21.4
2018-03-20,2757.12,2722.56,-1.91,-0.67,29,0.06,4.5,1.0,,,56.05,52.7,5.05,6.15,,,-22.91
2018-03-21,2685.44,2623.36,-3.64,-1.36,239,0.56,-1.47,-6.5,,,50.37,49.4,5.04,6.4,,,-25.72
2018-03-22,2890.24,3020.8,15.15,10.17,432,1.05,16.72,6.07,,,73.15,60.2,6.05,6.15,,,-14.46
2018-03-23,3010.56,3200.0,5.93,-0.34,488,1.25,27.23,13.84,,,83.42,63.9,6.15,6.03,,,-9.39
2018-03-26,3016.96,2963.2,-7.4,-5.72,527,1.27,6.76,14.35,,,69.85,56.4,6.12,6.62,,,-16.09
2018-03-27,2963.2,3185.92,7.52,0.0,528,1.37,17.02,26.73,,,82.61,61.0,6.22,6.34,,,-9.79
2018-03-28,3278.72,3206.08,0.63,2.91,820,2.22,22.21,18.12,,,83.77,61.4,6.03,6.09,,,-9.22
2018-03-29,3136.0,3136.0,-2.19,-2.19,6,0.02,3.81,10.96,,,79.75,59.2,6.02,5.94,,,-11.2
2018-04-02,3114.24,3317.76,5.8,-0.69,70,0.24,3.68,9.83,,,90.17,63.0,5.97,5.9,,,-6.05
2018-04-03,3235.84,3175.68,-4.28,-2.47,9,0.03,7.17,9.97,,,82.02,58.4,5.97,6.05,19.73,,-10.08
2018-04-04,3367.68,3115.52,-1.89,6.05,43,0.17,-2.21,12.01,,,78.58,56.5,5.91,6.34,16.26,,-11.78
2018-04-05,3031.68,3031.68,-2.69,-2.69,31,0.12,-5.44,8.42,,,73.77,53.9,5.96,6.24,12.04,,-14.15
2018-04-06,3066.24,3187.2,5.13,1.14,14,0.07,1.63,15.71,,,82.69,57.8,6.02,6.14,16.5,,-9.75
2018-04-09,3187.2,3187.2,0.0,0.0,16,0.08,-3.94,16.93,,,82.69,57.8,6.01,5.7,15.27,,-9.75
2018-04-10,3187.2,3187.2,0.0,0.0,1,0.01,0.36,30.2,,,82.69,57.8,5.45,5.29,14.1,,-9.75
2018-04-11,3187.2,3187.2,0.0,0.0,2,0.01,2.3,25.25,,,82.69,57.8,5.43,4.91,13.05,,-9.75
