date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,11.37,11.53,,,2679028,,,,,,0.0,,,1.72,,,
2005-02-28,11.53,11.42,-0.96,-0.04,5894632,,,,,,-0.96,0.0,,1.73,,,
2005-03-01,11.5,11.44,0.14,0.7,4652445,,,,,,-0.83,1.1,,1.68,,,
2005-03-02,11.41,11.4,-0.29,-0.26,2211063,,,,,,-1.12,1.0,,1.65,,,
2005-03-03,11.39,11.39,-0.1,-0.07,1278664,,,,,,-1.21,1.0,,1.62,,,
2005-03-04,11.48,11.75,3.13,0.77,3485111,,1.88,,,,1.88,23.6,,1.67,,,
2005-03-07,11.75,11.62,-1.1,0.05,3201438,,1.74,,,,0.76,21.7,,1.65,,,
2005-03-08,11.62,11.59,-0.25,0.0,2376853,,1.35,,,,0.51,21.3,,1.59,,,
2005-03-09,11.64,11.62,0.22,0.47,6337551,,1.87,,,,0.73,22.7,,1.55,,,
2005-03-10,11.66,11.47,-1.26,0.35,9991987,,0.68,,,,-0.54,20.4,,1.63,,,
2005-03-11,11.44,11.54,0.61,-0.22,8425030,,-1.78,,,,0.07,24.3,,1.62,,,
2005-03-14,11.5,11.53,-0.03,-0.34,3423039,,-0.72,,,,0.04,24.2,,1.59,,,
2005-03-15,11.61,11.48,-0.48,0.63,3213156,,-0.95,,,,-0.45,23.2,,1.56,,,
2005-03-16,11.39,11.23,-2.14,-0.81,13378275,,-3.29,,,,-2.58,19.2,,1.65,,,
2005-03-17,11.26,11.37,1.18,0.23,7012148,,-0.89,,,,-1.43,26.5,,1.62,,,
2005-03-18,11.37,11.33,-0.35,0.0,6535472,,-1.84,,,,-1.78,25.8,,1.59,,,
2005-03-21,11.39,11.26,-0.59,0.54,3482930,,-2.39,,,,-2.36,24.5,,1.59,,,
2005-03-22,11.3,11.22,-0.32,0.35,3773683,,-2.23,,,,-2.67,23.8,,1.61,,,
2005-03-23,11.21,11.11,-0.98,-0.07,5769956,,-1.08,,,,-3.63,21.9,,1.6,,,
2005-03-24,11.2,11.11,0.0,0.81,4561508,0.9,-2.23,,,,-3.63,21.9,,1.56,,,-5.41
2005-03-28,11.17,11.05,-0.56,0.5,3167411,0.62,-2.43,,,,-4.17,20.7,,1.53,,,-5.94
2005-03-29,11.02,10.8,-2.23,-0.24,6146449,1.2,-4.04,-6.31,,,-6.31,17.0,1.12,1.68,,,-8.04
2005-03-30,10.84,10.99,1.69,0.35,5673298,1.1,-2.11,-3.8,,,-4.73,27.4,1.19,1.66,,,-6.49
2005-03-31,11.06,11.08,0.84,0.65,4147719,0.79,-0.31,-3.12,,,-3.92,32.1,1.21,1.61,,,-5.7
2005-04-01,11.02,11.05,-0.28,-0.49,5331388,0.97,-0.59,-3.12,,,-4.2,31.3,1.21,1.64,,,-5.97
2005-04-04,10.99,10.98,-0.61,-0.55,2281845,0.42,-0.64,-3.61,,,-4.78,29.7,1.22,1.62,,,-6.54
2005-04-05,10.95,11.0,0.2,-0.3,1241919,0.23,1.83,-6.35,,,-4.59,31.0,0.96,1.57,,,-6.35
2005-04-06,11.04,11.06,0.51,0.37,2787653,0.52,0.65,-4.83,,,-4.1,34.1,0.96,1.52,,,-5.88
2005-04-07,11.1,11.18,1.09,0.43,3730936,0.72,0.9,-3.55,,,-3.06,40.4,1.0,1.47,,,-4.85
2005-04-08,11.18,11.02,-1.45,0.04,2564420,0.53,-0.28,-5.16,,,-4.46,35.5,1.03,1.51,,,-6.23
2005-04-11,11.05,10.98,-0.33,0.34,753263,0.17,0.0,-4.27,,,-4.78,34.5,1.01,1.49,,,-6.54
2005-04-12,10.96,10.97,-0.09,-0.22,4042648,0.9,-0.29,-4.93,,,-4.87,34.2,0.99,1.52,,,-6.62
2005-04-13,10.97,10.66,-2.79,-0.03,7761326,1.65,-3.56,-7.55,,,-7.52,26.8,1.13,1.68,,,-9.23
2005-04-14,10.65,10.37,-2.79,-0.11,21416195,4.19,-7.27,-9.7,,,-10.1,21.9,1.25,1.85,,,-11.76
2005-04-15,10.27,10.11,-2.49,-0.89,8622671,1.66,-8.25,-10.02,,,-12.34,18.6,1.28,1.96,,,-13.96
2005-04-18,10.16,10.27,1.61,0.5,11842890,2.17,-6.46,-9.64,,,-10.93,26.0,1.31,1.93,,,-12.57
2005-04-19,10.45,10.4,1.23,1.79,4693825,0.85,-5.22,-8.2,,,-9.83,31.2,1.36,2.01,,,-11.5
2005-04-20,10.54,10.22,-1.67,1.39,6533280,1.16,-4.13,-9.2,,,-11.34,28.3,1.39,2.14,,,-12.98
2005-04-21,10.33,10.41,1.87,1.09,5932737,1.05,0.46,-7.21,,,-9.69,35.5,1.48,2.09,,,-11.35
2005-04-22,10.45,10.32,-0.94,0.36,4061973,0.72,2.06,-7.16,,,-10.53,33.6,1.48,2.13,,,-12.18
2005-04-25,10.32,10.42,0.98,0.07,2603078,0.46,1.43,-6.25,,,-9.65,37.3,1.5,2.04,,,-11.32
2005-04-26,10.35,10.22,-1.9,-0.61,5398620,0.97,-1.71,-7.52,,,-11.37,33.4,1.54,2.08,,,-13.01
2005-04-27,10.06,10.12,-0.97,-1.55,16304773,2.67,-1.01,-6.33,,,-12.24,31.6,1.49,2.11,,,-13.86
2005-04-28,10.18,10.04,-0.8,0.56,15844158,2.37,-3.6,-8.62,,,-12.94,30.2,1.42,2.12,,,-14.55
2005-04-29,10.11,10.29,2.49,0.73,10334185,1.49,-0.27,-7.13,,,-10.77,39.3,1.54,2.14,,,-12.42
2005-05-02,10.29,10.37,0.82,0.04,7795080,1.08,-0.43,-6.1,,,-10.04,42.0,1.56,2.04,,,-11.7
2005-05-03,10.35,10.44,0.64,-0.18,4710420,0.64,2.15,-4.92,,,-9.46,44.1,1.57,1.99,,,-11.14
2005-05-04,10.49,10.6,1.55,0.45,3453804,0.47,4.76,-3.64,,,-8.06,49.0,1.61,1.93,,,-9.76
2005-05-05,10.56,10.54,-0.58,-0.38,8448436,1.1,4.99,-4.69,,,-8.6,47.3,1.61,1.93,,,-10.29
2005-05-06,10.55,10.56,0.24,0.06,2900361,0.38,2.68,-5.49,,,-8.38,48.1,1.58,1.85,-3.41,,-10.07
2005-05-09,10.53,10.55,-0.13,-0.34,2516507,0.32,1.71,-4.23,,,-8.5,47.7,1.56,1.8,-3.37,,-10.19
2005-05-10,10.47,10.39,-1.49,-0.77,3130391,0.41,-0.45,-5.34,,,-9.87,43.0,1.59,1.82,-4.64,,-11.53
2005-05-11,10.4,10.4,0.1,0.04,7491813,0.97,-1.87,-5.16,,,-9.78,43.4,1.59,1.8,-4.36,,-11.44
2005-05-12,10.4,10.12,-2.73,-0.06,8606334,1.22,-3.98,-5.1,,,-12.24,36.1,1.58,1.95,-6.75,,-13.86
2005-05-13,10.14,9.92,-1.97,0.19,12565672,1.73,-6.1,-4.3,,,-13.97,32.0,1.52,2.1,-8.33,,-15.55
2005-05-16,9.82,9.97,0.46,-0.99,5372222,0.77,-5.54,-1.4,,,-13.57,33.8,1.44,2.05,-7.61,,-15.17
2005-05-17,9.94,10.1,1.4,-0.27,6420855,0.91,-2.77,-1.61,,,-12.37,39.3,1.42,2.03,-6.06,,-13.98
2005-05-18,10.14,10.36,2.54,0.33,12659319,1.73,-0.4,-0.33,,,-10.14,47.8,1.51,2.04,-3.45,,-11.8
2005-05-19,10.37,10.31,-0.48,0.04,6087375,0.83,1.9,0.87,,,-10.57,46.4,1.47,2.0,-3.68,,-12.22
2005-05-20,10.29,10.25,-0.65,-0.23,10441995,1.36,3.28,-1.62,,,-11.15,44.6,1.41,1.96,-4.08,,-12.79
2005-05-23,10.22,10.33,0.79,-0.22,5274210,0.68,3.62,0.1,,,-10.44,47.3,1.41,1.91,-3.1,,-12.1
2005-05-24,10.3,10.29,-0.33,-0.26,5478670,0.7,1.86,-1.2,,,-10.74,46.3,1.39,1.83,-3.19,,-12.39
2005-05-25,10.23,10.19,-1.04,-0.6,8855695,1.19,-1.7,-0.33,,,-11.67,43.1,1.35,1.84,-3.97,,-13.3
2005-05-26,10.19,10.26,0.77,0.07,3333484,0.49,-0.47,1.42,-10.99,,-10.99,46.0,1.34,1.76,-3.05,,-12.63
2005-05-27,10.3,10.3,0.32,0.32,3464960,0.54,0.5,2.57,-9.84,,-10.7,47.2,1.32,1.68,-2.55,,-12.35
2005-05-31,10.23,10.22,-0.71,-0.6,5265780,0.83,-1.0,-0.64,-10.6,,-11.34,44.8,1.22,1.68,-3.04,,-12.98
2005-06-01,10.22,10.38,1.51,0.0,12122744,1.81,0.82,0.03,-8.99,,-10.01,50.5,1.25,1.68,-1.42,,-11.67
2005-06-02,10.38,10.34,-0.31,0.0,4995185,0.74,1.56,-0.91,-9.19,,-10.29,49.4,1.25,1.62,-1.56,,-11.95
2005-06-03,10.35,10.32,-0.2,0.09,6217230,0.93,0.58,-2.62,-12.13,,-10.47,48.6,1.19,1.6,-1.61,,-12.13
2005-06-06,10.31,10.29,-0.3,-0.15,7537552,1.09,-0.04,-2.34,-11.41,,-10.74,47.4,1.19,1.53,-1.75,,-12.39
2005-06-07,10.33,10.35,0.6,0.36,10653242,1.46,1.29,-1.99,-10.66,,-10.2,50.0,1.2,1.53,-1.03,,-11.86
2005-06-08,10.41,10.28,-0.67,0.58,6779382,0.91,-0.89,-2.52,-11.46,,-10.81,47.2,1.2,1.53,-1.6,,-12.46
2005-06-09,10.25,10.24,-0.41,-0.35,6595358,0.89,-0.99,-1.45,-10.7,,-11.18,45.4,1.16,1.52,-1.87,,-12.82
2005-06-10,10.27,10.33,0.9,0.25,5763418,0.79,0.1,-0.67,-10.44,,-10.38,49.7,1.18,1.51,-0.85,,-12.04
2005-06-13,10.35,10.4,0.64,0.13,8059413,1.14,1.04,2.77,-9.84,,-9.81,52.6,1.01,1.53,-0.09,,-11.47
2005-06-14,10.38,10.42,0.17,-0.19,5509149,0.78,0.61,5.01,-9.25,,-9.65,53.3,0.89,1.46,0.19,,-11.32
2005-06-15,10.44,10.52,0.96,0.25,8839080,1.23,2.27,5.54,-6.37,,-8.79,57.5,0.9,1.45,1.24,,-10.47
2005-06-16,10.52,10.63,1.04,0.07,9851791,1.4,3.76,5.17,-6.5,,-7.84,61.6,0.88,1.45,2.39,,-9.54
2005-06-17,10.68,10.58,-0.44,0.45,6302976,0.89,2.38,2.1,-6.58,,-8.25,59.0,0.72,1.41,2.05,,-9.94
2005-06-20,10.58,10.47,-1.05,0.0,5308243,0.78,0.66,1.52,-7.02,,-9.21,53.2,0.75,1.42,1.09,,-10.88
2005-06-21,10.46,10.41,-0.53,-0.07,4040739,0.6,-0.04,1.64,-7.21,,-9.69,50.6,0.75,1.39,0.66,,-11.35
2005-06-22,10.27,10.4,-0.1,-1.41,3647360,0.55,-1.08,0.74,-6.38,,-9.78,50.1,0.73,1.43,0.67,,-11.44
