date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2018-06-21,48.91,48.42,,,445087,,,,,,0.0,,,1.29,,,
2018-06-22,48.73,48.64,0.44,0.64,188562,,,,,,0.44,,,1.25,,,
2018-06-25,48.38,47.63,-2.06,-0.52,2605286,,,,,,-1.63,73.4,,1.4,,,
2018-06-26,47.89,47.71,0.17,0.54,107968,,,,,,-1.47,74.0,,1.36,,,
2018-06-27,47.99,47.29,-0.88,0.58,150508,,,,,,-2.33,65.7,,1.41,,,
2018-06-28,47.29,47.77,1.0,0.0,349309,,-1.35,,,,-1.35,69.8,,1.41,,,
2018-06-29,47.97,47.71,-0.12,0.43,158153,,-1.9,,,,-1.47,68.7,,1.37,,,
2018-07-02,47.3,48.01,0.63,-0.85,333545,,0.79,,,,-0.85,71.2,,1.4,,,
2018-07-03,48.16,47.42,-1.23,0.32,101176,,-0.61,,,,-2.07,60.9,,1.43,,,
2018-07-05,47.77,48.14,1.52,0.73,337268,,1.8,,,,-0.58,67.2,,1.42,,,
2018-07-06,48.3,48.91,1.58,0.32,207388,,2.38,,,,1.0,72.2,,1.42,,,
2018-07-09,49.32,49.18,0.57,0.85,122617,,3.09,,,,1.57,73.8,,1.39,,,
2018-07-10,49.33,49.16,-0.04,0.29,1197268,,2.4,,,,1.53,73.5,,1.34,,,
2018-07-11,48.84,49.1,-0.14,-0.66,236190,,3.53,,,,1.39,72.4,,1.33,,,
2018-07-12,49.42,49.87,1.57,0.65,375142,,3.58,,,,2.99,76.9,,1.32,,,
2018-07-13,49.88,49.79,-0.16,0.02,83131,,1.81,,,,2.83,75.5,,1.28,,,
2018-07-16,49.88,49.64,-0.3,0.18,208549,,0.94,,,,2.52,72.9,,1.24,,,
2018-07-17,48.94,49.65,0.02,-1.41,179137,,1.0,,,,2.54,73.0,,1.28,,,
2018-07-18,49.69,49.51,-0.28,0.08,153469,,0.85,,,,2.25,70.4,,1.24,,,
2018-07-19,49.54,49.16,-0.7,0.06,268295,0.69,-1.41,,,,1.53,64.1,,1.23,,,-1.41
2018-07-20,49.17,49.0,-0.33,0.02,164429,0.44,-1.59,,,,1.2,61.4,,1.19,,,-1.74
2018-07-23,49.06,49.2,0.41,0.11,98364,0.26,-0.89,1.61,,,1.61,63.5,0.91,1.17,,,-1.33
2018-07-24,50.19,49.55,0.7,2.01,219252,0.87,-0.21,1.88,,,2.33,66.8,0.92,1.22,,,-0.64
2018-07-25,49.64,49.91,0.73,0.17,635362,2.28,0.8,4.78,,,3.07,69.8,0.78,1.19,,,0.0
2018-07-26,47.92,48.02,-3.78,-3.98,865421,2.75,-2.32,0.65,,,-0.82,46.0,1.17,1.47,,,-3.78
2018-07-27,47.94,47.11,-1.9,-0.17,1153575,3.25,-3.85,-0.38,,,-2.7,39.0,1.23,1.57,,,-5.6
2018-07-30,47.22,46.37,-1.57,0.22,260833,0.72,-5.76,-2.92,,,-4.23,34.5,1.25,1.65,,,-7.09
2018-07-31,46.59,46.68,0.66,0.48,1257592,3.1,-5.79,-2.16,,,-3.6,37.7,1.27,1.62,,,-6.47
