date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,13.01,13.27,,,22725659,,,,,,0.0,,,2.74,,,
2005-02-28,13.37,13.18,-0.72,0.75,31526166,,,,,,-0.72,0.0,,2.94,,,
2005-03-01,13.15,12.92,-1.94,-0.24,24827621,,,,,,-2.65,0.0,,2.96,,,
2005-03-02,12.87,13.11,1.47,-0.41,20350172,,,,,,-1.22,12.0,,2.87,,,
2005-03-03,13.16,13.33,1.65,0.39,32823544,,,,,,0.41,23.3,,2.76,,,
2005-03-04,13.34,13.5,1.28,0.11,19934911,,1.7,,,,1.7,30.9,,2.68,,,
2005-03-07,13.45,13.41,-0.69,-0.39,23964151,,1.72,,,,0.99,29.2,,2.64,,,
2005-03-08,13.36,13.39,-0.11,-0.36,19277388,,3.63,,,,0.89,29.0,,2.54,,,
2005-03-09,13.49,13.02,-2.75,0.73,51832077,,-0.68,,,,-1.89,23.2,,2.74,,,
2005-03-10,13.01,12.76,-2.04,-0.08,66021766,,-4.28,,,,-3.89,20.1,,2.85,,,
2005-03-11,12.72,12.86,0.82,-0.33,36420553,,-4.72,,,,-3.1,24.4,,2.79,,,
2005-03-14,12.89,12.96,0.72,0.23,33801154,,-3.36,,,,-2.4,28.1,,2.76,,,
2005-03-15,12.98,12.78,-1.38,0.22,41006482,,-4.6,,,,-3.75,25.5,,2.8,,,
2005-03-16,12.77,12.82,0.32,-0.02,40606178,,-1.58,,,,-3.44,27.2,,2.78,,,
2005-03-17,12.89,13.04,1.72,0.58,39247911,,2.21,,,,-1.77,35.5,,2.67,,,
2005-03-18,13.18,13.16,0.91,1.07,26839415,,2.29,,,,-0.88,39.5,,2.56,,,
2005-03-21,13.13,13.04,-0.87,-0.18,29480428,,0.68,,,,-1.74,37.1,,2.54,,,
2005-03-22,13.0,12.89,-1.21,-0.34,32575983,,0.86,,,,-2.93,34.0,,2.59,,,
2005-03-23,12.74,12.64,-1.91,-1.11,80982436,,-1.39,,,,-4.78,29.9,,2.65,,,
2005-03-24,12.71,12.63,-0.07,0.57,36204592,1.02,-3.13,,,,-4.84,29.8,,2.64,,,-6.43
2005-03-28,12.65,12.65,0.12,0.17,35988640,0.99,-3.88,,,,-4.73,30.4,,2.56,,,-6.32
2005-03-29,12.65,12.44,-1.61,0.05,30608111,0.85,-4.61,-6.27,,,-6.27,27.0,1.35,2.64,,,-7.83
2005-03-30,12.47,12.63,1.5,0.24,80446042,2.07,-1.99,-4.17,,,-4.86,34.2,1.4,2.63,,,-6.45
2005-03-31,12.83,12.88,2.01,1.59,41550514,1.04,1.92,-0.31,,,-2.95,42.5,1.42,2.56,,,-4.57
2005-04-01,13.05,13.2,2.47,1.32,31900838,0.8,4.51,0.68,,,-0.55,50.8,1.49,2.5,,,-2.21
2005-04-04,13.25,13.09,-0.85,0.39,46931383,1.14,3.5,-1.8,,,-1.4,48.1,1.46,2.55,,,-3.05
2005-04-05,12.97,12.92,-1.27,-0.9,29789555,0.72,3.86,-4.27,,,-2.65,44.5,1.44,2.57,,,-4.27
2005-04-06,12.92,13.13,1.59,-0.02,34770783,0.82,3.95,-2.07,,,-1.1,49.6,1.49,2.55,,,-2.75
2005-04-07,13.22,13.08,-0.4,0.73,64192312,1.49,1.5,-2.36,,,-1.49,48.4,1.49,2.57,,,-3.14
2005-04-08,12.98,12.84,-1.81,-0.7,38972385,0.94,-2.75,-1.42,,,-3.28,43.1,1.42,2.58,,,-4.9
2005-04-11,12.82,12.93,0.75,-0.16,38684892,0.93,-1.17,1.39,,,-2.56,45.7,1.35,2.51,,,-4.18
2005-04-12,12.89,12.73,-1.58,-0.35,48851330,1.15,-1.49,-1.02,,,-4.09,41.4,1.39,2.52,,,-5.7
2005-04-13,12.63,12.42,-2.45,-0.82,60191699,1.39,-5.4,-4.14,,,-6.44,35.9,1.47,2.62,,,-8.01
2005-04-14,12.49,12.41,-0.05,0.55,65008556,1.46,-5.07,-2.85,,,-6.49,35.8,1.45,2.58,,,-8.05
2005-04-15,12.34,11.94,-3.81,-0.61,134039030,2.71,-7.0,-6.85,,,-10.05,29.0,1.65,2.79,,,-11.55
2005-04-18,11.93,12.16,1.82,-0.1,104278414,1.96,-6.02,-6.76,,,-8.42,35.1,1.65,2.74,,,-9.95
2005-04-19,12.31,12.44,2.35,1.26,67003705,1.21,-2.27,-5.43,,,-6.27,42.1,1.73,2.69,,,-7.83
2005-04-20,12.52,12.19,-2.06,0.65,71089840,1.25,-1.87,-6.57,,,-8.2,38.1,1.77,2.77,,,-9.73
2005-04-21,12.22,12.61,3.45,0.27,49579372,0.89,1.57,-2.16,,,-5.02,47.0,1.94,2.73,,,-6.61
2005-04-22,12.65,12.63,0.21,0.36,38113564,0.69,5.81,-0.05,,,-4.82,47.5,1.9,2.77,,,-6.41
2005-04-25,12.74,12.81,1.41,0.86,43122752,0.77,5.39,1.43,,,-3.48,50.9,1.92,2.68,,,-5.1
2005-04-26,12.77,12.6,-1.63,-0.3,46800933,0.82,1.29,-0.34,,,-5.06,47.1,1.96,2.68,,,-6.65
2005-04-27,12.59,12.28,-2.58,-0.06,99654892,1.73,0.75,-1.32,,,-7.51,41.7,2.01,2.76,,,-9.05
2005-04-28,12.19,12.03,-2.02,-0.74,79678721,1.34,-4.58,-4.74,,,-9.37,38.2,2.02,2.77,,,-10.89
2005-04-29,12.14,12.19,1.3,0.93,49685530,0.82,-3.54,-5.41,,,-8.2,41.6,1.98,2.68,,,-9.73
2005-05-02,12.17,12.41,1.81,-0.15,76045445,1.23,-3.16,-6.02,,,-6.54,46.0,1.94,2.64,,,-8.1
2005-05-03,12.38,12.11,-2.36,-0.2,40811493,0.65,-3.88,-7.44,,,-8.74,41.5,1.99,2.71,,,-10.26
2005-05-04,12.11,12.26,1.17,0.0,63169123,0.99,-0.18,-5.16,,,-7.67,44.4,2.01,2.74,,,-9.21
2005-05-05,12.37,12.39,1.07,0.91,44451071,0.71,2.97,-5.64,,,-6.68,47.0,1.99,2.64,,,-8.24
2005-05-06,12.44,12.35,-0.29,0.44,29917338,0.48,1.36,-5.53,,,-6.95,46.3,1.99,2.58,-3.11,,-8.5
2005-05-09,12.41,12.52,1.33,0.49,30832393,0.5,0.89,-2.51,,,-5.71,49.7,1.98,2.47,-1.7,,-7.28
2005-05-10,12.53,12.31,-1.68,0.09,54361955,0.87,1.59,-4.86,,,-7.29,45.8,2.0,2.48,-3.22,,-8.84
2005-05-11,12.22,12.38,0.61,-0.71,36299761,0.59,1.03,-2.74,,,-6.72,47.4,1.98,2.42,-2.55,,-8.28
2005-05-12,12.28,11.84,-4.37,-0.84,77832646,1.26,-4.41,-4.65,,,-10.8,38.5,2.13,2.68,-6.62,,-12.29
2005-05-13,11.93,11.66,-1.52,0.76,73541850,1.25,-5.59,-6.05,,,-12.15,36.1,2.15,2.73,-7.79,,-13.62
2005-05-16,11.6,11.61,-0.44,-0.54,80256372,1.39,-7.24,-2.76,,,-12.53,35.4,2.0,2.71,-7.92,,-13.99
2005-05-17,11.62,11.82,1.78,0.09,61714019,1.08,-3.98,-2.79,,,-10.98,40.3,2.0,2.62,-6.04,,-12.46
2005-05-18,11.92,11.79,-0.21,0.87,92926402,1.59,-4.76,-5.22,,,-11.16,39.9,1.91,2.62,-6.0,,-12.65
2005-05-19,11.85,12.01,1.82,0.51,52521534,0.9,1.4,-1.47,,,-9.55,44.9,1.92,2.55,-4.14,,-11.06
2005-05-20,11.95,11.92,-0.75,-0.5,42646587,0.73,2.19,-5.48,,,-10.23,43.3,1.74,2.48,-4.73,,-11.73
2005-05-23,11.99,12.11,1.66,0.62,37554218,0.64,4.34,-4.11,,,-8.74,47.7,1.79,2.41,-3.03,,-10.26
2005-05-24,12.13,12.16,0.42,0.15,40877699,0.7,2.94,-5.05,,,-8.35,48.9,1.76,2.29,-2.5,,-9.89
2005-05-25,12.19,12.35,1.54,0.22,51926918,0.93,4.75,-1.99,,,-6.95,52.8,1.77,2.27,-0.94,,-8.5
2005-05-26,12.37,12.41,0.51,0.16,29814185,0.56,3.4,1.12,-6.47,,-6.47,54.1,1.68,2.18,-0.37,,-8.04
2005-05-27,12.47,12.62,1.68,0.41,33411841,0.64,5.93,4.93,-4.21,,-4.9,58.2,1.64,2.11,1.38,,-6.49
2005-05-31,12.65,12.53,-0.77,0.2,29808851,0.59,3.4,2.79,-3.07,,-5.63,55.7,1.64,2.1,0.69,,-7.21
2005-06-01,12.6,12.76,1.9,0.58,46307130,0.92,4.92,2.88,-2.66,,-3.84,60.2,1.64,2.1,2.65,,-5.45
2005-06-02,12.74,12.74,-0.19,-0.21,56400710,1.12,3.13,5.16,-4.42,,-4.03,59.5,1.54,2.06,2.48,,-5.63
2005-06-03,12.76,12.81,0.57,0.19,30320618,0.61,3.2,4.53,-5.1,,-3.48,60.9,1.53,1.99,3.03,,-5.1
2005-06-06,12.89,12.85,0.3,0.63,29169319,0.59,1.8,3.74,-4.14,,-3.19,61.7,1.52,1.92,3.31,,-4.81
2005-06-07,12.86,12.73,-0.95,0.09,31004750,0.63,1.62,3.05,-4.95,,-4.11,57.9,1.53,1.93,2.31,,-5.71
2005-06-08,12.72,12.76,0.28,-0.1,55327929,1.12,0.0,1.98,-1.99,,-3.84,58.7,1.51,1.96,2.55,,-5.45
2005-06-09,12.8,13.13,2.89,0.3,54809500,1.09,3.09,6.72,2.95,,-1.06,65.9,1.57,1.97,5.43,,-2.71
2005-06-10,13.11,13.12,-0.11,-0.19,38953420,0.8,2.4,5.95,1.99,,-1.17,65.4,1.57,1.94,5.27,,-2.82
2005-06-13,13.05,13.17,0.39,-0.55,36380609,0.78,2.48,11.22,1.65,,-0.79,66.3,1.15,1.9,5.68,,-2.44
2005-06-14,13.12,13.25,0.61,-0.39,35148450,0.79,4.1,13.62,3.71,,-0.18,67.8,1.05,1.84,6.3,,-1.85
2005-06-15,13.22,13.41,1.2,-0.2,37423442,0.87,5.06,15.49,4.62,,1.02,70.6,1.03,1.78,7.5,,-0.67
2005-06-16,13.45,13.6,1.41,0.27,32673806,0.81,3.55,15.08,4.3,,2.45,73.5,1.02,1.74,8.93,,0.0
2005-06-17,13.76,13.77,1.29,1.22,63980030,1.57,5.0,16.81,4.69,,3.77,75.9,1.0,1.7,10.22,,0.0
2005-06-20,13.83,13.79,0.13,0.39,36428869,0.9,4.73,14.87,5.75,,3.91,76.1,0.98,1.67,10.19,,0.0
2005-06-21,13.6,13.5,-2.12,-1.4,55390821,1.34,1.89,13.28,4.76,,1.7,64.9,1.12,1.74,7.76,,-2.12
2005-06-22,13.53,13.58,0.59,0.19,78991269,1.83,1.27,12.1,7.43,,2.3,66.4,1.09,1.75,8.25,,-1.54
2005-06-23,13.59,13.59,0.07,0.05,49714139,1.15,-0.07,11.71,7.59,,2.37,66.6,1.1,1.76,8.12,,-1.47
2005-06-24,13.64,13.51,-0.62,0.4,29909671,0.69,-1.95,9.34,6.8,,1.74,63.4,1.1,1.76,7.27,,-2.08
2005-06-27,13.61,13.71,1.54,0.8,36925651,0.85,-0.58,10.46,10.21,,3.31,67.5,1.12,1.74,8.61,,-0.58
2005-06-28,13.66,13.46,-1.86,-0.4,42432621,0.97,-0.31,6.61,6.56,,1.38,58.8,1.2,1.78,6.37,,-2.43
2005-06-29,13.43,13.45,-0.09,-0.22,41638374,0.95,-0.99,7.34,4.37,,1.29,58.4,1.18,1.77,6.11,,-2.52
2005-06-30,13.46,13.36,-0.65,0.14,48974782,1.13,-1.7,4.66,1.19,,0.64,55.5,1.14,1.79,5.22,,-3.15
2005-07-01,13.38,13.66,2.22,0.13,28571038,0.66,1.11,7.19,4.33,,2.87,62.3,1.21,1.79,7.39,,-0.99
2005-07-05,13.77,14.06,2.99,0.84,55715904,1.25,2.56,9.77,8.83,,5.95,69.2,1.35,1.83,10.35,,0.0
2005-07-06,14.21,13.81,-1.79,1.07,48849341,1.08,2.64,7.49,5.21,,4.06,61.7,1.43,1.95,8.21,,-1.79
2005-07-07,13.63,13.99,1.28,-1.32,52251678,1.15,4.05,9.91,6.99,,5.39,64.6,1.41,1.98,9.36,,-0.53
2005-07-08,14.05,13.9,-0.67,0.41,50470139,1.12,4.03,8.87,8.24,,4.69,61.9,1.43,2.01,8.36,,-1.19
2005-07-11,13.76,14.0,0.75,-0.95,33142648,0.74,2.52,6.6,8.24,,5.47,63.7,1.32,2.0,8.83,,-0.45
2005-07-12,14.07,14.13,0.89,0.48,46685148,1.03,0.44,7.67,10.96,,6.41,65.8,1.32,1.96,9.47,,0.0
2005-07-13,14.13,14.04,-0.57,0.05,39148074,0.86,1.68,6.64,13.09,,5.8,63.3,1.34,1.93,8.57,,-0.57
2005-07-14,14.04,13.71,-2.4,-0.05,107350016,2.19,-2.02,3.45,10.43,,3.27,53.9,1.46,2.1,5.7,,-2.96
2005-07-15,13.82,13.63,-0.53,0.85,71090498,1.4,-1.88,1.68,14.19,,2.72,52.1,1.45,2.08,4.92,,-3.47
2005-07-18,13.53,13.58,-0.4,-0.77,42203374,0.85,-3.0,-0.14,11.7,,2.3,50.8,1.42,2.04,4.3,,-3.86
2005-07-19,13.64,13.87,2.13,0.47,40943903,0.82,-1.81,0.69,11.47,,4.49,57.2,1.47,2.01,6.28,,-1.81
2005-07-20,13.86,13.88,0.11,-0.05,36714039,0.75,-1.13,0.67,13.94,,4.6,57.5,1.47,1.98,6.18,,-1.7
2005-07-21,13.83,13.75,-0.98,-0.37,39466186,0.84,0.31,1.85,9.06,,3.58,53.7,1.4,2.0,4.91,,-2.66
2005-07-22,13.89,14.24,3.58,1.03,80269016,1.65,4.45,4.88,12.73,,7.29,63.2,1.59,2.05,8.36,,0.0
2005-07-25,14.18,14.38,0.94,-0.44,56705822,1.13,5.86,5.79,12.21,,8.3,65.2,1.6,2.04,8.96,,0.0
2005-07-26,14.36,14.34,-0.24,-0.12,26296373,0.53,3.4,6.19,13.8,,8.04,64.2,1.59,1.99,8.26,,-0.24
2005-07-27,14.37,14.41,0.51,0.18,40919627,0.83,3.82,5.12,17.41,,8.6,65.4,1.57,1.95,8.36,,0.0
2005-07-28,14.48,14.46,0.29,0.43,28211006,0.58,5.14,7.42,20.17,,8.91,66.1,1.49,1.91,8.24,,0.0
2005-07-29,14.57,14.3,-1.05,0.78,29358308,0.62,0.44,6.39,17.38,,7.76,61.2,1.52,1.93,6.7,,-1.05
2005-08-01,14.37,14.46,1.06,0.48,23560517,0.5,0.56,8.22,16.53,,8.91,64.1,1.51,1.88,7.44,,0.0
2005-08-02,14.51,14.69,1.65,0.38,26080080,0.57,2.47,7.61,21.31,,10.71,68.1,1.48,1.84,8.76,,0.0
2005-08-03,14.81,14.62,-0.49,0.8,35365080,0.78,1.45,3.98,19.32,,10.17,65.7,1.36,1.83,7.83,,-0.49
2005-08-04,14.61,14.65,0.21,-0.12,35096883,0.79,1.37,6.09,18.3,,10.4,66.3,1.29,1.79,7.66,,-0.28
2005-08-05,14.67,14.54,-0.76,0.08,30781801,0.71,1.66,3.95,17.73,,9.55,62.4,1.28,1.82,6.5,,-1.04
2005-08-08,14.66,14.75,1.44,0.81,38641306,0.88,2.04,6.15,17.86,,11.13,66.4,1.3,1.84,7.67,,0.0
2005-08-09,14.79,14.72,-0.21,0.27,29706370,0.69,0.17,5.14,19.61,,10.9,65.2,1.3,1.8,7.11,,-0.21
2005-08-10,14.8,14.96,1.64,0.55,39815576,0.93,2.31,5.92,20.83,,12.71,69.5,1.33,1.77,8.48,,0.0
2005-08-11,15.01,15.1,0.96,0.36,42593345,1.07,3.07,7.55,27.56,,13.79,71.7,1.32,1.73,9.14,,0.0
2005-08-12,15.18,15.08,-0.17,0.48,30609779,0.81,3.69,10.0,29.3,,13.59,70.6,1.17,1.7,8.59,,-0.17
2005-08-15,15.01,14.93,-0.97,-0.44,34042073,0.91,1.21,9.51,28.6,,12.48,65.1,1.19,1.69,7.2,,-1.15
2005-08-16,14.9,14.6,-2.2,-0.22,55550873,1.46,-0.8,7.53,23.57,,10.0,54.9,1.31,1.77,4.58,,-3.33
2005-08-17,14.59,14.27,-2.3,-0.08,93456137,2.29,-4.65,2.86,20.98,,7.47,46.7,1.37,1.96,1.94,,-5.55
2005-08-18,14.17,14.24,-0.21,-0.67,54450801,1.31,-5.75,2.53,18.57,,7.25,46.1,1.37,1.95,1.52,,-5.75
2005-08-19,14.32,14.48,1.71,0.59,40904315,1.03,-3.97,5.31,21.5,,9.08,52.0,1.39,1.92,3.05,,-4.14
2005-08-22,14.56,14.51,0.25,0.59,43594911,1.12,-2.79,1.92,19.82,,9.35,52.8,1.16,1.93,3.1,,-3.9
2005-08-23,14.51,14.49,-0.18,0.0,56324176,1.39,-0.78,0.78,19.1,,9.15,52.1,1.14,1.94,2.72,,-4.08
2005-08-24,14.61,14.63,0.96,0.81,48452035,1.19,2.53,1.99,18.42,,10.19,55.4,1.16,1.9,3.5,,-3.16
2005-08-25,14.69,14.59,-0.27,0.41,42976007,1.03,2.47,1.2,17.51,9.9,9.9,54.3,1.16,1.86,3.05,,-3.42
2005-08-26,14.52,14.42,-1.12,-0.48,33922279,0.81,-0.38,-0.23,14.26,9.45,8.66,49.6,1.18,1.86,1.78,,-4.51
2005-08-29,14.72,14.54,0.8,2.09,50214932,1.16,0.16,1.64,16.07,12.51,9.53,52.7,1.17,1.87,2.48,,-3.74
2005-08-30,14.6,14.81,1.87,0.41,50245867,1.13,2.23,2.45,16.04,12.96,11.58,59.0,1.22,1.86,4.24,,-1.94
2005-08-31,14.82,15.22,2.75,0.08,71232932,1.54,4.04,3.56,19.46,14.18,14.65,66.3,1.31,1.91,6.85,,0.0
2005-09-01,15.42,15.62,2.61,1.3,65905630,1.38,7.04,6.78,21.89,15.67,17.64,71.6,1.4,1.92,9.33,,0.0
2005-09-02,15.49,15.31,-1.94,-0.78,48199463,0.99,6.16,4.49,19.16,14.22,15.36,63.4,1.48,1.98,6.95,,-1.94
2005-09-06,15.32,15.42,0.7,0.02,40253800,0.83,6.06,6.04,21.14,15.14,16.16,65.0,1.47,1.96,7.41,,-1.25
2005-09-07,15.38,15.44,0.15,-0.23,43586941,0.88,4.27,4.69,20.99,18.58,16.34,65.3,1.45,1.94,7.32,,-1.1
2005-09-08,15.4,15.46,0.13,-0.26,52913844,1.06,1.61,5.05,17.75,21.21,16.5,65.6,1.44,1.88,7.16,,-0.97
2005-09-09,15.53,15.87,2.61,0.44,44901961,0.9,1.61,6.05,20.95,23.36,19.53,71.2,1.5,1.89,9.59,,0.0
2005-09-12,15.8,15.54,-2.04,-0.39,46513121,0.91,1.51,2.91,18.03,19.98,17.1,62.5,1.58,1.95,7.03,,-2.04
2005-09-13,15.55,15.41,-0.86,0.06,36146030,0.71,-0.06,2.21,16.31,20.62,16.1,59.2,1.59,1.95,5.86,,-2.88
2005-09-14,15.49,15.6,1.25,0.55,40869388,0.81,1.04,4.5,16.37,21.74,17.55,62.3,1.59,1.91,6.96,,-1.66
2005-09-15,15.74,15.6,0.0,0.89,49780692,1.04,0.9,6.86,14.74,19.67,17.55,62.3,1.49,1.93,6.7,,-1.66
2005-09-16,15.61,15.71,0.69,0.05,46235931,0.97,-0.98,10.13,14.06,19.41,18.36,64.0,1.36,1.85,7.18,,-0.98
2005-09-19,15.9,16.13,2.64,1.21,53876139,1.12,3.75,13.28,16.92,23.64,21.49,69.8,1.43,1.89,9.68,,0.0
2005-09-20,16.06,15.97,-0.95,-0.39,50621878,1.04,3.65,10.32,18.32,23.96,20.33,65.6,1.45,1.89,8.34,,-0.95
2005-09-21,16.29,16.2,1.41,1.99,66308929,1.35,3.81,11.59,19.28,28.15,22.03,68.6,1.46,1.89,9.56,,0.0
2005-09-22,16.42,16.08,-0.74,1.39,86239510,1.69,3.04,10.97,18.31,27.29,21.12,65.3,1.48,2.06,8.45,,-0.74
2005-09-23,15.99,15.8,-1.76,-0.56,53348408,1.03,0.54,7.99,16.95,24.9,19.0,58.3,1.56,2.11,6.25,,-2.49
2005-09-26,15.69,16.08,1.83,-0.68,38974387,0.75,-0.26,10.26,17.29,29.28,21.17,62.7,1.58,2.12,7.84,,-0.7
2005-09-27,15.98,16.1,0.08,-0.65,23618424,0.47,0.78,11.6,19.61,27.47,21.27,62.9,1.54,2.05,7.56,,-0.62
2005-09-28,16.2,16.23,0.82,0.63,57315093,1.13,0.19,11.62,20.7,25.97,22.26,64.9,1.54,2.02,8.1,,0.0
2005-09-29,16.33,16.39,0.97,0.61,45843622,0.92,1.92,10.63,22.66,24.13,23.44,67.1,1.51,1.95,8.78,,0.0
2005-09-30,16.34,16.13,-1.56,-0.25,33838098,0.71,2.11,5.99,18.12,23.23,21.51,60.4,1.48,1.97,6.74,,-1.56
2005-10-03,16.24,16.09,-0.25,0.71,22056832,0.47,0.02,3.03,14.39,24.5,21.2,59.3,1.39,1.96,6.21,,-1.82
2005-10-04,15.95,15.51,-3.61,-0.89,58584183,1.23,-3.66,1.27,12.27,18.12,16.83,47.2,1.55,2.17,2.22,,-5.36
2005-10-05,15.54,14.91,-3.83,0.2,105001798,2.07,-8.11,-3.29,6.6,14.05,12.35,38.4,1.76,2.41,-1.77,,-8.99
2005-10-06,14.78,14.56,-2.38,-0.89,169209104,3.0,-11.15,-5.73,4.76,13.39,9.67,34.4,1.83,2.58,-4.13,,-11.15
2005-10-07,14.74,14.88,2.24,1.23,71613915,1.24,-7.72,-3.75,6.31,15.07,12.13,40.6,1.9,2.51,-2.03,,-9.16
2005-10-10,14.88,14.66,-1.51,-0.05,53991942,0.93,-8.88,-7.61,3.78,15.15,10.44,37.9,1.81,2.54,-3.56,,-10.53
2005-10-11,14.86,15.01,2.4,1.4,56704498,0.96,-3.2,-3.43,6.88,20.88,13.09,44.1,1.87,2.52,-1.32,,-8.39
2005-10-12,15.06,14.72,-1.92,0.3,68757281,1.13,-1.28,-4.47,7.4,18.61,10.91,40.5,1.9,2.59,-3.22,,-10.15
2005-10-13,14.55,14.32,-2.71,-1.2,130484277,2.02,-1.61,-8.21,5.05,19.96,7.9,36.2,1.95,2.81,-5.81,,-12.59
2005-10-14,14.21,14.53,1.44,-0.75,103424921,1.53,-2.39,-6.89,6.99,19.51,9.45,39.8,1.99,2.86,-4.44,,-11.33
