date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,8.14,8.19,,,1411402,,,,,,0.0,,,1.06,,,
2005-02-28,8.17,8.16,-0.29,-0.19,2063458,,,,,,-0.29,0.0,,1.08,,,
2005-03-01,8.22,8.26,1.21,0.74,1457586,,,,,,0.91,24.2,,1.09,,,
2005-03-02,8.22,8.24,-0.27,-0.57,1103946,,,,,,0.65,22.9,,1.12,,,
2005-03-03,8.23,8.18,-0.74,-0.15,983216,,,,,,-0.1,19.7,,1.15,,,
2005-03-04,8.14,8.23,0.64,-0.45,1820281,,0.55,,,,0.55,28.9,,1.17,,,
2005-03-07,8.18,8.29,0.75,-0.59,1321955,,1.59,,,,1.3,38.0,,1.24,,,
2005-03-08,8.27,8.22,-0.84,-0.34,1805127,,-0.46,,,,0.45,32.9,,1.26,,,
2005-03-09,8.14,8.21,-0.19,-0.98,2312985,,-0.39,,,,0.25,31.8,,1.3,,,
2005-03-10,8.18,8.24,0.45,-0.3,1399179,,0.8,,,,0.7,36.9,,1.28,,,
2005-03-11,8.19,8.14,-1.28,-0.69,1382560,,-1.13,,,,-0.59,30.0,,1.36,,,
2005-03-14,8.14,8.17,0.41,0.0,1585420,,-1.47,,,,-0.19,34.1,,1.32,,,
2005-03-15,8.17,8.09,-1.01,0.0,803578,,-1.63,,,,-1.19,29.5,,1.35,,,
2005-03-16,8.08,8.01,-1.02,-0.11,1385251,,-2.44,,,,-2.2,25.7,,1.37,,,
2005-03-17,8.0,8.0,-0.05,-0.14,823133,,-2.93,,,,-2.25,25.5,,1.33,,,
2005-03-18,7.98,7.96,-0.56,-0.3,3292780,,-2.22,,,,-2.8,23.6,,1.34,,,
2005-03-21,7.96,7.96,0.0,0.05,2075190,,-2.62,,,,-2.8,23.6,,1.32,,,
2005-03-22,7.96,7.89,-0.85,0.0,3774983,,-2.47,,,,-3.63,20.9,,1.35,,,
2005-03-23,7.81,7.92,0.38,-0.96,1618658,,-1.08,,,,-3.26,25.0,,1.38,,,
2005-03-24,7.9,7.92,0.03,-0.29,1101014,0.66,-1.01,,,,-3.23,25.4,,1.38,,,-4.47
2005-03-28,7.93,7.93,0.12,0.12,1576368,0.94,-0.33,,,,-3.12,26.7,,1.37,,,-4.36
2005-03-29,7.88,7.87,-0.73,-0.67,1798283,1.08,-1.06,-3.82,,,-3.82,23.8,0.67,1.38,,,-5.06
2005-03-30,7.89,7.99,1.49,0.16,2271680,1.33,1.29,-2.1,,,-2.39,38.5,0.76,1.39,,,-3.64
2005-03-31,7.99,8.0,0.14,0.0,1333441,0.77,1.05,-3.13,,,-2.25,39.7,0.7,1.35,,,-3.5
2005-04-01,7.98,7.93,-0.89,-0.3,4998683,2.6,0.12,-3.74,,,-3.12,35.1,0.72,1.39,,,-4.36
2005-04-04,7.92,7.96,0.39,-0.19,2355018,1.21,0.39,-2.65,,,-2.75,38.4,0.72,1.37,,,-3.99
2005-04-05,7.99,7.98,0.21,0.37,1333195,0.68,1.33,-3.07,,,-2.54,40.2,0.7,1.32,,,-3.79
2005-04-06,8.02,7.97,-0.16,0.45,1107613,0.58,-0.32,-3.95,,,-2.7,39.2,0.67,1.3,,,-3.95
2005-04-07,7.97,8.07,1.34,0.11,1609598,0.86,0.87,-1.84,,,-1.4,49.9,0.73,1.29,,,-2.66
2005-04-08,8.09,8.02,-0.71,0.15,1043085,0.56,1.05,-2.35,,,-2.1,45.3,0.75,1.28,,,-3.36
2005-04-11,8.05,7.97,-0.56,0.45,1752336,0.93,0.09,-3.33,,,-2.65,42.0,0.74,1.28,,,-3.9
2005-04-12,7.96,8.02,0.62,-0.09,1552167,0.83,0.51,-1.47,,,-2.05,46.6,0.71,1.31,,,-3.31
2005-04-13,7.99,7.9,-1.43,-0.39,1925855,0.99,-0.77,-3.27,,,-3.45,38.9,0.76,1.36,,,-4.69
2005-04-14,7.87,7.79,-1.43,-0.39,1621827,0.83,-3.48,-3.68,,,-4.83,33.2,0.79,1.39,,,-6.05
2005-04-15,7.7,7.56,-3.02,-1.23,3406666,1.64,-5.71,-5.62,,,-7.7,24.9,0.99,1.56,,,-8.88
2005-04-18,7.59,7.57,0.11,0.44,4991837,2.31,-5.07,-5.47,,,-7.59,25.6,0.99,1.52,,,-8.78
2005-04-19,7.66,7.66,1.25,1.25,1727167,0.81,-4.48,-3.74,,,-6.44,33.3,1.04,1.49,,,-7.64
2005-04-20,7.75,7.59,-0.91,1.23,1943453,0.95,-3.98,-4.62,,,-7.29,30.8,1.05,1.58,,,-8.48
2005-04-21,7.63,7.79,2.66,0.52,3583619,1.67,0.0,-1.24,,,-4.83,44.0,1.22,1.62,,,-6.05
2005-04-22,7.73,7.7,-1.18,-0.75,1589569,0.73,1.9,-2.78,,,-5.95,40.2,1.24,1.66,,,-7.15
2005-04-25,7.74,7.75,0.7,0.53,1924881,0.88,2.5,-2.12,,,-5.28,43.3,1.25,1.61,,,-6.5
2005-04-26,7.73,7.7,-0.7,-0.37,1316090,0.61,0.53,-2.92,,,-5.95,41.0,1.25,1.62,,,-7.15
2005-04-27,7.65,7.73,0.38,-0.64,1042850,0.49,1.83,-1.84,,,-5.59,42.8,1.25,1.61,,,-6.8
2005-04-28,7.7,7.65,-1.02,-0.43,881055,0.42,-1.81,-4.26,,,-6.55,39.4,1.21,1.59,,,-7.75
2005-04-29,7.73,7.72,0.92,1.03,1035518,0.55,0.27,-3.52,,,-5.69,43.7,1.23,1.58,,,-6.9
2005-05-02,7.76,7.71,-0.11,0.48,772791,0.43,-0.54,-2.76,,,-5.79,43.3,1.22,1.55,,,-7.0
2005-05-03,7.71,7.77,0.68,-0.06,696531,0.39,0.84,-2.48,,,-5.15,46.6,1.23,1.51,,,-6.37
2005-05-04,7.78,7.82,0.68,0.24,1015473,0.57,1.14,-2.02,,,-4.51,49.7,1.24,1.48,,,-5.74
2005-05-05,7.82,7.81,-0.16,0.0,1758690,0.99,2.02,-2.02,,,-4.67,48.9,1.24,1.46,,,-5.89
2005-05-06,7.84,7.83,0.27,0.39,857352,0.48,1.36,-3.05,,,-4.4,50.3,1.2,1.4,-1.44,,-5.63
2005-05-09,7.85,7.86,0.45,0.29,663779,0.39,1.93,-1.91,,,-3.97,52.5,1.2,1.37,-0.91,,-5.2
2005-05-10,7.84,7.78,-1.08,-0.27,844882,0.5,0.15,-2.42,,,-5.01,47.0,1.22,1.38,-1.89,,-6.23
2005-05-11,7.78,7.81,0.48,0.0,4534821,2.5,-0.04,-2.55,,,-4.55,49.5,1.21,1.39,-1.31,,-5.78
2005-05-12,7.83,7.82,0.1,0.22,736125,0.42,0.22,-1.05,,,-4.46,50.0,1.17,1.39,-1.11,,-5.68
2005-05-13,7.87,7.92,1.25,0.67,4540921,2.49,1.2,1.64,,,-3.26,56.2,1.16,1.4,0.2,,-4.5
2005-05-16,7.93,8.0,0.96,0.15,1750391,1.05,1.71,5.81,,,-2.33,60.3,0.93,1.38,1.22,,-3.59
2005-05-17,7.97,8.02,0.34,-0.27,1028182,0.63,3.16,6.05,,,-2.0,61.7,0.93,1.38,1.63,,-3.26
2005-05-18,8.03,8.14,1.44,0.06,3381994,1.99,4.15,6.25,,,-0.59,67.0,0.94,1.39,3.12,,-1.87
2005-05-19,8.17,8.18,0.55,0.36,2104996,1.3,4.62,7.81,,,-0.05,68.8,0.9,1.33,3.69,,-1.33
2005-05-20,8.15,8.2,0.14,-0.44,1149656,0.72,3.47,5.17,,,0.1,69.2,0.73,1.3,3.85,,-1.19
2005-05-23,8.22,8.22,0.35,0.25,2490915,1.53,2.85,6.79,,,0.45,70.4,0.66,1.26,4.19,,-0.84
2005-05-24,8.21,8.27,0.51,-0.19,2058567,1.23,3.02,6.59,,,0.95,72.1,0.65,1.23,4.7,,-0.34
2005-05-25,8.24,8.23,-0.46,-0.25,2653180,1.52,1.09,6.85,,,0.49,68.3,0.64,1.22,4.18,,-0.8
2005-05-26,8.27,8.32,1.13,0.51,1908020,1.06,1.68,7.65,1.63,,1.63,72.2,0.66,1.21,5.28,,0.0
2005-05-27,8.35,8.31,-0.14,0.31,1093680,0.61,1.4,8.61,1.79,,1.49,71.0,0.6,1.18,5.05,,-0.14
2005-05-31,8.32,8.26,-0.62,0.1,1152824,0.63,0.41,6.95,-0.05,,0.86,65.9,0.62,1.16,4.32,,-0.76
2005-06-01,8.27,8.34,0.98,0.09,2049035,1.08,0.89,8.11,1.2,,1.85,69.6,0.63,1.17,5.24,,0.0
2005-06-02,8.33,8.38,0.45,-0.1,1122765,0.59,1.8,7.86,2.4,,2.31,71.2,0.63,1.18,5.58,,0.0
2005-06-03,8.36,8.29,-1.06,-0.2,1429488,0.76,-0.4,6.0,0.67,,1.22,63.0,0.69,1.2,4.37,,-1.06
2005-06-06,8.31,8.27,-0.16,0.22,4250089,2.08,-0.43,6.01,-0.24,,1.06,61.8,0.69,1.18,4.11,,-1.22
2005-06-07,8.29,8.24,-0.41,0.19,2517790,1.18,-0.21,5.28,0.2,,0.65,58.9,0.71,1.21,3.6,,-1.62
2005-06-08,8.3,8.26,0.21,0.69,1463211,0.67,-0.97,5.03,0.61,,0.86,59.9,0.71,1.18,3.72,,-1.41
2005-06-09,8.29,8.3,0.48,0.36,4283571,1.98,-0.94,6.68,0.64,,1.34,62.3,0.64,1.18,4.13,,-0.94
2005-06-10,8.3,8.25,-0.53,0.06,1105905,0.51,-0.42,5.61,1.4,,0.8,58.2,0.67,1.18,3.52,,-1.47
2005-06-13,8.22,8.29,0.42,-0.35,1795597,0.88,0.16,5.95,1.41,,1.22,60.4,0.67,1.19,3.86,,-1.06
2005-06-14,8.28,8.24,-0.62,-0.06,1320233,0.65,-0.05,3.98,1.81,,0.59,55.6,0.65,1.18,3.14,,-1.68
2005-06-15,8.3,8.29,0.63,0.74,1220040,0.6,0.36,3.64,3.5,,1.22,59.1,0.64,1.19,3.7,,-1.06
