date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,17.04,17.06,,,592505,,,,,,0.0,,,0.72,,,
2005-02-28,17.15,17.02,-0.2,0.56,1349404,,,,,,-0.2,0.0,,0.74,,,
2005-03-01,17.11,17.16,0.81,0.49,600178,,,,,,0.61,23.5,,0.75,,,
2005-03-02,17.06,17.12,-0.26,-0.6,560589,,,,,,0.34,21.7,,0.77,,,
2005-03-03,17.26,17.23,0.69,0.81,388517,,,,,,1.03,35.5,,0.78,,,
2005-03-04,17.37,17.32,0.52,0.81,3952866,,1.56,,,,1.56,43.7,,0.78,,,
2005-03-07,17.32,17.27,-0.31,0.0,396054,,1.45,,,,1.24,40.4,,0.77,,,
2005-03-08,17.31,17.19,-0.46,0.22,346873,,0.17,,,,0.78,36.1,,0.78,,,
2005-03-09,17.19,17.07,-0.72,0.0,334403,,-0.29,,,,0.05,30.5,,0.8,,,
2005-03-10,17.03,17.1,0.2,-0.2,816766,,-0.77,,,,0.25,33.6,,0.81,,,
2005-03-11,17.02,16.97,-0.77,-0.5,3465163,,-2.04,,,,-0.52,28.5,,0.84,,,
2005-03-14,17.04,17.02,0.32,0.4,529488,,-1.43,,,,-0.2,33.0,,0.81,,,
2005-03-15,17.12,16.92,-0.61,0.54,343174,,-1.58,,,,-0.81,29.2,,0.84,,,
2005-03-16,16.84,16.88,-0.25,-0.47,661413,,-1.11,,,,-1.06,27.8,,0.84,,,
2005-03-17,16.94,16.94,0.34,0.34,254128,,-0.97,,,,-0.72,32.5,,0.84,,,
2005-03-18,16.8,16.81,-0.73,-0.77,550856,,-0.94,,,,-1.45,28.2,,0.86,,,
2005-03-21,16.88,16.72,-0.56,0.4,483870,,-1.81,,,,-2.01,25.4,,0.88,,,
2005-03-22,16.79,16.62,-0.57,0.43,996505,,-1.77,,,,-2.57,23.0,,0.89,,,
2005-03-23,16.61,16.73,0.66,-0.08,638531,,-0.87,,,,-1.92,31.2,,0.93,,,
2005-03-24,16.79,16.72,-0.05,0.34,543456,0.61,-1.25,,,,-1.97,31.0,,0.9,,,-3.47
