date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-10-08,23.61,23.76,,,2541,,,,,,0.0,,,0.66,,,
2015-10-09,23.76,23.72,-0.17,-0.03,5468,,,,,,-0.17,0.0,,0.65,,,
2015-10-12,23.93,23.87,0.63,0.87,2860,,,,,,0.46,22.3,,0.66,,,
2015-10-13,23.72,23.72,-0.63,-0.63,636,,,,,,-0.17,18.0,,0.66,,,
2015-10-15,23.62,23.65,-0.29,-0.42,3179,,,,,,-0.46,16.4,,0.65,,,
2015-10-16,24.07,24.1,1.9,1.76,511,,1.42,,,,1.42,48.1,,0.73,,,
2015-10-19,24.15,24.39,1.17,0.2,2541,,2.79,,,,2.61,58.7,,0.75,,,
2015-10-20,24.67,24.38,-0.04,1.15,3179,,2.1,,,,2.58,58.3,,0.78,,,
2015-10-21,24.43,24.43,0.23,0.23,511,,2.99,,,,2.81,60.2,,0.74,,,
2015-10-22,24.53,24.74,1.25,0.39,2667,,4.58,,,,4.1,68.5,,0.77,,,
2015-10-23,24.42,24.44,-1.21,-1.28,4449,,1.4,,,,2.84,56.2,,0.84,,,
2015-10-26,24.41,24.47,0.14,-0.12,636,,0.36,,,,2.98,57.1,,0.8,,,
2015-10-27,24.43,24.48,0.03,-0.16,4193,,0.43,,,,3.02,57.3,,0.77,,,
2015-10-28,24.57,24.39,-0.35,0.38,4067,,-0.16,,,,2.65,53.9,,0.79,,,
2015-10-29,24.41,24.5,0.44,0.07,4960,,-0.96,,,,3.1,57.3,,0.76,,,
2015-10-30,24.34,24.34,-0.64,-0.64,253,,-0.39,,,,2.44,51.3,,0.76,,,
2015-11-02,24.34,24.34,0.0,0.0,36,,-0.53,,,,2.44,51.3,,0.71,,,
2015-11-03,24.86,24.66,1.3,2.1,636,,0.73,,,,3.77,60.8,,0.79,,,
2015-11-04,24.8,24.56,-0.41,0.55,2350,,0.68,,,,3.35,57.0,,0.81,,,
2015-11-05,24.61,24.47,-0.38,0.19,30255,7.97,-0.14,,,,2.96,53.7,,0.83,,,-1.1
2015-11-06,23.9,23.56,-3.72,-2.33,11439,2.7,-3.23,,,,-0.87,33.2,,1.08,,,-4.77
2015-11-09,23.65,23.37,-0.8,0.37,57780,8.43,-4.0,-1.66,,,-1.66,30.6,1.14,1.13,,,-5.53
2015-11-10,23.69,23.62,1.09,1.36,34579,4.1,-4.21,-0.42,,,-0.59,37.7,1.17,1.13,,,-4.51
2015-11-11,23.69,23.7,0.34,0.27,34448,3.4,-3.49,-0.72,,,-0.26,39.8,1.16,1.11,,,-4.18
2015-11-12,23.49,23.56,-0.61,-0.9,81105,5.78,-3.72,-0.7,,,-0.87,37.3,1.16,1.1,,,-4.77
2015-11-13,23.46,23.25,-1.3,-0.42,60511,3.55,-1.3,-1.7,,,-2.16,32.7,1.19,1.13,,,-6.01
2015-11-16,23.23,23.23,-0.09,-0.09,5338,0.31,-0.6,-3.62,,,-2.25,32.4,1.11,1.07,,,-6.1
2015-11-17,23.6,23.59,1.56,1.59,32540,1.75,-0.14,-3.26,,,-0.73,42.1,1.13,1.14,,,-4.64
2015-11-18,23.32,23.87,1.16,-1.17,36231,1.77,0.68,-2.1,,,0.43,48.1,1.17,1.9,,,-3.53
2015-11-19,23.92,24.0,0.57,0.23,4449,0.22,1.88,-1.77,,,1.0,50.8,1.17,1.8,,,-2.98
