date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,8.64,8.78,,,11825858,,,,,,0.0,,,2.19,,,
2005-02-28,8.8,8.72,-0.69,0.24,6565042,,,,,,-0.69,0.0,,2.15,,,
2005-03-01,8.73,8.74,0.29,0.17,4933177,,,,,,-0.4,3.1,,2.08,,,
2005-03-02,8.78,8.73,-0.11,0.4,8567167,,,,,,-0.51,3.1,,2.01,,,
2005-03-03,8.78,8.78,0.52,0.52,7706925,,,,,,0.0,8.9,,1.93,,,
2005-03-04,8.83,8.91,1.56,0.66,5700118,,1.56,,,,1.56,23.9,,1.89,,,
2005-03-07,8.93,8.98,0.71,0.15,3765306,,3.0,,,,2.29,29.6,,1.81,,,
2005-03-08,8.99,8.92,-0.67,0.17,5872429,,2.01,,,,1.6,27.5,,1.77,,,
2005-03-09,8.96,8.76,-1.78,0.52,14256284,,0.31,,,,-0.2,22.9,,1.85,,,
2005-03-10,8.78,8.81,0.65,0.2,7996893,,0.44,,,,0.44,27.6,,1.81,,,
2005-03-11,8.82,8.78,-0.44,0.08,5854105,,-1.54,,,,0.0,26.4,,1.78,,,
2005-03-14,8.78,8.91,1.54,0.07,1844151,,-0.74,,,,1.54,36.6,,1.75,,,
2005-03-15,8.91,8.87,-0.42,0.03,8502844,,-0.49,,,,1.11,35.1,,1.71,,,
2005-03-16,8.87,8.79,-0.91,-0.07,13493698,,0.39,,,,0.19,32.2,,1.73,,,
2005-03-17,8.81,8.84,0.56,0.15,2778392,,0.31,,,,0.75,35.8,,1.66,,,
2005-03-18,8.84,8.75,-1.05,-0.06,4505892,,-0.31,,,,-0.31,32.3,,1.68,,,
2005-03-21,8.79,8.75,-0.02,0.5,3089365,,-1.84,,,,-0.34,32.2,,1.61,,,
2005-03-22,8.75,8.57,-2.02,0.1,12372471,,-3.42,,,,-2.35,26.5,,1.72,,,
2005-03-23,8.57,8.53,-0.5,0.06,21908887,,-3.03,,,,-2.84,25.4,,1.71,,,
2005-03-24,8.57,8.62,1.08,0.47,7928240,0.99,-2.53,,,,-1.8,32.2,,1.68,,,-4.0
