date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,24.92,25.15,,,545030,,,,,,0.0,,,1.09,,,
2005-02-28,25.24,24.78,-1.5,0.36,948267,,,,,,-1.5,0.0,,1.19,,,
2005-03-01,24.92,24.98,0.81,0.56,475228,,,,,,-0.71,3.9,,1.17,,,
2005-03-02,25.0,25.0,0.09,0.09,922364,,,,,,-0.62,4.4,,1.17,,,
2005-03-03,25.16,24.98,-0.09,0.65,380499,,,,,,-0.71,4.3,,1.17,,,
2005-03-04,25.1,25.21,0.92,0.48,405913,,0.21,,,,0.21,9.4,,1.14,,,
2005-03-07,25.16,25.26,0.22,-0.18,533354,,1.96,,,,0.43,10.6,,1.12,,,
2005-03-08,25.33,25.1,-0.65,0.27,889167,,0.48,,,,-0.22,10.2,,1.12,,,
2005-03-09,25.19,24.94,-0.62,0.36,469390,,-0.23,,,,-0.84,9.7,,1.13,,,
2005-03-10,25.08,25.03,0.36,0.56,702390,,0.22,,,,-0.49,12.0,,1.1,,,
2005-03-11,25.12,24.83,-0.79,0.35,521316,,-1.48,,,,-1.27,11.3,,1.14,,,
2005-03-14,24.87,24.87,0.16,0.16,1454025,,-1.53,,,,-1.11,12.4,,1.12,,,
2005-03-15,24.93,24.59,-1.16,0.23,836758,,-2.04,,,,-2.26,11.3,,1.16,,,
2005-03-16,24.53,24.35,-0.96,-0.23,2731110,,-2.38,,,,-3.2,10.5,,1.17,,,
2005-03-17,24.44,24.43,0.34,0.37,238583,,-2.4,,,,-2.87,12.8,,1.14,,,
2005-03-18,24.32,24.32,-0.44,-0.44,1562858,,-2.06,,,,-3.3,12.3,,1.15,,,
2005-03-21,24.39,24.23,-0.4,0.28,811589,,-2.61,,,,-3.69,11.9,,1.15,,,
2005-03-22,24.38,24.23,0.04,0.64,283339,,-1.43,,,,-3.66,12.2,,1.14,,,
2005-03-23,24.23,24.5,1.09,0.0,334166,,0.62,,,,-2.61,20.3,,1.14,,,
2005-03-24,24.63,24.51,0.03,0.53,744582,0.94,0.3,,,,-2.58,20.5,,1.12,,,-2.99
2005-03-28,24.63,24.49,-0.06,0.51,296107,0.38,0.68,,,,-2.64,20.4,,1.08,,,-3.05
2005-03-29,24.51,24.41,-0.34,0.06,639272,0.84,0.75,-2.97,,,-2.97,19.7,0.67,1.06,,,-3.38
2005-03-30,24.44,24.79,1.58,0.13,370527,0.49,2.3,0.06,,,-1.44,31.5,0.7,1.08,,,-1.86
2005-03-31,24.79,24.55,-0.96,0.0,1092734,1.43,0.22,-1.7,,,-2.39,28.7,0.7,1.09,,,-2.8
2005-04-01,24.7,24.34,-0.87,0.62,419170,0.55,-0.68,-2.63,,,-3.24,26.4,0.72,1.16,,,-3.65
2005-04-04,24.47,24.47,0.52,0.52,262421,0.35,-0.09,-2.04,,,-2.73,30.0,0.73,1.14,,,-3.14
2005-04-05,24.7,24.96,2.01,0.93,555486,0.73,2.26,-0.98,,,-0.77,41.8,0.84,1.18,,,-1.19
2005-04-06,25.01,24.98,0.07,0.19,1484539,1.88,0.74,-1.13,,,-0.71,42.1,0.84,1.15,,,-1.13
2005-04-07,24.96,25.23,1.02,-0.07,1225166,1.48,2.76,0.53,,,0.3,47.4,0.86,1.18,,,-0.12
2005-04-08,25.21,25.05,-0.72,-0.09,672351,0.81,2.91,0.43,,,-0.42,44.3,0.86,1.18,,,-0.84
2005-04-11,25.16,25.02,-0.1,0.45,507335,0.61,2.27,-0.04,,,-0.52,43.9,0.86,1.14,,,-0.94
2005-04-12,24.95,25.19,0.66,-0.29,453709,0.58,0.92,1.43,,,0.14,47.5,0.85,1.17,,,-0.29
2005-04-13,25.23,25.3,0.46,0.17,511467,0.67,1.31,1.73,,,0.6,49.9,0.85,1.17,,,0.0
2005-04-14,25.37,25.21,-0.38,0.25,1396015,2.01,-0.09,2.53,,,0.21,47.9,0.81,1.16,,,-0.38
2005-04-15,25.29,25.33,0.48,0.32,4918035,5.31,1.12,4.02,,,0.69,50.5,0.78,1.17,,,0.0
2005-04-18,25.82,25.15,-0.69,1.94,1403070,1.53,0.52,2.96,,,0.0,46.8,0.8,1.34,,,-0.69
2005-04-19,25.2,25.14,-0.07,0.17,1127147,1.21,-0.2,3.35,,,-0.07,46.5,0.79,1.32,,,-0.76
2005-04-20,25.21,24.83,-1.24,0.28,526668,0.56,-1.89,2.48,,,-1.3,40.4,0.84,1.37,,,-1.98
2005-04-21,25.12,25.16,1.35,1.18,522288,0.55,-0.18,3.82,,,0.03,48.3,0.88,1.36,,,-0.66
2005-04-22,25.27,25.08,-0.34,0.43,966995,1.0,-1.0,2.36,,,-0.31,46.6,0.86,1.35,,,-1.0
2005-04-25,25.16,25.13,0.21,0.34,418924,0.43,-0.1,2.55,,,-0.1,47.8,0.86,1.32,,,-0.79
2005-04-26,25.16,24.98,-0.61,0.13,419778,0.44,-0.64,1.99,,,-0.71,44.6,0.88,1.3,,,-1.39
2005-04-27,24.94,25.16,0.74,-0.14,412361,0.43,1.35,3.09,,,0.03,49.0,0.88,1.31,,,-0.66
2005-04-28,25.02,25.04,-0.48,-0.55,422937,0.45,-0.48,1.0,,,-0.45,46.5,0.83,1.29,,,-1.14
2005-04-29,25.15,25.41,1.48,0.42,522656,0.56,1.34,3.49,,,1.02,54.4,0.85,1.29,,,0.0
2005-05-02,25.53,25.52,0.41,0.48,611308,0.64,1.54,4.83,,,1.44,56.4,0.82,1.24,,,0.0
2005-05-03,25.53,25.5,-0.06,0.07,3570660,3.23,2.1,4.23,,,1.38,56.0,0.82,1.21,,,-0.06
2005-05-04,25.62,25.76,1.0,0.45,647541,0.61,2.36,3.19,,,2.39,60.8,0.73,1.19,,,0.0
2005-05-05,25.82,25.75,-0.03,0.25,774620,0.74,2.82,3.09,,,2.36,60.5,0.73,1.15,,,-0.03
2005-05-06,25.95,25.63,-0.45,0.77,2066907,1.86,0.87,1.59,,,1.9,57.3,0.71,1.16,2.71,,-0.48
2005-05-09,25.71,25.82,0.74,0.29,1259940,1.1,1.19,3.08,,,2.65,61.0,0.7,1.15,3.41,,0.0
2005-05-10,25.86,25.66,-0.63,0.16,668824,0.58,0.61,2.53,,,2.0,56.4,0.72,1.14,2.68,,-0.63
2005-05-11,25.62,25.76,0.42,-0.16,697404,0.6,0.03,2.28,,,2.43,58.6,0.71,1.14,3.04,,-0.22
2005-05-12,25.82,25.73,-0.13,0.22,871294,0.76,-0.06,1.69,,,2.29,57.6,0.71,1.12,2.85,,-0.35
2005-05-13,25.72,25.56,-0.67,-0.04,2223536,2.21,-0.29,1.39,,,1.6,52.8,0.72,1.16,2.11,,-1.02
