date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-02-06,24.64,24.91,,,193031,,,,,,0.0,,,1.55,,,
2006-02-07,25.03,25.01,0.41,0.49,493308,,,,,,0.41,,,1.48,,,
2006-02-08,25.23,25.48,1.9,0.88,510251,,,,,,2.32,,,1.48,,,
2006-02-09,25.75,25.34,-0.57,1.03,176091,,,,,,1.73,92.0,,1.51,,,
2006-02-10,25.18,25.17,-0.66,-0.63,819110,,,,,,1.06,83.8,,1.58,,,
2006-02-13,25.02,25.02,-0.59,-0.59,160869,,0.47,,,,0.47,77.1,,1.52,,,
2006-02-14,24.65,24.96,-0.25,-1.49,256088,,-0.19,,,,0.22,74.5,,1.52,,,
2006-02-15,24.9,24.86,-0.39,-0.26,632,,-2.44,,,,-0.17,70.4,,1.45,,,
2006-02-16,25.33,25.54,2.72,1.87,31316,,0.79,,,,2.54,79.0,,1.5,,,
2006-02-17,25.48,25.21,-1.27,-0.23,213833,,0.17,,,,1.24,68.7,,1.5,,,
2006-02-21,25.05,24.65,-2.23,-0.64,295123,,-1.47,,,,-1.01,55.2,,1.59,,,
2006-02-22,24.46,24.94,1.17,-0.8,252874,,-0.07,,,,0.15,59.6,,1.65,,,
2006-02-23,24.89,24.57,-1.49,-0.22,67561,,-1.17,,,,-1.35,52.5,,1.67,,,
2006-02-24,24.71,24.75,0.72,0.55,350249,,-3.1,,,,-0.64,55.2,,1.63,,,
2006-02-27,24.93,25.0,1.04,0.73,49756,,-0.84,,,,0.39,58.9,,1.58,,,
2006-02-28,24.75,24.82,-0.75,-1.0,172226,,0.66,,,,-0.36,55.3,,1.55,,,
2006-03-01,25.14,25.82,4.06,1.29,93944,,3.53,,,,3.69,67.0,,1.67,,,
2006-03-02,25.98,25.91,0.35,0.61,31316,,5.47,,,,4.05,67.8,,1.63,,,
2006-03-03,25.77,25.67,-0.95,-0.57,831333,,3.72,,,,3.06,63.3,,1.64,,,
2006-03-06,25.51,25.24,-1.68,-0.63,132763,0.52,0.94,,,,1.33,56.1,,1.68,,,-2.61
2006-03-07,25.06,24.73,-1.99,-0.7,300272,1.15,-0.33,,,,-0.68,49.2,,1.77,,,-4.55
2006-03-08,24.68,24.75,0.05,-0.24,1504,0.01,-4.17,-0.64,,,-0.64,49.3,1.57,1.75,,,-4.5
2006-03-09,25.01,24.45,-1.19,1.08,7291,0.03,-5.64,-2.23,,,-1.82,45.5,1.58,1.81,,,-5.64
2006-03-10,24.27,24.26,-0.79,-0.75,41392,0.2,-5.49,-4.81,,,-2.59,43.2,1.52,1.81,,,-6.38
2006-03-13,24.21,24.16,-0.4,-0.19,632,0.0,-4.26,-4.64,,,-2.99,42.0,1.52,1.72,,,-6.76
2006-03-14,24.15,24.57,1.69,-0.06,183384,1.11,-0.67,-2.38,,,-1.35,48.4,1.57,1.7,,,-5.18
2006-03-15,24.72,24.85,1.13,0.61,4073,0.03,0.41,-0.69,,,-0.23,52.2,1.59,1.64,,,-4.11
2006-03-16,24.71,24.26,-2.35,-0.57,217055,1.32,-0.77,-2.79,,,-2.57,44.7,1.67,1.73,,,-6.36
2006-03-17,24.1,24.26,-0.02,-0.67,7080,0.04,0.0,-2.43,,,-2.59,44.6,1.67,1.7,,,-6.38
2006-03-20,24.39,24.35,0.37,0.55,12010,0.08,0.78,-4.65,,,-2.23,46.0,1.54,1.65,,,-6.03
2006-03-21,24.63,24.48,0.53,1.16,115822,0.81,-0.37,-2.92,,,-1.71,48.0,1.53,1.72,,,-5.54
2006-03-22,24.3,24.51,0.13,-0.74,1504,0.01,-1.36,-0.58,,,-1.59,48.5,1.46,1.66,,,-5.42
2006-03-23,24.83,24.67,0.66,1.33,125901,0.94,1.68,-1.09,,,-0.94,51.1,1.44,1.62,,,-4.8
2006-03-24,24.74,24.88,0.83,0.27,547359,3.81,2.54,1.25,,,-0.12,54.3,1.41,1.57,,,-4.0
2006-03-27,25.0,24.98,0.41,0.49,5359,0.04,2.58,0.94,,,0.3,55.9,1.41,1.48,,,-3.61
2006-03-28,24.98,24.6,-1.54,-0.02,328588,2.2,0.48,-1.63,,,-1.25,49.2,1.43,1.54,,,-5.09
2006-03-29,24.71,25.3,2.86,0.47,109386,0.73,3.22,1.95,,,1.58,58.9,1.55,1.61,,,-2.37
2006-03-31,25.24,25.21,-0.35,-0.24,1504,0.01,2.19,-2.37,,,1.23,57.4,1.26,1.53,,,-2.71
2006-04-03,25.25,25.59,1.5,0.14,79788,0.72,2.87,-1.25,,,2.75,61.9,1.31,1.55,,,-1.25
2006-04-04,25.41,25.41,-0.71,-0.71,1080,0.01,1.72,-1.01,,,2.02,58.7,1.3,1.5,,,-1.95
2006-04-05,25.55,25.98,2.26,0.54,61129,0.66,5.65,2.96,,,4.33,64.9,1.34,1.53,,,0.0
2006-04-06,26.35,26.35,1.42,1.42,1244210,8.04,4.16,6.54,,,5.81,68.1,1.27,1.52,,,0.0
2006-04-07,25.99,25.93,-1.62,-1.36,41823,0.27,2.84,4.77,,,4.1,61.1,1.34,1.57,,,-1.62
2006-04-10,25.75,25.6,-1.27,-0.68,10510,0.07,0.03,4.69,,,2.78,56.2,1.34,1.57,,,-2.86
