ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
UNG,87.76,87.76,-1.39,-1.39,613971,1.03,-1.3,-3.52,-1.61,-12.24,-8.74,43.0,1.26,1.94,-3.3,-10.84,-30.39
XLU,19.78,19.63,-0.77,0.02,36050540,0.8,-0.36,2.27,-2.48,-4.56,-3.19,52.2,0.73,1.54,1.48,-3.51,-10.33
XLRE,26.78,26.42,-0.67,0.68,7010558,1.26,-0.48,-0.42,-5.07,-3.75,-5.83,48.0,0.86,1.58,0.24,-3.23,-8.03
NLR,44.24,44.24,-0.45,-0.45,6344,4.03,-0.51,3.81,0.3,-2.98,0.16,59.6,0.72,0.81,2.4,-0.14,-5.23
UUP,21.23,21.24,-0.26,-0.3,970850,1.03,-0.55,-0.17,-2.33,-3.44,-1.76,47.8,0.41,0.46,0.1,-2.22,-9.84
TLT,96.98,96.88,-0.19,-0.09,7558968,0.73,0.12,2.89,-3.02,-0.83,-2.92,56.5,0.57,0.83,1.59,-1.35,-4.99
VXX,3187.2,3187.2,0.0,0.0,1,0.01,0.36,30.2,,,82.69,57.8,5.45,5.29,14.1,,-9.75
LQD,106.77,106.72,0.03,0.07,5709889,0.84,0.4,1.26,-2.25,-1.55,-2.13,60.0,0.24,0.36,0.46,-0.97,-2.81
XLP,46.65,46.49,0.23,0.57,14859278,0.8,0.95,-3.29,-7.47,-1.13,-6.6,47.4,1.04,1.54,-2.19,-3.27,-10.06
GLD,127.02,127.12,0.24,0.16,5403992,0.8,0.65,1.26,1.44,4.98,1.57,55.0,0.73,0.85,0.77,3.39,-1.33
HYG,74.03,74.21,0.37,0.13,13301826,0.88,0.82,0.21,-1.07,-0.38,-0.43,59.3,0.31,0.43,0.67,0.3,-1.14
SLV,15.66,15.62,0.39,0.64,7259740,0.94,1.03,-0.06,-3.28,-1.45,-3.64,52.6,0.98,1.31,0.04,-1.28,-10.9
EWJ,55.93,55.91,0.55,0.58,9999544,0.87,0.45,-0.23,-3.08,8.74,0.31,51.9,1.08,1.42,-0.13,4.51,-6.48
ICLN,9.22,9.25,0.61,0.3,73125,0.51,2.18,2.82,2.92,8.86,3.7,59.1,1.33,1.56,3.78,7.57,0.0
GRID,46.77,46.93,0.67,0.35,952,0.34,1.68,-5.66,-5.33,-0.66,-3.44,44.7,1.2,1.29,-2.45,0.92,-7.74
EWL,31.2,31.2,0.78,0.76,619999,0.48,1.8,-1.71,-4.83,-1.58,-3.48,50.5,0.85,1.23,-1.51,-1.25,-8.64
ITA,94.53,94.29,0.9,1.16,716943,1.05,0.22,-3.32,2.78,9.12,5.23,49.7,1.4,2.05,-0.41,8.85,-3.42
EWP,29.15,29.14,0.91,0.94,587134,0.65,2.82,0.91,-2.36,2.68,0.12,57.1,1.07,1.39,0.25,0.36,-8.47
EFG,76.06,76.11,0.92,0.85,81313,0.21,1.92,-0.56,-1.97,5.34,0.25,55.5,0.87,1.22,0.65,3.4,-5.26
XAR,84.0,83.77,0.96,1.24,93531,0.78,0.57,-3.08,1.66,6.47,4.13,50.5,1.37,1.92,0.2,7.91,-3.08
EFA,62.42,62.46,1.07,1.0,23604453,0.75,2.26,-0.08,-2.23,4.44,-0.15,56.2,0.89,1.25,0.51,3.0,-6.02
EWQ,28.29,28.36,1.09,0.83,1043354,0.76,3.33,0.94,0.43,4.77,3.17,60.1,0.97,1.29,1.65,4.6,-4.3
EWY,69.91,70.07,1.11,0.87,2436436,0.73,-1.14,-1.97,-3.07,9.53,-1.54,50.9,1.79,2.06,0.65,4.89,-5.49
PPA,54.59,54.49,1.15,1.33,88944,0.9,0.51,-2.78,3.23,8.6,5.52,50.5,1.3,1.87,-0.16,8.32,-2.91
EZU,39.39,39.44,1.17,1.05,15797508,1.42,2.91,0.4,-0.99,3.19,1.76,58.3,0.98,1.32,0.95,3.01,-5.83
EFV,47.11,47.19,1.18,1.0,758603,1.8,2.45,0.33,-2.41,3.4,-0.36,56.2,0.98,1.29,0.32,2.51,-6.85
XLY,47.22,47.19,1.22,1.29,13823849,0.96,1.98,-4.04,0.06,11.54,1.76,48.0,1.53,2.03,-1.83,6.5,-6.46
VGK,50.78,50.88,1.26,1.07,6009599,1.0,2.86,0.44,-1.58,3.28,0.32,58.5,0.96,1.25,0.95,3.0,-5.92
PHO,29.82,29.86,1.29,1.16,47862,1.44,0.8,-2.69,-1.04,4.71,0.5,50.2,1.3,1.67,0.16,4.6,-4.16
EWT,29.34,29.38,1.3,1.17,5513505,0.81,0.74,0.07,2.3,7.56,3.86,53.1,1.42,1.63,1.55,4.65,-2.8
EWG,29.05,29.07,1.39,1.32,2862180,0.59,3.15,-0.09,-4.29,1.1,-1.5,56.4,1.12,1.44,0.31,1.39,-8.11
EWH,22.75,22.84,1.4,1.03,3998453,0.72,1.2,-2.33,-1.54,4.95,-0.69,51.8,1.19,1.5,0.09,3.63,-5.09
AIRR,25.62,25.65,1.42,1.3,32306,1.54,0.74,-4.55,-6.18,-1.66,-6.02,47.3,1.54,1.91,-1.71,0.83,-8.21
RSP,91.6,91.85,1.43,1.14,658131,0.78,1.29,-3.61,-3.2,4.28,-1.58,49.3,1.28,1.72,-1.01,2.73,-6.77
IWD,108.92,109.18,1.49,1.25,1733381,0.82,1.54,-3.63,-4.02,1.74,-2.8,49.7,1.32,1.79,-1.22,1.17,-7.72
XLF,25.31,25.29,1.5,1.61,75422973,1.05,1.46,-6.31,-1.92,6.1,-0.34,47.6,1.69,2.36,-2.47,4.16,-7.77
EWU,30.13,30.23,1.52,1.18,1741729,0.68,4.04,2.82,-0.8,6.0,-0.25,64.9,0.92,1.28,2.75,4.8,-4.8
XLI,67.91,67.93,1.53,1.5,20056949,1.22,-0.15,-5.72,-5.11,3.37,-2.84,45.7,1.47,2.13,-2.68,2.15,-8.3
VTV,92.18,92.41,1.56,1.31,1281236,0.76,1.68,-3.8,-3.43,4.12,-1.89,49.9,1.39,1.87,-1.28,2.57,-7.65
MDY,321.74,323.06,1.58,1.17,1185576,0.8,1.28,-3.25,-2.85,4.27,-1.52,50.3,1.34,1.77,-0.23,3.21,-5.28
LIT,31.15,31.38,1.59,0.85,317334,0.77,2.13,-6.73,-19.4,-12.4,-16.54,43.6,1.43,2.28,-4.89,-5.9,-19.4
IJH,34.15,34.27,1.6,1.27,5751548,0.74,1.28,-3.23,-2.77,4.38,-1.45,50.3,1.35,1.77,-0.21,3.31,-5.24
SPY,236.18,236.98,1.6,1.25,117817324,0.87,1.69,-4.54,-2.82,5.19,-0.95,49.1,1.42,1.93,-1.43,3.1,-7.1
VTI,126.03,126.52,1.63,1.24,2324384,0.68,1.66,-4.36,-2.59,4.99,-0.85,49.2,1.41,1.88,-1.25,3.25,-6.68
PBW,23.49,23.5,1.63,1.6,7236,0.34,3.05,0.19,-1.38,5.79,-1.79,53.6,1.55,1.94,2.43,6.25,-3.25
VOO,216.88,217.59,1.66,1.32,3251773,0.87,1.7,-4.53,-2.83,5.2,-0.99,49.1,1.44,1.93,-1.43,3.12,-7.11
XLV,75.65,76.17,1.68,0.99,8800316,0.94,1.57,-4.85,-3.09,-0.29,-1.55,48.6,1.42,1.97,-2.02,0.11,-10.08
DBC,16.62,16.74,1.71,0.94,3959582,1.69,2.32,3.36,3.17,13.13,3.24,63.0,0.83,1.13,2.95,8.72,-0.23
VB,137.87,138.55,1.76,1.27,652369,1.05,1.6,-3.18,-1.59,4.0,-0.65,50.7,1.34,1.8,0.02,3.79,-4.56
IWF,32.06,32.23,1.77,1.25,6031430,0.76,1.77,-5.22,-1.57,8.36,0.85,48.4,1.55,2.04,-1.53,4.98,-6.15
DIA,232.74,233.39,1.78,1.5,6251146,0.95,1.6,-3.6,-2.93,8.33,-1.13,50.3,1.51,2.1,-1.26,4.66,-7.84
PAVE,15.59,15.58,1.78,1.84,24814,0.51,1.14,-5.59,-7.66,3.87,-5.76,47.2,1.68,2.33,-2.48,2.39,-9.54
XHE,69.36,69.99,1.79,0.87,22621,1.04,2.03,-1.09,5.59,9.69,7.3,54.1,1.41,1.88,2.32,8.87,-1.81
VUG,22.31,22.4,1.81,1.39,3787251,0.62,1.74,-5.4,-1.98,6.56,0.34,48.2,1.54,2.02,-1.63,3.86,-6.32
TAN,24.9,24.79,1.83,2.28,93139,0.73,2.67,-0.75,-3.35,16.3,-2.45,52.9,1.87,2.29,1.85,8.53,-5.79
IWN,112.5,113.32,1.84,1.1,1061888,1.31,1.79,-2.6,-3.12,-0.65,-2.51,51.3,1.32,1.82,0.1,1.43,-5.51
IJR,72.41,72.99,1.89,1.08,3421778,0.99,2.13,-1.96,0.34,4.55,1.1,52.9,1.36,1.86,1.12,5.53,-2.63
IWM,143.82,144.98,1.89,1.07,26129154,0.98,2.09,-3.25,-0.84,2.84,-0.11,51.4,1.39,1.89,0.35,4.01,-3.89
IWO,185.83,187.19,1.92,1.19,461833,0.76,2.41,-3.79,1.34,6.08,2.17,51.4,1.46,2.0,0.6,6.43,-3.98
EEM,41.04,41.24,1.95,1.46,104993413,1.29,0.36,-3.42,-2.2,6.9,0.08,49.1,1.56,1.91,-1.06,4.7,-7.74
IHI,30.4,30.63,1.97,1.18,307126,0.59,1.92,-3.0,2.86,9.32,5.73,52.7,1.4,1.95,0.83,6.9,-3.78
EWZ,36.52,37.02,1.99,0.62,21195367,1.22,-2.26,-6.9,0.34,1.55,2.73,41.7,1.68,2.42,-4.62,4.49,-9.54
