ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
A,133.78,134.29,0.52,0.14,2175279,0.95,0.13,-0.81,16.32,-8.94,-1.43,58.47,2.71,3.04,7.44,2.66,-16.21
AA,48.7,48.68,-0.08,-0.04,4988653,0.65,0.02,-30.68,-34.41,-20.41,-10.05,30.74,4.36,6.24,-23.26,-11.87,-42.31
AAA,25,24.95,-0.2,0,13132,1.26,-0.2,0.04,-0.12,0.12,-0.12,46.83,0.36,0.42,-0.04,-0.17,-0.76
AAAC,20.05,20.04,0.05,0.12,848986,2715.89,0.1,0,0.15,-0.2,-0.15,45.77,0.01,0.06,-0.08,,-0.72
AAAD,49.97,49.97,-0.06,-0.06,10,0.04,-0.44,0.21,0.07,0.07,0.07,47.44,0.1,0.19,,,-0.9
AAAP,25.2,25.23,0.12,0.02,338,0.01,0.22,0.42,0.42,0.42,0.42,,0.23,,,,0.0
AAC.U,10.06,10.07,0,-0.08,261873,,0,0,0,0,0,,1.03,,,,-0.2
AACB,10.53,10.51,0,0.19,10460,0.25,0.1,0.48,1.45,2.04,2.04,59.71,0.23,0.23,0.58,2.38,-0.38
AACG,0.95,0.98,2.08,-0.93,1051,0.02,-5.77,-8.41,1.03,10.86,24.05,44.51,7.27,7.21,-10.12,-9.63,-62.01
AACI,9.95,9.97,-0.1,-0.3,1280,0.06,-0.1,0.19,1.01,0.2,0.2,54.71,0.17,0.22,0.39,,-0.3
AACO,9.96,9.96,0,0,26906,1.14,0.56,0.71,0.1,0.1,0.1,57.95,0.08,0.2,,,0.0
AACOU,10.01,10.07,0.6,0.0,874,0.35,0.4,-1.18,1.21,0.8,0.8,54.15,1.4,2.17,0.91,,-10.33
AACP,9.95,9.99,0.2,-0.2,107488,5.59,-0.1,0.3,0.4,0.4,0.4,56.35,0.24,0.25,,,-0.2
AACPU,10.22,10.22,-0.39,-0.39,308,0.15,-0.0,-0.15,1.89,2.1,2.1,51.1,0.33,0.61,0.78,,-4.49
AADR,83.35,84.19,0.05,-0.94,3927,2.77,0.72,3.66,-3.84,-5.54,-3.46,54.68,1.3,1.64,0.03,-2.43,-14.43
AADX,20.61,20.59,-1.06,-0.96,362750,0.26,-13.92,8.2,-0.77,-0.77,-0.77,50.4,17.56,9.06,,,-15.06
AAEQ,53.8,53.82,0.5,0.47,432,0.59,1.45,3.94,10.88,7.9,9.19,60.28,0.22,0.68,1.84,,-0.68
AAL,16.9,16.95,-0.64,-0.94,82064316,0.54,-8.17,22.74,48.03,5.81,10.28,58.39,4.26,4.29,16.07,25.9,-9.79
AALG,17.59,18.02,-0.8,-3.17,24121,0.81,-17.0,49.81,101.34,-6.63,3.27,56.68,7.25,7.5,29.09,35.33,-18.35
AAME,1.66,1.69,0.6,-1.19,4344,0.35,1.2,-5.05,-30.45,-45.31,-43.1,38.61,4.43,4.72,-16.56,-33.38,-54.45
AAMI,81.31,81.66,1.59,1.16,430771,0.74,11.42,6.76,32.11,60.5,74.34,64.2,4.1,3.95,11.67,44.37,-4.75
AAOI,118.71,119.92,-1.87,-2.86,6738017,0.63,-11.73,-30.19,-14.19,267.29,229.95,39.23,10.85,14.78,-27.72,41.97,-48.68
AAON,108.58,114.16,3.55,-1.51,828498,0.81,-1.94,-11.24,24.09,41.41,46.72,41.72,5.14,6.53,-9.44,13.94,-24.13
AAP,55.11,57.95,5.36,0.2,1779135,0.97,-7.44,-3.4,0.99,36.32,46.41,49.62,4.48,4.73,1.46,9.87,-17.21
AAPB,39.99,40.08,-0.75,-0.97,84744,1.38,8.32,15.87,41.42,37.59,25.25,61.02,4.58,4.54,9.77,24.69,-3.14
AAPD,11.12,11.1,0.36,0.54,6032821,0.88,-6.96,-8.98,-18.56,-19.39,-15.33,35.68,2.66,2.87,-6.59,-15.29,-38.02
AAPG,19.03,19.97,5.66,0.69,3625,0.13,8.12,16.51,-19.51,-29.31,-23.95,62.52,3.35,3.88,3.46,-25.56,-58.78
AAPL,314.72,315.32,-0.28,-0.47,34132321,0.42,7.21,8.45,21.29,21.71,15.82,62.93,2.7,2.57,5.89,15.74,-0.66
AAPU,41.13,41.27,-0.6,-0.93,1092533,0.6,14.32,15.18,40.57,35.8,22.41,61.62,5.39,4.86,9.5,22.56,-3.71
AARD,5.03,7.6,52.0,0.6,4090613,10.6,36.2,113.48,93.88,-47.91,-42.86,73.53,13.22,9.25,58.57,-17.29,-57.64
AAT,25.2,25.12,0.2,0.52,212778,0.47,-0.24,2.11,30.16,34.12,32.98,64.25,1.92,1.96,8.64,24.47,-1.68
AAUC,23.11,23.34,0.78,-0.22,683343,1.45,-4.46,-7.31,-25.98,-7.23,-0.09,39.48,4.0,4.27,-11.51,-8.4,-27.52
AAUS,60.19,60.38,0.23,-0.09,68759,30.59,1.62,3.95,10.83,8.32,9.57,59.81,0.23,0.65,1.78,8.03,-0.8
AAVM,33.51,33.56,0.36,0.22,2599,2.95,0.11,1.5,0.74,8.52,12.72,46.83,0.29,0.83,-1.16,6.34,-3.71
AAXJ,115.54,116.22,-0.06,-0.64,1113924,1.7,0.36,2.23,12.73,19.32,22.05,49.09,1.79,2.68,-0.1,13.95,-6.94
AB,36.99,37.16,1.14,0.68,245618,0.82,3.51,0.43,-2.29,-3.36,-3.23,56.58,1.89,1.95,-0.53,-4.24,-15.76
ABAT,2.69,2.63,-1.87,0.37,2518515,0.63,-5.73,-18.32,-8.36,-43.32,-23.1,40.33,6.93,9.03,-16.92,-32.54,-77.11
ABBV,251.0,248.08,-0.73,0.44,5780990,0.47,-1.67,9.32,16.17,10.87,8.46,60.34,2.64,2.67,10.79,11.35,-5.18
ABCB,90.01,90.41,0.72,0.28,332291,0.57,-2.15,4.32,8.54,14.28,21.9,57.42,2.1,2.09,4.44,13.33,-2.19
ABCL,7.29,6.8,-6.72,0,7281658,0.74,-11.23,30.52,95.4,62.29,98.83,53.12,9.27,9.4,19.82,52.87,-19.43
ABCS,34.22,34.16,0.36,0.53,1219,0.59,0.51,3.68,10.73,8.97,12.08,66.31,0.55,0.8,4.6,10.06,-0.52
ABEO,7.12,6.98,-1.97,0,1632784,0.86,14.61,29.02,36.86,36.86,31.7,72.67,4.74,4.45,21.13,33.44,-7.43
ABEQ,37.32,37.42,0.4,0.13,6486,0.4,-0.11,0.78,-2.12,2.66,4.76,49.75,0.59,0.71,0.17,1.07,-6.64
ABEV,3.09,3.07,0.99,1.64,28545725,1.24,-2.23,-1.6,-4.06,20.87,23.29,44.97,2.2,2.45,-2.64,10.5,-11.01
ABG,213.33,211.97,0.11,0.76,376771,1.49,6.38,4.38,4.77,-15.48,-8.88,62.29,3.16,3.16,7.98,-3.13,-20.13
ABI,24.77,24.77,0.04,0.04,60,0.74,-0.52,-0.12,-0.02,-0.48,-0.24,36.82,0.0,0.1,-0.32,-0.56,-2.33
ABIG,34.82,34.84,0.55,0.48,355,0.4,1.68,3.83,12.95,6.49,8.08,63.75,0.36,0.82,3.16,8.69,0.0
ABLV,1.02,1.03,-1.9,-2.86,41876,0.4,-12.71,-3.74,70.25,63.49,63.49,43.53,7.45,8.51,1.6,23.36,-41.81
ABM,44.57,44.6,0.38,0.32,199281,0.31,0.11,0,13.03,1.32,5.44,57.28,2.48,2.43,6.14,3.98,-11.01
ABNB,147.02,148.62,1.18,0.09,2635916,0.74,1.45,14.13,15.33,6.15,9.33,59.59,3.03,3.05,7.38,13.76,-1.05
ABNG,19.43,19.31,2.65,3.27,3854,0.86,-0.5,29.26,32.64,1.61,10.82,58.44,2.92,4.61,12.9,,-2.22
ABOS,2.73,2.63,-2.59,1.11,319065,0.34,0.38,20.09,4.37,42.16,23.47,54.95,7.14,6.67,8.17,13.6,-26.94
ABR,4.99,5.05,1.81,0.6,2527506,0.53,-4.17,-5.08,-32.93,-36.16,-34.84,39.68,3.62,4.26,-13.06,-37.4,-59.84
ABR/PD,16.15,16.04,-0.25,0.43,17119,0.85,0.25,-0.86,-7.01,-9.63,-6.47,42.12,1.01,1.1,-2.25,-7.35,-15.31
ABR/PE,15.99,16,0.44,0.38,3955,0.36,0.06,1.59,-6.87,-8.88,-5.77,47.27,0.83,0.94,-1.68,-6.59,-15.79
ABR/PF,22.85,22.9,0.44,0.22,8082,0.2,1.69,0.09,2.64,4.16,5.19,54.06,0.98,1.12,-0.22,2.0,-2.97
ABSI,11.37,10.6,-7.59,-0.87,4696717,0.65,-7.02,57.15,258.11,201.99,198.59,61.2,10.93,9.31,46.53,148.17,-12.07
ABT,94.97,93.93,-0.5,0.6,6913069,0.57,0.56,2.86,-8.55,-25.7,-24.68,56.61,2.52,2.5,5.32,-15.25,-31.68
ABTC,6.19,6.13,2.51,3.51,1873188,0.86,-37.13,-51.35,-56.53,-78.49,-76.65,17.53,10.64,17.52,-55.5,-81.92,-97.19
ABTS,1.18,1.23,4.24,0,17648,0.41,6.03,-8.89,-2.6,-77.76,-76.97,49.65,10.41,14.68,0.93,-68.33,-88.67
ABUS,5.14,4.8,-6.61,0,2950661,0.84,0.63,13.21,11.37,2.35,-1.13,54.68,4.76,4.93,7.4,8.07,-10.78
ABVC,1.36,1.51,4.14,-6.21,179375,0.61,-15.17,14.39,4.14,-32.89,-29.11,49.8,11.6,12.36,14.93,-20.67,-62.67
ABVX,140.74,139.9,-0.6,0,837743,0.29,0.74,37.3,11.03,17.94,2.27,65.21,6.52,6.33,21.52,23.26,-6.0
ABX,12,11.11,-7.34,0.08,572812,0.62,-6.01,22.09,37.5,26.83,30.09,58.54,5.14,4.94,15.26,36.0,-10.69
ACA,145.03,145,0.02,0.04,380776,0.37,-0.01,12.45,29.3,32.83,35.68,69.59,1.45,1.66,10.45,27.91,-1.31
ACAA,10.19,10.19,-0.2,-0.2,793,0.02,1.6,2.31,2.93,2.93,2.93,71.35,0.31,0.43,,,-0.44
ACAAU,10.07,10.07,0.1,0.1,315,0.15,0.5,0.6,0.1,0.7,0.7,51.91,2.51,1.68,0.24,,-14.88
ACAD,26.51,26.22,-0.72,0.38,1442787,0.66,3.19,20.33,16.43,-2.67,-1.98,73.33,3.49,3.33,16.41,12.46,-7.51
ACB,2.7,2.71,0.37,0,940999,0.75,-4.91,-18.86,-22.13,-38.13,-37.12,33.47,4.26,4.53,-15.26,-32.42,-59.34
ACCL,1.79,1.8,3.45,2.87,31318,1.15,3.45,18.42,28.57,-42.86,-35.48,61.39,6.38,6.14,15.44,,-64.0
ACCO,3.86,3.88,1.31,0.78,926149,0.87,-9.98,-2.76,33.33,0,2.92,45.86,3.37,3.72,-1.25,3.86,-11.01
ACCS,7.07,7.11,-0.2,-0.77,17343,1.08,6.14,18.12,-16.24,-27.44,-23.37,58.51,5.15,4.83,4.27,-13.52,-45.72
ACDC,4.96,4.92,0.41,1.22,915843,0.66,-10.55,-28.9,-14.43,18.55,25.83,36.49,7.75,9.44,-25.8,-7.44,-41.71
ACEI,23.46,23.4,0,0.26,27614,1.1,0.04,-1.52,-1.31,-5.76,-5.49,43.11,1.09,1.27,-2.74,,-14.35
ACEL,12.48,12.5,0,-0.16,321892,0.86,-2.5,-1.57,7.67,6.11,9.84,47.85,2.52,2.6,1.52,10.22,-10.71
ACEP,20,20.01,0.22,0.18,264,0.04,1.83,1.76,8.2,17.48,21.47,56.76,0.65,0.94,1.96,,-2.74
ACES,33.78,33.27,-1.28,0.24,98273,0.9,-5.64,-8.5,-2.29,-3.12,0.97,36.72,2.74,3.41,-10.12,-4.56,-22.63
ACET,8.95,8.83,-1.23,0.11,60801,0.62,1.15,21.46,28.16,8.08,4.74,55.96,5.4,5.56,7.8,-1.62,-49.36
ACFN,16.93,17.25,2.01,0.12,20545,2.25,4.23,11.51,-7.7,-17.66,13.49,55.15,3.64,3.84,1.01,-7.94,-47.73
ACGC,9.97,9.97,0,-0.02,9799,0.16,0.1,0.5,0.3,0.3,0.3,67.73,0.13,0.39,,,-8.45
ACGCU,10.07,10.07,0,0,164,0.05,-0.4,0,1.31,1.31,1.31,55.14,0.46,0.52,,,-6.33
ACGL,101.91,101.06,-0.63,0.21,1285041,0.69,2.19,10.45,2.67,5.39,5.52,65.45,1.91,2.05,7.23,7.54,-3.83
ACGLN,15.91,15.96,0.06,-0.25,27397,0.43,-1.3,-1.42,-6.12,-6.39,-4.72,40.51,1.23,1.23,-3.09,-6.86,-12.98
ACGLO,19.09,18.95,-0.68,0.05,27294,0.64,-1.04,-2.22,-6.42,-7.79,-6.97,39.01,1.01,1.04,-3.32,-7.87,-14.64
ACGR,69.19,69.19,0.41,0.41,17,0.3,1.71,2.49,10.68,4.12,4.33,54.18,0.23,1.0,0.52,5.44,-4.27
ACH,3.28,3.42,3.64,-0.61,262198,0.36,-4.2,26.2,30.04,44.92,22.14,56.23,8.05,7.39,8.21,11.13,-59.29
ACHC,31.78,31.28,-0.38,1.21,2966625,0.68,-0.7,22.52,15.0,133.08,118.74,65.98,4.77,4.55,19.7,46.48,-4.69
