ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
PLUG,2.47,2.52,-13.87,-15.41,88107920,2.06,-18.08,-4.73,-7.2,3.93,-45.21,42.7,5.75,10.02,-12.79,-34.6,-80.83
WATT,30.0,26.06,-13.13,0.01,24770,10.44,-16.48,-15.67,-40.91,-50.37,-46.71,26.3,4.19,13.81,-30.99,-48.47,-83.62
SMR,12.56,11.3,-12.13,-2.33,8875520,1.19,-26.34,18.45,131.08,488.54,259.87,47.6,7.48,12.8,17.35,111.09,-28.53
SMMT,10.04,8.79,-9.9,2.97,1977779,0.75,2.75,10.64,150.28,165.41,232.77,56.0,5.14,8.39,24.88,112.29,-19.55
BFLY,1.16,1.07,-9.32,-1.69,1281053,0.44,-8.55,22.13,30.49,0.94,0.94,52.1,6.82,8.8,7.33,6.73,-58.37
KOPN,1.23,1.07,-9.32,4.24,1637648,1.23,-1.83,50.7,-15.08,-48.31,-47.8,60.2,6.57,9.63,27.14,-28.55,-61.23
SOXL,51.78,47.0,-9.02,0.23,75969060,1.43,-26.49,-27.96,34.63,50.81,67.76,36.5,6.66,10.44,-12.68,25.74,-31.48
MRAM,6.46,6.1,-8.82,-3.44,218065,0.88,-6.3,1.67,-18.56,-28.82,-30.21,45.8,3.21,4.43,-0.27,-23.76,-41.63
INKT,9.8,8.8,-8.33,2.08,52401,5.54,-21.43,0.33,0.95,1.71,-19.27,43.0,5.89,11.81,-8.33,-10.22,-54.17
TOYO,2.29,2.12,-7.83,-0.43,245420,,-21.48,,,,8.72,28.9,,21.17,,,
NVAX,14.85,13.85,-7.42,-0.74,5476867,0.66,5.64,0.47,256.04,236.98,175.35,50.2,5.4,9.38,-1.8,86.72,-33.95
MVIS,1.25,1.13,-7.38,2.46,1839565,0.82,-8.87,26.97,-22.6,-49.78,-56.37,48.3,4.85,8.56,-0.86,-40.49,-71.75
AAOI,10.41,9.68,-6.97,0.1,2011785,0.89,3.14,-3.64,-17.02,-41.79,-48.23,50.0,6.7,8.74,-4.69,-27.32,-58.28
SATL,1.27,1.15,-6.88,2.83,28642,0.67,-19.01,6.48,-2.54,-9.45,-25.81,50.8,7.71,9.76,-2.52,-14.04,-50.64
ALGM,30.68,28.79,-6.71,-0.58,1343430,0.99,-8.4,1.84,9.01,7.99,-2.39,43.1,2.95,4.37,-2.47,0.04,-44.22
ZNTL,3.96,3.7,-6.33,0.25,1056125,0.64,-6.8,-10.63,-70.49,-71.45,-76.86,30.1,9.49,15.94,-54.47,-70.37,-86.9
JOBY,6.9,6.53,-6.31,-1.0,10042034,1.01,-1.21,30.6,42.89,16.61,5.66,61.9,5.95,6.25,24.05,16.1,-27.04
BLNK,3.26,3.12,-6.02,-1.81,3358402,0.67,-10.34,11.03,32.2,39.29,-1.58,50.6,4.43,7.26,1.68,5.88,-54.52
CLLS,2.12,2.03,-6.02,-1.85,11774,0.27,-2.87,0.74,-17.81,-25.37,-33.88,43.4,3.45,5.67,-16.22,-20.46,-42.82
INDI,6.6,6.25,-5.73,-0.45,1409360,0.56,-2.65,-3.77,12.82,-8.76,-17.55,44.6,4.24,6.14,-4.98,-4.55,-34.07
PVLA,7.72,7.25,-5.72,0.39,2279,0.06,5.84,-21.49,-41.63,-45.57,-51.33,36.6,5.57,9.7,-23.77,-48.19,-79.36
EVTL,8.69,8.44,-5.67,-2.88,22505,0.89,-5.73,16.13,12.5,57.29,22.67,52.7,5.75,8.71,11.28,6.02,-55.11
PKE,14.13,13.33,-5.66,0.0,73066,0.73,-2.42,0.45,-9.81,-5.12,-9.07,43.7,2.17,3.4,-3.43,-9.12,-19.84
NUVB,3.19,3.0,-5.66,0.31,1919358,0.87,-13.29,3.45,16.28,100.0,91.08,44.4,3.76,6.36,-3.27,38.23,-24.43
CSIQ,16.62,15.79,-5.45,-0.48,949187,0.61,-8.62,-2.41,8.67,-20.85,-38.66,46.8,4.89,6.35,-6.26,-20.47,-58.13
INTC,34.35,32.77,-5.42,-0.87,70070348,1.28,-4.38,7.67,-5.5,-28.95,-30.52,51.7,2.33,3.7,4.69,-14.73,-34.57
VRCA,74.3,70.4,-5.38,-0.13,28186,1.12,-17.37,-12.0,2.03,22.22,3.38,40.5,5.45,9.41,-14.01,18.72,-26.36
MGTX,4.69,4.42,-5.35,0.43,83593,0.38,-4.12,3.51,-11.78,-26.58,-39.7,47.3,3.67,5.78,-6.83,-17.44,-39.7
NNOX,8.07,7.64,-5.21,0.12,765424,0.59,-14.25,5.67,-15.77,32.87,18.27,47.0,5.68,7.38,-6.94,-1.16,-46.61
STTK,4.65,4.4,-5.17,0.22,484709,0.63,5.01,-4.14,-56.56,-48.02,-41.8,42.8,6.09,10.17,-27.91,-32.24,-60.64
AOSL,44.95,43.05,-5.07,-0.88,439316,0.81,1.75,37.32,115.03,58.1,57.23,65.6,4.11,5.4,30.38,64.36,-8.46
ZVRA,6.42,6.05,-5.02,0.78,548914,1.12,3.42,35.96,34.44,5.95,-11.42,62.2,6.21,6.57,22.82,16.33,-14.55
GFS,57.66,55.5,-4.95,-1.25,2025301,1.2,1.87,9.19,18.36,-2.24,-4.31,58.9,2.51,3.5,7.3,3.9,-13.71
