ticker,clase,first_date,last_date,n_rows,raw_first,flags
AAOI,WL,2013-09-26,2026-07-01,3209,2013-09-26,
AAON,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
ABSI,WL,2021-07-22,2026-07-01,1241,2021-07-22,
ABUS,WL,2007-07-23,2026-07-01,4617,2007-07-23,
ACAD,WL,2005-02-25,2026-07-01,5367,2005-02-25,BORDE-COBERTURA
ACHR,WL,2020-12-21,2026-07-01,1387,2020-12-21,
ACM,WL,2007-05-09,2026-07-01,4816,2007-05-09,
ADI,WL,2000-01-03,2026-07-01,6661,1984-07-19,PROFUNDO
ADSE,WL,2021-12-27,2026-07-01,1130,2021-12-27,
ADTN,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
AEVA,WL,2020-02-28,2026-07-01,1543,2020-02-28,
AGX,WL,2005-03-09,2026-07-01,4979,2005-03-09,
AIP,WL,2021-10-27,2026-07-01,1173,2021-10-27,
AIPO,WL,2025-07-28,2026-07-01,234,2025-07-28,
AIRG,WL,2016-08-12,2026-07-01,2484,2016-08-12,
AIRJ,WL,2022-02-07,2026-07-01,920,2022-02-07,
AIRO,WL,2025-06-13,2026-07-01,263,2025-06-13,
AIRR,WL,2014-03-13,2026-07-01,3089,2014-03-13,
AIT,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
ALAB,WL,2024-03-20,2026-07-01,572,2024-03-20,
ALDX,WL,2014-05-02,2026-07-01,3055,2014-05-02,
ALGM,WL,2020-10-29,2026-07-01,1423,2020-10-29,
ALLE,WL,2013-12-04,2026-07-01,3161,2013-12-04,
ALMS,WL,2024-06-28,2026-07-01,503,2024-06-28,
ALNT,WL,2005-02-25,2026-07-01,5320,2005-02-25,BORDE-COBERTURA
ALOT,WL,2005-02-25,2026-07-01,5103,2005-02-25,BORDE-COBERTURA
ALT,WL,2005-10-06,2026-07-01,5176,2005-10-06,
AMAT,WL,2000-01-03,2026-07-01,6661,1984-09-07,PROFUNDO
AMBA,WL,2012-10-10,2026-07-01,3449,2012-10-10,
AMD,WL,2000-01-03,2026-07-01,6663,1983-03-21,PROFUNDO
AME,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
AMKR,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
AMPX,WL,2022-09-16,2026-07-01,950,2022-09-16,
AMSC,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
AMTM,WL,2024-10-02,2026-07-01,437,2024-10-02,
ANET,WL,2014-06-06,2026-07-01,3035,2014-06-06,
AOSL,WL,2010-04-29,2026-07-01,4067,2010-04-29,
APG,WL,2020-04-29,2026-07-01,1551,2020-04-29,
APGE,WL,2023-07-14,2026-07-01,744,2023-07-14,
APH,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
ARKG,WL,2014-11-05,2026-07-01,2926,2014-11-05,
ARKK,WL,2014-11-05,2026-07-01,2921,2014-11-05,
ARKX,WL,2021-03-31,2026-07-01,1319,2021-03-31,
ARM,WL,2023-09-14,2026-07-01,701,2023-09-14,
ARQT,WL,2020-01-31,2026-07-01,1612,2020-01-31,
ARRY,WL,2020-10-15,2026-07-01,1433,2020-10-15,
ARTV,WL,2024-07-19,2026-07-01,489,2024-07-19,
ARXS,WL,2026-04-16,2026-07-01,53,2026-04-16,
ASML,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
ASND,WL,2015-01-28,2026-07-01,2873,2015-01-28,
