ticker,open,last,chg_pct,gap_pct,high,low,vol,relvol,rsi14,atr14_pct,volatility_1m,dist_sma50,vwap,dist_vwap,premkt_chg,postmkt_chg,turnover_usd
A,134.11,130.69,-2.02,0.54,134.48,130.38,2194237,0.87,52.87,3.17,2.9,5.88,131.85,-0.88,,0,286764833
AA,48.67,48.68,2.53,2.51,50.73,48.02,9904390,1.34,28.87,7.26,4.98,-25.28,49.14,-0.94,2.46,0.29,482145705
AAA,25,24.95,-0.23,-0.02,25,24.94,2481,0.1,47.72,0.4,0.38,-0.03,24.96,-0.06,-0.94,,61894
AAAC,20.02,20.02,0.02,0.02,20.02,20.02,18,0.17,37.78,0.06,0.0,-0.19,20.02,0.0,,,360
AAAD,50.19,50.19,0.13,0.13,50.19,50.19,19,0.12,56.03,0.2,0.15,,50.19,0.0,,,953
AAAP,25.17,25.19,0.06,-0.02,25.2,25.17,626,,,,0.21,,25.19,0.02,,,15768
AAC.U,10.07,10.05,-0.1,0.1,10.08,10.05,1507692,,,,0.75,,10.06,-0.1,0.1,,15152455
AACB,10.5,10.52,0.19,0,10.52,10.5,17482,0.43,68.72,0.23,0.32,0.83,10.51,0.06,,,183910
AACG,1.04,1.04,-2.38,-2.38,1.07,1.04,55619,1.32,49.37,7.72,7.76,-6.43,1.05,-1.05,,-3.85,57843
AACI,9.98,10,0,-0.2,10,9.98,58086,1.27,66.64,0.21,0.13,0.76,9.99,0.07,,,580860
AACIU,10.2,10.08,0,1.19,10.2,10.08,4537,1.91,53.01,0.9,2.82,0.77,10.12,-0.4,,,45732
AACO,9.9,9.95,0.2,-0.25,9.95,9.9,48467,0.89,56.46,0.24,0.07,,9.93,0.15,,,482246
AACP,10,9.97,-0.1,0.2,10.01,9.97,21312,0.92,52.12,0.25,0.36,,9.98,-0.13,,0,212480
AACPU,10.22,10.22,-0.49,-0.49,10.23,10.22,968,0.41,51.76,0.63,0.42,0.87,10.22,-0.03,,,9892
AADR,83.58,82.48,1.03,2.38,83.58,81.98,1209,0.5,47.64,1.72,1.28,-1.99,82.68,-0.24,,,99723
AADX,23.92,23.06,-3.31,0.29,24.19,22.8,890137,0.64,60.4,8.6,35.53,,23.35,-1.24,0.67,1.08,20526559
AAEQ,53.05,53.05,-0.08,-0.08,53.05,53.05,13,0.01,53.76,0.75,0.31,0.88,53.05,0.0,,,689
AAL,18.46,17.92,-1.27,1.7,18.79,17.71,130084827,0.8,75.18,3.87,4.26,27.38,18.14,-1.21,1.71,-0.06,2331120099
AALG,21.71,20.11,-3.08,4.66,22.07,19.83,26100,0.76,73.94,6.12,7.11,54.03,20.67,-2.72,2.05,,524769
