ticker,open,last,chg_pct,gap_pct,chg_from_open_pct,high,low,vol,relvol,rsi14,rsi5,atr14_pct,volatility_1m,dist_sma50,vwap,dist_vwap,premkt_chg,postmkt_chg,turnover_usd
A,133.93,135.22,0.88,-0.08,0.96,135.5,132.89,962781,0.44,59.89,69.16,2.85,2.66,7.46,134.54,0.51,0.42,,130189268
AA,50.19,48.67,-0.1,3.02,-3.03,50.87,48.46,2638029,0.36,30.8,29.14,5.99,4.4,-22.57,49.33,-1.34,2.28,,128392871
AAA,24.93,24.98,0.12,-0.06,0.18,24.98,24.93,1151,0.12,49.78,48.41,0.39,0.36,0.05,24.96,0.06,,,28746
AAAC,20.05,20.05,0.07,0.07,0.0,20.05,20.05,100006,1.08,51.67,63.77,0.06,0.01,0.0,20.05,0.0,,,2005120
AAAD,49.83,49.83,-0.27,-0.27,0.0,49.83,49.83,13,0.05,42.69,24.68,0.2,0.03,,49.83,-0.0,,,647
AAAP,25.23,25.23,0,0,0.0,25.23,25.23,11,0.0,,92.34,,0.23,,25.23,-0.0,,,277
AAC.U,10.07,10.08,0.1,0,0.1,10.08,10.07,100544,,,85.06,,1.07,,10.08,0.03,,,1013483
AACB,10.52,10.55,0,-0.28,0.29,10.55,10.52,3556,0.15,70.47,79.98,0.24,0.21,0.89,10.54,0.1,,,37515
AACG,0.95,1.0,5.15,0.22,4.92,1.0,0.95,3593,0.08,47.76,54.73,6.91,7.04,-7.52,0.98,1.59,,,3592
AACI,10,9.97,0,0.3,-0.3,10,9.97,10143,0.5,54.71,44.64,0.23,0.19,0.37,9.98,-0.1,,,101125
AACIU,10.14,10.14,0.6,0.6,0.0,10.14,10.14,136,0.05,57.77,56.05,0.87,0.46,1.34,10.14,0.0,,,1379
AACO,9.97,9.98,0.2,0.1,0.1,9.98,9.97,7414,0.35,61.79,82.95,0.2,0.09,,9.98,0.03,,,73991
AACOU,10.1,10.1,0.3,0.3,0.0,10.1,10.1,105,0.04,56.27,58.58,2.03,0.53,1.18,10.1,0.0,,,1060
AACP,9.98,9.98,-0.1,-0.1,0.0,9.98,9.98,1617,0.06,53.4,52.8,0.24,0.18,,9.98,0.0,,,16137
AACPU,10.23,10.23,0.1,0.1,0.0,10.23,10.23,100,0.05,52.31,43.74,0.57,0.29,0.84,10.23,0.0,,,1023
AADR,83.21,83.6,0.47,0,0.47,83.64,83.21,691,0.43,51.76,56.09,1.54,1.19,-0.65,83.48,0.14,,,57767
AADX,18.81,19,1.5,0.48,1.01,19.91,18.25,426761,0.33,45.02,27.19,10.0,13.2,,19.05,-0.28,0.85,,8108459
AAEQ,53.42,53.4,-0.77,-0.74,-0.03,53.42,53.4,1429,1.88,54.87,54.09,0.69,0.22,0.95,53.41,-0.01,,,76313
AAL,16.3,15.72,-3.59,-0.09,-3.5,16.34,15.71,111681397,0.8,45.68,21.52,4.6,4.04,6.37,15.92,-1.25,0.15,,1756189967
AALG,16.65,15.38,-7.17,0.46,-7.6,16.65,15.38,9748,0.36,43.83,21.49,8.9,7.0,8.0,15.81,-2.67,-0.2,,149972
AAME,1.66,1.64,-1.2,0,-1.2,1.67,1.64,8186,0.79,35.01,27.04,4.53,4.07,-17.57,1.65,-0.54,,,13425
AAMI,78.94,80.53,2.18,0.16,2.01,81.17,78.94,104161,0.23,59.95,64.16,3.95,4.14,9.32,80.21,0.39,-0.33,,8387564
AAOI,119.42,124.95,11.68,6.74,4.63,128.35,117.7,7979118,0.92,42.96,51.09,13.74,10.85,-23.95,123.67,1.04,6.99,,996990794
AAON,115.97,113.17,0.87,3.37,-2.42,118.34,110.03,462593,0.49,41.3,45.64,6.46,5.19,-10.88,113.85,-0.6,1.61,,52349336
AAP,55.86,54.65,-1.19,0.99,-2.17,55.86,53.84,1125469,0.65,42.82,33.93,5.13,4.7,-4.14,54.78,-0.24,2.59,,61506880
