date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,1.79,1.79,,,73446,,,,,,0.0,,,1.69,,,
2005-02-28,1.77,1.83,2.08,-1.3,91811,,,,,,2.08,,,1.8,,,
2005-03-01,1.83,1.8,-1.55,0.0,138122,,,,,,0.5,94.5,,1.95,,,
2005-03-02,1.8,1.81,0.5,0.1,204383,,,,,,1.0,94.6,,2.03,,,
2005-03-03,1.78,1.81,0.29,-1.28,182851,,,,,,1.29,94.6,,2.13,,,
2005-03-04,1.83,1.8,-0.49,0.78,46361,,0.79,,,,0.79,92.7,,2.18,,,
2005-03-07,1.81,1.82,1.0,0.2,35097,,-0.28,,,,1.8,93.0,,2.16,,,
2005-03-08,1.83,1.79,-1.87,0.68,89209,,-0.6,,,,-0.11,85.5,,2.23,,,
2005-03-09,1.78,1.8,0.7,-0.48,62272,,-0.4,,,,0.59,86.0,,2.3,,,
2005-03-10,1.78,1.81,0.59,-1.28,155759,,-0.09,,,,1.19,86.4,,2.27,,,
2005-03-11,1.79,1.82,0.69,-1.08,170265,,1.09,,,,1.89,86.8,,2.27,,,
2005-03-14,1.8,1.8,-1.17,-1.37,79634,,-1.08,,,,0.7,81.7,,2.23,,,
2005-03-15,1.84,1.85,2.57,1.98,134274,,3.4,,,,3.28,83.9,,2.23,,,
2005-03-16,1.84,1.86,0.76,-0.58,122011,,3.46,,,,4.07,84.5,,2.17,,,
2005-03-17,1.87,1.87,0.39,0.29,304064,,3.25,,,,4.48,84.9,,2.08,,,
2005-03-18,1.9,1.87,0.08,1.41,359497,,2.63,,,,4.57,84.9,,2.09,,,
2005-03-21,1.9,1.92,2.57,1.33,137797,,6.51,,,,7.25,87.0,,2.12,,,
2005-03-22,1.88,1.91,-0.65,-1.94,110996,,3.17,,,,6.56,83.8,,2.12,,,
2005-03-23,1.91,1.91,-0.09,-0.09,473836,,2.29,,,,6.46,83.3,,2.05,,,
2005-03-24,1.9,1.91,0.0,-0.09,100176,0.65,1.89,,,,6.46,83.3,,1.98,,,-0.74
2005-03-28,1.93,1.93,1.02,1.12,78892,0.51,2.84,,,,7.55,84.4,,1.94,,,0.0
