date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-07-22,21.0,21.59,,,2545378,,,,,,0.0,,,9.33,,,
2021-07-23,22.0,22.89,6.02,1.9,664306,,,,,,6.02,,,8.95,,,
2021-07-26,23.2,23.49,2.62,1.35,642508,,,,,,8.8,,,8.68,,,
2021-07-27,23.63,23.2,-1.23,0.6,584254,,,,,,7.46,98.2,,8.71,,,
2021-07-28,23.1,24.5,5.6,-0.43,1213535,,,,,,13.48,98.4,,8.21,,,
2021-07-29,25.04,28.54,16.49,2.2,378061,,32.19,,,,32.19,98.7,,7.72,,,
2021-07-30,29.42,28.48,-0.21,3.08,201256,,24.42,,,,31.91,98.4,,7.77,,,
2021-08-02,28.76,29.29,2.84,0.98,306646,,24.69,,,,35.66,98.5,,7.38,,,
2021-08-03,29.5,30.29,3.41,0.72,212896,,30.56,,,,40.3,98.6,,7.19,,,
2021-08-04,31.53,25.2,-16.8,4.09,509893,,2.86,,,,16.72,75.0,,9.91,,,
2021-08-05,24.83,26.04,3.33,-1.47,309975,,-8.76,,,,20.61,76.0,,9.74,,,
2021-08-06,25.83,26.85,3.11,-0.81,185171,,-5.72,,,,24.36,77.0,,9.28,,,
2021-08-09,27.24,27.55,2.61,1.45,231992,,-5.94,,,,27.61,77.8,,8.79,,,
2021-08-10,27.36,26.57,-3.56,-0.69,224833,,-12.28,,,,23.07,73.8,,8.95,,,
2021-08-11,26.79,23.82,-10.35,0.83,191049,,-5.48,,,,10.33,63.7,,10.19,,,
2021-08-12,24.07,23.85,0.13,1.05,242131,,-8.41,,,,10.47,63.8,,10.14,,,
2021-08-13,23.97,25.01,4.86,0.5,336368,,-6.85,,,,15.84,66.0,,9.48,,,
2021-08-16,24.5,21.09,-15.67,-2.04,696893,,-23.45,,,,-2.32,53.8,,12.2,,,
2021-08-17,20.97,19.5,-7.54,-0.57,551675,,-26.61,,,,-9.68,49.8,,13.47,,,
2021-08-18,19.17,20.52,5.23,-1.69,263727,0.5,-13.85,,,,-4.96,52.3,,12.6,,,-32.25
2021-08-19,20.38,20.5,-0.1,-0.68,374760,0.9,-14.05,,,,-5.05,52.2,,12.16,,,-32.32
2021-08-20,20.67,22.52,9.85,0.83,219432,0.56,-9.96,4.31,,,4.31,57.1,7.88,11.27,,,-25.65
2021-08-23,22.78,22.39,-0.58,1.15,207479,0.56,6.16,-2.18,,,3.71,56.7,7.78,11.01,,,-26.08
2021-08-24,22.17,22.62,1.03,-0.98,166545,0.47,16.0,-3.7,,,4.77,57.2,7.77,10.51,,,-25.32
2021-08-25,22.48,19.85,-12.25,-0.62,221097,0.73,-3.27,-14.44,,,-8.06,48.9,8.22,12.11,,,-34.47
2021-08-26,19.99,21.57,8.66,0.71,256602,0.87,5.22,-11.96,,,-0.09,53.4,8.36,11.0,,,-28.79
2021-08-27,21.44,19.8,-8.21,-0.6,166863,0.57,-12.08,-30.62,,,-8.29,48.7,7.58,11.9,,,-34.63
2021-08-30,19.85,18.21,-8.03,0.25,407924,1.36,-18.67,-36.06,,,-15.66,44.8,7.71,13.34,,,-39.88
2021-08-31,18.41,18.78,3.13,1.1,212085,0.71,-16.98,-35.88,,,-13.02,46.4,7.72,12.56,,,-38.0
2021-09-01,18.94,18.88,0.53,0.85,223925,0.79,-4.89,-37.67,,,-12.55,46.7,7.65,12.06,,,-37.67
2021-09-02,19.07,19.41,2.81,1.01,95349,0.35,-10.01,-22.98,,,-10.1,48.4,6.9,11.23,,,-35.92
2021-09-03,19.32,20.08,3.45,-0.46,114441,0.42,1.41,-22.89,,,-6.99,50.5,6.91,10.59,,,-33.71
2021-09-07,20.03,17.25,-14.09,-0.25,476268,1.69,-5.27,-35.75,,,-20.1,42.6,7.4,13.06,,,-43.05
2021-09-08,17.21,14.28,-17.22,-0.23,645466,2.13,-23.96,-48.17,,,-33.86,36.3,8.04,16.29,,,-52.86
2021-09-09,14.5,14.3,0.14,1.54,348225,1.12,-24.26,-46.18,,,-33.77,36.3,8.07,15.61,,,-52.79
2021-09-10,14.27,14.04,-1.82,-0.21,231037,0.74,-27.67,-41.06,,,-34.97,35.8,7.87,15.19,,,-53.65
2021-09-13,14.01,14.22,1.28,-0.21,176613,0.58,-29.18,-40.38,,,-34.14,36.5,7.89,14.24,,,-53.05
2021-09-14,14.32,14.22,0.0,0.7,276211,0.98,-17.57,-43.14,,,-34.14,36.5,7.74,13.71,,,-53.05
2021-09-15,14.31,13.97,-1.76,0.63,322230,1.19,-2.17,-33.76,,,-35.29,35.9,7.12,13.49,,,-53.88
2021-09-16,14.0,12.64,-9.52,0.21,392860,1.42,-11.61,-35.18,,,-41.45,32.6,7.21,14.98,,,-58.27
2021-09-17,13.2,11.97,-5.3,4.43,1929759,5.44,-14.74,-41.67,,,-44.56,31.1,7.06,15.6,,,-60.48
2021-09-20,11.72,10.97,-8.35,-2.09,521387,1.41,-22.86,-46.49,,,-49.19,28.9,7.16,16.89,,,-63.78
2021-09-21,11.11,10.37,-5.47,1.28,345447,0.92,-27.07,-53.95,,,-51.97,27.6,6.58,17.26,,,-65.76
2021-09-22,10.39,11.12,7.23,0.19,299822,0.78,-20.4,-50.33,,,-48.49,31.6,6.96,15.85,,,-63.29
2021-09-23,11.1,11.46,3.06,-0.18,168319,0.44,-9.34,-49.34,,,-46.92,33.4,7.03,14.72,,,-62.17
2021-09-24,11.26,11.31,-1.31,-1.75,229214,0.6,-5.51,-43.02,,,-47.61,33.0,6.7,14.15,,,-62.66
2021-09-27,11.21,11.68,3.27,-0.88,285866,0.74,6.47,-45.85,,,-45.9,35.1,6.35,13.39,,,-61.44
2021-09-28,11.51,10.88,-6.85,-1.46,383806,1.0,4.92,-45.05,,,-49.61,32.7,6.3,14.19,,,-64.08
2021-09-29,11.0,11.48,5.51,1.1,253579,0.66,3.24,-36.96,,,-46.83,36.3,6.41,13.1,,,-62.1
2021-09-30,11.57,11.63,1.31,0.78,207019,0.54,1.48,-38.07,,,-46.13,37.1,6.35,12.47,-40.09,,-61.6
2021-10-01,11.73,12.42,6.79,0.86,355844,0.89,9.81,-34.22,,,-42.47,41.8,6.62,11.63,-35.41,,-59.0
2021-10-04,12.31,10.88,-12.4,-0.89,458002,1.1,-6.85,-43.95,,,-49.61,36.2,6.92,13.64,-42.71,,-64.08
2021-10-05,10.89,11.03,1.38,0.09,448957,1.08,1.38,-45.07,,,-48.91,37.1,6.84,13.09,-41.14,,-63.59
2021-10-06,10.89,11.54,4.62,-1.27,101618,0.26,0.52,-33.1,,,-46.55,40.1,6.48,12.53,-37.65,,-61.9
2021-10-07,11.67,10.76,-6.76,1.13,329422,0.85,-7.48,-24.65,,,-50.16,37.1,5.56,13.7,-40.98,,-64.48
2021-10-08,10.81,10.03,-6.78,0.46,140371,0.37,-19.24,-29.86,,,-53.54,34.6,5.68,14.78,-43.85,,-66.89
2021-10-11,10.16,9.95,-0.8,1.3,170566,0.45,-8.55,-29.13,,,-53.91,34.3,5.69,14.43,-43.12,,-67.15
2021-10-12,10.04,10.01,0.6,0.9,99797,0.27,-9.25,-29.61,,,-53.64,34.7,5.67,13.83,-41.48,,-66.95
2021-10-13,10.14,10.42,4.1,1.3,113622,0.31,-9.71,-26.72,,,-51.74,37.7,5.79,13.02,-37.64,,-65.6
2021-10-14,10.59,10.59,1.63,1.63,68290,0.2,-1.58,-24.19,,,-50.95,38.9,5.83,12.39,-35.49,,-65.04
2021-10-15,10.98,10.63,0.38,3.68,62721,0.25,5.98,-15.9,,,-50.76,39.2,5.51,12.1,-34.01,,-64.91
2021-10-18,10.5,10.91,2.63,-1.22,114703,0.49,9.65,-8.86,,,-49.47,41.5,5.45,11.56,-30.9,,-63.98
2021-10-19,10.81,11.64,6.69,-0.92,173181,0.78,16.28,6.11,,,-46.09,46.9,5.32,10.69,-24.76,,-61.57
2021-10-20,11.84,11.19,-3.87,1.72,112134,0.52,7.39,7.91,-48.17,,-48.17,44.2,5.24,10.85,-26.21,,-63.06
2021-10-21,11.13,11.86,5.99,-0.54,109125,0.52,11.99,6.65,-48.19,,-45.07,48.9,5.17,10.23,-20.53,,-60.85
2021-10-22,11.78,11.65,-1.77,-0.67,124540,0.61,9.6,1.66,-50.4,,-46.04,47.6,5.16,10.29,-20.64,,-61.54
2021-10-25,11.51,11.82,1.46,-1.2,80376,0.41,8.34,4.51,-49.05,,-45.25,48.8,5.15,9.91,-18.01,,-60.98
2021-10-26,11.84,12.91,9.22,0.17,187805,1.01,10.91,10.53,-47.31,,-40.2,56.0,5.47,9.31,-9.42,,-57.38
