date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,7.6,7.64,,,24732,,,,,,0.0,,,5.24,,,
2005-02-28,7.65,7.52,-1.57,0.13,31946,,,,,,-1.57,0.0,,5.18,,,
2005-03-01,7.6,7.73,2.79,1.06,48663,,,,,,1.18,11.9,,5.11,,,
2005-03-02,8.2,7.55,-2.33,6.08,13920,,,,,,-1.18,10.7,,5.52,,,
2005-03-03,8.0,7.53,-0.26,5.96,7110,,,,,,-1.44,10.6,,5.59,,,
2005-03-04,7.9,7.21,-4.25,4.91,12370,,-5.63,,,,-5.63,8.8,,6.19,,,
2005-03-07,7.08,7.05,-2.22,-1.8,6798,,-6.25,,,,-7.72,8.1,,6.04,,,
2005-03-08,7.01,7.15,1.42,-0.57,200289,,-7.5,,,,-6.41,12.9,,5.68,,,
2005-03-09,7.0,7.17,0.28,-2.1,6008,,-5.03,,,,-6.15,13.9,,5.74,,,
2005-03-10,7.12,6.95,-3.07,-0.7,2301,,-7.7,,,,-9.03,12.3,,5.75,,,
2005-03-11,7.01,7.01,0.86,0.86,3600,,-2.77,,,,-8.25,15.2,,5.62,,,
2005-03-14,7.3,7.09,1.14,4.14,3958,,0.57,,,,-7.2,19.1,,5.48,,,
2005-03-15,7.08,7.11,0.28,-0.14,3800,,-0.56,,,,-6.94,20.0,,5.43,,,
2005-03-16,7.15,7.18,0.98,0.56,2400,,0.14,,,,-6.02,23.5,,5.08,,,
2005-03-17,7.17,7.17,-0.14,-0.14,3600,,3.17,,,,-6.15,23.4,,4.74,,,
2005-03-18,7.18,7.28,1.53,0.14,24600,,3.85,,,,-4.71,29.0,,4.68,,,
2005-03-21,7.26,7.05,-3.16,-0.27,7100,,-0.56,,,,-7.72,24.9,,4.73,,,
2005-03-22,6.95,7.09,0.57,-1.42,11050,,-0.28,,,,-7.2,26.8,,4.55,,,
2005-03-23,7.01,7.19,1.41,-1.13,7100,,0.14,,,,-5.89,31.6,,4.44,,,
2005-03-24,7.16,6.96,-3.2,-0.42,2900,0.14,-2.93,,,,-8.9,27.2,,4.68,,,-9.96
2005-03-28,7.0,7.01,0.72,0.57,2215,0.11,-3.71,,,,-8.25,29.5,,4.36,,,-9.31
2005-03-29,6.95,7.0,-0.14,-0.86,8027,0.42,-0.71,-8.38,,,-8.38,29.3,1.94,4.59,,,-9.44
2005-03-30,7.13,7.14,2.0,1.86,2900,0.17,0.71,-5.05,,,-6.54,35.8,1.99,4.4,,,-7.63
2005-03-31,7.07,6.9,-3.36,-0.98,11900,0.72,-4.03,-10.74,,,-9.69,30.6,1.98,4.62,,,-10.74
2005-04-01,6.9,6.85,-0.72,0.0,8936,0.54,-1.58,-9.27,,,-10.34,29.7,1.93,4.67,,,-11.38
2005-04-04,6.93,6.85,0.0,1.17,6100,0.37,-2.28,-9.03,,,-10.34,29.7,1.94,4.65,,,-11.38
2005-04-05,6.77,6.93,1.17,-1.17,3660,0.23,-1.0,-3.88,,,-9.29,33.5,1.75,4.67,,,-10.35
2005-04-06,6.81,6.95,0.29,-1.73,6093,0.95,-2.66,-1.42,,,-9.03,34.5,1.69,4.67,,,-10.09
2005-04-07,7.05,6.91,-0.58,1.44,500,0.08,0.14,-3.36,,,-9.55,33.5,1.66,4.5,,,-10.61
2005-04-08,6.89,6.62,-4.2,-0.29,5900,0.93,-3.36,-7.67,,,-13.35,27.0,1.88,4.79,,,-14.36
2005-04-11,6.66,6.75,1.96,0.6,26150,3.51,-1.46,-2.88,,,-11.65,33.2,1.83,5.06,,,-12.68
2005-04-12,6.78,6.57,-2.67,0.44,11527,1.47,-5.19,-6.28,,,-14.01,29.5,1.9,5.45,,,-15.01
2005-04-13,6.69,6.5,-1.07,1.83,9400,1.16,-6.47,-8.32,,,-14.92,28.1,1.88,5.64,,,-15.91
2005-04-14,6.25,6.9,6.15,-3.85,18385,2.07,-0.14,-2.95,,,-9.69,43.8,2.36,5.93,,,-10.74
2005-04-15,7.33,6.92,0.29,6.23,93288,6.97,4.53,-3.62,,,-9.42,44.4,2.35,6.4,,,-10.48
