date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2007-05-09,19.83,19.83,,,0,,,,,,0.0,,,0.0,,,
2007-05-10,20.92,20.92,5.5,5.5,20176108,,,,,,5.5,,,0.67,,,
2007-05-11,20.95,21.67,3.56,0.14,3723248,,,,,,9.25,,,1.03,,,
2007-05-14,21.82,22.11,2.06,0.68,1666653,,,,,,11.5,,,1.19,,,
2007-05-15,21.67,20.83,-5.83,-2.02,2145130,,,,,,5.0,91.1,,1.75,,,
2007-05-16,22.3,22.75,9.24,7.09,5283316,,14.7,,,,14.7,92.3,,2.24,,,
2007-05-17,23.15,22.82,0.3,1.74,2522971,,9.06,,,,15.05,92.3,,2.41,,,
2007-05-18,23.06,22.8,-0.09,1.04,1404574,,5.21,,,,14.95,92.1,,2.59,,,
2007-05-21,22.81,23.45,2.87,0.04,1075137,,6.05,,,,18.25,92.5,,2.68,,,
2007-05-22,23.45,23.75,1.27,0.0,1488976,,14.05,,,,19.75,92.7,,2.8,,,
2007-05-23,24.06,23.7,-0.21,1.29,896350,,4.18,,,,19.5,92.3,,2.84,,,
2007-05-24,23.77,22.86,-3.56,0.29,1116379,,0.17,,,,15.25,85.6,,3.2,,,
2007-05-25,22.76,23.31,1.99,-0.44,403453,,2.26,,,,17.55,86.2,,3.23,,,
2007-05-29,23.84,23.05,-1.15,2.25,888384,,-1.73,,,,16.2,84.1,,3.34,,,
2007-05-30,22.57,22.7,-1.5,-2.06,376731,,-4.43,,,,14.45,81.2,,3.32,,,
2007-05-31,22.81,22.71,0.04,0.48,958769,,-4.18,,,,14.5,81.3,,3.39,,,
2007-06-01,22.41,22.85,0.61,-1.32,591012,,-0.04,,,,15.2,81.5,,3.37,,,
2007-06-04,22.6,23.11,1.13,-1.08,842200,,-0.89,,,,16.5,82.1,,3.41,,,
2007-06-05,22.66,23.22,0.47,-1.93,596457,,0.73,,,,17.05,82.3,,3.39,,,
2007-06-06,22.91,22.92,-1.29,-1.33,549871,0.24,0.96,,,,15.55,79.2,,3.37,,,-3.51
2007-06-07,22.85,22.58,-1.47,-0.3,430781,0.18,-0.57,,,,13.85,75.7,,3.43,,,-4.93
2007-06-08,22.21,22.23,-1.53,-1.62,771715,0.56,-2.69,12.1,,,12.1,72.2,3.14,3.45,,,-6.39
2007-06-11,22.31,22.54,1.38,0.35,552290,0.45,-2.45,7.73,,,13.65,73.4,2.94,3.55,,,-5.1
2007-06-12,22.02,22.44,-0.44,-2.33,339925,0.29,-3.34,3.57,,,13.15,72.3,2.86,3.5,,,-5.52
2007-06-13,22.46,23.11,2.96,0.09,895039,0.81,0.82,4.48,,,16.5,74.9,2.89,3.4,,,-2.72
2007-06-14,23.54,23.53,1.84,1.89,1301922,1.45,4.21,13.0,,,18.65,76.5,2.55,3.39,,,-0.92
2007-06-15,23.66,24.5,4.13,0.55,2287716,2.58,10.21,7.71,,,23.55,79.6,1.83,3.37,,,0.0
2007-06-18,24.77,25.78,5.22,1.1,1641848,1.82,14.39,13.0,,,30.0,82.8,2.11,3.33,,,0.0
2007-06-19,26.18,25.3,-1.88,1.54,1989134,2.1,12.73,10.97,,,27.55,77.8,2.18,3.53,,,-1.88
2007-06-20,25.32,25.13,-0.67,0.07,1433313,1.52,8.76,7.15,,,26.7,76.1,2.12,3.61,,,-2.54
2007-06-21,25.04,24.7,-1.7,-0.36,720892,0.77,4.98,4.01,,,24.55,71.7,2.15,3.62,,,-4.19
2007-06-22,24.35,24.01,-2.81,-1.45,2208658,2.23,-2.02,1.29,,,21.05,65.3,2.25,3.67,,,-6.89
2007-06-25,24.15,24.39,1.61,0.58,556021,0.56,-5.39,6.72,,,22.99,67.0,2.11,3.61,,,-5.39
2007-06-26,24.48,23.73,-2.72,0.37,653532,0.66,-6.19,1.79,,,19.65,61.2,2.18,3.84,,,-7.96
2007-06-27,23.16,24.45,3.05,-2.43,468191,0.47,-2.69,6.11,,,23.3,64.8,2.25,3.86,,,-5.16
2007-06-28,24.45,24.37,-0.36,0.0,358277,0.37,-1.37,7.34,,,22.85,64.0,2.21,3.77,,,-5.5
2007-06-29,24.59,24.6,0.98,0.94,510241,0.53,2.48,8.34,,,24.05,65.2,2.22,3.74,,,-4.58
2007-07-02,24.67,25.17,2.3,0.28,445401,0.48,3.17,10.16,,,26.9,68.0,2.26,3.59,,,-2.39
2007-07-03,25.34,25.48,1.22,0.67,369270,0.4,7.35,10.26,,,28.45,69.4,2.26,3.53,,,-1.2
2007-07-05,25.64,26.13,2.57,0.62,412730,0.45,6.86,12.56,,,31.75,72.2,2.3,3.45,,,0.0
2007-07-06,26.13,26.5,1.4,0.0,595853,0.64,8.75,15.62,,,33.6,73.7,2.27,3.47,,,0.0
2007-07-09,26.97,26.46,-0.15,1.8,681868,0.74,7.53,17.17,,,33.4,73.3,2.22,3.42,,,-0.15
2007-07-10,26.38,26.28,-0.67,-0.3,601096,0.65,4.41,18.2,,,32.5,71.2,2.18,3.41,,,-0.82
2007-07-11,26.38,26.54,0.98,0.37,1052347,1.1,4.17,17.73,,,33.8,72.4,2.18,3.38,,,0.0
2007-07-12,27.02,26.73,0.71,1.83,501568,0.53,2.28,19.09,,,34.75,73.3,2.16,3.3,,,0.0
2007-07-13,26.67,27.93,4.52,-0.22,716858,0.79,5.43,20.9,,,40.84,78.2,2.26,3.34,,,0.0
2007-07-16,27.38,27.53,-1.45,-1.98,883141,1.05,4.05,16.98,,,38.8,73.3,2.31,3.57,,,-1.45
2007-07-17,27.75,27.5,-0.11,0.8,398714,0.51,4.64,12.22,,,38.65,73.0,2.18,3.48,,,-1.56
2007-07-18,27.5,27.02,-1.73,0.0,428864,0.61,1.83,4.8,,,36.25,67.3,1.96,3.51,,,-3.26
2007-07-19,27.12,27.55,1.95,0.37,724723,1.09,3.08,8.89,,,38.9,70.1,1.93,3.46,14.25,,-1.38
2007-07-20,27.49,27.02,-1.91,-0.22,528594,0.81,-3.26,7.54,,,36.25,64.2,1.98,3.44,11.41,,-3.26
2007-07-23,27.17,27.15,0.48,0.55,573668,1.0,-1.37,9.91,,,36.9,65.0,1.93,3.38,11.37,,-2.8
2007-07-24,27.02,26.29,-3.18,-0.48,793495,1.36,-4.4,9.5,,,32.55,56.2,1.96,3.52,7.43,,-5.89
2007-07-25,26.04,25.44,-3.25,-0.95,973492,1.62,-5.87,4.27,,,28.25,49.2,2.1,4.13,3.66,,-8.95
2007-07-26,24.85,25.03,-1.6,-2.3,717867,1.17,-9.14,5.47,,,26.2,46.2,2.03,4.27,1.65,,-10.4
2007-07-27,24.56,25.07,0.16,-1.86,507519,0.82,-7.23,2.52,,,26.4,46.5,1.93,4.34,1.62,,-10.26
2007-07-30,25.78,25.81,2.97,2.85,673902,1.07,-4.93,5.95,,,30.15,52.6,2.02,4.24,4.39,,-7.59
2007-07-31,26.47,25.73,-0.31,2.53,576593,0.91,-2.11,4.6,,,29.75,51.9,2.02,4.27,3.82,,-7.88
2007-08-01,25.64,25.09,-2.51,-0.39,833931,1.27,-1.36,-0.32,,,26.5,46.7,2.04,4.56,1.08,,-10.19
2007-08-02,25.78,26.18,4.35,2.77,1412642,1.99,4.6,2.77,,,32.0,55.0,2.24,4.53,5.27,,-6.28
2007-08-03,25.85,26.78,2.27,-1.25,1463665,1.95,6.81,2.47,,,35.0,58.7,2.23,4.58,7.4,,-4.15
2007-08-06,27.17,26.22,-2.07,1.48,1205520,1.55,1.57,-1.04,,,32.2,54.2,2.26,4.85,4.89,,-6.14
2007-08-07,26.04,26.64,1.59,-0.68,633466,0.81,3.5,0.68,,,34.3,56.9,2.28,4.68,6.27,,-4.65
2007-08-08,27.02,26.83,0.71,1.45,2020696,2.44,6.92,2.08,35.25,,35.25,58.1,2.28,4.87,6.71,,-3.97
2007-08-09,26.49,25.86,-3.59,-1.26,683177,0.82,-1.21,-2.54,23.6,,30.4,50.3,2.41,5.1,2.62,,-7.42
2007-08-10,25.11,24.89,-3.76,-2.91,1259771,1.46,-7.04,-6.87,14.87,,25.49,44.0,2.53,5.59,-1.41,,-10.9
2007-08-13,24.89,24.94,0.2,0.0,402646,0.48,-4.88,-10.72,12.78,,25.75,44.4,2.28,5.43,-1.38,,-10.72
2007-08-14,24.94,24.55,-1.55,0.0,636993,0.75,-7.82,-10.81,17.9,,23.8,41.9,2.28,5.47,-3.02,,-12.1
2007-08-15,24.54,24.54,-0.04,-0.04,792991,0.91,-8.51,-10.75,7.89,,23.75,41.9,2.28,5.35,-3.16,,-12.14
2007-08-16,24.04,24.2,-1.41,-2.06,1664434,1.81,-6.44,-10.46,6.04,,22.0,39.6,2.28,5.56,-4.62,,-13.38
2007-08-17,25.4,24.23,0.12,4.95,856721,0.92,-2.66,-12.06,6.27,,22.15,39.9,2.21,5.74,-4.63,,-13.27
2007-08-20,24.3,24.79,2.33,0.28,497736,0.53,-0.59,-8.25,5.71,,25.0,45.4,2.28,5.43,-2.6,,-11.25
2007-08-21,24.39,25.92,4.55,-1.61,617835,0.67,5.57,-4.53,9.14,,30.69,54.5,2.52,5.29,1.57,,-7.21
2007-08-22,26.56,26.88,3.71,2.45,876889,0.96,9.54,2.26,13.43,,35.55,60.4,2.56,5.01,4.98,,-3.76
2007-08-23,27.17,27.07,0.7,1.07,504291,0.56,11.88,6.43,18.44,,36.5,61.5,2.44,4.95,5.38,,-3.09
