date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,35.02,33.78,-3.03,0.53,4879215,1.36,11.86,28.71,67.19,85.71,0.0,70.7,4.06,4.71,37.45,80.71,-3.03
2000-01-04,33.53,32.07,-5.07,-0.76,3381124,0.97,2.85,22.97,53.38,79.77,-5.07,62.3,4.27,5.1,29.06,70.58,-7.94
2000-01-05,32.07,32.55,1.48,0.0,4308488,1.22,-2.03,17.21,56.03,80.79,-3.66,63.6,4.09,5.08,29.47,72.09,-6.58
2000-01-06,32.55,31.65,-2.74,0.0,3471616,0.99,-6.58,16.05,44.31,75.38,-6.3,59.4,4.13,5.22,24.63,66.43,-9.14
2000-01-07,31.47,32.55,2.82,-0.59,2523429,0.73,-6.58,21.06,51.95,80.1,-3.66,62.1,4.12,5.2,26.75,70.14,-6.58
2000-01-10,33.71,35.38,8.7,3.59,3430238,1.01,4.72,36.12,67.15,94.47,4.72,69.0,4.32,5.04,35.9,83.77,0.0
2000-01-11,35.02,33.92,-4.11,-1.0,2570946,0.78,5.78,35.55,54.81,90.65,0.42,62.7,4.35,5.21,28.79,75.17,-4.11
2000-01-12,33.83,35.02,3.24,-0.27,3793819,1.18,7.61,30.43,64.93,89.37,3.67,65.3,4.16,5.18,31.45,79.75,-1.0
2000-01-13,35.87,35.15,0.35,2.42,2249009,0.73,11.03,39.0,79.12,87.64,4.03,65.6,3.84,5.02,30.53,79.27,-0.66
2000-01-14,35.87,37.98,8.06,2.06,6258254,2.0,16.69,43.81,87.54,107.42,12.42,71.5,4.04,4.89,39.29,92.41,0.0
2000-01-18,37.65,36.9,-2.84,-0.87,2627802,0.87,4.3,30.25,75.91,105.2,9.22,66.8,3.96,4.94,33.8,85.76,-2.84
2000-01-19,37.27,38.0,2.99,1.01,2450017,0.82,12.01,28.41,93.45,127.64,12.48,69.0,3.92,4.72,36.16,90.09,0.0
2000-01-20,38.68,37.25,-1.98,1.78,2657431,0.92,6.35,29.13,108.78,116.14,10.25,65.8,3.89,4.83,32.02,85.2,-1.98
2000-01-21,37.41,36.19,-2.83,0.45,2387286,0.82,2.98,19.11,97.67,125.93,7.13,61.4,3.88,4.86,27.02,78.9,-4.75
2000-01-24,37.65,36.92,2.01,4.02,3817574,1.26,-2.79,22.52,99.11,127.46,9.29,63.2,3.86,4.78,28.16,81.39,-2.84
2000-01-25,36.92,39.33,6.53,0.0,3214284,1.03,6.59,29.02,117.03,152.28,16.42,68.5,4.04,4.66,34.92,92.0,0.0
2000-01-26,38.96,38.09,-3.15,-0.94,3580796,1.12,0.24,26.12,104.33,132.77,12.75,63.4,4.13,4.91,29.43,84.8,-3.15
2000-01-27,38.19,35.99,-5.53,0.25,3580796,1.11,-3.39,15.4,93.84,118.9,6.52,55.9,4.35,5.51,21.22,73.61,-8.51
2000-01-28,35.59,35.78,-0.58,-1.1,3785010,1.15,-1.16,7.69,102.92,124.41,5.9,55.2,4.15,5.53,19.5,71.66,-9.04
2000-01-31,35.21,35.02,-2.1,-1.57,4941145,1.41,-5.14,3.37,89.57,116.83,3.67,52.6,4.17,5.98,15.99,67.19,-10.95
2000-02-01,34.84,36.71,4.82,-0.53,3772195,1.1,-6.66,5.38,84.32,122.76,8.67,57.4,4.26,5.92,20.44,74.28,-6.66
2000-02-02,36.67,36.05,-1.8,-0.12,3386458,0.98,-5.35,6.72,71.3,124.17,6.72,55.1,4.22,5.85,17.2,70.22,-8.34
2000-02-03,36.71,39.62,9.89,1.83,5532696,1.58,10.1,23.53,88.87,140.4,17.27,63.7,4.5,5.71,27.24,85.92,0.0
2000-02-04,39.71,41.77,5.43,0.23,4960101,1.39,16.75,28.34,95.62,150.21,23.64,67.7,4.6,5.59,32.38,94.74,0.0
2000-02-07,41.67,44.58,6.72,-0.23,3545563,0.98,27.28,40.83,107.89,166.66,31.95,72.0,4.65,5.5,39.22,106.37,0.0
2000-02-08,44.91,42.99,-3.56,0.74,3723611,1.02,17.1,32.09,96.37,150.8,27.25,66.6,4.78,5.69,32.51,97.69,-3.56
2000-02-09,42.96,43.34,0.81,-0.07,3709999,1.0,20.21,22.5,94.81,155.74,28.28,67.2,4.48,5.53,31.83,97.95,-2.78
2000-02-10,42.99,43.5,0.38,-0.8,3830656,1.04,9.8,28.23,104.84,136.99,28.76,67.5,4.33,5.41,30.58,97.35,-2.42
2000-02-11,44.2,42.94,-1.29,1.62,2720167,0.73,2.8,22.6,94.28,137.61,27.1,65.3,4.34,5.55,27.34,93.51,-3.68
2000-02-14,43.83,43.83,2.07,2.07,3114181,0.87,-1.69,24.7,81.38,143.73,29.73,67.1,4.34,5.3,28.63,96.17,-1.69
2000-02-15,43.83,44.91,2.47,0.0,4376824,1.2,4.46,18.25,93.35,154.1,32.93,69.2,4.06,5.27,30.37,99.6,0.0
2000-02-16,46.36,47.76,6.36,3.23,5714484,1.5,10.21,29.44,105.43,172.65,41.38,73.8,4.13,5.06,37.07,110.69,0.0
2000-02-17,48.28,52.82,10.59,1.08,6091409,1.53,21.43,39.0,139.73,214.66,56.35,79.7,4.59,5.22,49.39,131.02,0.0
2000-02-18,52.82,50.86,-3.72,0.0,4839444,1.18,18.44,36.53,126.94,203.26,50.53,72.9,4.68,5.4,41.91,120.64,-3.72
2000-02-22,50.95,53.82,5.84,0.18,5898413,1.4,22.81,48.71,144.28,213.18,59.32,76.2,4.65,5.25,47.89,131.52,0.0
2000-02-23,53.82,55.3,2.74,0.0,5354107,1.24,23.13,49.77,164.74,219.66,63.68,77.6,4.65,5.09,49.46,135.76,0.0
2000-02-24,56.57,60.43,9.29,2.3,7215517,1.6,26.53,53.65,188.1,237.4,78.88,81.8,4.82,5.19,60.42,155.12,0.0
2000-02-25,58.63,58.77,-2.76,-2.99,4566888,1.0,11.25,54.28,175.82,210.72,73.95,76.8,4.8,5.28,53.28,145.78,-2.76
2000-02-28,57.88,55.98,-4.74,-1.51,5759333,1.24,10.08,55.57,156.25,194.4,65.71,69.2,4.74,6.03,43.8,132.18,-7.36
2000-02-29,58.81,58.91,5.22,5.05,5232118,1.12,9.44,64.65,171.37,206.4,74.36,72.3,4.74,5.82,48.96,142.13,-2.53
2000-03-01,59.56,60.5,2.71,1.12,4912051,1.04,9.41,72.73,180.87,224.15,79.08,73.8,4.62,5.61,50.64,146.38,0.0
2000-03-02,60.64,58.46,-3.37,0.23,4471858,0.94,-3.26,59.24,157.96,203.01,73.05,68.5,4.77,5.81,43.45,136.0,-3.37
2000-03-03,59.19,62.56,7.01,1.24,4364275,0.92,6.45,73.52,138.34,210.63,85.18,72.8,4.78,5.54,51.12,150.13,0.0
2000-03-06,64.06,68.41,9.35,2.39,5357580,1.13,22.2,72.67,162.3,246.15,102.5,77.4,4.74,5.43,62.25,170.66,0.0
2000-03-07,68.74,61.81,-9.65,0.48,5180328,1.07,4.93,47.98,122.6,208.09,82.96,64.1,5.41,6.68,44.45,142.28,-9.65
2000-03-08,61.81,62.04,0.37,0.0,3986555,0.82,2.55,39.18,127.45,193.13,83.64,64.3,5.31,6.65,42.87,140.95,-9.31
2000-03-09,62.04,66.3,6.87,0.0,4281526,0.88,13.41,54.23,146.64,221.15,96.26,68.4,5.28,6.49,50.25,154.92,-3.08
2000-03-10,66.33,64.78,-2.3,0.03,3276747,0.68,3.55,49.48,149.26,208.83,91.76,65.5,5.36,6.57,44.73,146.65,-5.3
2000-03-13,63.31,61.81,-4.59,-2.28,3378989,0.69,-9.65,42.09,146.98,193.35,82.96,60.2,5.55,6.76,36.39,133.2,-9.65
2000-03-14,62.75,54.55,-11.75,1.51,6071924,1.21,-11.75,27.04,103.15,166.58,61.47,49.7,6.26,8.24,19.33,104.27,-20.26
