date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-12-27,9.99,8.95,,,125715,,,,,,0.0,,,16.42,,,
2021-12-28,9.58,9.72,8.6,7.04,54183,,,,,,8.6,,,14.81,,,
2021-12-29,9.74,9.25,-4.84,0.21,45451,,,,,,3.35,95.5,,14.93,,,
2021-12-30,9.72,9.32,0.76,5.08,83025,,,,,,4.13,95.5,,14.25,,,
2021-12-31,9.5,9.13,-2.04,1.93,29428,,,,,,2.01,93.6,,13.84,,,
2022-01-03,9.49,9.17,0.44,3.94,24955,,2.46,,,,0.0,93.6,,13.1,,,
2022-01-04,9.56,9.14,-0.33,4.25,21158,,-5.97,,,,-0.33,93.3,,12.64,,,
2022-01-05,9.15,8.86,-3.06,0.11,78240,,-4.22,,,,-3.38,89.9,,12.47,,,
2022-01-06,9.0,8.85,-0.11,1.58,26506,,-5.04,,,,-3.49,89.8,,11.85,,,
2022-01-07,8.75,9.2,3.95,-1.13,24810,,0.77,,,,0.33,90.3,,11.08,,,
2022-01-10,9.2,8.9,-3.26,0.0,53793,,-2.94,,,,-2.94,86.4,,11.43,,,
2022-01-11,8.8,8.57,-3.71,-1.12,62211,,-6.24,,,,-6.54,82.1,,11.48,,,
2022-01-12,8.51,8.75,2.1,-0.7,44761,,-1.24,,,,-4.58,82.6,,10.89,,,
2022-01-13,9.0,8.69,-0.69,2.86,35923,,-1.81,,,,-5.23,81.8,,10.59,,,
2022-01-14,9.14,8.7,0.12,5.18,35783,,-5.43,,,,-5.13,81.8,,10.35,,,
2022-01-18,8.99,8.58,-1.38,3.33,28938,,-3.6,,,,-6.43,80.0,,10.24,,,
2022-01-19,8.7,9.2,7.23,1.4,142524,,7.35,,,,0.33,82.2,,9.82,,,
2022-01-20,9.15,8.94,-2.83,-0.54,77361,,2.17,,,,-2.51,78.3,,9.67,,,
2022-01-21,9.02,7.99,-10.63,0.89,59187,,-8.06,,,,-12.87,65.8,,11.26,,,
2022-01-24,7.69,7.89,-1.25,-3.75,105199,1.82,-9.31,,,,-13.96,64.7,,11.26,,,-18.83
2022-01-25,8.36,8.63,9.38,5.96,68025,1.24,0.58,,,,-5.89,69.0,,10.36,,,-11.21
2022-01-26,8.63,8.61,-0.23,0.0,67838,1.22,-6.41,-3.8,,,-6.11,68.8,4.59,10.3,,,-11.42
2022-01-27,8.83,8.58,-0.35,2.56,113324,1.92,-4.03,-11.73,,,-6.43,68.4,4.14,10.0,,,-11.73
2022-01-28,8.57,8.62,0.47,-0.12,33604,0.59,7.88,-6.81,,,-6.0,68.6,4.02,9.77,,,-11.32
2022-01-31,8.6,8.7,0.91,-0.23,85489,1.44,10.24,-6.67,,,-5.15,69.2,4.02,9.44,,,-10.51
2022-02-01,8.69,8.63,-0.78,-0.09,15284,0.26,0.0,-5.48,,,-5.89,68.1,4.0,9.35,,,-11.21
