date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-03-09,4.69,4.69,,,1603,,,,,,0.0,,,0.0,,,
2005-03-10,4.69,4.69,0.0,0.0,642,,,,,,0.0,,,0.0,,,
2005-03-14,4.78,4.78,2.01,2.01,1921,,,,,,2.01,,,0.14,,,
2005-03-17,4.69,4.69,-1.97,-1.97,1279,,,,,,0.0,48.1,,0.28,,,
2005-03-18,4.69,4.69,0.0,0.0,45442,,,,,,0.0,48.1,,0.26,,,
2005-03-22,4.53,4.53,-3.33,-3.33,854,,-3.33,,,,-3.33,24.1,,0.49,,,
2005-03-29,4.49,4.49,-0.86,-0.86,424,,-4.16,,,,-4.16,21.3,,0.52,,,
2005-03-31,4.45,4.45,-0.87,-0.87,1279,,-6.87,,,,-4.99,18.9,,0.55,,,
2005-04-05,4.45,4.45,0.0,0.0,628,,-4.99,,,,-4.99,18.9,,0.51,,,
2005-04-06,4.45,4.45,0.0,0.0,2039,,-4.99,,,,-4.99,18.9,,0.48,,,
2005-04-13,4.45,4.45,0.0,0.0,132,,-1.72,,,,-4.99,18.9,,0.44,,,
2005-04-26,4.45,4.45,0.0,0.0,424,,-0.87,,,,-4.99,18.9,,0.41,,,
2005-04-28,4.45,4.45,0.0,0.0,1279,,0.0,,,,-4.99,18.9,,0.38,,,
2005-04-29,4.45,4.45,0.0,0.0,321,,0.0,,,,-4.99,18.9,,0.35,,,
2005-05-06,4.45,4.45,0.0,0.0,321,,0.0,,,,-4.99,18.9,,0.33,,,
2005-05-11,4.45,4.45,0.0,0.0,137,,0.0,,,,-4.99,18.9,,0.31,,,
2005-05-12,4.45,4.45,0.0,0.0,137,,0.0,,,,-4.99,18.9,,0.28,,,
2005-05-27,4.45,4.45,0.0,0.0,424,,0.0,,,,-4.99,18.9,,0.26,,,
2005-06-06,4.45,4.45,0.0,0.0,171,,0.0,,,,-4.99,18.9,,0.24,,,
2005-06-13,4.69,4.69,5.26,5.26,9597,2.78,5.26,,,,0.0,69.4,,0.57,,,-1.97
2005-06-14,4.69,4.69,0.0,0.0,3197,0.91,5.26,,,,0.0,69.4,,0.53,,,-1.97
2005-06-16,4.65,4.65,-0.83,-0.83,252,0.07,4.38,-0.83,,,-0.83,62.0,1.56,0.56,,,-2.78
2005-06-21,4.77,4.77,2.53,2.53,642,0.19,7.02,1.68,,,1.68,71.8,1.66,0.68,,,-0.33
2005-06-24,4.77,4.8,0.82,0.0,9425,2.44,7.9,0.49,,,2.51,74.2,1.61,0.69,,,0.0
2005-06-27,4.77,4.69,-2.45,-0.81,4967,2.71,0.0,0.0,,,0.0,58.2,1.64,0.83,,,-2.45
2005-06-28,4.41,4.26,-9.16,-5.82,26582,8.52,-9.16,-9.16,,,-9.16,31.5,2.59,1.57,,,-11.38
2005-06-29,4.26,4.3,0.92,0.0,57731,9.65,-7.56,-5.17,,,-8.32,34.4,2.52,1.83,,,-10.57
2005-06-30,4.3,4.3,0.0,0.0,132,0.02,-9.84,-4.34,,,-8.32,34.4,2.51,1.7,,,-10.57
2005-07-05,4.3,4.3,0.0,0.0,252,0.04,-10.57,-3.51,,,-8.32,34.4,2.51,1.58,,,-10.57
2005-07-15,4.1,4.1,-4.54,-4.54,642,0.11,-12.49,-7.89,,,-12.49,27.2,2.68,1.88,,,-14.63
2005-07-26,3.94,3.94,-3.82,-3.82,266,0.05,-7.35,-11.41,,,-15.83,23.0,2.79,2.1,,,-17.89
2005-08-11,3.16,3.16,-19.79,-19.79,132,0.02,-26.36,-28.94,,,-32.49,12.5,5.04,4.19,,,-34.14
2005-08-16,3.16,3.16,0.0,0.0,1279,0.22,-26.36,-28.94,,,-32.49,12.5,5.04,3.89,,,-34.14
2005-08-18,3.16,3.16,0.0,0.0,8320,1.34,-26.36,-28.94,,,-32.49,12.5,5.04,3.61,,,-34.14
2005-08-23,3.16,3.16,0.0,0.0,189,0.03,-22.86,-28.94,,,-32.49,12.5,5.04,3.36,,,-34.14
2005-08-26,3.16,3.16,0.0,0.0,5248,0.81,-19.79,-28.94,,,-32.49,12.5,5.04,3.2,,,-34.14
2005-08-29,3.16,3.16,0.0,0.0,642,0.1,0.0,-28.94,,,-32.49,12.5,5.04,2.98,,,-34.14
2005-09-07,3.16,3.12,-1.24,0.0,46829,5.31,-1.24,-29.82,,,-33.33,12.1,5.02,2.89,,,-34.96
2005-09-08,3.52,3.52,12.5,12.5,1921,0.22,11.11,-21.05,,,-24.99,35.8,5.88,3.18,,,-26.83
2005-09-13,3.32,3.12,-11.11,-5.56,2049,0.24,-1.24,-29.82,,,-33.33,27.7,6.28,4.21,,,-34.96
2005-09-14,3.16,3.12,0.0,1.26,1921,0.23,-1.24,-33.33,,,-33.33,27.7,6.1,4.0,,,-34.96
2005-09-19,2.93,2.93,-6.25,-6.25,252,0.03,-7.41,-37.5,,,-37.5,24.5,6.16,4.44,,,-39.03
2005-09-20,2.93,2.93,0.0,0.0,308,0.04,-6.25,-36.97,,,-37.5,24.5,6.18,4.12,,,-39.03
2005-10-03,2.93,2.93,0.0,0.0,1450,0.18,-16.67,-38.53,,,-37.5,24.5,6.11,3.83,,,-39.03
2005-10-04,2.93,2.93,0.0,0.0,642,0.08,-6.25,-39.03,,,-37.5,24.5,6.09,3.55,,,-39.03
2005-10-10,2.93,2.93,0.0,0.0,1279,0.19,-6.25,-37.5,,,-37.5,24.5,6.11,3.3,,,-39.03
2005-10-18,2.74,2.74,-6.4,-6.4,257,0.07,-6.4,-35.6,,,-41.49,21.1,5.97,3.76,,,-42.93
2005-10-19,2.74,2.15,-21.66,0.0,5132,1.3,-26.67,-50.0,,,-54.17,14.4,7.32,6.43,,,-55.29
2005-10-20,2.03,2.03,-5.44,-5.44,8064,1.86,-30.66,-52.72,,,-56.66,13.5,7.31,6.73,,,-57.72
2005-10-24,2.11,1.95,-3.86,3.84,1279,0.29,-33.33,-54.55,,,-58.33,12.9,7.27,7.07,-49.89,,-59.35
2005-10-25,0.79,1.76,-10.0,-59.6,2699,0.6,-40.0,-57.14,,,-62.5,11.5,7.41,12.03,-54.21,,-63.42
2005-10-28,1.87,1.95,11.11,6.66,1024,0.23,-28.78,-50.49,,,-58.33,20.5,8.08,10.76,-48.39,,-59.35
2005-11-04,1.87,1.95,0.0,-4.01,513,0.11,-9.09,-38.28,,,-58.33,20.5,7.12,10.28,-47.6,,-59.35
2005-11-08,1.87,1.87,-4.01,-4.01,383,0.09,-7.71,-40.75,,,-60.0,19.6,7.11,10.24,-48.93,,-60.98
2005-11-09,2.07,2.07,10.44,10.44,1450,0.35,6.01,-34.57,,,-55.83,28.3,7.62,9.29,-42.79,,-56.91
2005-11-10,1.87,1.87,-9.45,-9.45,447,0.11,6.66,-40.75,,,-60.0,25.4,7.79,10.27,-47.42,,-60.98
2005-11-11,1.73,1.76,-6.24,-7.91,2530,0.63,-10.0,-44.45,,,-62.5,23.8,7.83,10.77,-49.94,,-63.42
2005-11-15,1.73,1.73,-1.78,-1.78,171,0.1,-11.6,-45.44,,,-63.17,23.3,7.81,10.32,-50.05,,-64.07
2005-11-17,1.73,1.73,0.0,0.0,854,0.52,-7.91,-44.75,,,-63.17,23.3,7.82,9.58,-49.25,,-64.07
2005-11-18,1.73,1.73,0.0,0.0,1279,0.8,-16.62,-50.89,,,-63.17,23.3,7.06,8.9,-48.43,,-64.07
2005-11-23,1.76,1.76,1.82,1.82,8320,4.34,-6.24,-43.75,,,-62.5,25.0,6.89,8.24,-46.63,,-63.42
2005-11-29,1.76,1.76,0.0,0.0,132,0.07,0.0,-43.75,,,-62.5,25.0,6.89,7.65,-45.74,,-63.42
2005-12-13,1.76,1.76,0.0,0.0,1921,0.96,1.82,-40.0,,,-62.5,25.0,6.85,7.1,-44.82,,-63.42
2005-12-14,1.76,1.76,0.0,0.0,321,0.17,1.82,-40.0,-62.5,,-62.5,25.0,6.85,6.6,-43.87,,-63.42
2005-12-15,1.76,1.76,0.0,0.0,1536,0.78,1.82,-40.0,-62.5,,-62.5,25.0,6.85,6.13,-42.89,,-63.42
2005-12-19,1.76,1.56,-11.12,0.0,14510,5.49,-11.12,-46.67,-67.32,,-66.67,20.9,7.1,7.29,-48.27,,-67.48
2005-12-20,1.56,1.56,0.0,0.0,1921,0.71,-11.12,-46.67,-66.67,,-66.67,20.9,7.1,6.77,-47.26,,-67.48
2005-12-22,1.6,1.56,0.0,2.51,5379,1.97,-11.12,-43.03,-66.67,,-66.67,20.9,7.07,6.47,-46.21,,-67.48
2005-12-23,1.56,1.56,0.0,0.0,3539,1.41,-11.12,-27.28,-65.52,,-66.67,20.9,5.53,6.01,-45.12,,-67.48
2005-12-28,1.56,1.56,0.0,0.0,6400,2.31,-11.12,-23.09,-65.22,,-66.67,20.9,5.46,5.58,-43.89,,-67.48
2005-12-30,1.48,1.56,0.0,-5.0,1921,0.7,0.0,-20.01,-64.92,,-66.67,20.9,5.43,5.54,-42.6,,-67.48
2006-01-04,1.64,1.64,5.02,5.02,642,0.24,5.02,-6.66,-63.15,,0.0,28.3,5.15,5.24,-38.35,,-65.85
2006-01-05,1.84,1.84,11.9,11.9,132,0.05,17.51,-6.0,-58.77,,11.9,42.7,5.24,5.1,-29.47,,-61.79
2006-01-09,1.76,1.76,-4.26,-4.26,742,0.27,12.51,-10.0,-60.53,,7.13,39.3,5.32,5.27,-30.85,,-63.42
2006-01-17,1.76,1.76,0.0,0.0,622,0.23,12.51,-6.24,-60.53,,7.13,39.3,5.25,4.89,-29.22,,-63.42
2006-01-18,1.76,1.76,0.0,0.0,1279,0.47,12.51,-15.1,-60.53,,7.13,39.3,4.66,4.54,-27.76,,-63.42
2006-01-23,1.76,1.76,0.0,0.0,2575,0.95,7.13,-6.24,-60.53,,7.13,39.3,4.2,4.22,-26.23,,-63.42
2006-01-25,1.84,1.84,4.45,4.45,1873,0.67,0.0,4.45,-58.77,,11.9,45.1,4.08,4.05,-21.32,,-61.79
2006-02-13,1.56,1.56,-14.9,-14.9,424,0.15,-11.12,-9.51,-64.92,,-4.78,33.1,5.25,5.68,-31.44,,-67.48
2006-02-21,1.76,1.56,0.0,12.51,1551,0.56,-11.12,-9.51,-64.92,,-4.78,33.1,5.25,6.16,-29.88,,-67.48
2006-02-23,1.48,1.48,-5.0,-5.0,595,0.25,-15.56,-14.03,-66.67,,-9.54,30.4,5.35,6.4,-31.88,,-69.11
2006-02-27,1.48,1.48,0.0,0.0,599,0.25,-15.56,-15.56,-66.67,,-9.54,30.4,5.32,5.94,-30.81,,-69.11
2006-03-14,1.5,1.5,1.06,1.06,225098,16.57,-18.3,-14.67,-68.0,,-8.58,31.7,5.33,5.54,-28.98,,-68.78
2006-03-16,1.48,1.48,-1.05,-1.05,132,0.01,-5.0,-15.56,-68.33,,-9.54,31.1,5.33,5.27,-28.58,,-69.11
2006-03-28,1.48,1.48,0.0,0.0,1279,0.09,-5.0,-15.56,-68.07,,-9.54,31.1,5.33,4.89,-27.41,,-69.11
2006-04-06,1.48,1.48,0.0,0.0,1279,0.1,0.0,-15.56,-68.86,,-9.54,31.1,5.33,4.54,-26.2,,-69.11
2006-04-07,1.48,1.68,13.18,0.0,3197,0.25,13.18,7.52,-65.04,,2.38,47.2,5.58,4.56,-15.22,,-65.04
2006-05-03,1.41,1.41,-16.28,-16.28,171,0.01,-6.24,-9.99,-70.0,,-14.29,34.9,6.67,6.45,-27.77,,-70.73
2006-05-16,1.45,1.56,11.1,2.78,4008,0.31,5.26,0.0,-63.31,,-4.78,43.9,7.12,6.1,-18.11,,-67.48
2006-05-17,1.6,1.91,22.52,2.51,3842,0.3,28.96,22.52,-55.45,,16.66,58.0,8.62,5.94,1.62,,-60.16
2006-05-18,1.99,1.99,4.06,4.06,2153,0.17,34.2,27.5,-53.64,,21.4,60.3,8.64,5.58,7.03,,-58.54
2006-06-02,2.11,2.11,5.9,5.9,642,0.05,25.57,35.02,-50.91,,28.56,63.7,8.68,5.29,14.35,,-56.1
2006-06-07,2.07,2.07,-1.85,-1.85,901,0.07,47.23,26.19,-49.52,,26.19,61.8,8.68,5.14,13.3,,-56.91
