date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-10-27,16.51,18.2,,,1860119,,,,,,0.0,,,25.55,,,
2021-10-28,18.14,18.06,-0.77,-0.33,489970,,,,,,-0.77,0.0,,25.03,,,
2021-10-29,18.65,22.35,23.75,3.27,633965,,,,,,22.8,70.2,,20.89,,,
2021-11-01,23.7,23.57,5.46,6.04,470536,,,,,,29.51,75.5,,19.05,,,
2021-11-02,22.5,21.84,-7.34,-4.54,220426,,,,,,20.0,59.4,,20.06,,,
2021-11-03,21.39,22.36,2.38,-2.06,202329,,22.86,,,,22.86,62.0,,19.26,,,
2021-11-04,22.51,22.4,0.18,0.67,120527,,24.03,,,,23.08,62.2,,18.4,,,
2021-11-05,22.01,21.54,-3.84,-1.74,83935,,-3.62,,,,18.35,55.4,,18.34,,,
2021-11-08,21.02,20.3,-5.76,-2.41,155478,,-13.87,,,,11.54,47.4,,18.75,,,
2021-11-09,20.39,21.87,7.73,0.44,233976,,0.14,,,,20.16,56.1,,16.86,,,
2021-11-10,21.2,21.54,-1.51,-3.06,169339,,-3.67,,,,18.35,54.1,,16.36,,,
2021-11-11,21.05,21.59,0.23,-2.27,154254,,-3.62,,,,18.63,54.3,,15.91,,,
2021-11-12,21.47,22.17,2.69,-0.56,128358,,2.92,,,,21.81,57.4,,15.2,,,
2021-11-15,22.0,22.9,3.29,-0.77,129958,,12.81,,,,25.82,61.0,,14.24,,,
2021-11-16,22.42,25.79,12.62,-2.1,527417,,17.92,,,,41.7,71.4,,13.18,,,
2021-11-17,26.24,25.36,-1.67,1.74,155399,,17.73,,,,39.34,68.4,,12.83,,,
2021-11-18,25.36,24.7,-2.6,0.0,296721,,14.4,,,,35.71,64.1,,13.31,,,
2021-11-19,23.28,24.1,-2.43,-5.75,74477,,8.71,,,,32.42,60.4,,13.22,,,
2021-11-22,24.91,21.6,-10.37,3.36,344484,,-5.68,,,,18.68,47.9,,15.41,,,
2021-11-23,21.5,21.61,0.05,-0.46,94569,0.29,-16.21,,,,18.74,47.9,,15.01,,,-16.21
2021-11-24,21.23,23.64,9.39,-1.76,150428,0.62,-6.78,,,,29.89,56.4,,13.59,,,-8.34
2021-11-26,23.0,26.29,11.21,-2.71,131302,0.59,6.44,44.45,,,44.45,64.6,7.72,12.85,,,0.0
2021-11-29,26.5,26.09,-0.76,0.8,141282,0.71,8.26,44.46,,,43.35,63.6,7.72,12.51,,,-0.76
2021-11-30,25.95,27.16,4.1,-0.54,128491,0.71,25.74,21.52,,,49.23,66.5,5.94,11.83,,,0.0
2021-12-01,26.92,22.52,-17.08,-0.88,350552,1.86,4.21,-4.45,,,23.74,48.5,7.05,14.96,,,-17.08
2021-12-02,22.52,23.88,6.04,0.0,138399,0.75,1.02,9.34,,,31.21,52.6,6.95,13.89,,,-12.08
2021-12-03,23.83,24.16,1.17,-0.21,98141,0.53,-8.1,8.05,,,32.75,53.4,6.94,13.56,,,-11.05
2021-12-06,24.21,24.41,1.03,0.21,90910,0.49,-6.44,8.97,,,34.12,54.1,6.94,13.29,,,-10.13
2021-12-07,24.78,26.76,9.63,1.52,147054,0.8,-1.47,24.23,,,47.03,60.6,7.13,12.01,,,-1.47
2021-12-08,27.0,24.94,-6.8,0.9,133741,0.75,10.75,22.86,,,37.03,54.2,7.18,12.78,,,-8.17
2021-12-09,24.77,25.19,1.0,-0.68,88415,0.5,5.49,15.18,,,38.41,54.9,7.03,12.25,,,-7.25
2021-12-10,25.28,25.24,0.2,0.36,84918,0.49,4.47,17.18,,,38.68,55.1,7.01,11.96,,,-7.07
2021-12-13,25.39,25.79,2.18,0.59,111812,0.65,5.65,19.45,,,41.7,56.8,7.01,11.3,,,-5.04
2021-12-14,25.68,23.25,-9.85,-0.43,203839,1.17,-13.12,4.87,,,27.75,47.8,7.39,12.92,,,-14.4
2021-12-15,23.28,24.7,6.24,0.13,148958,0.96,-0.96,7.86,,,35.71,52.4,7.47,11.81,,,-9.06
2021-12-16,24.75,21.6,-12.55,0.2,266345,1.65,-14.25,-16.25,,,18.68,43.6,7.47,14.12,,,-20.47
2021-12-17,21.17,19.2,-11.11,-1.99,889255,4.66,-23.93,-24.29,,,5.49,38.2,7.82,15.9,,,-29.31
2021-12-20,18.71,18.64,-2.92,-2.55,112082,0.58,-27.72,-24.53,,,2.42,37.1,7.82,15.63,,,-31.37
2021-12-21,18.89,19.68,5.58,1.34,121029,0.67,-15.35,-18.34,,,8.13,40.6,7.94,14.34,,,-27.54
2021-12-22,19.79,20.89,6.15,0.56,89508,0.49,-15.43,-3.29,,,14.78,44.6,7.75,13.02,,,-23.09
2021-12-23,21.14,20.93,0.19,1.2,61389,0.35,-3.1,-3.15,,,15.0,44.7,7.75,12.46,,,-22.94
2021-12-27,21.18,21.99,5.06,1.19,46177,0.27,14.53,-6.98,,,20.82,48.2,7.54,11.44,,,-19.04
2021-12-28,22.02,20.64,-6.14,0.14,79227,0.47,10.73,-21.49,,,13.41,44.4,7.19,12.17,,,-24.01
2021-12-29,20.71,20.54,-0.48,0.34,40902,0.25,4.37,-21.27,,,12.86,44.1,7.19,11.54,,,-24.37
2021-12-30,20.26,20.84,1.46,-1.36,53315,0.35,-0.24,-23.27,,,14.51,45.2,7.12,11.25,,,-23.27
