date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-08-12,8.0,8.0,,,838131,,,,,,0.0,,,4.62,,,
2016-08-15,8.0,8.3,3.75,0.0,820064,,,,,,3.75,,,4.82,,,
2016-08-16,8.4,8.11,-2.29,1.2,192972,,,,,,1.37,95.4,,4.84,,,
2016-08-17,8.1,8.2,1.08,-0.12,221796,,,,,,2.47,95.5,,5.06,,,
2016-08-18,8.12,9.2,12.22,-0.95,440744,,,,,,15.0,96.4,,5.37,,,
2016-08-19,9.05,9.95,8.15,-1.63,443952,,24.37,,,,24.37,97.0,,6.04,,,
2016-08-22,10.2,10.3,3.52,2.51,415700,,24.1,,,,28.75,97.2,,5.93,,,
2016-08-23,10.4,11.32,9.9,0.97,555998,,39.58,,,,41.5,97.7,,5.8,,,
2016-08-24,11.5,10.53,-6.98,1.59,646589,,28.45,,,,31.62,85.0,,7.09,,,
2016-08-25,10.3,10.62,0.85,-2.18,103736,,15.43,,,,32.75,85.2,,7.08,,,
2016-08-26,10.41,10.83,1.98,-1.98,215771,,8.84,,,,35.38,85.8,,7.01,,,
2016-08-29,11.33,12.49,15.33,4.62,862222,,21.26,,,,56.12,89.2,,6.59,,,
2016-08-30,12.74,12.55,0.48,2.0,713321,,10.87,,,,56.88,89.4,,6.94,,,
2016-08-31,12.49,11.66,-7.05,-0.48,324523,,10.78,,,,45.81,77.7,,7.52,,,
2016-09-01,11.65,11.86,1.67,-0.13,300381,,11.68,,,,48.25,78.4,,7.2,,,
2016-09-02,11.77,11.57,-2.45,-0.76,462348,,6.83,,,,44.62,74.8,,7.65,,,
2016-09-06,11.66,11.61,0.35,0.78,294073,,-7.05,,,,45.12,75.0,,7.58,,,
2016-09-07,11.59,13.97,20.33,-0.17,1348990,,11.31,,,,74.63,82.5,,7.08,,,
2016-09-08,13.7,13.89,-0.57,-1.93,728881,,19.07,,,,73.62,81.6,,7.49,,,
2016-09-09,14.03,13.23,-4.75,1.01,444300,0.86,11.55,,,,65.38,74.4,,8.03,,,-5.3
2016-09-12,12.95,13.28,0.38,-2.12,307493,0.62,14.78,,,,66.0,74.6,,8.03,,,-4.94
2016-09-13,13.34,12.8,-3.61,0.45,212064,0.46,10.25,60.0,,,60.0,69.5,7.12,8.22,,,-8.38
2016-09-14,12.9,13.0,1.56,0.78,233754,0.5,-6.94,56.63,,,62.5,70.4,7.11,7.9,,,-6.94
2016-09-15,13.05,15.27,17.46,0.38,992166,1.98,9.94,88.29,,,90.88,78.3,7.74,7.36,,,0.0
2016-09-16,15.0,14.2,-7.01,-1.77,412978,0.82,7.33,73.22,,,77.5,69.0,8.05,7.9,,,-7.01
2016-09-19,14.73,14.57,2.61,3.73,410059,0.82,9.71,58.37,,,82.12,70.3,7.77,7.5,,,-4.58
2016-09-20,14.87,16.12,10.64,2.06,915559,1.75,25.94,62.01,,,101.5,75.1,7.88,7.33,,,0.0
2016-09-21,14.95,16.05,-0.43,-7.26,980306,1.8,23.46,55.83,,,100.63,74.5,7.9,7.76,,,-0.43
2016-09-22,16.47,15.51,-3.36,2.62,327258,0.62,1.57,37.01,,,93.88,70.0,7.8,8.15,,,-3.78
2016-09-23,15.14,15.6,0.58,-2.39,298438,0.55,9.86,48.15,,,95.0,70.3,7.55,8.1,,,-3.23
2016-09-26,15.4,14.9,-4.49,-1.28,329967,0.61,2.26,40.3,,,86.25,64.5,7.68,8.27,,,-7.57
2016-09-27,15.25,15.63,4.9,2.35,435561,0.83,-3.04,44.32,,,95.38,67.5,7.71,7.96,,,-3.04
2016-09-28,15.78,16.64,6.46,0.96,512016,1.0,3.68,33.23,,,108.0,71.1,7.17,7.57,,,0.0
2016-09-29,16.5,15.96,-4.09,-0.84,268467,0.53,2.9,27.17,,,99.5,65.8,7.27,7.91,,,-4.09
2016-09-30,16.0,15.76,-1.25,0.25,122180,0.24,1.03,35.11,,,97.0,64.2,7.04,7.64,,,-5.29
2016-10-03,16.03,15.08,-4.31,1.71,194943,0.4,1.21,27.15,,,88.5,59.2,7.16,8.08,,,-9.38
2016-10-04,15.26,14.11,-6.43,1.19,224376,0.46,-9.72,21.95,,,76.38,52.8,7.32,8.82,,,-15.2
2016-10-05,13.67,13.71,-2.83,-3.12,312135,0.72,-17.61,18.09,,,71.38,50.4,7.37,9.29,,,-17.61
2016-10-06,13.58,13.19,-3.79,-0.95,212845,0.52,-17.36,-5.58,,,64.88,47.4,5.96,9.61,,,-20.73
2016-10-07,13.1,13.95,5.76,-0.68,283029,0.71,-11.48,0.43,,,74.37,51.9,6.1,9.45,,,-16.17
2016-10-10,14.33,15.19,8.89,2.72,356104,0.89,0.73,14.81,,,89.88,58.3,6.27,8.72,,,-8.71
2016-10-11,15.21,14.59,-3.95,0.13,293967,0.72,3.4,9.86,,,82.38,54.5,6.35,9.28,,,-12.32
2016-10-12,14.6,14.87,1.92,0.07,135324,0.34,8.46,16.17,,,85.87,55.9,6.28,8.99,,,-10.64
2016-10-13,14.82,14.7,-1.14,-0.34,104962,0.29,11.45,13.08,,,83.75,54.8,6.3,8.81,,,-11.66
2016-10-14,14.86,14.64,-0.41,1.09,61292,0.18,4.95,-4.13,,,83.0,54.4,5.0,8.58,,,-12.02
2016-10-17,14.81,13.94,-4.78,1.16,104952,0.32,-8.23,-1.83,,,74.25,49.7,4.87,8.9,,,-16.23
2016-10-18,14.43,14.35,2.94,3.52,136501,0.48,-1.64,-1.51,,,79.38,52.3,4.88,8.4,,,-13.76
2016-10-19,14.57,14.0,-2.44,1.53,49975,0.21,-5.85,-13.15,,,75.0,49.9,4.25,8.5,,,-15.87
2016-10-20,14.26,14.15,1.07,1.86,46641,0.21,-3.74,-11.84,,,76.88,50.9,4.27,8.11,,,-14.96
2016-10-21,13.89,13.94,-1.48,-1.84,37883,0.18,-4.78,-10.12,,,74.25,49.4,4.22,7.94,5.94,,-16.23
2016-10-24,13.98,14.43,3.52,0.29,91843,0.46,3.52,-7.5,,,80.38,53.0,4.31,7.49,8.61,,-13.28
2016-10-25,14.51,14.24,-1.32,0.55,47012,0.26,-0.77,-4.43,,,78.0,51.4,4.21,7.4,6.23,,-14.42
2016-10-26,13.97,14.05,-1.33,-1.9,83903,0.53,0.36,-10.11,,,75.63,49.9,4.05,7.2,3.89,,-15.56
2016-10-27,14.07,12.99,-7.54,0.14,98041,0.65,-8.2,-21.94,,,62.38,42.3,4.01,8.02,-4.62,,-21.94
2016-10-28,13.1,12.65,-2.62,0.85,74412,0.5,-9.25,-20.74,,,58.13,40.2,3.97,8.09,-7.59,,-23.98
2016-10-31,13.29,12.51,-1.11,5.06,72328,0.51,-13.31,-20.62,,,56.38,39.4,3.97,8.17,-8.95,,-24.82
2016-11-01,12.55,12.4,-0.88,0.32,39738,0.3,-12.92,-17.77,,,55.0,38.6,3.9,7.92,-10.03,,-25.48
2016-11-02,12.16,12.24,-1.29,-1.94,44072,0.37,-12.88,-13.25,,,53.0,37.6,3.69,7.79,-11.31,,-26.44
2016-11-03,12.25,11.72,-4.25,0.08,74901,0.67,-9.78,-14.51,,,46.5,34.3,3.74,8.29,-15.22,,-29.57
